opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE DIAMONDS SIX
SPADES EIGHT DIAMONDS TEN,0.3678,0.0254,0.6068
DIAMONDS ACE CLUBS KING,0.383,0.0048,0.6122
SPADES QUEEN CLUBS THREE,0.2944,0.0342,0.6714
CLUBS SIX HEARTS TWO,0.3118,0.479,0.2092
CLUBS FOUR CLUBS ACE,0.3782,0.0068,0.615
HEARTS FIVE CLUBS ACE,0.408,0.0042,0.5878
CLUBS SIX HEARTS ACE,0.289,0.0276,0.6834
CLUBS TWO HEARTS ACE,0.421,0.0068,0.5722
SPADES JACK DIAMONDS FIVE,0.3826,0.0202,0.5972
HEARTS EIGHT SPADES JACK,0.382,0.014,0.604
DIAMONDS ACE DIAMONDS KING,0.3192,0.0056,0.6752
HEARTS THREE DIAMONDS QUEEN,0.277,0.0364,0.6866
HEARTS THREE HEARTS JACK,0.2998,0.0528,0.6474
DIAMONDS TEN HEARTS QUEEN,0.3688,0.0104,0.6208
SPADES NINE SPADES TWO,0.4212,0.0376,0.5412
CLUBS EIGHT HEARTS TEN,0.3772,0.025,0.5978
SPADES SIX HEARTS NINE,0.2916,0.1022,0.6062
SPADES KING HEARTS THREE,0.2946,0.0254,0.68
SPADES FOUR HEARTS KING,0.4154,0.0086,0.576
HEARTS FOUR CLUBS FIVE,0.477,0.1462,0.3768
CLUBS SEVEN DIAMONDS EIGHT,0.3506,0.057,0.5924
DIAMONDS QUEEN DIAMONDS FIVE,0.3584,0.0128,0.6288
HEARTS ACE CLUBS KING,0.3854,0.005,0.6096
SPADES SEVEN HEARTS QUEEN,0.388,0.0106,0.6014
HEARTS TWO SPADES SIX,0.332,0.4692,0.1988
HEARTS EIGHT DIAMONDS SEVEN,0.341,0.0584,0.6006
DIAMONDS TEN CLUBS QUEEN,0.3626,0.0124,0.625
HEARTS SEVEN SPADES EIGHT,0.37,0.0596,0.5704
HEARTS FIVE CLUBS TWO,0.5092,0.1568,0.334
SPADES JACK SPADES TWO,0.4042,0.0184,0.5774
CLUBS SIX CLUBS FIVE,0.257,0.3912,0.3518
DIAMONDS FOUR HEARTS KING,0.4016,0.0102,0.5882
DIAMONDS TWO HEARTS FOUR,0.5,0.162,0.338
