opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE HEARTS KING
HEARTS FIVE SPADES TEN,0.5882,0.0102,0.4016
HEARTS FIVE SPADES JACK,0.5952,0.0076,0.3972
CLUBS JACK SPADES FIVE,0.6056,0.0084,0.386
CLUBS TEN SPADES FIVE,0.5884,0.008,0.4036
CLUBS JACK CLUBS EIGHT,0.5356,0.0068,0.4576
CLUBS TEN CLUBS EIGHT,0.5108,0.0072,0.482
CLUBS EIGHT CLUBS KING,0.2188,0.2222,0.559
SPADES FIVE CLUBS ACE,0.3292,0.005,0.6658
CLUBS EIGHT CLUBS QUEEN,0.5376,0.0062,0.4562
SPADES FIVE CLUBS KING,0.2312,0.4634,0.3054
SPADES FIVE CLUBS QUEEN,0.5854,0.008,0.4066
CLUBS EIGHT CLUBS ACE,0.3422,0.0054,0.6524
DIAMONDS TWO DIAMONDS FIVE,0.5886,0.011,0.4004
HEARTS FIVE SPADES KING,0.218,0.4572,0.3248
DIAMONDS TWO DIAMONDS FOUR,0.5826,0.0106,0.4068
HEARTS FIVE SPADES QUEEN,0.609,0.007,0.384
DIAMONDS TWO DIAMONDS SEVEN,0.5908,0.0114,0.3978
DIAMONDS TWO DIAMONDS SIX,0.5952,0.0096,0.3952
SPADES ACE HEARTS FIVE,0.3516,0.0064,0.642
DIAMONDS TWO DIAMONDS NINE,0.603,0.0096,0.3874
DIAMONDS TWO DIAMONDS EIGHT,0.6118,0.008,0.3802
CLUBS TWO SPADES FOUR,0.6244,0.0102,0.3654
CLUBS TWO SPADES FIVE,0.608,0.011,0.381
CLUBS TWO SPADES TWO,0.4286,0.017,0.5544
CLUBS TWO SPADES THREE,0.718,0.0368,0.2452
SPADES EIGHT CLUBS TWO,0.6476,0.0108,0.3416
SPADES NINE CLUBS TWO,0.6156,0.0106,0.3738
SPADES SIX CLUBS TWO,0.6284,0.01,0.3616
SPADES SEVEN CLUBS TWO,0.6252,0.009,0.3658
CLUBS SIX CLUBS TWO,0.5802,0.0082,0.4116
CLUBS SEVEN CLUBS TWO,0.577,0.0086,0.4144
CLUBS FOUR CLUBS TWO,0.5782,0.009,0.4128
CLUBS FIVE CLUBS TWO,0.5696,0.008,0.4224
CLUBS TEN CLUBS JACK,0.5022,0.0078,0.49
DIAMONDS FOUR DIAMONDS SIX,0.5316,0.01,0.4584
CLUBS TEN CLUBS QUEEN,0.5208,0.006,0.4732
DIAMONDS FOUR DIAMONDS SEVEN,0.545,0.0082,0.4468
CLUBS TEN CLUBS KING,0.2228,0.1128,0.6644
CLUBS TEN CLUBS ACE,0.3278,0.0056,0.6666
CLUBS EIGHT CLUBS TWO,0.5792,0.006,0.4148
DIAMONDS FOUR DIAMONDS FIVE,0.5366,0.0076,0.4558
CLUBS NINE CLUBS TWO,0.585,0.0076,0.4074
DIAMONDS FOUR DIAMONDS NINE,0.5662,0.0102,0.4236
DIAMONDS FOUR DIAMONDS EIGHT,0.5634,0.0096,0.427
CLUBS TWO CLUBS THREE,0.666,0.0312,0.3028
DIAMONDS NINE DIAMONDS FIVE,0.56,0.0068,0.4332
CLUBS JACK DIAMONDS TWO,0.6402,0.0086,0.3512
DIAMONDS FIVE DIAMONDS EIGHT,0.5436,0.01,0.4464
CLUBS TEN DIAMONDS TWO,0.6424,0.006,0.3516
DIAMONDS FIVE DIAMONDS SEVEN,0.5458,0.0078,0.4464
DIAMONDS SIX DIAMONDS FIVE,0.5414,0.0088,0.4498
DIAMONDS TWO CLUBS ACE,0.3748,0.0058,0.6194
DIAMONDS TWO CLUBS KING,0.2614,0.5244,0.2142
DIAMONDS TWO CLUBS QUEEN,0.6336,0.0102,0.3562
DIAMONDS SIX DIAMONDS EIGHT,0.541,0.0084,0.4506
DIAMONDS NINE DIAMONDS SIX,0.5336,0.01,0.4564
SPADES THREE HEARTS ACE,0.2298,0.0252,0.745
DIAMONDS SIX DIAMONDS SEVEN,0.5344,0.0094,0.4562
HEARTS QUEEN SPADES THREE,0.7382,0.0316,0.2302
SPADES THREE HEARTS JACK,0.738,0.0348,0.2272
SPADES THREE HEARTS TEN,0.7242,0.0326,0.2432
DIAMONDS EIGHT DIAMONDS SEVEN,0.5276,0.0082,0.4642
DIAMONDS NINE DIAMONDS SEVEN,0.5362,0.0076,0.4562
DIAMONDS NINE DIAMONDS EIGHT,0.5216,0.009,0.4694
DIAMONDS KING HEARTS TEN,0.2312,0.1148,0.654
HEARTS THREE HEARTS TEN,0.6916,0.0282,0.2802
SPADES JACK CLUBS SIX,0.5892,0.006,0.4048
DIAMONDS KING HEARTS JACK,0.2218,0.0908,0.6874
HEARTS THREE HEARTS JACK,0.7004,0.0282,0.2714
SPADES TEN CLUBS SIX,0.5714,0.007,0.4216
SPADES JACK SPADES FIVE,0.5512,0.0066,0.4422
SPADES TEN SPADES FIVE,0.556,0.008,0.436
DIAMONDS KING HEARTS ACE,0.2198,0.0124,0.7678
HEARTS THREE HEARTS ACE,0.2244,0.0232,0.7524
SPADES ACE CLUBS SIX,0.3684,0.0044,0.6272
DIAMONDS KING HEARTS QUEEN,0.2324,0.0718,0.6958
HEARTS THREE HEARTS QUEEN,0.706,0.03,0.264
SPADES KING CLUBS SIX,0.2256,0.3778,0.3966
SPADES QUEEN CLUBS SIX,0.591,0.0092,0.3998
SPADES NINE HEARTS TEN,0.557,0.0082,0.4348
SPADES NINE HEARTS JACK,0.554,0.0088,0.4372
SPADES QUEEN SPADES FIVE,0.5554,0.0084,0.4362
SPADES KING SPADES FIVE,0.2096,0.4298,0.3606
SPADES ACE SPADES FIVE,0.3324,0.0064,0.6612
SPADES NINE HEARTS QUEEN,0.5754,0.0072,0.4174
SPADES NINE HEARTS ACE,0.3532,0.007,0.6398
CLUBS TEN SPADES JACK,0.5414,0.007,0.4516
CLUBS TEN SPADES TEN,0.2902,0.0082,0.7016
SPADES ACE CLUBS TEN,0.3472,0.004,0.6488
CLUBS TEN SPADES KING,0.224,0.1174,0.6586
CLUBS TEN SPADES QUEEN,0.5464,0.0086,0.445
SPADES FIVE HEARTS QUEEN,0.6056,0.0094,0.385
SPADES FIVE HEARTS ACE,0.3492,0.0052,0.6456
CLUBS EIGHT SPADES TEN,0.5518,0.0064,0.4418
SPADES JACK HEARTS THREE,0.7378,0.0368,0.2254
SPADES JACK DIAMONDS KING,0.2196,0.0858,0.6946
SPADES TEN DIAMONDS KING,0.2294,0.1198,0.6508
SPADES TEN HEARTS THREE,0.7268,0.0372,0.236
CLUBS EIGHT SPADES JACK,0.5686,0.008,0.4234
CLUBS SIX HEARTS ACE,0.3646,0.0058,0.6296
SPADES ACE CLUBS EIGHT,0.364,0.0034,0.6326
HEARTS FIVE CLUBS JACK,0.5968,0.0086,0.3946
CLUBS TEN HEARTS FIVE,0.597,0.0088,0.3942
CLUBS SIX HEARTS QUEEN,0.5982,0.009,0.3928
SPADES QUEEN CLUBS EIGHT,0.572,0.0082,0.4198
CLUBS TEN SPADES THREE,0.7302,0.0376,0.2322
SPADES KING CLUBS EIGHT,0.238,0.2182,0.5438
CLUBS JACK SPADES THREE,0.7352,0.031,0.2338
DIAMONDS TWO HEARTS JACK,0.6292,0.0064,0.3644
SPADES THREE CLUBS QUEEN,0.7374,0.0324,0.2302
DIAMONDS TWO HEARTS TEN,0.6384,0.0094,0.3522
SPADES THREE CLUBS KING,0.0204,0.9562,0.0234
HEARTS FIVE CLUBS ACE,0.354,0.006,0.64
SPADES FIVE HEARTS TEN,0.5942,0.0094,0.3964
SPADES THREE CLUBS ACE,0.232,0.0202,0.7478
HEARTS FIVE CLUBS KING,0.229,0.4568,0.3142
SPADES FIVE HEARTS JACK,0.606,0.0088,0.3852
HEARTS FIVE CLUBS QUEEN,0.5908,0.0086,0.4006
HEARTS THREE CLUBS KING,0.0172,0.97,0.0128
DIAMONDS KING CLUBS KING,0.068,0.0158,0.9162
HEARTS THREE CLUBS QUEEN,0.7328,0.0332,0.234
DIAMONDS KING CLUBS QUEEN,0.237,0.0658,0.6972
HEARTS FIVE HEARTS JACK,0.5764,0.0096,0.414
HEARTS FIVE HEARTS TEN,0.5724,0.01,0.4176
HEARTS THREE CLUBS ACE,0.235,0.0226,0.7424
DIAMONDS KING CLUBS ACE,0.2186,0.0112,0.7702
SPADES ACE CLUBS QUEEN,0.342,0.0034,0.6546
SPADES KING CLUBS QUEEN,0.2342,0.0654,0.7004
CLUBS JACK HEARTS THREE,0.7382,0.03,0.2318
CLUBS JACK DIAMONDS KING,0.2262,0.081,0.6928
SPADES QUEEN CLUBS QUEEN,0.2838,0.0024,0.7138
CLUBS TEN HEARTS THREE,0.7258,0.0348,0.2394
