opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE HEARTS TWO
SPADES SEVEN CLUBS KING,0.3394,0.0084,0.6522
CLUBS SIX HEARTS QUEEN,0.3466,0.0162,0.6372
DIAMONDS TWO CLUBS THREE,0.015,0.9736,0.0114
DIAMONDS FOUR HEARTS ACE,0.318,0.0064,0.6756
HEARTS ACE DIAMONDS SIX,0.34,0.0078,0.6522
DIAMONDS TWO CLUBS EIGHT,0.2554,0.1472,0.5974
CLUBS FIVE SPADES TWO,0.223,0.3744,0.4026
HEARTS EIGHT HEARTS JACK,0.3158,0.02,0.6642
SPADES NINE SPADES TWO,0.2428,0.097,0.6602
SPADES JACK DIAMONDS QUEEN,0.3344,0.0118,0.6538
CLUBS FIVE DIAMONDS TEN,0.3424,0.029,0.6286
DIAMONDS ACE DIAMONDS SIX,0.316,0.007,0.677
HEARTS SIX HEARTS QUEEN,0.344,0.0118,0.6442
SPADES FOUR DIAMONDS NINE,0.3326,0.0464,0.621
DIAMONDS FOUR SPADES TEN,0.3452,0.0334,0.6214
CLUBS TWO CLUBS QUEEN,0.2358,0.04,0.7242
SPADES QUEEN SPADES FIVE,0.3206,0.017,0.6624
SPADES KING CLUBS TEN,0.3454,0.0092,0.6454
DIAMONDS EIGHT HEARTS JACK,0.3238,0.0162,0.66
HEARTS FOUR SPADES SEVEN,0.3166,0.1088,0.5746
HEARTS FOUR HEARTS THREE,0.214,0.471,0.315
SPADES ACE HEARTS FOUR,0.3282,0.0058,0.666
HEARTS EIGHT HEARTS SEVEN,0.2906,0.0562,0.6532
HEARTS EIGHT HEARTS FIVE,0.3132,0.0684,0.6184
DIAMONDS NINE SPADES TWO,0.2424,0.1068,0.6508
DIAMONDS KING SPADES SIX,0.337,0.0072,0.6558
CLUBS JACK HEARTS JACK,0.1336,0.0538,0.8126
DIAMONDS JACK DIAMONDS NINE,0.318,0.0168,0.6652
CLUBS JACK DIAMONDS TEN,0.3334,0.0164,0.6502
CLUBS EIGHT HEARTS TEN,0.3264,0.0258,0.6478
CLUBS JACK SPADES KING,0.342,0.0076,0.6504
HEARTS FIVE CLUBS FOUR,0.291,0.2462,0.4628
HEARTS FOUR DIAMONDS TEN,0.3382,0.0356,0.6262
SPADES NINE SPADES SEVEN,0.304,0.0446,0.6514
HEARTS SEVEN CLUBS EIGHT,0.301,0.0634,0.6356
HEARTS ACE SPADES THREE,0.2352,0.0184,0.7464
SPADES EIGHT DIAMONDS TEN,0.3296,0.0288,0.6416
HEARTS SIX DIAMONDS JACK,0.35,0.022,0.628
SPADES ACE HEARTS JACK,0.3358,0.0046,0.6596
HEARTS SIX SPADES NINE,0.3414,0.0416,0.617
HEARTS QUEEN HEARTS JACK,0.3262,0.0118,0.662
SPADES NINE HEARTS THREE,0.2536,0.113,0.6334
CLUBS THREE HEARTS JACK,0.2452,0.0598,0.695
SPADES QUEEN SPADES NINE,0.3204,0.0148,0.6648
SPADES EIGHT DIAMONDS JACK,0.3344,0.0188,0.6468
CLUBS TWO DIAMONDS NINE,0.2518,0.1052,0.643
HEARTS FIVE SPADES TEN,0.34,0.0302,0.6298
SPADES TEN DIAMONDS EIGHT,0.3266,0.0278,0.6456
SPADES FIVE DIAMONDS SIX,0.3132,0.1486,0.5382
DIAMONDS FOUR HEARTS SIX,0.3058,0.1642,0.53
HEARTS FIVE DIAMONDS ACE,0.3134,0.0058,0.6808
SPADES JACK CLUBS FOUR,0.3432,0.0202,0.6366
SPADES NINE CLUBS QUEEN,0.3414,0.0132,0.6454
SPADES FOUR HEARTS NINE,0.3346,0.053,0.6124
CLUBS TEN CLUBS ACE,0.3134,0.0064,0.6802
CLUBS JACK HEARTS ACE,0.3258,0.0038,0.6704
HEARTS KING HEARTS QUEEN,0.3192,0.0076,0.6732
HEARTS SEVEN SPADES NINE,0.3304,0.044,0.6256
CLUBS EIGHT DIAMONDS SIX,0.3332,0.0678,0.599
CLUBS EIGHT CLUBS QUEEN,0.315,0.0122,0.6728
SPADES SIX HEARTS QUEEN,0.3356,0.0136,0.6508
CLUBS NINE SPADES SEVEN,0.3278,0.042,0.6302
SPADES QUEEN DIAMONDS KING,0.3364,0.0084,0.6552
CLUBS EIGHT CLUBS KING,0.3194,0.0114,0.6692
CLUBS KING HEARTS TEN,0.3318,0.009,0.6592
SPADES KING HEARTS SIX,0.3518,0.0136,0.6346
CLUBS FIVE SPADES THREE,0.2234,0.3798,0.3968
SPADES SIX CLUBS TWO,0.249,0.2704,0.4806
SPADES SIX DIAMONDS EIGHT,0.3358,0.061,0.6032
SPADES FIVE HEARTS ACE,0.326,0.007,0.667
DIAMONDS FOUR SPADES SEVEN,0.322,0.1096,0.5684
DIAMONDS QUEEN DIAMONDS JACK,0.3284,0.0146,0.657
DIAMONDS QUEEN DIAMONDS SEVEN,0.331,0.0114,0.6576
SPADES TEN SPADES SIX,0.323,0.0264,0.6506
HEARTS FIVE HEARTS QUEEN,0.3318,0.0146,0.6536
DIAMONDS FOUR DIAMONDS SIX,0.3018,0.1528,0.5454
SPADES JACK HEARTS KING,0.3326,0.01,0.6574
HEARTS KING HEARTS TEN,0.3262,0.007,0.6668
CLUBS TEN SPADES TWO,0.2546,0.0742,0.6712
SPADES EIGHT DIAMONDS NINE,0.3252,0.0484,0.6264
DIAMONDS ACE SPADES TWO,0.2274,0.019,0.7536
HEARTS SEVEN HEARTS JACK,0.3168,0.0212,0.662
SPADES TEN DIAMONDS QUEEN,0.33,0.0104,0.6596
CLUBS FIVE DIAMONDS ACE,0.324,0.0056,0.6704
CLUBS EIGHT DIAMONDS KING,0.339,0.0104,0.6506
DIAMONDS TWO CLUBS FIVE,0.2308,0.3778,0.3914
HEARTS JACK HEARTS NINE,0.3164,0.0176,0.666
HEARTS EIGHT DIAMONDS QUEEN,0.3282,0.0126,0.6592
SPADES SEVEN DIAMONDS JACK,0.336,0.0204,0.6436
SPADES THREE CLUBS KING,0.2478,0.031,0.7212
SPADES JACK HEARTS JACK,0.1458,0.0518,0.8024
SPADES JACK HEARTS NINE,0.3348,0.015,0.6502
HEARTS EIGHT DIAMONDS TWO,0.2472,0.1512,0.6016
CLUBS FOUR DIAMONDS KING,0.3326,0.0118,0.6556
SPADES KING DIAMONDS SEVEN,0.3352,0.009,0.6558
DIAMONDS KING CLUBS ACE,0.34,0.0068,0.6532
CLUBS EIGHT CLUBS THREE,0.2408,0.1292,0.63
SPADES NINE HEARTS JACK,0.3478,0.017,0.6352
CLUBS FOUR CLUBS QUEEN,0.339,0.0166,0.6444
SPADES TWO DIAMONDS SIX,0.2454,0.2658,0.4888
CLUBS JACK CLUBS SEVEN,0.328,0.018,0.654
CLUBS EIGHT HEARTS NINE,0.3236,0.0432,0.6332
DIAMONDS JACK CLUBS ACE,0.3366,0.0048,0.6586
CLUBS JACK CLUBS FIVE,0.313,0.0196,0.6674
CLUBS EIGHT DIAMONDS SEVEN,0.2936,0.0644,0.642
SPADES SEVEN HEARTS QUEEN,0.3374,0.0142,0.6484
CLUBS JACK HEARTS SEVEN,0.3364,0.018,0.6456
CLUBS NINE CLUBS TWO,0.2558,0.0988,0.6454
DIAMONDS KING DIAMONDS QUEEN,0.3264,0.0082,0.6654
DIAMONDS TWO DIAMONDS SIX,0.2412,0.2532,0.5056
SPADES EIGHT CLUBS KING,0.3382,0.0072,0.6546
SPADES EIGHT DIAMONDS FIVE,0.3208,0.0648,0.6144
CLUBS QUEEN DIAMONDS FIVE,0.3338,0.0182,0.648
SPADES QUEEN DIAMONDS SEVEN,0.3556,0.0118,0.6326
SPADES SIX HEARTS JACK,0.3516,0.02,0.6284
DIAMONDS KING CLUBS KING,0.1376,0.0254,0.837
CLUBS TEN DIAMONDS ACE,0.3404,0.007,0.6526
HEARTS THREE DIAMONDS SIX,0.2268,0.2802,0.493
DIAMONDS TWO SPADES THREE,0.017,0.9732,0.0098
HEARTS FIVE DIAMONDS SIX,0.2834,0.154,0.5626
DIAMONDS TWO HEARTS KING,0.2478,0.0274,0.7248
SPADES SIX DIAMONDS NINE,0.3354,0.0456,0.619
DIAMONDS FOUR DIAMONDS JACK,0.3208,0.0216,0.6576
CLUBS TEN CLUBS FOUR,0.3368,0.0322,0.631
DIAMONDS FOUR DIAMONDS NINE,0.3258,0.0532,0.621
HEARTS ACE DIAMONDS EIGHT,0.3268,0.0072,0.666
SPADES JACK HEARTS FOUR,0.3396,0.0232,0.6372
SPADES QUEEN SPADES JACK,0.3116,0.0102,0.6782
DIAMONDS ACE CLUBS QUEEN,0.3388,0.0058,0.6554
HEARTS SIX CLUBS SIX,0.1204,0.1372,0.7424
SPADES NINE DIAMONDS NINE,0.148,0.0872,0.7648
DIAMONDS TWO DIAMONDS SEVEN,0.2478,0.1988,0.5534
SPADES SEVEN SPADES FOUR,0.3012,0.1024,0.5964
SPADES ACE DIAMONDS ACE,0.1268,0.006,0.8672
SPADES SEVEN DIAMONDS KING,0.3384,0.0082,0.6534
SPADES KING CLUBS FIVE,0.327,0.0096,0.6634
CLUBS THREE SPADES FIVE,0.2138,0.3722,0.414
CLUBS FIVE DIAMONDS KING,0.3396,0.0106,0.6498
DIAMONDS TWO HEARTS FIVE,0.2234,0.3806,0.396
