opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE SPADES FOUR
HEARTS FIVE SPADES TEN,0.3474,0.034,0.6186
HEARTS FIVE SPADES JACK,0.3606,0.0234,0.616
SPADES FIVE CLUBS JACK,0.3518,0.0216,0.6266
CLUBS TEN SPADES FIVE,0.361,0.0304,0.6086
CLUBS EIGHT CLUBS JACK,0.3242,0.0186,0.6572
CLUBS TEN CLUBS EIGHT,0.3218,0.0274,0.6508
CLUBS EIGHT CLUBS KING,0.3354,0.0086,0.656
SPADES FIVE CLUBS ACE,0.3378,0.0056,0.6566
CLUBS EIGHT CLUBS QUEEN,0.3314,0.0094,0.6592
SPADES FIVE CLUBS KING,0.3446,0.0124,0.643
SPADES FIVE CLUBS QUEEN,0.3508,0.013,0.6362
CLUBS EIGHT CLUBS ACE,0.34,0.0046,0.6554
DIAMONDS TWO DIAMONDS FIVE,0.3748,0.2326,0.3926
HEARTS FIVE SPADES KING,0.3464,0.0104,0.6432
DIAMONDS TWO DIAMONDS FOUR,0.257,0.4824,0.2606
HEARTS FIVE SPADES QUEEN,0.356,0.0122,0.6318
DIAMONDS TWO DIAMONDS SEVEN,0.394,0.0958,0.5102
DIAMONDS TWO DIAMONDS SIX,0.3876,0.1628,0.4496
SPADES ACE HEARTS FIVE,0.3342,0.0056,0.6602
DIAMONDS TWO DIAMONDS NINE,0.39,0.0482,0.5618
DIAMONDS TWO DIAMONDS EIGHT,0.3928,0.0686,0.5386
SPADES FIVE CLUBS TWO,0.3786,0.2528,0.3686
CLUBS TWO SPADES TWO,0.3322,0.1744,0.4934
CLUBS TWO SPADES THREE,0.2908,0.4898,0.2194
SPADES EIGHT CLUBS TWO,0.4014,0.0764,0.5222
SPADES NINE CLUBS TWO,0.3994,0.0526,0.548
SPADES SIX CLUBS TWO,0.3936,0.1622,0.4442
SPADES SEVEN CLUBS TWO,0.4018,0.102,0.4962
CLUBS SIX CLUBS TWO,0.367,0.1548,0.4782
CLUBS SEVEN CLUBS TWO,0.3758,0.102,0.5222
CLUBS FOUR CLUBS TWO,0.2608,0.4794,0.2598
CLUBS FIVE CLUBS TWO,0.3626,0.2392,0.3982
CLUBS TEN CLUBS JACK,0.3328,0.014,0.6532
DIAMONDS FOUR DIAMONDS SIX,0.2434,0.2614,0.4952
CLUBS TEN CLUBS QUEEN,0.342,0.0104,0.6476
DIAMONDS FOUR DIAMONDS SEVEN,0.2488,0.194,0.5572
CLUBS TEN CLUBS KING,0.34,0.0064,0.6536
CLUBS TEN CLUBS ACE,0.328,0.0038,0.6682
CLUBS EIGHT CLUBS TWO,0.3734,0.0674,0.5592
DIAMONDS FOUR DIAMONDS FIVE,0.21,0.3556,0.4344
CLUBS NINE CLUBS TWO,0.3888,0.047,0.5642
DIAMONDS FOUR DIAMONDS NINE,0.261,0.104,0.635
DIAMONDS FOUR DIAMONDS EIGHT,0.237,0.142,0.621
CLUBS THREE CLUBS TWO,0.275,0.4532,0.2718
DIAMONDS NINE DIAMONDS FIVE,0.3306,0.0432,0.6262
DIAMONDS TWO CLUBS JACK,0.4258,0.0184,0.5558
DIAMONDS FIVE DIAMONDS EIGHT,0.3218,0.0654,0.6128
CLUBS TEN DIAMONDS TWO,0.4212,0.0276,0.5512
DIAMONDS FIVE DIAMONDS SEVEN,0.3106,0.1018,0.5876
DIAMONDS SIX DIAMONDS FIVE,0.3104,0.136,0.5536
DIAMONDS TWO CLUBS ACE,0.4036,0.0048,0.5916
DIAMONDS TWO CLUBS KING,0.4076,0.009,0.5834
DIAMONDS TWO CLUBS QUEEN,0.4158,0.0146,0.5696
DIAMONDS SIX DIAMONDS EIGHT,0.3158,0.0668,0.6174
DIAMONDS NINE DIAMONDS SIX,0.3382,0.0426,0.6192
HEARTS ACE SPADES THREE,0.2538,0.0176,0.7286
SPADES THREE HEARTS KING,0.275,0.0294,0.6956
DIAMONDS SIX DIAMONDS SEVEN,0.3186,0.091,0.5904
SPADES THREE HEARTS QUEEN,0.2866,0.0404,0.673
SPADES THREE HEARTS JACK,0.2722,0.058,0.6698
SPADES THREE HEARTS TEN,0.2788,0.0802,0.641
DIAMONDS EIGHT DIAMONDS SEVEN,0.3148,0.0594,0.6258
DIAMONDS NINE DIAMONDS SEVEN,0.3286,0.0404,0.631
DIAMONDS NINE DIAMONDS EIGHT,0.3124,0.0406,0.647
DIAMONDS KING HEARTS TEN,0.3412,0.008,0.6508
HEARTS THREE HEARTS TEN,0.256,0.0772,0.6668
SPADES JACK CLUBS SIX,0.36,0.0216,0.6184
DIAMONDS KING HEARTS JACK,0.345,0.0066,0.6484
HEARTS THREE HEARTS JACK,0.269,0.052,0.679
SPADES TEN CLUBS SIX,0.3622,0.0314,0.6064
SPADES JACK SPADES FIVE,0.3452,0.0208,0.634
SPADES TEN SPADES FIVE,0.3446,0.0306,0.6248
DIAMONDS KING HEARTS ACE,0.355,0.0072,0.6378
HEARTS THREE HEARTS ACE,0.2436,0.0174,0.739
SPADES ACE CLUBS SIX,0.345,0.0056,0.6494
DIAMONDS KING HEARTS QUEEN,0.3492,0.0102,0.6406
HEARTS THREE HEARTS QUEEN,0.2444,0.0392,0.7164
SPADES KING CLUBS SIX,0.3678,0.0086,0.6236
DIAMONDS KING HEARTS KING,0.1564,0.0204,0.8232
HEARTS THREE HEARTS KING,0.259,0.0318,0.7092
SPADES QUEEN CLUBS SIX,0.3584,0.0114,0.6302
SPADES NINE HEARTS TEN,0.3506,0.0194,0.63
SPADES NINE HEARTS JACK,0.3458,0.0158,0.6384
SPADES QUEEN SPADES FIVE,0.35,0.0154,0.6346
SPADES KING SPADES FIVE,0.3354,0.0106,0.654
SPADES ACE SPADES FIVE,0.3164,0.0048,0.6788
SPADES NINE HEARTS QUEEN,0.3532,0.0114,0.6354
SPADES NINE HEARTS KING,0.3454,0.0062,0.6484
SPADES NINE HEARTS ACE,0.3538,0.005,0.6412
CLUBS TEN SPADES JACK,0.3438,0.016,0.6402
CLUBS TEN SPADES TEN,0.1548,0.0694,0.7758
SPADES ACE CLUBS TEN,0.3546,0.005,0.6404
SPADES KING CLUBS TEN,0.3386,0.0078,0.6536
CLUBS TEN SPADES QUEEN,0.35,0.014,0.636
SPADES FIVE HEARTS QUEEN,0.3524,0.0146,0.633
SPADES FIVE HEARTS KING,0.351,0.0098,0.6392
HEARTS ACE SPADES FIVE,0.3424,0.0056,0.652
CLUBS EIGHT SPADES TEN,0.3418,0.0268,0.6314
SPADES JACK HEARTS THREE,0.2682,0.056,0.6758
SPADES JACK DIAMONDS KING,0.348,0.0082,0.6438
SPADES TEN DIAMONDS KING,0.3446,0.0086,0.6468
SPADES TEN HEARTS THREE,0.274,0.0794,0.6466
SPADES JACK CLUBS EIGHT,0.3466,0.0176,0.6358
CLUBS SIX HEARTS ACE,0.3548,0.007,0.6382
SPADES ACE CLUBS EIGHT,0.348,0.0038,0.6482
HEARTS FIVE CLUBS JACK,0.372,0.0168,0.6112
HEARTS FIVE CLUBS TEN,0.3644,0.0314,0.6042
CLUBS SIX HEARTS QUEEN,0.3584,0.0104,0.6312
SPADES QUEEN CLUBS EIGHT,0.3572,0.013,0.6298
CLUBS TEN SPADES THREE,0.2802,0.075,0.6448
CLUBS SIX HEARTS KING,0.3652,0.0072,0.6276
SPADES KING CLUBS EIGHT,0.3548,0.0084,0.6368
SPADES THREE CLUBS JACK,0.274,0.058,0.668
DIAMONDS TWO HEARTS JACK,0.423,0.0228,0.5542
SPADES THREE CLUBS QUEEN,0.2792,0.044,0.6768
DIAMONDS TWO HEARTS TEN,0.4186,0.0304,0.551
SPADES THREE CLUBS KING,0.2636,0.0326,0.7038
HEARTS FIVE CLUBS ACE,0.3448,0.0044,0.6508
SPADES FIVE HEARTS TEN,0.3592,0.0348,0.606
SPADES THREE CLUBS ACE,0.2522,0.0188,0.729
HEARTS FIVE CLUBS KING,0.3598,0.01,0.6302
SPADES FIVE HEARTS JACK,0.347,0.0232,0.6298
HEARTS FIVE CLUBS QUEEN,0.347,0.015,0.638
HEARTS THREE CLUBS KING,0.2728,0.028,0.6992
DIAMONDS KING CLUBS KING,0.165,0.018,0.817
HEARTS THREE CLUBS QUEEN,0.2742,0.0358,0.69
DIAMONDS KING CLUBS QUEEN,0.3644,0.008,0.6276
HEARTS FIVE HEARTS JACK,0.3338,0.019,0.6472
HEARTS FIVE HEARTS TEN,0.3328,0.0308,0.6364
HEARTS THREE CLUBS ACE,0.255,0.0162,0.7288
DIAMONDS KING CLUBS ACE,0.3578,0.0044,0.6378
SPADES ACE CLUBS QUEEN,0.347,0.004,0.649
SPADES KING CLUBS QUEEN,0.3558,0.0102,0.634
HEARTS THREE CLUBS JACK,0.289,0.0522,0.6588
DIAMONDS KING CLUBS JACK,0.3536,0.007,0.6394
SPADES QUEEN CLUBS QUEEN,0.1608,0.0372,0.802
CLUBS TEN HEARTS THREE,0.2792,0.0756,0.6452
CLUBS TEN DIAMONDS KING,0.362,0.0092,0.6288
SPADES JACK CLUBS QUEEN,0.3468,0.0108,0.6424
CLUBS SIX CLUBS QUEEN,0.3324,0.0134,0.6542
SPADES TEN CLUBS QUEEN,0.35,0.0116,0.6384
CLUBS SIX CLUBS KING,0.3398,0.0078,0.6524
CLUBS SIX CLUBS ACE,0.3346,0.0056,0.6598
HEARTS FIVE HEARTS KING,0.3366,0.0102,0.6532
HEARTS FIVE HEARTS QUEEN,0.3378,0.0152,0.647
CLUBS TEN CLUBS SIX,0.3394,0.0306,0.63
HEARTS FIVE HEARTS ACE,0.329,0.0046,0.6664
CLUBS SIX CLUBS JACK,0.3396,0.0206,0.6398
SPADES SEVEN HEARTS JACK,0.3486,0.0246,0.6268
SPADES SEVEN HEARTS TEN,0.3434,0.0336,0.623
DIAMONDS TWO CLUBS TWO,0.3198,0.1758,0.5044
DIAMONDS TWO CLUBS THREE,0.2974,0.497,0.2056
DIAMONDS TWO HEARTS SIX,0.408,0.1622,0.4298
DIAMONDS TWO HEARTS QUEEN,0.4132,0.0132,0.5736
HEARTS SEVEN DIAMONDS TWO,0.4136,0.1088,0.4776
DIAMONDS TWO HEARTS KING,0.418,0.0086,0.5734
DIAMONDS TWO HEARTS EIGHT,0.4208,0.0644,0.5148
DIAMONDS TWO HEARTS ACE,0.401,0.007,0.592
DIAMONDS TWO HEARTS NINE,0.4238,0.0478,0.5284
DIAMONDS TWO DIAMONDS QUEEN,0.3914,0.0164,0.5922
DIAMONDS TWO HEARTS TWO,0.3162,0.174,0.5098
DIAMONDS TWO DIAMONDS KING,0.3898,0.011,0.5992
DIAMONDS TWO HEARTS THREE,0.2842,0.4958,0.22
DIAMONDS TWO DIAMONDS ACE,0.3646,0.0048,0.6306
HEARTS FOUR DIAMONDS TWO,0.277,0.5204,0.2026
HEARTS FIVE DIAMONDS TWO,0.3958,0.25,0.3542
SPADES SEVEN HEARTS ACE,0.3642,0.0068,0.629
DIAMONDS TWO DIAMONDS TEN,0.3992,0.0308,0.57
SPADES SEVEN HEARTS KING,0.3568,0.0102,0.633
DIAMONDS TWO DIAMONDS JACK,0.3916,0.024,0.5844
SPADES SEVEN HEARTS QUEEN,0.3562,0.0118,0.632
DIAMONDS TWO SPADES NINE,0.417,0.0514,0.5316
DIAMONDS TWO SPADES EIGHT,0.4108,0.072,0.5172
DIAMONDS TWO SPADES SEVEN,0.4024,0.1172,0.4804
DIAMONDS TWO SPADES SIX,0.4036,0.1562,0.4402
DIAMONDS TWO SPADES FIVE,0.382,0.2606,0.3574
DIAMONDS TWO SPADES THREE,0.2972,0.4978,0.205
DIAMONDS TWO SPADES TWO,0.3164,0.1572,0.5264
CLUBS NINE DIAMONDS TWO,0.4272,0.0494,0.5234
DIAMONDS TWO CLUBS EIGHT,0.417,0.0742,0.5088
CLUBS SEVEN DIAMONDS TWO,0.4148,0.1024,0.4828
DIAMONDS TWO CLUBS SIX,0.3986,0.164,0.4374
DIAMONDS TWO CLUBS FIVE,0.3822,0.2508,0.367
DIAMONDS TWO CLUBS FOUR,0.285,0.5056,0.2094
CLUBS FOUR SPADES FIVE,0.212,0.3684,0.4196
CLUBS FOUR SPADES THREE,0.019,0.9684,0.0126
CLUBS FOUR SPADES TWO,0.2778,0.508,0.2142
SPADES NINE CLUBS FOUR,0.2652,0.1272,0.6076
SPADES EIGHT CLUBS FOUR,0.2478,0.1544,0.5978
SPADES SEVEN CLUBS FOUR,0.249,0.1968,0.5542
CLUBS FOUR SPADES SIX,0.2456,0.2764,0.478
SPADES ACE DIAMONDS SIX,0.3456,0.006,0.6484
SPADES QUEEN DIAMONDS SIX,0.355,0.014,0.631
SPADES KING DIAMONDS SIX,0.3464,0.009,0.6446
SPADES TEN DIAMONDS SIX,0.347,0.0286,0.6244
SPADES JACK DIAMONDS SIX,0.3596,0.021,0.6194
SPADES QUEEN SPADES TWO,0.379,0.0146,0.6064
SPADES KING SPADES TWO,0.3908,0.0102,0.599
SPADES ACE SPADES TWO,0.3772,0.0048,0.618
DIAMONDS JACK CLUBS JACK,0.1556,0.0504,0.794
CLUBS TEN DIAMONDS JACK,0.3372,0.017,0.6458
DIAMONDS JACK CLUBS KING,0.36,0.0058,0.6342
DIAMONDS JACK CLUBS QUEEN,0.3384,0.0106,0.651
DIAMONDS JACK CLUBS ACE,0.3676,0.005,0.6274
SPADES TEN SPADES NINE,0.336,0.0248,0.6392
SPADES JACK SPADES NINE,0.3456,0.0198,0.6346
DIAMONDS FOUR HEARTS JACK,0.2658,0.0688,0.6654
HEARTS ACE HEARTS KING,0.3322,0.0044,0.6634
SPADES TEN SPADES TWO,0.3924,0.0272,0.5804
DIAMONDS FOUR HEARTS TEN,0.2684,0.0854,0.6462
SPADES JACK SPADES TWO,0.397,0.0228,0.5802
DIAMONDS FOUR HEARTS QUEEN,0.2682,0.044,0.6878
DIAMONDS FOUR HEARTS KING,0.2642,0.04,0.6958
SPADES ACE SPADES NINE,0.336,0.0066,0.6574
DIAMONDS FOUR HEARTS ACE,0.2506,0.023,0.7264
SPADES KING SPADES NINE,0.337,0.0078,0.6552
SPADES QUEEN SPADES NINE,0.348,0.0126,0.6394
CLUBS FIVE CLUBS SIX,0.2912,0.1458,0.563
DIAMONDS FOUR CLUBS ACE,0.2562,0.0214,0.7224
CLUBS SEVEN CLUBS FIVE,0.313,0.0972,0.5898
DIAMONDS FOUR CLUBS QUEEN,0.2628,0.0484,0.6888
DIAMONDS FOUR CLUBS KING,0.268,0.037,0.695
CLUBS TEN DIAMONDS FOUR,0.2682,0.0778,0.654
DIAMONDS FOUR CLUBS JACK,0.258,0.0618,0.6802
SPADES SEVEN CLUBS ACE,0.3462,0.0064,0.6474
SPADES SEVEN CLUBS QUEEN,0.3472,0.0154,0.6374
SPADES SEVEN CLUBS KING,0.3552,0.007,0.6378
CLUBS FIVE SPADES SEVEN,0.3272,0.1024,0.5704
CLUBS TEN SPADES SEVEN,0.3522,0.0314,0.6164
CLUBS FIVE SPADES SIX,0.3148,0.1548,0.5304
SPADES SEVEN CLUBS JACK,0.3572,0.0172,0.6256
CLUBS FIVE SPADES NINE,0.348,0.0472,0.6048
CLUBS FIVE SPADES EIGHT,0.3468,0.0648,0.5884
CLUBS FIVE SPADES THREE,0.2202,0.3914,0.3884
CLUBS FIVE SPADES TWO,0.3952,0.2376,0.3672
CLUBS FIVE SPADES FIVE,0.1222,0.1528,0.725
CLUBS NINE CLUBS FIVE,0.3348,0.0416,0.6236
CLUBS EIGHT CLUBS FIVE,0.3266,0.0636,0.6098
CLUBS ACE CLUBS QUEEN,0.3328,0.0062,0.661
CLUBS KING CLUBS QUEEN,0.339,0.0098,0.6512
DIAMONDS FOUR DIAMONDS TEN,0.2622,0.0878,0.65
CLUBS TEN DIAMONDS NINE,0.3416,0.023,0.6354
DIAMONDS FOUR DIAMONDS JACK,0.2514,0.0664,0.6822
DIAMONDS NINE CLUBS JACK,0.3384,0.0174,0.6442
SPADES NINE CLUBS JACK,0.3486,0.015,0.6364
CLUBS TEN SPADES NINE,0.361,0.027,0.612
DIAMONDS FOUR DIAMONDS ACE,0.237,0.0214,0.7416
HEARTS FOUR DIAMONDS FOUR,0.096,0.136,0.768
DIAMONDS JACK HEARTS TEN,0.3518,0.0174,0.6308
SPADES NINE CLUBS KING,0.3616,0.008,0.6304
DIAMONDS TWO SPADES TEN,0.4152,0.031,0.5538
DIAMONDS NINE CLUBS ACE,0.3396,0.0036,0.6568
HEARTS FIVE DIAMONDS FOUR,0.22,0.3548,0.4252
DIAMONDS JACK HEARTS JACK,0.1652,0.0498,0.785
SPADES NINE CLUBS QUEEN,0.3572,0.01,0.6328
DIAMONDS TWO SPADES JACK,0.4148,0.0224,0.5628
DIAMONDS FOUR DIAMONDS QUEEN,0.2604,0.0454,0.6942
DIAMONDS FOUR HEARTS TWO,0.2704,0.5074,0.2222
DIAMONDS NINE CLUBS QUEEN,0.3488,0.0126,0.6386
DIAMONDS FOUR DIAMONDS KING,0.2514,0.0314,0.7172
DIAMONDS FOUR HEARTS THREE,0.01,0.976,0.014
SPADES NINE CLUBS ACE,0.3618,0.0052,0.633
