opposingHand,winningChance,drawChance,lostChance
DIAMONDS THREE SPADES QUEEN
HEARTS FIVE SPADES TEN,0.6024,0.0134,0.3842
HEARTS FIVE SPADES JACK,0.5982,0.0128,0.389
SPADES FIVE CLUBS JACK,0.593,0.0168,0.3902
CLUBS TEN SPADES FIVE,0.5924,0.0116,0.396
CLUBS EIGHT CLUBS JACK,0.529,0.0078,0.4632
CLUBS TEN CLUBS EIGHT,0.5136,0.0108,0.4756
CLUBS EIGHT CLUBS KING,0.3494,0.0068,0.6438
SPADES FIVE CLUBS ACE,0.3636,0.005,0.6314
CLUBS EIGHT CLUBS QUEEN,0.2174,0.2184,0.5642
SPADES FIVE CLUBS KING,0.3564,0.0064,0.6372
SPADES FIVE CLUBS QUEEN,0.2178,0.4592,0.323
CLUBS EIGHT CLUBS ACE,0.3436,0.004,0.6524
DIAMONDS TWO DIAMONDS FIVE,0.5676,0.0142,0.4182
HEARTS FIVE SPADES KING,0.3498,0.0094,0.6408
DIAMONDS TWO DIAMONDS FOUR,0.5698,0.017,0.4132
DIAMONDS TWO DIAMONDS SEVEN,0.6034,0.014,0.3826
DIAMONDS TWO DIAMONDS SIX,0.5948,0.0124,0.3928
SPADES ACE HEARTS FIVE,0.3464,0.0046,0.649
DIAMONDS TWO DIAMONDS NINE,0.5892,0.0124,0.3984
DIAMONDS TWO DIAMONDS EIGHT,0.6008,0.0144,0.3848
SPADES FOUR CLUBS TWO,0.6192,0.013,0.3678
SPADES FIVE CLUBS TWO,0.6154,0.0174,0.3672
CLUBS TWO SPADES TWO,0.4328,0.0346,0.5326
CLUBS TWO SPADES THREE,0.7012,0.0474,0.2514
SPADES EIGHT CLUBS TWO,0.6342,0.0136,0.3522
SPADES NINE CLUBS TWO,0.625,0.0122,0.3628
SPADES SIX CLUBS TWO,0.6312,0.0136,0.3552
SPADES SEVEN CLUBS TWO,0.6394,0.0154,0.3452
CLUBS SIX CLUBS TWO,0.5782,0.0126,0.4092
CLUBS SEVEN CLUBS TWO,0.5966,0.0148,0.3886
CLUBS FOUR CLUBS TWO,0.5718,0.0142,0.414
CLUBS FIVE CLUBS TWO,0.5692,0.0162,0.4146
CLUBS TEN CLUBS JACK,0.5112,0.01,0.4788
DIAMONDS FOUR DIAMONDS SIX,0.5452,0.014,0.4408
CLUBS TEN CLUBS QUEEN,0.2196,0.1168,0.6636
DIAMONDS FOUR DIAMONDS SEVEN,0.5532,0.0132,0.4336
CLUBS TEN CLUBS KING,0.3078,0.008,0.6842
CLUBS TEN CLUBS ACE,0.3272,0.0072,0.6656
CLUBS EIGHT CLUBS TWO,0.5908,0.01,0.3992
DIAMONDS FOUR DIAMONDS FIVE,0.529,0.0126,0.4584
CLUBS NINE CLUBS TWO,0.5892,0.0118,0.399
DIAMONDS FOUR DIAMONDS NINE,0.5718,0.0138,0.4144
DIAMONDS FOUR DIAMONDS EIGHT,0.5504,0.0126,0.437
CLUBS THREE CLUBS TWO,0.664,0.0438,0.2922
DIAMONDS NINE DIAMONDS FIVE,0.5474,0.015,0.4376
DIAMONDS TWO CLUBS JACK,0.6396,0.0106,0.3498
DIAMONDS FIVE DIAMONDS EIGHT,0.5442,0.013,0.4428
CLUBS TEN DIAMONDS TWO,0.6208,0.0122,0.367
DIAMONDS FIVE DIAMONDS SEVEN,0.5342,0.0118,0.454
DIAMONDS SIX DIAMONDS FIVE,0.528,0.0136,0.4584
DIAMONDS TWO CLUBS ACE,0.3824,0.0054,0.6122
DIAMONDS TWO CLUBS KING,0.3886,0.0078,0.6036
DIAMONDS TWO CLUBS QUEEN,0.252,0.5346,0.2134
DIAMONDS SIX DIAMONDS EIGHT,0.5296,0.0124,0.458
DIAMONDS NINE DIAMONDS SIX,0.546,0.0134,0.4406
HEARTS ACE SPADES THREE,0.2338,0.0214,0.7448
SPADES THREE HEARTS KING,0.2442,0.0334,0.7224
DIAMONDS SIX DIAMONDS SEVEN,0.5218,0.0122,0.466
SPADES THREE HEARTS QUEEN,0.0176,0.97,0.0124
SPADES THREE HEARTS JACK,0.7156,0.0452,0.2392
SPADES THREE HEARTS TEN,0.7198,0.0384,0.2418
DIAMONDS EIGHT DIAMONDS SEVEN,0.5178,0.0126,0.4696
DIAMONDS NINE DIAMONDS SEVEN,0.5208,0.0128,0.4664
DIAMONDS NINE DIAMONDS EIGHT,0.5146,0.009,0.4764
DIAMONDS KING HEARTS TEN,0.342,0.0066,0.6514
HEARTS THREE HEARTS TEN,0.6662,0.0438,0.29
SPADES JACK CLUBS SIX,0.5978,0.0096,0.3926
DIAMONDS KING HEARTS JACK,0.3226,0.0068,0.6706
HEARTS THREE HEARTS JACK,0.6776,0.0462,0.2762
SPADES TEN CLUBS SIX,0.5834,0.0144,0.4022
SPADES JACK SPADES FIVE,0.581,0.0132,0.4058
SPADES TEN SPADES FIVE,0.5616,0.0152,0.4232
DIAMONDS KING HEARTS ACE,0.3152,0.005,0.6798
HEARTS THREE HEARTS ACE,0.224,0.0184,0.7576
SPADES ACE CLUBS SIX,0.345,0.0056,0.6494
DIAMONDS KING HEARTS QUEEN,0.222,0.0256,0.7524
HEARTS THREE HEARTS QUEEN,0.0232,0.907,0.0698
SPADES KING CLUBS SIX,0.3584,0.0084,0.6332
DIAMONDS KING HEARTS KING,0.1244,0.003,0.8726
HEARTS THREE HEARTS KING,0.2202,0.0322,0.7476
SPADES NINE HEARTS TEN,0.5452,0.0112,0.4436
SPADES NINE HEARTS JACK,0.5584,0.0106,0.431
SPADES KING SPADES FIVE,0.3414,0.0096,0.649
SPADES ACE SPADES FIVE,0.326,0.006,0.668
SPADES NINE HEARTS QUEEN,0.237,0.171,0.592
SPADES NINE HEARTS KING,0.3542,0.0046,0.6412
SPADES NINE HEARTS ACE,0.3768,0.0052,0.618
CLUBS TEN SPADES JACK,0.5478,0.012,0.4402
CLUBS TEN SPADES TEN,0.276,0.0156,0.7084
SPADES ACE CLUBS TEN,0.3432,0.0048,0.652
SPADES KING CLUBS TEN,0.3286,0.0072,0.6642
SPADES FIVE HEARTS QUEEN,0.2164,0.4564,0.3272
SPADES FIVE HEARTS KING,0.3452,0.008,0.6468
SPADES FIVE HEARTS ACE,0.3584,0.005,0.6366
SPADES JACK HEARTS THREE,0.7294,0.044,0.2266
SPADES JACK DIAMONDS KING,0.332,0.0086,0.6594
SPADES TEN CLUBS EIGHT,0.5576,0.013,0.4294
SPADES JACK CLUBS EIGHT,0.5588,0.0128,0.4284
SPADES TEN HEARTS THREE,0.7154,0.046,0.2386
SPADES TEN DIAMONDS KING,0.331,0.0098,0.6592
CLUBS SIX HEARTS ACE,0.3664,0.0038,0.6298
SPADES ACE CLUBS EIGHT,0.3598,0.0046,0.6356
HEARTS FIVE CLUBS JACK,0.601,0.0128,0.3862
HEARTS FIVE CLUBS TEN,0.604,0.0106,0.3854
CLUBS SIX HEARTS QUEEN,0.2256,0.3772,0.3972
CLUBS TEN SPADES THREE,0.7266,0.0436,0.2298
CLUBS SIX HEARTS KING,0.362,0.0082,0.6298
SPADES KING CLUBS EIGHT,0.357,0.0094,0.6336
SPADES THREE CLUBS JACK,0.7324,0.045,0.2226
DIAMONDS TWO HEARTS JACK,0.6404,0.0124,0.3472
SPADES THREE CLUBS QUEEN,0.0142,0.9748,0.011
DIAMONDS TWO HEARTS TEN,0.6316,0.012,0.3564
SPADES THREE CLUBS KING,0.2298,0.0308,0.7394
HEARTS FIVE CLUBS ACE,0.3404,0.0078,0.6518
SPADES FIVE HEARTS TEN,0.601,0.0114,0.3876
SPADES THREE CLUBS ACE,0.2254,0.0244,0.7502
HEARTS FIVE CLUBS KING,0.3582,0.008,0.6338
SPADES FIVE HEARTS JACK,0.5916,0.0118,0.3966
HEARTS FIVE CLUBS QUEEN,0.2204,0.4646,0.315
HEARTS THREE CLUBS KING,0.2436,0.0344,0.722
DIAMONDS KING CLUBS KING,0.1298,0.0046,0.8656
HEARTS THREE CLUBS QUEEN,0.0224,0.9576,0.02
DIAMONDS KING CLUBS QUEEN,0.2262,0.026,0.7478
HEARTS FIVE HEARTS JACK,0.557,0.013,0.43
HEARTS FIVE HEARTS TEN,0.5602,0.0108,0.429
HEARTS THREE CLUBS ACE,0.2448,0.0232,0.732
DIAMONDS KING CLUBS ACE,0.3214,0.004,0.6746
SPADES ACE CLUBS QUEEN,0.22,0.017,0.763
SPADES KING CLUBS QUEEN,0.219,0.0298,0.7512
HEARTS THREE CLUBS JACK,0.706,0.0472,0.2468
DIAMONDS KING CLUBS JACK,0.34,0.0054,0.6546
CLUBS TEN HEARTS THREE,0.7042,0.0446,0.2512
CLUBS TEN DIAMONDS KING,0.3354,0.0062,0.6584
SPADES JACK CLUBS QUEEN,0.2302,0.0968,0.673
CLUBS SIX CLUBS QUEEN,0.2208,0.348,0.4312
SPADES TEN CLUBS QUEEN,0.231,0.128,0.641
CLUBS SIX CLUBS KING,0.3316,0.0072,0.6612
CLUBS SIX CLUBS ACE,0.329,0.0056,0.6654
HEARTS FIVE HEARTS KING,0.3372,0.0088,0.654
HEARTS FIVE HEARTS QUEEN,0.2036,0.4436,0.3528
CLUBS TEN CLUBS SIX,0.5376,0.0112,0.4512
HEARTS FIVE HEARTS ACE,0.32,0.0056,0.6744
CLUBS SIX CLUBS JACK,0.5482,0.0098,0.442
SPADES SEVEN HEARTS JACK,0.5944,0.0124,0.3932
SPADES SEVEN HEARTS TEN,0.5664,0.0122,0.4214
DIAMONDS TWO CLUBS TWO,0.4314,0.0374,0.5312
DIAMONDS TWO CLUBS THREE,0.7002,0.0462,0.2536
DIAMONDS TWO HEARTS SIX,0.6188,0.0128,0.3684
DIAMONDS TWO HEARTS QUEEN,0.2594,0.5198,0.2208
