opposingHand,winningChance,drawChance,lostChance
DIAMONDS TWO DIAMONDS TEN
DIAMONDS THREE SPADES FIVE,0.5666,0.0344,0.399
CLUBS TWO HEARTS QUEEN,0.277,0.0416,0.6814
SPADES QUEEN HEARTS QUEEN,0.1936,0.0122,0.7942
SPADES QUEEN CLUBS SIX,0.4006,0.0096,0.5898
SPADES KING CLUBS FIVE,0.3916,0.0102,0.5982
HEARTS FIVE SPADES THREE,0.5848,0.0314,0.3838
HEARTS ACE DIAMONDS SIX,0.3938,0.0036,0.6026
CLUBS FOUR DIAMONDS ACE,0.3682,0.0054,0.6264
SPADES KING DIAMONDS FIVE,0.3946,0.0092,0.5962
SPADES JACK SPADES FOUR,0.3734,0.0198,0.6068
CLUBS SEVEN SPADES FOUR,0.5794,0.0274,0.3932
HEARTS FOUR CLUBS SIX,0.5836,0.0264,0.39
SPADES THREE DIAMONDS SIX,0.5856,0.0308,0.3836
DIAMONDS FOUR HEARTS TEN,0.252,0.4838,0.2642
SPADES TWO HEARTS QUEEN,0.2892,0.0388,0.672
HEARTS SEVEN CLUBS ACE,0.3996,0.004,0.5964
SPADES JACK HEARTS TEN,0.2652,0.0528,0.682
HEARTS EIGHT SPADES THREE,0.6102,0.0308,0.359
CLUBS TEN HEARTS TWO,0.0764,0.9028,0.0208
DIAMONDS QUEEN DIAMONDS EIGHT,0.3312,0.011,0.6578
HEARTS SIX DIAMONDS ACE,0.3864,0.0042,0.6094
SPADES FOUR SPADES THREE,0.5506,0.027,0.4224
HEARTS FOUR SPADES TWO,0.6742,0.0708,0.255
HEARTS JACK HEARTS TEN,0.2664,0.0502,0.6834
DIAMONDS KING DIAMONDS SIX,0.3418,0.0084,0.6498
SPADES NINE HEARTS KING,0.3784,0.0074,0.6142
CLUBS JACK SPADES FOUR,0.3996,0.0156,0.5848
CLUBS FIVE CLUBS THREE,0.5556,0.027,0.4174
CLUBS JACK DIAMONDS EIGHT,0.369,0.0182,0.6128
CLUBS SIX CLUBS THREE,0.5388,0.0326,0.4286
SPADES ACE DIAMONDS SIX,0.3926,0.0044,0.603
DIAMONDS KING HEARTS TEN,0.2508,0.0342,0.715
SPADES SEVEN DIAMONDS QUEEN,0.3768,0.0116,0.6116
SPADES JACK CLUBS TWO,0.271,0.0498,0.6792
HEARTS FOUR SPADES THREE,0.5914,0.0306,0.378
SPADES NINE HEARTS JACK,0.3772,0.0128,0.61
HEARTS EIGHT SPADES SIX,0.5794,0.0248,0.3958
HEARTS THREE HEARTS TWO,0.639,0.069,0.292
DIAMONDS FOUR CLUBS TWO,0.6738,0.0736,0.2526
CLUBS JACK CLUBS FOUR,0.3728,0.0188,0.6084
HEARTS FIVE HEARTS TWO,0.6322,0.066,0.3018
HEARTS FIVE SPADES TEN,0.2658,0.4426,0.2916
CLUBS SIX DIAMONDS ACE,0.3892,0.0036,0.6072
CLUBS FIVE DIAMONDS KING,0.3932,0.007,0.5998
CLUBS TEN DIAMONDS KING,0.2542,0.0374,0.7084
HEARTS EIGHT HEARTS FOUR,0.547,0.0268,0.4262
SPADES EIGHT DIAMONDS JACK,0.367,0.0148,0.6182
CLUBS FIVE DIAMONDS ACE,0.3814,0.0058,0.6128
DIAMONDS THREE CLUBS SIX,0.579,0.0346,0.3864
HEARTS SEVEN DIAMONDS KING,0.3844,0.0072,0.6084
SPADES SIX DIAMONDS KING,0.3988,0.0066,0.5946
CLUBS FIVE SPADES THREE,0.5982,0.0262,0.3756
CLUBS SIX HEARTS TEN,0.2654,0.3562,0.3784
HEARTS THREE CLUBS ACE,0.4,0.0048,0.5952
CLUBS TWO DIAMONDS FIVE,0.6714,0.0752,0.2534
HEARTS EIGHT SPADES SEVEN,0.5602,0.0272,0.4126
SPADES SIX SPADES TWO,0.6566,0.0622,0.2812
SPADES JACK DIAMONDS EIGHT,0.3722,0.019,0.6088
SPADES SEVEN SPADES TWO,0.6654,0.059,0.2756
SPADES QUEEN HEARTS JACK,0.3394,0.0086,0.652
HEARTS EIGHT CLUBS THREE,0.6036,0.028,0.3684
CLUBS JACK HEARTS FOUR,0.391,0.0182,0.5908
CLUBS TEN HEARTS THREE,0.2614,0.4906,0.248
HEARTS KING CLUBS KING,0.1742,0.0102,0.8156
DIAMONDS THREE HEARTS TWO,0.6732,0.0782,0.2486
DIAMONDS THREE DIAMONDS EIGHT,0.6084,0.0238,0.3678
HEARTS FIVE SPADES EIGHT,0.5938,0.0278,0.3784
CLUBS NINE DIAMONDS SEVEN,0.5536,0.0244,0.422
CLUBS SIX SPADES FOUR,0.5808,0.0316,0.3876
CLUBS JACK SPADES JACK,0.1896,0.0226,0.7878
SPADES TEN HEARTS NINE,0.276,0.163,0.561
HEARTS ACE HEARTS JACK,0.3276,0.0028,0.6696
CLUBS EIGHT SPADES SIX,0.5648,0.0254,0.4098
CLUBS FOUR SPADES TWO,0.6776,0.0744,0.248
HEARTS SEVEN HEARTS FIVE,0.5372,0.027,0.4358
CLUBS EIGHT DIAMONDS ACE,0.369,0.0046,0.6264
SPADES TEN CLUBS THREE,0.2566,0.4968,0.2466
DIAMONDS JACK HEARTS JACK,0.1654,0.0244,0.8102
SPADES NINE DIAMONDS SEVEN,0.563,0.0268,0.4102
