opposingHand,winningChance,drawChance,lostChance
DIAMONDS TWO HEARTS ACE
HEARTS FIVE SPADES TEN,0.6146,0.0052,0.3802
HEARTS FIVE SPADES JACK,0.6052,0.0052,0.3896
CLUBS JACK SPADES FIVE,0.5978,0.0044,0.3978
CLUBS TEN SPADES FIVE,0.6044,0.0042,0.3914
CLUBS JACK CLUBS EIGHT,0.5338,0.0032,0.463
CLUBS TEN CLUBS EIGHT,0.5352,0.0054,0.4594
CLUBS EIGHT CLUBS KING,0.5542,0.0052,0.4406
SPADES FIVE CLUBS ACE,0.218,0.4594,0.3226
CLUBS EIGHT CLUBS QUEEN,0.54,0.0046,0.4554
SPADES FIVE CLUBS KING,0.6144,0.0032,0.3824
SPADES FIVE CLUBS QUEEN,0.604,0.0048,0.3912
CLUBS EIGHT CLUBS ACE,0.2228,0.2086,0.5686
HEARTS FIVE SPADES KING,0.6116,0.0066,0.3818
HEARTS FIVE SPADES QUEEN,0.6144,0.0054,0.3802
SPADES ACE HEARTS FIVE,0.2168,0.466,0.3172
DIAMONDS THREE DIAMONDS FOUR,0.579,0.0068,0.4142
CLUBS TWO SPADES FOUR,0.7346,0.013,0.2524
DIAMONDS THREE DIAMONDS FIVE,0.5484,0.005,0.4466
CLUBS TWO SPADES FIVE,0.7322,0.0132,0.2546
CLUBS TWO SPADES TWO,0.334,0.0152,0.6508
CLUBS TWO SPADES THREE,0.7502,0.016,0.2338
DIAMONDS THREE DIAMONDS EIGHT,0.5872,0.006,0.4068
SPADES EIGHT CLUBS TWO,0.7462,0.0174,0.2364
DIAMONDS THREE DIAMONDS NINE,0.5792,0.0068,0.414
SPADES NINE CLUBS TWO,0.7476,0.0166,0.2358
DIAMONDS THREE DIAMONDS SIX,0.5856,0.005,0.4094
SPADES SIX CLUBS TWO,0.7538,0.0144,0.2318
DIAMONDS THREE DIAMONDS SEVEN,0.5804,0.0052,0.4144
SPADES SEVEN CLUBS TWO,0.752,0.0136,0.2344
CLUBS SIX CLUBS TWO,0.7086,0.0112,0.2802
CLUBS SEVEN CLUBS TWO,0.6898,0.0096,0.3006
CLUBS FOUR CLUBS TWO,0.696,0.0138,0.2902
CLUBS FIVE CLUBS TWO,0.6956,0.0138,0.2906
CLUBS TEN CLUBS JACK,0.5162,0.003,0.4808
DIAMONDS FOUR DIAMONDS SIX,0.5634,0.0074,0.4292
CLUBS TEN CLUBS QUEEN,0.5106,0.0048,0.4846
DIAMONDS FOUR DIAMONDS SEVEN,0.564,0.0064,0.4296
CLUBS TEN CLUBS KING,0.5346,0.004,0.4614
CLUBS TEN CLUBS ACE,0.2322,0.115,0.6528
CLUBS EIGHT CLUBS TWO,0.7032,0.0148,0.282
DIAMONDS FOUR DIAMONDS FIVE,0.5464,0.0078,0.4458
CLUBS NINE CLUBS TWO,0.6918,0.016,0.2922
DIAMONDS FOUR DIAMONDS NINE,0.5732,0.0074,0.4194
DIAMONDS FOUR DIAMONDS EIGHT,0.5764,0.0042,0.4194
CLUBS TWO CLUBS THREE,0.6898,0.0146,0.2956
DIAMONDS NINE DIAMONDS FIVE,0.5638,0.0058,0.4304
DIAMONDS FIVE DIAMONDS EIGHT,0.557,0.0032,0.4398
DIAMONDS FIVE DIAMONDS SEVEN,0.551,0.0076,0.4414
DIAMONDS SIX DIAMONDS FIVE,0.5472,0.006,0.4468
DIAMONDS SIX DIAMONDS EIGHT,0.5356,0.0046,0.4598
DIAMONDS NINE DIAMONDS SIX,0.5576,0.0062,0.4362
SPADES THREE HEARTS KING,0.6202,0.0052,0.3746
DIAMONDS SIX DIAMONDS SEVEN,0.5646,0.0042,0.4312
HEARTS QUEEN SPADES THREE,0.6188,0.0072,0.374
SPADES THREE HEARTS JACK,0.63,0.0058,0.3642
SPADES THREE HEARTS TEN,0.6066,0.0054,0.388
DIAMONDS EIGHT DIAMONDS SEVEN,0.5192,0.0044,0.4764
DIAMONDS NINE DIAMONDS SEVEN,0.5304,0.0056,0.464
DIAMONDS NINE DIAMONDS EIGHT,0.525,0.0054,0.4696
DIAMONDS KING HEARTS TEN,0.567,0.0036,0.4294
HEARTS THREE HEARTS TEN,0.5946,0.0056,0.3998
SPADES JACK CLUBS SIX,0.6048,0.0048,0.3904
DIAMONDS KING HEARTS JACK,0.57,0.0038,0.4262
HEARTS THREE HEARTS JACK,0.5752,0.0078,0.417
SPADES TEN CLUBS SIX,0.6004,0.0046,0.395
SPADES JACK SPADES FIVE,0.5714,0.005,0.4236
SPADES TEN SPADES FIVE,0.5738,0.0056,0.4206
SPADES ACE CLUBS SIX,0.243,0.378,0.379
DIAMONDS KING HEARTS QUEEN,0.5858,0.0082,0.406
HEARTS THREE HEARTS QUEEN,0.5872,0.0044,0.4084
SPADES KING CLUBS SIX,0.6114,0.005,0.3836
DIAMONDS KING HEARTS KING,0.2806,0.0074,0.712
HEARTS THREE HEARTS KING,0.5976,0.0064,0.396
SPADES QUEEN CLUBS SIX,0.5966,0.0044,0.399
SPADES NINE HEARTS TEN,0.5564,0.0054,0.4382
SPADES NINE HEARTS JACK,0.568,0.0036,0.4284
SPADES QUEEN SPADES FIVE,0.5654,0.0058,0.4288
SPADES KING SPADES FIVE,0.5646,0.0054,0.43
SPADES ACE SPADES FIVE,0.2126,0.4244,0.363
SPADES NINE HEARTS QUEEN,0.5844,0.0036,0.412
SPADES NINE HEARTS KING,0.5878,0.0052,0.407
CLUBS TEN SPADES JACK,0.5456,0.0036,0.4508
CLUBS TEN SPADES TEN,0.321,0.0036,0.6754
SPADES ACE CLUBS TEN,0.2524,0.1196,0.628
CLUBS TEN SPADES KING,0.5732,0.0052,0.4216
CLUBS TEN SPADES QUEEN,0.5656,0.0048,0.4296
SPADES FIVE HEARTS QUEEN,0.6086,0.0054,0.386
SPADES FIVE HEARTS KING,0.6206,0.006,0.3734
CLUBS EIGHT SPADES TEN,0.5604,0.0026,0.437
SPADES JACK HEARTS THREE,0.6154,0.006,0.3786
