opposingHand,winningChance,drawChance,lostChance
DIAMONDS TWO SPADES FOUR
HEARTS FIVE SPADES TEN,0.3398,0.029,0.6312
HEARTS FIVE SPADES JACK,0.3534,0.0164,0.6302
SPADES FIVE CLUBS JACK,0.339,0.0212,0.6398
CLUBS TEN SPADES FIVE,0.337,0.0324,0.6306
CLUBS EIGHT CLUBS JACK,0.3286,0.0152,0.6562
CLUBS TEN CLUBS EIGHT,0.3248,0.026,0.6492
CLUBS EIGHT CLUBS KING,0.3208,0.0076,0.6716
SPADES FIVE CLUBS ACE,0.3274,0.0068,0.6658
CLUBS EIGHT CLUBS QUEEN,0.323,0.0104,0.6666
SPADES FIVE CLUBS KING,0.336,0.0086,0.6554
SPADES FIVE CLUBS QUEEN,0.3308,0.015,0.6542
CLUBS EIGHT CLUBS ACE,0.3154,0.0064,0.6782
HEARTS FIVE SPADES KING,0.3422,0.0092,0.6486
HEARTS FIVE SPADES QUEEN,0.3324,0.0128,0.6548
SPADES ACE HEARTS FIVE,0.3166,0.0056,0.6778
DIAMONDS THREE DIAMONDS FOUR,0.2074,0.4954,0.2972
DIAMONDS THREE DIAMONDS FIVE,0.3114,0.2362,0.4524
SPADES FIVE CLUBS TWO,0.2258,0.3606,0.4136
CLUBS TWO SPADES TWO,0.2434,0.1196,0.637
CLUBS TWO SPADES THREE,0.267,0.5066,0.2264
DIAMONDS THREE DIAMONDS EIGHT,0.3544,0.0662,0.5794
SPADES EIGHT CLUBS TWO,0.256,0.1548,0.5892
DIAMONDS THREE DIAMONDS NINE,0.3536,0.0478,0.5986
SPADES NINE CLUBS TWO,0.2686,0.108,0.6234
DIAMONDS THREE DIAMONDS SIX,0.3254,0.1602,0.5144
SPADES SIX CLUBS TWO,0.24,0.281,0.479
DIAMONDS THREE DIAMONDS SEVEN,0.3486,0.0944,0.557
SPADES SEVEN CLUBS TWO,0.2654,0.1912,0.5434
CLUBS SIX CLUBS TWO,0.2296,0.2596,0.5108
CLUBS SEVEN CLUBS TWO,0.2472,0.1902,0.5626
CLUBS FOUR CLUBS TWO,0.0226,0.9066,0.0708
CLUBS FIVE CLUBS TWO,0.2012,0.3648,0.434
CLUBS TEN CLUBS JACK,0.3092,0.0134,0.6774
DIAMONDS FOUR DIAMONDS SIX,0.2394,0.2614,0.4992
CLUBS TEN CLUBS QUEEN,0.3156,0.011,0.6734
DIAMONDS FOUR DIAMONDS SEVEN,0.2264,0.1848,0.5888
CLUBS TEN CLUBS KING,0.3166,0.0086,0.6748
CLUBS TEN CLUBS ACE,0.3138,0.0046,0.6816
CLUBS EIGHT CLUBS TWO,0.2498,0.1372,0.613
DIAMONDS FOUR DIAMONDS FIVE,0.1966,0.35,0.4534
CLUBS NINE CLUBS TWO,0.2418,0.0926,0.6656
DIAMONDS FOUR DIAMONDS NINE,0.2496,0.1022,0.6482
DIAMONDS FOUR DIAMONDS EIGHT,0.2496,0.1482,0.6022
CLUBS THREE CLUBS TWO,0.2492,0.482,0.2688
DIAMONDS NINE DIAMONDS FIVE,0.3302,0.0428,0.627
DIAMONDS FIVE DIAMONDS EIGHT,0.3226,0.0664,0.611
DIAMONDS FIVE DIAMONDS SEVEN,0.3136,0.0972,0.5892
DIAMONDS SIX DIAMONDS FIVE,0.29,0.1372,0.5728
DIAMONDS SIX DIAMONDS EIGHT,0.3084,0.0676,0.624
DIAMONDS NINE DIAMONDS SIX,0.3232,0.0424,0.6344
HEARTS ACE SPADES THREE,0.368,0.007,0.625
SPADES THREE HEARTS KING,0.3786,0.0094,0.612
DIAMONDS SIX DIAMONDS SEVEN,0.3062,0.0906,0.6032
SPADES THREE HEARTS QUEEN,0.3676,0.0172,0.6152
SPADES THREE HEARTS JACK,0.3734,0.0208,0.6058
SPADES THREE HEARTS TEN,0.3732,0.0338,0.593
DIAMONDS EIGHT DIAMONDS SEVEN,0.3226,0.0562,0.6212
DIAMONDS NINE DIAMONDS SEVEN,0.3066,0.0394,0.654
DIAMONDS NINE DIAMONDS EIGHT,0.308,0.035,0.657
DIAMONDS KING HEARTS TEN,0.347,0.0108,0.6422
HEARTS THREE HEARTS TEN,0.348,0.0316,0.6204
SPADES JACK CLUBS SIX,0.3436,0.022,0.6344
DIAMONDS KING HEARTS JACK,0.3462,0.0076,0.6462
HEARTS THREE HEARTS JACK,0.3338,0.0226,0.6436
SPADES TEN CLUBS SIX,0.331,0.0306,0.6384
SPADES JACK SPADES FIVE,0.3218,0.0196,0.6586
SPADES TEN SPADES FIVE,0.3294,0.0288,0.6418
DIAMONDS KING HEARTS ACE,0.3346,0.0048,0.6606
HEARTS THREE HEARTS ACE,0.3328,0.005,0.6622
SPADES ACE CLUBS SIX,0.3388,0.005,0.6562
DIAMONDS KING HEARTS QUEEN,0.345,0.007,0.648
HEARTS THREE HEARTS QUEEN,0.3494,0.0164,0.6342
SPADES KING CLUBS SIX,0.3402,0.009,0.6508
DIAMONDS KING HEARTS KING,0.1462,0.0168,0.837
HEARTS THREE HEARTS KING,0.3526,0.012,0.6354
SPADES QUEEN CLUBS SIX,0.3408,0.017,0.6422
SPADES NINE HEARTS TEN,0.3228,0.0262,0.651
SPADES NINE HEARTS JACK,0.3408,0.017,0.6422
SPADES QUEEN SPADES FIVE,0.3238,0.0148,0.6614
SPADES KING SPADES FIVE,0.321,0.0104,0.6686
SPADES ACE SPADES FIVE,0.3072,0.0076,0.6852
SPADES NINE HEARTS QUEEN,0.344,0.0104,0.6456
SPADES NINE HEARTS KING,0.3362,0.01,0.6538
SPADES NINE HEARTS ACE,0.3336,0.0038,0.6626
CLUBS TEN SPADES JACK,0.3328,0.0152,0.652
CLUBS TEN SPADES TEN,0.1522,0.0626,0.7852
SPADES ACE CLUBS TEN,0.343,0.005,0.652
SPADES KING CLUBS TEN,0.3526,0.0078,0.6396
CLUBS TEN SPADES QUEEN,0.322,0.0126,0.6654
SPADES FIVE HEARTS QUEEN,0.3314,0.0164,0.6522
SPADES FIVE HEARTS KING,0.333,0.0114,0.6556
HEARTS ACE SPADES FIVE,0.3126,0.0056,0.6818
CLUBS EIGHT SPADES TEN,0.3364,0.0236,0.64
