opposingHand,winningChance,drawChance,lostChance
DIAMONDS TWO SPADES JACK
HEARTS FIVE SPADES TEN,0.593,0.0192,0.3878
SPADES FIVE CLUBS JACK,0.2182,0.47,0.3118
CLUBS TEN SPADES FIVE,0.5918,0.0212,0.387
CLUBS EIGHT CLUBS JACK,0.2152,0.213,0.5718
CLUBS TEN CLUBS EIGHT,0.5082,0.0172,0.4746
CLUBS EIGHT CLUBS KING,0.338,0.0076,0.6544
SPADES FIVE CLUBS ACE,0.355,0.0058,0.6392
CLUBS EIGHT CLUBS QUEEN,0.3228,0.0108,0.6664
SPADES FIVE CLUBS KING,0.3522,0.0096,0.6382
SPADES FIVE CLUBS QUEEN,0.3536,0.0102,0.6362
CLUBS EIGHT CLUBS ACE,0.325,0.0048,0.6702
HEARTS FIVE SPADES KING,0.3548,0.008,0.6372
HEARTS FIVE SPADES QUEEN,0.3514,0.0126,0.636
SPADES ACE HEARTS FIVE,0.3392,0.0078,0.653
DIAMONDS THREE DIAMONDS FOUR,0.5258,0.0208,0.4534
SPADES FOUR CLUBS TWO,0.6914,0.0524,0.2562
DIAMONDS THREE DIAMONDS FIVE,0.5408,0.0188,0.4404
SPADES FIVE CLUBS TWO,0.6896,0.052,0.2584
CLUBS TWO SPADES TWO,0.3034,0.0326,0.664
CLUBS TWO SPADES THREE,0.6856,0.0594,0.255
DIAMONDS THREE DIAMONDS EIGHT,0.5618,0.017,0.4212
SPADES EIGHT CLUBS TWO,0.715,0.0546,0.2304
DIAMONDS THREE DIAMONDS NINE,0.57,0.02,0.41
SPADES NINE CLUBS TWO,0.708,0.0548,0.2372
DIAMONDS THREE DIAMONDS SIX,0.5462,0.0204,0.4334
SPADES SIX CLUBS TWO,0.7042,0.0512,0.2446
DIAMONDS THREE DIAMONDS SEVEN,0.5366,0.0198,0.4436
SPADES SEVEN CLUBS TWO,0.7058,0.051,0.2432
CLUBS SIX CLUBS TWO,0.6552,0.0548,0.29
CLUBS SEVEN CLUBS TWO,0.6626,0.043,0.2944
CLUBS FOUR CLUBS TWO,0.66,0.0434,0.2966
CLUBS FIVE CLUBS TWO,0.6344,0.0516,0.314
CLUBS TEN CLUBS JACK,0.2042,0.1124,0.6834
DIAMONDS FOUR DIAMONDS SIX,0.5264,0.0218,0.4518
CLUBS TEN CLUBS QUEEN,0.3056,0.0098,0.6846
DIAMONDS FOUR DIAMONDS SEVEN,0.5368,0.0208,0.4424
CLUBS TEN CLUBS KING,0.3164,0.0072,0.6764
CLUBS TEN CLUBS ACE,0.3174,0.0052,0.6774
CLUBS EIGHT CLUBS TWO,0.6564,0.051,0.2926
DIAMONDS FOUR DIAMONDS FIVE,0.5178,0.0202,0.462
CLUBS NINE CLUBS TWO,0.6744,0.046,0.2796
DIAMONDS FOUR DIAMONDS NINE,0.5592,0.0184,0.4224
DIAMONDS FOUR DIAMONDS EIGHT,0.5542,0.0188,0.427
CLUBS THREE CLUBS TWO,0.6308,0.059,0.3102
DIAMONDS NINE DIAMONDS FIVE,0.5522,0.02,0.4278
DIAMONDS FIVE DIAMONDS EIGHT,0.5332,0.0184,0.4484
DIAMONDS FIVE DIAMONDS SEVEN,0.522,0.0206,0.4574
DIAMONDS SIX DIAMONDS FIVE,0.5186,0.022,0.4594
DIAMONDS SIX DIAMONDS EIGHT,0.5154,0.0184,0.4662
DIAMONDS NINE DIAMONDS SIX,0.5262,0.019,0.4548
HEARTS ACE SPADES THREE,0.3486,0.0056,0.6458
SPADES THREE HEARTS KING,0.3626,0.0106,0.6268
DIAMONDS SIX DIAMONDS SEVEN,0.5126,0.0188,0.4686
SPADES THREE HEARTS QUEEN,0.3694,0.0152,0.6154
