opposingHand,winningChance,drawChance,lostChance
DIAMONDS TWO SPADES QUEEN
HEARTS FIVE SPADES TEN,0.589,0.0094,0.4016
HEARTS FIVE SPADES JACK,0.5958,0.0138,0.3904
SPADES FIVE CLUBS JACK,0.5784,0.0132,0.4084
CLUBS TEN SPADES FIVE,0.5962,0.014,0.3898
CLUBS EIGHT CLUBS JACK,0.54,0.011,0.449
CLUBS TEN CLUBS EIGHT,0.512,0.0124,0.4756
CLUBS EIGHT CLUBS KING,0.332,0.0052,0.6628
SPADES FIVE CLUBS ACE,0.349,0.0084,0.6426
CLUBS EIGHT CLUBS QUEEN,0.2276,0.2124,0.56
SPADES FIVE CLUBS KING,0.3536,0.0098,0.6366
SPADES FIVE CLUBS QUEEN,0.2216,0.4666,0.3118
CLUBS EIGHT CLUBS ACE,0.3414,0.0034,0.6552
HEARTS FIVE SPADES KING,0.334,0.0086,0.6574
SPADES ACE HEARTS FIVE,0.3436,0.0078,0.6486
DIAMONDS THREE DIAMONDS FOUR,0.5394,0.0158,0.4448
SPADES FOUR CLUBS TWO,0.6958,0.046,0.2582
DIAMONDS THREE DIAMONDS FIVE,0.534,0.0146,0.4514
SPADES FIVE CLUBS TWO,0.6874,0.0412,0.2714
CLUBS TWO SPADES TWO,0.2994,0.0274,0.6732
CLUBS TWO SPADES THREE,0.7056,0.0356,0.2588
DIAMONDS THREE DIAMONDS EIGHT,0.5702,0.013,0.4168
SPADES EIGHT CLUBS TWO,0.7186,0.0412,0.2402
DIAMONDS THREE DIAMONDS NINE,0.5604,0.0158,0.4238
SPADES NINE CLUBS TWO,0.7274,0.0402,0.2324
DIAMONDS THREE DIAMONDS SIX,0.5508,0.0154,0.4338
SPADES SIX CLUBS TWO,0.7284,0.0374,0.2342
DIAMONDS THREE DIAMONDS SEVEN,0.5568,0.0152,0.428
SPADES SEVEN CLUBS TWO,0.7356,0.0362,0.2282
CLUBS SIX CLUBS TWO,0.6724,0.0322,0.2954
CLUBS SEVEN CLUBS TWO,0.6828,0.0332,0.284
CLUBS FOUR CLUBS TWO,0.6578,0.0384,0.3038
CLUBS FIVE CLUBS TWO,0.6586,0.0398,0.3016
CLUBS TEN CLUBS JACK,0.5044,0.0106,0.485
DIAMONDS FOUR DIAMONDS SIX,0.5288,0.0132,0.458
CLUBS TEN CLUBS QUEEN,0.2138,0.111,0.6752
DIAMONDS FOUR DIAMONDS SEVEN,0.5386,0.0158,0.4456
CLUBS TEN CLUBS KING,0.3138,0.0076,0.6786
CLUBS TEN CLUBS ACE,0.3228,0.004,0.6732
CLUBS EIGHT CLUBS TWO,0.6738,0.038,0.2882
DIAMONDS FOUR DIAMONDS FIVE,0.5318,0.0144,0.4538
CLUBS NINE CLUBS TWO,0.6754,0.0356,0.289
DIAMONDS FOUR DIAMONDS NINE,0.573,0.011,0.416
DIAMONDS FOUR DIAMONDS EIGHT,0.5584,0.013,0.4286
CLUBS THREE CLUBS TWO,0.6452,0.0416,0.3132
DIAMONDS NINE DIAMONDS FIVE,0.5484,0.0124,0.4392
DIAMONDS FIVE DIAMONDS EIGHT,0.5242,0.0118,0.464
DIAMONDS FIVE DIAMONDS SEVEN,0.5358,0.0128,0.4514
DIAMONDS SIX DIAMONDS FIVE,0.5168,0.0126,0.4706
DIAMONDS SIX DIAMONDS EIGHT,0.5294,0.0118,0.4588
DIAMONDS NINE DIAMONDS SIX,0.5256,0.0138,0.4606
HEARTS ACE SPADES THREE,0.3366,0.0048,0.6586
SPADES THREE HEARTS KING,0.3566,0.0102,0.6332
DIAMONDS SIX DIAMONDS SEVEN,0.5134,0.0112,0.4754
SPADES THREE HEARTS QUEEN,0.2168,0.524,0.2592
SPADES THREE HEARTS JACK,0.6038,0.0124,0.3838
SPADES THREE HEARTS TEN,0.6024,0.013,0.3846
DIAMONDS EIGHT DIAMONDS SEVEN,0.5176,0.0122,0.4702
DIAMONDS NINE DIAMONDS SEVEN,0.5312,0.0116,0.4572
DIAMONDS NINE DIAMONDS EIGHT,0.5122,0.0092,0.4786
DIAMONDS KING HEARTS TEN,0.3106,0.0072,0.6822
HEARTS THREE HEARTS TEN,0.5504,0.0118,0.4378
SPADES JACK CLUBS SIX,0.5856,0.013,0.4014
DIAMONDS KING HEARTS JACK,0.3236,0.0078,0.6686
HEARTS THREE HEARTS JACK,0.5556,0.0116,0.4328
SPADES TEN CLUBS SIX,0.5748,0.0112,0.414
SPADES JACK SPADES FIVE,0.5672,0.0148,0.418
SPADES TEN SPADES FIVE,0.5712,0.0108,0.418
DIAMONDS KING HEARTS ACE,0.309,0.0038,0.6872
HEARTS THREE HEARTS ACE,0.3134,0.0052,0.6814
SPADES ACE CLUBS SIX,0.3478,0.005,0.6472
DIAMONDS KING HEARTS QUEEN,0.2074,0.029,0.7636
HEARTS THREE HEARTS QUEEN,0.2174,0.48,0.3026
SPADES KING CLUBS SIX,0.3524,0.0084,0.6392
DIAMONDS KING HEARTS KING,0.1156,0.0026,0.8818
HEARTS THREE HEARTS KING,0.3348,0.01,0.6552
SPADES NINE HEARTS TEN,0.5514,0.0078,0.4408
SPADES NINE HEARTS JACK,0.5538,0.0102,0.436
SPADES KING SPADES FIVE,0.3392,0.0108,0.65
SPADES ACE SPADES FIVE,0.3244,0.0056,0.67
SPADES NINE HEARTS QUEEN,0.2354,0.1594,0.6052
SPADES NINE HEARTS KING,0.36,0.0074,0.6326
SPADES NINE HEARTS ACE,0.3612,0.0048,0.634
CLUBS TEN SPADES JACK,0.5404,0.012,0.4476
CLUBS TEN SPADES TEN,0.2726,0.0152,0.7122
SPADES ACE CLUBS TEN,0.3322,0.0074,0.6604
SPADES KING CLUBS TEN,0.3332,0.0084,0.6584
SPADES FIVE HEARTS QUEEN,0.2148,0.4656,0.3196
SPADES FIVE HEARTS KING,0.3584,0.0088,0.6328
