opposingHand,winningChance,drawChance,lostChance
HEARTS ACE HEARTS JACK
HEARTS FIVE SPADES TEN,0.6954,0.0048,0.2998
SPADES JACK HEARTS FIVE,0.7604,0.0228,0.2168
CLUBS JACK SPADES FIVE,0.7602,0.0214,0.2184
CLUBS TEN SPADES FIVE,0.6886,0.0036,0.3078
CLUBS JACK CLUBS EIGHT,0.69,0.0182,0.2918
CLUBS TEN CLUBS EIGHT,0.6262,0.004,0.3698
CLUBS EIGHT CLUBS KING,0.6274,0.0044,0.3682
SPADES FIVE CLUBS ACE,0.6812,0.0806,0.2382
CLUBS EIGHT CLUBS QUEEN,0.6242,0.0058,0.37
SPADES FIVE CLUBS KING,0.6578,0.0032,0.339
SPADES FIVE CLUBS QUEEN,0.6516,0.0056,0.3428
CLUBS EIGHT CLUBS ACE,0.6492,0.0818,0.269
DIAMONDS TWO DIAMONDS THREE,0.6358,0.0048,0.3594
DIAMONDS TWO DIAMONDS FIVE,0.6206,0.0042,0.3752
SPADES KING HEARTS FIVE,0.6494,0.0046,0.346
DIAMONDS TWO DIAMONDS FOUR,0.6346,0.0062,0.3592
SPADES QUEEN HEARTS FIVE,0.6542,0.0046,0.3412
DIAMONDS TWO DIAMONDS SEVEN,0.6484,0.0038,0.3478
DIAMONDS TWO DIAMONDS SIX,0.6508,0.0032,0.346
SPADES ACE HEARTS FIVE,0.6728,0.0874,0.2398
DIAMONDS TWO DIAMONDS NINE,0.6536,0.0044,0.342
DIAMONDS TWO DIAMONDS EIGHT,0.6462,0.0044,0.3494
DIAMONDS THREE DIAMONDS FOUR,0.6314,0.005,0.3636
CLUBS TWO SPADES FOUR,0.68,0.0068,0.3132
DIAMONDS THREE DIAMONDS FIVE,0.6236,0.0054,0.371
CLUBS TWO SPADES FIVE,0.6754,0.0052,0.3194
CLUBS TWO SPADES TWO,0.5024,0.007,0.4906
CLUBS TWO SPADES THREE,0.6772,0.0046,0.3182
DIAMONDS THREE DIAMONDS EIGHT,0.6574,0.004,0.3386
SPADES EIGHT CLUBS TWO,0.692,0.004,0.304
DIAMONDS THREE DIAMONDS NINE,0.642,0.0058,0.3522
SPADES NINE CLUBS TWO,0.6842,0.0048,0.311
DIAMONDS THREE DIAMONDS SIX,0.6408,0.0046,0.3546
SPADES SIX CLUBS TWO,0.681,0.0044,0.3146
DIAMONDS THREE DIAMONDS SEVEN,0.6278,0.0054,0.3668
SPADES SEVEN CLUBS TWO,0.6986,0.0048,0.2966
CLUBS SIX CLUBS TWO,0.6424,0.0056,0.352
CLUBS SEVEN CLUBS TWO,0.662,0.0046,0.3334
CLUBS FOUR CLUBS TWO,0.633,0.0056,0.3614
CLUBS FIVE CLUBS TWO,0.6354,0.0058,0.3588
CLUBS TEN CLUBS JACK,0.6852,0.017,0.2978
DIAMONDS FOUR DIAMONDS SIX,0.6246,0.0022,0.3732
CLUBS TEN CLUBS QUEEN,0.5978,0.0036,0.3986
DIAMONDS FOUR DIAMONDS SEVEN,0.6224,0.0068,0.3708
CLUBS TEN CLUBS KING,0.6094,0.0036,0.387
CLUBS TEN CLUBS ACE,0.6588,0.0782,0.263
CLUBS EIGHT CLUBS TWO,0.654,0.006,0.34
DIAMONDS FIVE DIAMONDS FOUR,0.591,0.005,0.404
CLUBS NINE CLUBS TWO,0.6646,0.0038,0.3316
DIAMONDS NINE DIAMONDS FOUR,0.6444,0.0044,0.3512
DIAMONDS EIGHT DIAMONDS FOUR,0.6418,0.0038,0.3544
CLUBS TWO CLUBS THREE,0.6394,0.0066,0.354
DIAMONDS NINE DIAMONDS FIVE,0.6384,0.0034,0.3582
CLUBS JACK DIAMONDS TWO,0.7688,0.0166,0.2146
DIAMONDS EIGHT DIAMONDS FIVE,0.628,0.0042,0.3678
CLUBS TEN DIAMONDS TWO,0.69,0.0048,0.3052
DIAMONDS FIVE DIAMONDS SEVEN,0.6202,0.0044,0.3754
DIAMONDS FIVE DIAMONDS SIX,0.5988,0.0056,0.3956
DIAMONDS TWO CLUBS ACE,0.6854,0.0792,0.2354
DIAMONDS TWO CLUBS KING,0.6742,0.0064,0.3194
DIAMONDS TWO CLUBS QUEEN,0.6718,0.0048,0.3234
DIAMONDS EIGHT DIAMONDS SIX,0.6286,0.0036,0.3678
DIAMONDS NINE DIAMONDS SIX,0.6344,0.0032,0.3624
SPADES THREE HEARTS KING,0.6698,0.005,0.3252
DIAMONDS SEVEN DIAMONDS SIX,0.6096,0.0044,0.386
HEARTS QUEEN SPADES THREE,0.654,0.0058,0.3402
SPADES THREE HEARTS TEN,0.6914,0.0058,0.3028
DIAMONDS EIGHT DIAMONDS SEVEN,0.6018,0.0046,0.3936
DIAMONDS NINE DIAMONDS SEVEN,0.6222,0.0046,0.3732
DIAMONDS NINE DIAMONDS EIGHT,0.6186,0.005,0.3764
DIAMONDS KING HEARTS TEN,0.6388,0.0052,0.356
HEARTS THREE HEARTS TEN,0.7006,0.0054,0.294
SPADES JACK CLUBS SIX,0.757,0.0196,0.2234
SPADES TEN CLUBS SIX,0.683,0.004,0.313
SPADES JACK SPADES FIVE,0.7102,0.02,0.2698
