opposingHand,winningChance,drawChance,lostChance
HEARTS ACE HEARTS NINE
HEARTS FIVE SPADES TEN,0.662,0.006,0.332
SPADES JACK HEARTS FIVE,0.6488,0.0046,0.3466
CLUBS JACK SPADES FIVE,0.6436,0.0054,0.351
CLUBS TEN SPADES FIVE,0.6584,0.005,0.3366
CLUBS JACK CLUBS EIGHT,0.6006,0.0024,0.397
CLUBS TEN CLUBS EIGHT,0.5956,0.0042,0.4002
CLUBS EIGHT CLUBS KING,0.6254,0.004,0.3706
SPADES FIVE CLUBS ACE,0.5944,0.1634,0.2422
CLUBS EIGHT CLUBS QUEEN,0.6048,0.005,0.3902
SPADES FIVE CLUBS KING,0.6524,0.004,0.3436
SPADES FIVE CLUBS QUEEN,0.6496,0.0038,0.3466
CLUBS EIGHT CLUBS ACE,0.5726,0.1564,0.271
DIAMONDS TWO DIAMONDS THREE,0.636,0.0066,0.3574
DIAMONDS TWO DIAMONDS FIVE,0.6236,0.0074,0.369
SPADES KING HEARTS FIVE,0.6512,0.0048,0.344
DIAMONDS TWO DIAMONDS FOUR,0.6244,0.007,0.3686
SPADES QUEEN HEARTS FIVE,0.6456,0.0058,0.3486
DIAMONDS TWO DIAMONDS SEVEN,0.6388,0.0056,0.3556
DIAMONDS TWO DIAMONDS SIX,0.638,0.0054,0.3566
SPADES ACE HEARTS FIVE,0.6026,0.1654,0.232
DIAMONDS TWO DIAMONDS NINE,0.7092,0.0324,0.2584
DIAMONDS TWO DIAMONDS EIGHT,0.651,0.0072,0.3418
DIAMONDS THREE DIAMONDS FOUR,0.6156,0.004,0.3804
CLUBS TWO SPADES FOUR,0.6776,0.0042,0.3182
DIAMONDS THREE DIAMONDS FIVE,0.6048,0.0032,0.392
CLUBS TWO SPADES FIVE,0.658,0.004,0.338
CLUBS TWO SPADES TWO,0.5048,0.0038,0.4914
CLUBS TWO SPADES THREE,0.675,0.005,0.32
DIAMONDS THREE DIAMONDS EIGHT,0.6574,0.0042,0.3384
SPADES EIGHT CLUBS TWO,0.6894,0.0048,0.3058
DIAMONDS THREE DIAMONDS NINE,0.7078,0.0252,0.267
SPADES NINE CLUBS TWO,0.7642,0.0238,0.212
DIAMONDS THREE DIAMONDS SIX,0.636,0.0044,0.3596
SPADES SIX CLUBS TWO,0.6874,0.0048,0.3078
DIAMONDS THREE DIAMONDS SEVEN,0.6364,0.0048,0.3588
SPADES SEVEN CLUBS TWO,0.694,0.0056,0.3004
CLUBS SIX CLUBS TWO,0.651,0.0028,0.3462
CLUBS SEVEN CLUBS TWO,0.644,0.004,0.352
CLUBS FOUR CLUBS TWO,0.6348,0.0056,0.3596
CLUBS FIVE CLUBS TWO,0.6324,0.0042,0.3634
CLUBS TEN CLUBS JACK,0.5386,0.0028,0.4586
DIAMONDS FOUR DIAMONDS SIX,0.6242,0.006,0.3698
