opposingHand,winningChance,drawChance,lostChance
HEARTS ACE HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.6946,0.0056,0.2998
SPADES JACK HEARTS FIVE,0.6792,0.005,0.3158
CLUBS JACK SPADES FIVE,0.6894,0.0036,0.307
CLUBS TEN SPADES FIVE,0.6838,0.0036,0.3126
CLUBS JACK CLUBS EIGHT,0.6354,0.006,0.3586
CLUBS TEN CLUBS EIGHT,0.6212,0.0046,0.3742
CLUBS EIGHT CLUBS KING,0.6324,0.005,0.3626
SPADES FIVE CLUBS ACE,0.6964,0.0614,0.2422
CLUBS EIGHT CLUBS QUEEN,0.7062,0.0142,0.2796
SPADES FIVE CLUBS KING,0.6622,0.003,0.3348
SPADES FIVE CLUBS QUEEN,0.7664,0.0158,0.2178
CLUBS EIGHT CLUBS ACE,0.674,0.0562,0.2698
DIAMONDS TWO DIAMONDS THREE,0.6322,0.0048,0.363
DIAMONDS TWO DIAMONDS FIVE,0.6198,0.0074,0.3728
SPADES KING HEARTS FIVE,0.6542,0.0054,0.3404
DIAMONDS TWO DIAMONDS FOUR,0.6398,0.0056,0.3546
SPADES QUEEN HEARTS FIVE,0.7608,0.019,0.2202
DIAMONDS TWO DIAMONDS SEVEN,0.655,0.0052,0.3398
DIAMONDS TWO DIAMONDS SIX,0.6558,0.0054,0.3388
SPADES ACE HEARTS FIVE,0.6924,0.0592,0.2484
DIAMONDS TWO DIAMONDS NINE,0.6536,0.0054,0.341
DIAMONDS TWO DIAMONDS EIGHT,0.6484,0.0056,0.346
DIAMONDS THREE DIAMONDS FOUR,0.6142,0.0046,0.3812
CLUBS TWO SPADES FOUR,0.6816,0.0038,0.3146
DIAMONDS THREE DIAMONDS FIVE,0.627,0.005,0.368
CLUBS TWO SPADES FIVE,0.6796,0.0042,0.3162
CLUBS TWO SPADES TWO,0.5,0.0072,0.4928
CLUBS TWO SPADES THREE,0.6828,0.0056,0.3116
DIAMONDS THREE DIAMONDS EIGHT,0.6518,0.0038,0.3444
SPADES EIGHT CLUBS TWO,0.6916,0.0052,0.3032
