opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT CLUBS EIGHT
CLUBS SIX DIAMONDS SEVEN,0.7698,0.0758,0.1544
DIAMONDS EIGHT HEARTS JACK,0.6592,0.0372,0.3036
CLUBS NINE DIAMONDS SEVEN,0.6726,0.0576,0.2698
DIAMONDS TEN HEARTS JACK,0.5138,0.0248,0.4614
SPADES JACK CLUBS TWO,0.6808,0.0358,0.2834
SPADES KING HEARTS ACE,0.5282,0.0038,0.468
SPADES QUEEN SPADES EIGHT,0.6262,0.0276,0.3462
SPADES ACE HEARTS ACE,0.1974,0.003,0.7996
SPADES JACK DIAMONDS FIVE,0.6696,0.0312,0.2992
SPADES FIVE DIAMONDS NINE,0.6816,0.0558,0.2626
HEARTS FOUR SPADES FOUR,0.6324,0.1748,0.1928
SPADES ACE DIAMONDS KING,0.5276,0.0016,0.4708
HEARTS FIVE HEARTS QUEEN,0.6436,0.0214,0.335
CLUBS JACK SPADES NINE,0.5454,0.0286,0.426
HEARTS KING SPADES TWO,0.6698,0.015,0.3152
HEARTS FOUR HEARTS THREE,0.714,0.1,0.186
SPADES QUEEN DIAMONDS KING,0.5338,0.0042,0.462
DIAMONDS NINE DIAMONDS EIGHT,0.5852,0.0546,0.3602
HEARTS THREE CLUBS KING,0.6728,0.0138,0.3134
HEARTS TEN HEARTS NINE,0.502,0.0362,0.4618
HEARTS THREE SPADES SIX,0.7638,0.0894,0.1468
SPADES ACE HEARTS FIVE,0.642,0.0044,0.3536
CLUBS FIVE HEARTS QUEEN,0.669,0.0238,0.3072
SPADES NINE DIAMONDS EIGHT,0.6328,0.0558,0.3114
DIAMONDS SEVEN CLUBS QUEEN,0.6614,0.0222,0.3164
CLUBS TEN HEARTS ACE,0.5152,0.0052,0.4796
SPADES QUEEN SPADES NINE,0.526,0.0146,0.4594
SPADES SIX DIAMONDS SEVEN,0.77,0.0766,0.1534
DIAMONDS JACK CLUBS ACE,0.5352,0.003,0.4618
CLUBS JACK DIAMONDS JACK,0.2052,0.0922,0.7026
CLUBS NINE DIAMONDS ACE,0.5594,0.0036,0.437
CLUBS TEN DIAMONDS ACE,0.5458,0.0044,0.4498
HEARTS FIVE DIAMONDS TEN,0.675,0.0504,0.2746
HEARTS ACE SPADES FOUR,0.646,0.0052,0.3488
HEARTS FIVE HEARTS NINE,0.627,0.0602,0.3128
DIAMONDS TWO DIAMONDS FIVE,0.7148,0.0946,0.1906
SPADES JACK CLUBS THREE,0.6752,0.0326,0.2922
DIAMONDS JACK DIAMONDS SIX,0.632,0.0314,0.3366
HEARTS SIX SPADES SEVEN,0.7738,0.076,0.1502
DIAMONDS QUEEN SPADES FOUR,0.6562,0.0232,0.3206
SPADES JACK CLUBS ACE,0.5418,0.0034,0.4548
SPADES ACE HEARTS QUEEN,0.5418,0.0028,0.4554
SPADES ACE CLUBS THREE,0.6614,0.0054,0.3332
HEARTS THREE DIAMONDS KING,0.6716,0.0102,0.3182
SPADES KING CLUBS QUEEN,0.5188,0.0062,0.475
HEARTS KING DIAMONDS SIX,0.6602,0.0104,0.3294
DIAMONDS JACK DIAMONDS FIVE,0.6166,0.0364,0.347
CLUBS JACK CLUBS KING,0.52,0.0074,0.4726
CLUBS SIX CLUBS FIVE,0.7018,0.092,0.2062
CLUBS TWO SPADES FOUR,0.7484,0.1008,0.1508
SPADES ACE CLUBS KING,0.5272,0.0026,0.4702
SPADES KING DIAMONDS QUEEN,0.5294,0.004,0.4666
SPADES JACK DIAMONDS KING,0.5282,0.0056,0.4662
SPADES ACE CLUBS FOUR,0.6562,0.0034,0.3404
DIAMONDS THREE SPADES FIVE,0.7304,0.092,0.1776
CLUBS SEVEN CLUBS QUEEN,0.6404,0.0212,0.3384
HEARTS TEN DIAMONDS FOUR,0.6814,0.046,0.2726
SPADES ACE SPADES JACK,0.5102,0.0038,0.486
DIAMONDS SEVEN HEARTS NINE,0.6568,0.0596,0.2836
HEARTS FIVE CLUBS THREE,0.741,0.1034,0.1556
DIAMONDS ACE DIAMONDS FIVE,0.6124,0.0026,0.385
DIAMONDS KING CLUBS QUEEN,0.5312,0.0048,0.464
SPADES ACE SPADES TWO,0.619,0.004,0.377
SPADES TEN CLUBS QUEEN,0.5292,0.017,0.4538
HEARTS ACE DIAMONDS TEN,0.5492,0.0032,0.4476
SPADES JACK HEARTS ACE,0.5362,0.0028,0.461
HEARTS FIVE SPADES TEN,0.6816,0.0492,0.2692
DIAMONDS NINE HEARTS TEN,0.5218,0.0388,0.4394
CLUBS FOUR DIAMONDS JACK,0.67,0.0362,0.2938
