opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT CLUBS NINE
HEARTS FIVE SPADES TEN,0.4514,0.027,0.5216
SPADES JACK HEARTS FIVE,0.4518,0.0174,0.5308
CLUBS JACK SPADES FIVE,0.4348,0.0176,0.5476
CLUBS TEN SPADES FIVE,0.4316,0.0238,0.5446
CLUBS JACK CLUBS EIGHT,0.2678,0.0476,0.6846
CLUBS TEN CLUBS EIGHT,0.2456,0.072,0.6824
CLUBS EIGHT CLUBS KING,0.2678,0.0322,0.7
SPADES FIVE CLUBS ACE,0.4288,0.0044,0.5668
CLUBS EIGHT CLUBS QUEEN,0.2694,0.0376,0.693
SPADES FIVE CLUBS KING,0.4346,0.0072,0.5582
SPADES FIVE CLUBS QUEEN,0.4322,0.0136,0.5542
CLUBS EIGHT CLUBS ACE,0.279,0.0196,0.7014
DIAMONDS TWO DIAMONDS THREE,0.5914,0.0404,0.3682
DIAMONDS TWO DIAMONDS FIVE,0.5896,0.0344,0.376
SPADES KING HEARTS FIVE,0.4304,0.0094,0.5602
DIAMONDS TWO DIAMONDS FOUR,0.5984,0.0348,0.3668
SPADES QUEEN HEARTS FIVE,0.4358,0.0144,0.5498
DIAMONDS TWO DIAMONDS SEVEN,0.625,0.0358,0.3392
DIAMONDS TWO DIAMONDS SIX,0.6018,0.0404,0.3578
SPADES ACE HEARTS FIVE,0.4308,0.0046,0.5646
DIAMONDS TWO DIAMONDS NINE,0.5252,0.2092,0.2656
DIAMONDS TWO DIAMONDS EIGHT,0.636,0.1008,0.2632
DIAMONDS THREE DIAMONDS FOUR,0.5864,0.0366,0.377
CLUBS TWO SPADES FOUR,0.6326,0.0338,0.3336
DIAMONDS THREE DIAMONDS FIVE,0.578,0.0384,0.3836
SPADES FIVE CLUBS TWO,0.6394,0.0372,0.3234
CLUBS TWO SPADES TWO,0.4526,0.0652,0.4822
CLUBS TWO SPADES THREE,0.6348,0.0402,0.325
DIAMONDS THREE DIAMONDS EIGHT,0.624,0.1028,0.2732
SPADES EIGHT CLUBS TWO,0.6816,0.101,0.2174
DIAMONDS THREE DIAMONDS NINE,0.5306,0.2102,0.2592
SPADES NINE CLUBS TWO,0.5588,0.224,0.2172
DIAMONDS THREE DIAMONDS SIX,0.5906,0.0386,0.3708
SPADES SIX CLUBS TWO,0.6696,0.0354,0.295
DIAMONDS THREE DIAMONDS SEVEN,0.6286,0.03,0.3414
SPADES SEVEN CLUBS TWO,0.6776,0.0388,0.2836
CLUBS SIX CLUBS TWO,0.6276,0.0368,0.3356
CLUBS SEVEN CLUBS TWO,0.6452,0.0354,0.3194
CLUBS FOUR CLUBS TWO,0.6026,0.0388,0.3586
CLUBS FIVE CLUBS TWO,0.5944,0.0338,0.3718
CLUBS TEN CLUBS JACK,0.319,0.015,0.666
