opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT CLUBS THREE
HEARTS FIVE SPADES TEN,0.3522,0.0282,0.6196
SPADES JACK HEARTS FIVE,0.3624,0.0222,0.6154
CLUBS JACK SPADES FIVE,0.3514,0.0152,0.6334
CLUBS TEN SPADES FIVE,0.346,0.0258,0.6282
CLUBS JACK CLUBS EIGHT,0.224,0.0606,0.7154
CLUBS TEN CLUBS EIGHT,0.2164,0.0792,0.7044
CLUBS EIGHT CLUBS KING,0.2238,0.0356,0.7406
SPADES FIVE CLUBS ACE,0.3414,0.0054,0.6532
CLUBS EIGHT CLUBS QUEEN,0.2112,0.0492,0.7396
SPADES FIVE CLUBS KING,0.3488,0.0092,0.642
SPADES FIVE CLUBS QUEEN,0.3504,0.0128,0.6368
CLUBS EIGHT CLUBS ACE,0.2096,0.0288,0.7616
DIAMONDS TWO DIAMONDS THREE,0.5508,0.1474,0.3018
DIAMONDS TWO DIAMONDS FIVE,0.5074,0.0696,0.423
SPADES KING HEARTS FIVE,0.3618,0.0092,0.629
DIAMONDS TWO DIAMONDS FOUR,0.524,0.0688,0.4072
SPADES QUEEN HEARTS FIVE,0.3532,0.013,0.6338
DIAMONDS TWO DIAMONDS SEVEN,0.531,0.0648,0.4042
DIAMONDS TWO DIAMONDS SIX,0.5416,0.0658,0.3926
SPADES ACE HEARTS FIVE,0.339,0.006,0.655
DIAMONDS TWO DIAMONDS NINE,0.3574,0.048,0.5946
DIAMONDS TWO DIAMONDS EIGHT,0.2432,0.4912,0.2656
DIAMONDS THREE DIAMONDS FOUR,0.5598,0.1324,0.3078
CLUBS TWO SPADES FOUR,0.5642,0.0628,0.373
DIAMONDS THREE DIAMONDS FIVE,0.5498,0.1372,0.313
SPADES FIVE CLUBS TWO,0.562,0.0668,0.3712
CLUBS TWO SPADES TWO,0.3624,0.1,0.5376
CLUBS TWO SPADES THREE,0.6072,0.1444,0.2484
DIAMONDS THREE DIAMONDS EIGHT,0.0246,0.9108,0.0646
SPADES EIGHT CLUBS TWO,0.2646,0.5236,0.2118
DIAMONDS THREE DIAMONDS NINE,0.2226,0.0988,0.6786
SPADES NINE CLUBS TWO,0.3794,0.0434,0.5772
DIAMONDS THREE DIAMONDS SIX,0.5562,0.1414,0.3024
SPADES SIX CLUBS TWO,0.5678,0.071,0.3612
DIAMONDS THREE DIAMONDS SEVEN,0.5676,0.1354,0.297
SPADES SEVEN CLUBS TWO,0.5832,0.0686,0.3482
CLUBS SIX CLUBS TWO,0.5482,0.0666,0.3852
CLUBS SEVEN CLUBS TWO,0.5526,0.0692,0.3782
CLUBS FOUR CLUBS TWO,0.526,0.0728,0.4012
CLUBS FIVE CLUBS TWO,0.5212,0.069,0.4098
CLUBS TEN CLUBS JACK,0.2792,0.0178,0.703
DIAMONDS FOUR DIAMONDS SIX,0.4892,0.0616,0.4492
CLUBS TEN CLUBS QUEEN,0.3042,0.0114,0.6844
DIAMONDS FOUR DIAMONDS SEVEN,0.4828,0.0674,0.4498
CLUBS TEN CLUBS KING,0.3108,0.0076,0.6816
CLUBS TEN CLUBS ACE,0.3096,0.004,0.6864
CLUBS EIGHT CLUBS TWO,0.2514,0.497,0.2516
DIAMONDS FIVE DIAMONDS FOUR,0.4662,0.07,0.4638
CLUBS NINE CLUBS TWO,0.37,0.0406,0.5894
