opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT DIAMONDS EIGHT
SPADES THREE HEARTS TEN,0.6848,0.0412,0.274
SPADES SIX DIAMONDS FIVE,0.7562,0.0862,0.1576
HEARTS SIX SPADES SEVEN,0.7672,0.079,0.1538
HEARTS FOUR CLUBS KING,0.6708,0.0122,0.317
HEARTS FOUR DIAMONDS TEN,0.675,0.0472,0.2778
SPADES QUEEN CLUBS KING,0.5356,0.0048,0.4596
SPADES KING HEARTS QUEEN,0.5192,0.0052,0.4756
SPADES JACK SPADES TWO,0.632,0.0338,0.3342
SPADES FOUR SPADES THREE,0.7024,0.0928,0.2048
SPADES ACE DIAMONDS ACE,0.198,0.0042,0.7978
CLUBS JACK CLUBS TWO,0.653,0.0318,0.3152
SPADES JACK SPADES TEN,0.4964,0.0238,0.4798
HEARTS SEVEN SPADES EIGHT,0.7906,0.0792,0.1302
CLUBS ACE HEARTS JACK,0.525,0.004,0.471
SPADES FIVE DIAMONDS TEN,0.6784,0.0428,0.2788
HEARTS SEVEN SPADES THREE,0.7812,0.0772,0.1416
CLUBS NINE CLUBS THREE,0.6434,0.0586,0.298
HEARTS FOUR DIAMONDS FIVE,0.7308,0.1008,0.1684
CLUBS SIX DIAMONDS QUEEN,0.666,0.0212,0.3128
HEARTS TWO HEARTS QUEEN,0.642,0.0206,0.3374
SPADES JACK HEARTS NINE,0.5392,0.0268,0.434
SPADES NINE CLUBS THREE,0.685,0.0574,0.2576
HEARTS FOUR DIAMONDS QUEEN,0.6634,0.0244,0.3122
DIAMONDS TWO SPADES SEVEN,0.7922,0.083,0.1248
SPADES EIGHT DIAMONDS TEN,0.6334,0.0484,0.3182
HEARTS TWO SPADES THREE,0.7526,0.104,0.1434
SPADES TWO DIAMONDS SIX,0.7784,0.09,0.1316
DIAMONDS TWO CLUBS ACE,0.6482,0.0046,0.3472
SPADES TEN CLUBS TWO,0.6614,0.0534,0.2852
CLUBS TWO SPADES TWO,0.6316,0.1812,0.1872
DIAMONDS THREE DIAMONDS KING,0.641,0.0102,0.3488
SPADES ACE HEARTS SEVEN,0.6552,0.002,0.3428
HEARTS FIVE SPADES JACK,0.6738,0.0316,0.2946
CLUBS EIGHT SPADES FIVE,0.8052,0.0872,0.1076
SPADES NINE HEARTS KING,0.5356,0.009,0.4554
SPADES KING SPADES JACK,0.5,0.0062,0.4938
HEARTS SEVEN CLUBS EIGHT,0.79,0.0746,0.1354
HEARTS SIX HEARTS TWO,0.7366,0.0984,0.165
DIAMONDS QUEEN DIAMONDS TEN,0.5038,0.0128,0.4834
CLUBS EIGHT CLUBS QUEEN,0.6202,0.0302,0.3496
CLUBS EIGHT SPADES THREE,0.8374,0.085,0.0776
DIAMONDS SIX HEARTS NINE,0.682,0.0582,0.2598
HEARTS FIVE SPADES THREE,0.7538,0.0974,0.1488
CLUBS SIX CLUBS QUEEN,0.6298,0.0228,0.3474
SPADES TEN SPADES THREE,0.6418,0.0444,0.3138
DIAMONDS JACK CLUBS ACE,0.5268,0.0042,0.469
CLUBS TEN SPADES EIGHT,0.6424,0.0418,0.3158
HEARTS FIVE HEARTS FOUR,0.7024,0.093,0.2046
HEARTS QUEEN CLUBS ACE,0.5264,0.003,0.4706
DIAMONDS THREE CLUBS TWO,0.7498,0.1044,0.1458
HEARTS FIVE DIAMONDS JACK,0.674,0.0308,0.2952
HEARTS FIVE SPADES FIVE,0.6404,0.1714,0.1882
DIAMONDS TEN DIAMONDS SIX,0.636,0.0456,0.3184
SPADES QUEEN SPADES SIX,0.626,0.0242,0.3498
SPADES JACK HEARTS QUEEN,0.5222,0.0094,0.4684
SPADES ACE DIAMONDS FIVE,0.6538,0.0042,0.342
HEARTS JACK HEARTS TEN,0.4768,0.0238,0.4994
CLUBS TWO HEARTS QUEEN,0.6836,0.0224,0.294
DIAMONDS KING HEARTS KING,0.1852,0.0318,0.783
HEARTS FOUR HEARTS THREE,0.7048,0.1004,0.1948
DIAMONDS KING DIAMONDS TEN,0.5028,0.0068,0.4904
SPADES ACE DIAMONDS QUEEN,0.5292,0.0036,0.4672
DIAMONDS SIX CLUBS QUEEN,0.673,0.0198,0.3072
SPADES KING DIAMONDS TEN,0.5334,0.008,0.4586
SPADES SIX HEARTS JACK,0.664,0.0314,0.3046
SPADES TEN HEARTS THREE,0.6808,0.047,0.2722
DIAMONDS THREE SPADES JACK,0.6752,0.0334,0.2914
CLUBS SIX DIAMONDS FOUR,0.7588,0.0856,0.1556
HEARTS SEVEN HEARTS JACK,0.6388,0.0332,0.328
DIAMONDS TEN HEARTS JACK,0.5068,0.0252,0.468
DIAMONDS THREE SPADES KING,0.6652,0.0122,0.3226
DIAMONDS THREE HEARTS JACK,0.6732,0.0348,0.292
SPADES TWO HEARTS TEN,0.6768,0.0518,0.2714
CLUBS THREE CLUBS ACE,0.6212,0.0042,0.3746
CLUBS JACK CLUBS ACE,0.511,0.003,0.486
CLUBS TEN DIAMONDS SIX,0.6696,0.0468,0.2836
DIAMONDS KING SPADES SIX,0.6576,0.0094,0.333
HEARTS FIVE DIAMONDS FIVE,0.6328,0.1926,0.1746
SPADES ACE SPADES TEN,0.508,0.0036,0.4884
CLUBS FOUR CLUBS QUEEN,0.644,0.0222,0.3338
HEARTS QUEEN DIAMONDS SEVEN,0.6744,0.0222,0.3034
SPADES ACE HEARTS QUEEN,0.548,0.002,0.45
DIAMONDS THREE SPADES TEN,0.6836,0.0438,0.2726
CLUBS EIGHT HEARTS QUEEN,0.6828,0.0306,0.2866
HEARTS SIX HEARTS JACK,0.634,0.0348,0.3312
SPADES ACE HEARTS TWO,0.6542,0.0054,0.3404
HEARTS TWO CLUBS FIVE,0.7532,0.099,0.1478
CLUBS FOUR HEARTS JACK,0.6684,0.0326,0.299
DIAMONDS THREE HEARTS TWO,0.7724,0.1006,0.127
SPADES KING DIAMONDS FIVE,0.6558,0.0116,0.3326
CLUBS SEVEN SPADES SIX,0.7674,0.0808,0.1518
SPADES SEVEN DIAMONDS FOUR,0.7726,0.0802,0.1472
DIAMONDS ACE CLUBS ACE,0.1996,0.0028,0.7976
DIAMONDS FIVE DIAMONDS FOUR,0.7046,0.0984,0.197
CLUBS THREE HEARTS KING,0.664,0.0124,0.3236
CLUBS FOUR DIAMONDS FOUR,0.6378,0.1748,0.1874
HEARTS QUEEN HEARTS NINE,0.5292,0.015,0.4558
SPADES SIX HEARTS ACE,0.6612,0.0046,0.3342
SPADES QUEEN SPADES TEN,0.493,0.0134,0.4936
SPADES SEVEN DIAMONDS FIVE,0.7642,0.0778,0.158
SPADES JACK CLUBS SEVEN,0.67,0.0278,0.3022
SPADES ACE SPADES QUEEN,0.5034,0.0036,0.493
DIAMONDS JACK DIAMONDS FIVE,0.6344,0.0348,0.3308
DIAMONDS THREE DIAMONDS SIX,0.7364,0.0896,0.174
SPADES KING DIAMONDS KING,0.1996,0.037,0.7634
HEARTS JACK DIAMONDS FIVE,0.6832,0.0314,0.2854
CLUBS FOUR HEARTS NINE,0.6786,0.0606,0.2608
SPADES SIX HEARTS KING,0.66,0.0122,0.3278
DIAMONDS TWO CLUBS QUEEN,0.6838,0.021,0.2952
SPADES EIGHT DIAMONDS FIVE,0.815,0.0822,0.1028
DIAMONDS KING SPADES TWO,0.6776,0.0148,0.3076
CLUBS FIVE HEARTS JACK,0.6658,0.0348,0.2994
HEARTS FOUR CLUBS QUEEN,0.6792,0.0216,0.2992
HEARTS TWO CLUBS THREE,0.7596,0.1026,0.1378
CLUBS FIVE SPADES FIVE,0.625,0.1758,0.1992
CLUBS THREE SPADES THREE,0.6274,0.1776,0.195
CLUBS FIVE DIAMONDS SEVEN,0.7662,0.085,0.1488
HEARTS THREE DIAMONDS FOUR,0.7438,0.1062,0.15
SPADES EIGHT HEARTS KING,0.6876,0.0228,0.2896
HEARTS FOUR SPADES TWO,0.7508,0.1052,0.144
SPADES ACE DIAMONDS FOUR,0.6532,0.0042,0.3426
CLUBS EIGHT HEARTS THREE,0.8438,0.0876,0.0686
SPADES ACE SPADES EIGHT,0.6228,0.0248,0.3524
CLUBS TWO HEARTS ACE,0.6538,0.0052,0.341
CLUBS FOUR HEARTS ACE,0.6372,0.0048,0.358
CLUBS TEN SPADES FOUR,0.66,0.0456,0.2944
CLUBS NINE DIAMONDS FOUR,0.687,0.0586,0.2544
SPADES QUEEN DIAMONDS KING,0.5246,0.006,0.4694
DIAMONDS FIVE CLUBS QUEEN,0.6766,0.0238,0.2996
SPADES SEVEN DIAMONDS TEN,0.6582,0.0448,0.297
CLUBS TEN CLUBS THREE,0.646,0.0448,0.3092
HEARTS SIX SPADES QUEEN,0.6716,0.019,0.3094
CLUBS FIVE DIAMONDS KING,0.6668,0.0122,0.321
HEARTS TWO SPADES FIVE,0.7582,0.0972,0.1446
HEARTS SEVEN CLUBS NINE,0.664,0.0594,0.2766
CLUBS EIGHT DIAMONDS NINE,0.6248,0.0546,0.3206
HEARTS TWO CLUBS KING,0.678,0.0152,0.3068
SPADES FOUR HEARTS ACE,0.6362,0.0032,0.3606
CLUBS SIX CLUBS FIVE,0.6988,0.0856,0.2156
DIAMONDS TWO HEARTS QUEEN,0.6666,0.0218,0.3116
CLUBS SIX DIAMONDS JACK,0.6756,0.0306,0.2938
SPADES SIX DIAMONDS QUEEN,0.6568,0.0212,0.322
SPADES TEN DIAMONDS QUEEN,0.525,0.014,0.461
DIAMONDS THREE HEARTS THREE,0.6476,0.1876,0.1648
SPADES SIX HEARTS QUEEN,0.663,0.0202,0.3168
CLUBS SEVEN SPADES FOUR,0.7696,0.0768,0.1536
CLUBS FOUR DIAMONDS NINE,0.6698,0.0612,0.269
CLUBS NINE DIAMONDS NINE,0.1896,0.1578,0.6526
HEARTS FIVE DIAMONDS SIX,0.7638,0.0866,0.1496
SPADES ACE DIAMONDS JACK,0.5258,0.0054,0.4688
CLUBS JACK HEARTS SIX,0.681,0.027,0.292
SPADES ACE DIAMONDS THREE,0.6484,0.0028,0.3488
HEARTS SIX HEARTS THREE,0.7314,0.0844,0.1842
SPADES TEN DIAMONDS TEN,0.1844,0.1256,0.69
DIAMONDS ACE HEARTS NINE,0.5582,0.0052,0.4366
SPADES ACE CLUBS ACE,0.1968,0.0018,0.8014
SPADES QUEEN CLUBS NINE,0.5498,0.018,0.4322
CLUBS SEVEN HEARTS JACK,0.6724,0.0386,0.289
SPADES KING HEARTS SIX,0.667,0.0102,0.3228
CLUBS TWO DIAMONDS SEVEN,0.7928,0.0918,0.1154
CLUBS TEN DIAMONDS TWO,0.6904,0.0444,0.2652
CLUBS NINE DIAMONDS QUEEN,0.5348,0.0184,0.4468
HEARTS FOUR DIAMONDS JACK,0.6762,0.0374,0.2864
HEARTS TWO DIAMONDS FIVE,0.7578,0.104,0.1382
CLUBS THREE SPADES TWO,0.7436,0.1036,0.1528
SPADES EIGHT CLUBS THREE,0.829,0.096,0.075
SPADES SIX DIAMONDS SEVEN,0.7716,0.081,0.1474
DIAMONDS KING CLUBS KING,0.1926,0.0298,0.7776
DIAMONDS THREE CLUBS FOUR,0.7508,0.0958,0.1534
DIAMONDS ACE DIAMONDS FOUR,0.6118,0.0046,0.3836
SPADES JACK DIAMONDS JACK,0.1918,0.0938,0.7144
SPADES TEN DIAMONDS SIX,0.6816,0.0424,0.276
DIAMONDS ACE CLUBS FOUR,0.637,0.003,0.36
CLUBS TEN DIAMONDS ACE,0.5442,0.0018,0.454
CLUBS EIGHT CLUBS FIVE,0.7616,0.0806,0.1578
SPADES FIVE HEARTS ACE,0.6402,0.0038,0.356
SPADES QUEEN CLUBS ACE,0.5382,0.0028,0.459
CLUBS FIVE DIAMONDS FIVE,0.642,0.182,0.176
SPADES SEVEN HEARTS KING,0.6554,0.0136,0.331
SPADES TWO DIAMONDS FIVE,0.7496,0.0944,0.156
HEARTS THREE CLUBS KING,0.6792,0.014,0.3068
SPADES FIVE HEARTS NINE,0.6596,0.0648,0.2756
CLUBS ACE DIAMONDS FOUR,0.643,0.005,0.352
SPADES TEN CLUBS ACE,0.5364,0.0038,0.4598
HEARTS THREE HEARTS TEN,0.643,0.0438,0.3132
CLUBS JACK DIAMONDS FIVE,0.6746,0.0348,0.2906
DIAMONDS THREE SPADES NINE,0.689,0.064,0.247
DIAMONDS THREE DIAMONDS SEVEN,0.7404,0.0828,0.1768
DIAMONDS TWO DIAMONDS TEN,0.6442,0.0456,0.3102
CLUBS JACK DIAMONDS QUEEN,0.5186,0.0136,0.4678
SPADES SIX SPADES FOUR,0.7224,0.0804,0.1972
HEARTS SIX CLUBS QUEEN,0.6652,0.0188,0.316
CLUBS SIX HEARTS QUEEN,0.6576,0.0216,0.3208
CLUBS TWO DIAMONDS SIX,0.776,0.0892,0.1348
DIAMONDS TWO SPADES FIVE,0.7606,0.0956,0.1438
DIAMONDS THREE HEARTS FOUR,0.7556,0.1024,0.142
CLUBS FIVE CLUBS ACE,0.6148,0.0044,0.3808
CLUBS JACK HEARTS QUEEN,0.514,0.011,0.475
SPADES QUEEN CLUBS QUEEN,0.2038,0.0622,0.734
SPADES JACK HEARTS TEN,0.5278,0.0238,0.4484
SPADES KING HEARTS TEN,0.518,0.0084,0.4736
SPADES KING CLUBS FOUR,0.6622,0.011,0.3268
DIAMONDS THREE DIAMONDS JACK,0.641,0.0302,0.3288
SPADES JACK SPADES FOUR,0.6304,0.0306,0.339
CLUBS FOUR DIAMONDS SIX,0.755,0.0894,0.1556
DIAMONDS QUEEN HEARTS ACE,0.5294,0.0068,0.4638
DIAMONDS THREE HEARTS FIVE,0.7338,0.1014,0.1648
DIAMONDS TWO SPADES NINE,0.6948,0.0622,0.243
CLUBS JACK CLUBS EIGHT,0.6154,0.038,0.3466
CLUBS THREE DIAMONDS NINE,0.6796,0.058,0.2624
SPADES TEN CLUBS FOUR,0.672,0.047,0.281
HEARTS FOUR SPADES FIVE,0.7392,0.0948,0.166
CLUBS ACE CLUBS QUEEN,0.503,0.0044,0.4926
DIAMONDS SEVEN HEARTS JACK,0.6782,0.034,0.2878
HEARTS FIVE HEARTS QUEEN,0.636,0.0202,0.3438
DIAMONDS ACE HEARTS KING,0.5166,0.004,0.4794
HEARTS FOUR SPADES SEVEN,0.7784,0.0828,0.1388
SPADES KING SPADES TEN,0.4856,0.009,0.5054
SPADES KING HEARTS ACE,0.5296,0.0038,0.4666
DIAMONDS ACE SPADES SIX,0.653,0.0042,0.3428
DIAMONDS THREE DIAMONDS FIVE,0.7092,0.0922,0.1986
SPADES QUEEN CLUBS SEVEN,0.6768,0.0176,0.3056
CLUBS SIX HEARTS NINE,0.664,0.0604,0.2756
HEARTS SEVEN SPADES FOUR,0.7696,0.0776,0.1528
SPADES TEN SPADES SIX,0.638,0.0432,0.3188
HEARTS SEVEN SPADES NINE,0.676,0.0556,0.2684
CLUBS SIX CLUBS ACE,0.6156,0.0016,0.3828
CLUBS THREE HEARTS TEN,0.6666,0.0476,0.2858
CLUBS TEN HEARTS THREE,0.6804,0.0454,0.2742
CLUBS FIVE HEARTS QUEEN,0.6606,0.02,0.3194
CLUBS EIGHT CLUBS SIX,0.7384,0.0826,0.179
HEARTS SIX DIAMONDS NINE,0.6626,0.0596,0.2778
DIAMONDS QUEEN DIAMONDS FIVE,0.639,0.0208,0.3402
SPADES SIX HEARTS NINE,0.662,0.0604,0.2776
CLUBS QUEEN HEARTS NINE,0.5404,0.0194,0.4402
HEARTS FIVE DIAMONDS TEN,0.6806,0.044,0.2754
SPADES KING SPADES TWO,0.6354,0.0104,0.3542
CLUBS EIGHT DIAMONDS QUEEN,0.6656,0.0346,0.2998
DIAMONDS THREE CLUBS KING,0.6694,0.0094,0.3212
