opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT DIAMONDS FIVE
HEARTS SEVEN HEARTS ACE,0.3484,0.0054,0.6462
CLUBS FOUR HEARTS NINE,0.4074,0.0406,0.552
SPADES TEN SPADES SIX,0.3524,0.0262,0.6214
HEARTS FIVE DIAMONDS TEN,0.256,0.076,0.668
HEARTS QUEEN DIAMONDS FOUR,0.4062,0.0134,0.5804
SPADES QUEEN CLUBS QUEEN,0.1708,0.023,0.8062
SPADES QUEEN SPADES TEN,0.3276,0.0086,0.6638
SPADES ACE HEARTS THREE,0.4088,0.0064,0.5848
SPADES ACE DIAMONDS FOUR,0.3904,0.0048,0.6048
HEARTS FOUR DIAMONDS NINE,0.4008,0.0456,0.5536
DIAMONDS SIX DIAMONDS FOUR,0.553,0.063,0.384
SPADES KING DIAMONDS FOUR,0.4072,0.0072,0.5856
HEARTS THREE DIAMONDS SEVEN,0.6026,0.0626,0.3348
SPADES QUEEN CLUBS FOUR,0.4062,0.0122,0.5816
HEARTS THREE CLUBS SIX,0.5938,0.068,0.3382
CLUBS FOUR DIAMONDS SEVEN,0.58,0.064,0.356
DIAMONDS ACE SPADES SEVEN,0.365,0.0046,0.6304
DIAMONDS NINE HEARTS QUEEN,0.3384,0.0126,0.649
CLUBS EIGHT DIAMONDS ACE,0.2448,0.032,0.7232
CLUBS SEVEN DIAMONDS TEN,0.3554,0.0278,0.6168
DIAMONDS ACE DIAMONDS SEVEN,0.3556,0.0042,0.6402
SPADES EIGHT CLUBS THREE,0.335,0.4402,0.2248
CLUBS TWO HEARTS JACK,0.4096,0.0228,0.5676
CLUBS SEVEN SPADES FIVE,0.6088,0.135,0.2562
DIAMONDS THREE HEARTS FIVE,0.595,0.1592,0.2458
SPADES EIGHT SPADES SIX,0.2086,0.3508,0.4406
HEARTS FOUR CLUBS SEVEN,0.5962,0.0714,0.3324
CLUBS FOUR DIAMONDS NINE,0.4062,0.0478,0.546
SPADES NINE CLUBS FIVE,0.2522,0.0924,0.6554
HEARTS SEVEN SPADES FIVE,0.6056,0.1464,0.248
HEARTS FIVE CLUBS THREE,0.589,0.1514,0.2596
CLUBS SIX SPADES SIX,0.2648,0.089,0.6462
DIAMONDS TWO DIAMONDS EIGHT,0.3294,0.4262,0.2444
CLUBS NINE CLUBS FIVE,0.2366,0.1058,0.6576
DIAMONDS TWO SPADES FIVE,0.6118,0.1552,0.233
CLUBS JACK DIAMONDS KING,0.343,0.0062,0.6508
HEARTS KING HEARTS NINE,0.3296,0.0068,0.6636
SPADES NINE SPADES TWO,0.3842,0.0376,0.5782
SPADES ACE SPADES JACK,0.3242,0.0042,0.6716
SPADES EIGHT DIAMONDS SEVEN,0.2264,0.2882,0.4854
SPADES SEVEN SPADES FIVE,0.5786,0.1328,0.2886
SPADES TEN DIAMONDS QUEEN,0.3318,0.0104,0.6578
DIAMONDS TWO DIAMONDS TEN,0.3954,0.026,0.5786
DIAMONDS QUEEN DIAMONDS SIX,0.354,0.0128,0.6332
DIAMONDS KING DIAMONDS JACK,0.3226,0.0072,0.6702
SPADES SIX SPADES THREE,0.5512,0.0588,0.39
CLUBS TEN DIAMONDS JACK,0.3372,0.0156,0.6472
CLUBS FIVE CLUBS THREE,0.563,0.148,0.289
SPADES KING SPADES NINE,0.3138,0.0052,0.681
HEARTS FIVE DIAMONDS KING,0.256,0.0398,0.7042
SPADES ACE DIAMONDS KING,0.354,0.0048,0.6412
CLUBS TEN SPADES JACK,0.336,0.0128,0.6512
SPADES SIX CLUBS ACE,0.363,0.0038,0.6332
CLUBS JACK DIAMONDS NINE,0.3332,0.013,0.6538
HEARTS THREE HEARTS NINE,0.3886,0.0436,0.5678
CLUBS JACK SPADES TWO,0.4294,0.0204,0.5502
SPADES SEVEN HEARTS QUEEN,0.3656,0.012,0.6224
SPADES TWO CLUBS ACE,0.4076,0.0064,0.586
HEARTS TWO DIAMONDS ACE,0.4006,0.0052,0.5942
CLUBS ACE CLUBS QUEEN,0.3298,0.005,0.6652
SPADES ACE SPADES NINE,0.326,0.0046,0.6694
HEARTS FOUR HEARTS NINE,0.3834,0.041,0.5756
DIAMONDS TWO DIAMONDS SEVEN,0.5752,0.0608,0.364
CLUBS SEVEN CLUBS QUEEN,0.374,0.0112,0.6148
DIAMONDS TEN DIAMONDS NINE,0.307,0.0222,0.6708
CLUBS SIX DIAMONDS EIGHT,0.2114,0.3846,0.404
SPADES ACE SPADES QUEEN,0.335,0.0046,0.6604
CLUBS TEN SPADES QUEEN,0.342,0.013,0.645
SPADES JACK SPADES TWO,0.3862,0.0164,0.5974
SPADES JACK CLUBS SEVEN,0.3776,0.0162,0.6062
HEARTS SIX HEARTS NINE,0.3434,0.0364,0.6202
DIAMONDS TEN DIAMONDS FOUR,0.3882,0.0286,0.5832
SPADES ACE HEARTS ACE,0.1556,0.0042,0.8402
DIAMONDS THREE CLUBS KING,0.4212,0.0082,0.5706
SPADES QUEEN DIAMONDS QUEEN,0.1598,0.0272,0.813
HEARTS FIVE CLUBS SIX,0.5914,0.139,0.2696
HEARTS TWO HEARTS KING,0.3902,0.01,0.5998
CLUBS SEVEN DIAMONDS SEVEN,0.2512,0.0802,0.6686
CLUBS JACK CLUBS FOUR,0.3852,0.0162,0.5986
HEARTS TWO CLUBS THREE,0.6042,0.0718,0.324
HEARTS SEVEN SPADES TEN,0.3574,0.0268,0.6158
SPADES SIX HEARTS QUEEN,0.3796,0.0116,0.6088
HEARTS FIVE DIAMONDS ACE,0.2528,0.023,0.7242
SPADES QUEEN SPADES JACK,0.3204,0.0102,0.6694
HEARTS THREE HEARTS JACK,0.4,0.0178,0.5822
DIAMONDS QUEEN HEARTS TEN,0.33,0.0104,0.6596
DIAMONDS TEN SPADES TWO,0.417,0.0302,0.5528
CLUBS JACK HEARTS THREE,0.426,0.0202,0.5538
CLUBS TWO DIAMONDS JACK,0.413,0.0182,0.5688
DIAMONDS KING SPADES TWO,0.4224,0.0078,0.5698
SPADES KING SPADES JACK,0.3236,0.0062,0.6702
HEARTS QUEEN DIAMONDS SEVEN,0.375,0.0134,0.6116
CLUBS THREE HEARTS QUEEN,0.4034,0.0128,0.5838
CLUBS ACE HEARTS JACK,0.3546,0.0034,0.642
DIAMONDS KING DIAMONDS QUEEN,0.3304,0.0074,0.6622
SPADES KING CLUBS THREE,0.41,0.0066,0.5834
CLUBS NINE SPADES SEVEN,0.336,0.0492,0.6148
CLUBS SEVEN CLUBS SIX,0.5072,0.053,0.4398
CLUBS EIGHT HEARTS TWO,0.3274,0.4578,0.2148
SPADES QUEEN SPADES SEVEN,0.357,0.0114,0.6316
SPADES FIVE CLUBS QUEEN,0.2648,0.045,0.6902
HEARTS FOUR HEARTS THREE,0.5584,0.0644,0.3772
SPADES JACK SPADES FOUR,0.3826,0.0176,0.5998
SPADES JACK HEARTS NINE,0.3264,0.02,0.6536
DIAMONDS THREE CLUBS EIGHT,0.34,0.4534,0.2066
SPADES KING CLUBS QUEEN,0.365,0.0054,0.6296
CLUBS SIX CLUBS QUEEN,0.3462,0.0136,0.6402
SPADES KING HEARTS SIX,0.3784,0.0084,0.6132
CLUBS NINE SPADES JACK,0.3246,0.0172,0.6582
SPADES ACE SPADES FIVE,0.2404,0.023,0.7366
SPADES SEVEN HEARTS TEN,0.3502,0.023,0.6268
SPADES FIVE SPADES THREE,0.5632,0.1422,0.2946
DIAMONDS ACE DIAMONDS EIGHT,0.2362,0.0266,0.7372
HEARTS ACE CLUBS ACE,0.1534,0.0044,0.8422
HEARTS THREE SPADES FOUR,0.5812,0.0644,0.3544
SPADES TEN HEARTS TWO,0.4162,0.0272,0.5566
CLUBS TWO HEARTS KING,0.4106,0.0088,0.5806
HEARTS FIVE SPADES EIGHT,0.0174,0.9708,0.0118
CLUBS FOUR HEARTS TEN,0.4044,0.0288,0.5668
SPADES THREE DIAMONDS SIX,0.5722,0.0692,0.3586
CLUBS TEN SPADES SEVEN,0.369,0.026,0.605
HEARTS SEVEN CLUBS FOUR,0.5902,0.0656,0.3442
HEARTS TWO SPADES SEVEN,0.6024,0.0622,0.3354
SPADES ACE CLUBS ACE,0.169,0.003,0.828
CLUBS TEN DIAMONDS TWO,0.4214,0.0256,0.553
SPADES KING HEARTS KING,0.1548,0.0178,0.8274
CLUBS JACK CLUBS THREE,0.3836,0.0168,0.5996
SPADES KING CLUBS EIGHT,0.2684,0.034,0.6976
DIAMONDS THREE DIAMONDS JACK,0.3952,0.0176,0.5872
HEARTS SIX DIAMONDS SIX,0.2654,0.0896,0.645
SPADES EIGHT DIAMONDS FOUR,0.3246,0.4574,0.218
DIAMONDS TEN HEARTS TEN,0.1532,0.0566,0.7902
CLUBS TWO CLUBS ACE,0.3912,0.005,0.6038
HEARTS ACE HEARTS TEN,0.3406,0.0066,0.6528
DIAMONDS KING DIAMONDS EIGHT,0.2522,0.037,0.7108
CLUBS JACK CLUBS TWO,0.3918,0.0202,0.588
CLUBS NINE CLUBS SEVEN,0.323,0.0422,0.6348
CLUBS THREE HEARTS ACE,0.4008,0.0034,0.5958
DIAMONDS JACK HEARTS JACK,0.1614,0.0406,0.798
HEARTS SIX HEARTS ACE,0.3454,0.0068,0.6478
DIAMONDS JACK DIAMONDS FOUR,0.3778,0.021,0.6012
SPADES TWO HEARTS QUEEN,0.425,0.0108,0.5642
SPADES FOUR CLUBS KING,0.405,0.0094,0.5856
DIAMONDS TEN CLUBS QUEEN,0.325,0.0104,0.6646
SPADES KING CLUBS NINE,0.3538,0.0076,0.6386
SPADES TEN DIAMONDS FOUR,0.4128,0.028,0.5592
SPADES QUEEN HEARTS FOUR,0.402,0.0124,0.5856
DIAMONDS TWO CLUBS FOUR,0.6198,0.0608,0.3194
CLUBS TEN SPADES NINE,0.3326,0.0206,0.6468
CLUBS EIGHT SPADES SEVEN,0.2256,0.2964,0.478
HEARTS FIVE HEARTS TEN,0.2524,0.0768,0.6708
HEARTS QUEEN CLUBS KING,0.3328,0.0072,0.66
CLUBS THREE CLUBS TWO,0.56,0.0632,0.3768
SPADES THREE HEARTS TEN,0.4128,0.0282,0.559
CLUBS SEVEN DIAMONDS SIX,0.5344,0.0644,0.4012
SPADES KING DIAMONDS EIGHT,0.259,0.0402,0.7008
SPADES EIGHT SPADES THREE,0.3212,0.4182,0.2606
HEARTS FOUR HEARTS ACE,0.3932,0.0052,0.6016
HEARTS THREE SPADES EIGHT,0.3522,0.444,0.2038
SPADES QUEEN DIAMONDS JACK,0.3372,0.01,0.6528
SPADES FOUR HEARTS QUEEN,0.3998,0.0112,0.589
SPADES FOUR CLUBS QUEEN,0.412,0.0114,0.5766
CLUBS NINE SPADES EIGHT,0.2398,0.1002,0.66
CLUBS SEVEN DIAMONDS FOUR,0.5784,0.0644,0.3572
HEARTS QUEEN HEARTS NINE,0.3352,0.0072,0.6576
CLUBS THREE SPADES FOUR,0.5818,0.0734,0.3448
DIAMONDS EIGHT DIAMONDS FOUR,0.3146,0.4406,0.2448
SPADES SEVEN CLUBS ACE,0.3802,0.0046,0.6152
SPADES NINE HEARTS TEN,0.3158,0.025,0.6592
CLUBS SEVEN HEARTS THREE,0.5982,0.0686,0.3332
SPADES FOUR DIAMONDS NINE,0.4088,0.0402,0.551
HEARTS FIVE DIAMONDS JACK,0.2684,0.056,0.6756
CLUBS JACK HEARTS NINE,0.3342,0.0176,0.6482
HEARTS SEVEN CLUBS TWO,0.6162,0.0616,0.3222
SPADES JACK HEARTS TWO,0.4256,0.016,0.5584
DIAMONDS THREE CLUBS SEVEN,0.5884,0.0642,0.3474
HEARTS TWO HEARTS TEN,0.402,0.025,0.573
DIAMONDS THREE CLUBS TWO,0.5906,0.0702,0.3392
CLUBS SEVEN CLUBS TWO,0.5594,0.068,0.3726
CLUBS FOUR SPADES SIX,0.5716,0.0616,0.3668
DIAMONDS THREE SPADES FIVE,0.5836,0.158,0.2584
CLUBS JACK DIAMONDS JACK,0.1652,0.0372,0.7976
DIAMONDS TEN DIAMONDS EIGHT,0.2212,0.0738,0.705
SPADES TEN CLUBS SEVEN,0.3666,0.0254,0.608
SPADES THREE DIAMONDS SEVEN,0.5944,0.0642,0.3414
DIAMONDS QUEEN DIAMONDS SEVEN,0.3552,0.0114,0.6334
SPADES FIVE DIAMONDS FOUR,0.5828,0.1546,0.2626
CLUBS TEN HEARTS FOUR,0.3992,0.0256,0.5752
