opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT DIAMONDS KING
HEARTS FOUR DIAMONDS QUEEN,0.6278,0.0088,0.3634
DIAMONDS QUEEN DIAMONDS JACK,0.5288,0.0072,0.464
CLUBS SIX CLUBS QUEEN,0.5936,0.0054,0.401
SPADES JACK DIAMONDS NINE,0.5756,0.0062,0.4182
SPADES EIGHT CLUBS FIVE,0.6944,0.0356,0.27
CLUBS FIVE CLUBS THREE,0.5742,0.0088,0.417
CLUBS FOUR DIAMONDS TEN,0.6394,0.0062,0.3544
DIAMONDS SIX HEARTS NINE,0.6062,0.0084,0.3854
HEARTS TWO DIAMONDS ACE,0.3938,0.0062,0.6
CLUBS TEN CLUBS SEVEN,0.5748,0.0074,0.4178
CLUBS JACK DIAMONDS QUEEN,0.5666,0.006,0.4274
CLUBS TEN HEARTS KING,0.2352,0.1088,0.656
HEARTS FIVE CLUBS EIGHT,0.6992,0.0372,0.2636
DIAMONDS THREE CLUBS FOUR,0.6362,0.0102,0.3536
DIAMONDS TEN HEARTS ACE,0.3518,0.0054,0.6428
SPADES TEN HEARTS THREE,0.6466,0.0078,0.3456
HEARTS TWO SPADES THREE,0.6576,0.008,0.3344
SPADES QUEEN SPADES TEN,0.5262,0.006,0.4678
CLUBS KING HEARTS TEN,0.223,0.1284,0.6486
CLUBS SEVEN HEARTS ACE,0.3852,0.0044,0.6104
HEARTS FOUR HEARTS KING,0.5102,0.2186,0.2712
SPADES QUEEN DIAMONDS QUEEN,0.2818,0.0026,0.7156
DIAMONDS JACK DIAMONDS SIX,0.6066,0.0084,0.385
CLUBS SEVEN HEARTS QUEEN,0.6342,0.0076,0.3582
CLUBS EIGHT CLUBS SEVEN,0.6324,0.0322,0.3354
HEARTS SEVEN CLUBS EIGHT,0.681,0.0334,0.2856
HEARTS SIX HEARTS FOUR,0.6024,0.0072,0.3904
CLUBS JACK CLUBS FIVE,0.5808,0.0066,0.4126
HEARTS FIVE HEARTS JACK,0.5846,0.0054,0.41
HEARTS SEVEN CLUBS FIVE,0.6212,0.007,0.3718
SPADES SIX CLUBS QUEEN,0.6292,0.0052,0.3656
CLUBS TEN SPADES FOUR,0.6208,0.007,0.3722
SPADES ACE SPADES SEVEN,0.3616,0.0062,0.6322
SPADES ACE DIAMONDS SIX,0.3954,0.0056,0.599
SPADES ACE DIAMONDS TWO,0.3996,0.0046,0.5958
HEARTS FOUR CLUBS QUEEN,0.626,0.0056,0.3684
HEARTS QUEEN DIAMONDS FOUR,0.6158,0.0094,0.3748
SPADES FOUR DIAMONDS SIX,0.6412,0.0086,0.3502
SPADES ACE DIAMONDS FIVE,0.4026,0.005,0.5924
CLUBS JACK HEARTS SIX,0.6358,0.0068,0.3574
CLUBS TWO DIAMONDS EIGHT,0.7432,0.035,0.2218
SPADES ACE SPADES FOUR,0.3668,0.004,0.6292
