opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT DIAMONDS QUEEN
SPADES KING DIAMONDS TWO,0.4228,0.0074,0.5698
CLUBS EIGHT SPADES NINE,0.6676,0.0386,0.2938
HEARTS TEN DIAMONDS FOUR,0.6342,0.0118,0.354
DIAMONDS TWO HEARTS FIVE,0.661,0.013,0.326
HEARTS FIVE SPADES TWO,0.6368,0.0118,0.3514
SPADES QUEEN DIAMONDS KING,0.2216,0.025,0.7534
SPADES QUEEN HEARTS JACK,0.2256,0.0862,0.6882
SPADES EIGHT DIAMONDS SIX,0.6822,0.0478,0.27
SPADES SEVEN DIAMONDS EIGHT,0.6846,0.0504,0.265
DIAMONDS SEVEN HEARTS NINE,0.6172,0.0124,0.3704
HEARTS THREE DIAMONDS NINE,0.6546,0.0124,0.333
CLUBS THREE CLUBS ACE,0.3922,0.004,0.6038
CLUBS SEVEN SPADES NINE,0.6072,0.0102,0.3826
HEARTS THREE HEARTS JACK,0.6046,0.0108,0.3846
SPADES SEVEN CLUBS ACE,0.3962,0.0022,0.6016
SPADES FOUR DIAMONDS NINE,0.6458,0.0102,0.344
DIAMONDS TWO SPADES THREE,0.6342,0.0134,0.3524
HEARTS THREE CLUBS TWO,0.6538,0.013,0.3332
SPADES JACK CLUBS FOUR,0.6328,0.0082,0.359
SPADES ACE SPADES EIGHT,0.231,0.0242,0.7448
DIAMONDS TEN DIAMONDS EIGHT,0.6752,0.0386,0.2862
SPADES SEVEN SPADES FIVE,0.5852,0.012,0.4028
HEARTS SEVEN SPADES TEN,0.6344,0.0076,0.358
HEARTS SEVEN HEARTS KING,0.3966,0.0104,0.593
CLUBS FOUR DIAMONDS FOUR,0.4558,0.024,0.5202
SPADES TEN HEARTS QUEEN,0.2254,0.1102,0.6644
HEARTS SEVEN CLUBS SIX,0.6108,0.009,0.3802
SPADES EIGHT HEARTS TEN,0.6838,0.0428,0.2734
HEARTS KING DIAMONDS EIGHT,0.2374,0.0256,0.737
CLUBS SEVEN HEARTS TWO,0.6686,0.0124,0.319
DIAMONDS THREE HEARTS KING,0.4074,0.0078,0.5848
DIAMONDS THREE DIAMONDS KING,0.4048,0.009,0.5862
CLUBS FOUR DIAMONDS SEVEN,0.6344,0.013,0.3526
HEARTS FIVE DIAMONDS EIGHT,0.697,0.052,0.251
HEARTS SIX SPADES THREE,0.6476,0.0118,0.3406
SPADES QUEEN CLUBS THREE,0.5482,0.2204,0.2314
CLUBS FIVE HEARTS QUEEN,0.535,0.227,0.238
SPADES THREE CLUBS QUEEN,0.5426,0.2256,0.2318
SPADES QUEEN DIAMONDS SEVEN,0.5576,0.226,0.2164
DIAMONDS SEVEN CLUBS ACE,0.4062,0.0048,0.589
SPADES JACK SPADES SIX,0.5922,0.011,0.3968
HEARTS FOUR SPADES EIGHT,0.72,0.049,0.231
DIAMONDS JACK CLUBS KING,0.3464,0.0068,0.6468
CLUBS FOUR HEARTS JACK,0.6384,0.0108,0.3508
DIAMONDS TWO HEARTS NINE,0.6418,0.0138,0.3444
DIAMONDS ACE SPADES SEVEN,0.4062,0.0038,0.59
HEARTS FOUR DIAMONDS SIX,0.64,0.0144,0.3456
SPADES NINE CLUBS KING,0.3674,0.0048,0.6278
SPADES TWO CLUBS QUEEN,0.5382,0.227,0.2348
SPADES KING HEARTS TEN,0.3532,0.005,0.6418
HEARTS TWO CLUBS THREE,0.6586,0.0134,0.328
HEARTS THREE HEARTS NINE,0.609,0.0076,0.3834
HEARTS SIX DIAMONDS TEN,0.63,0.0132,0.3568
DIAMONDS THREE SPADES FIVE,0.6234,0.011,0.3656
CLUBS TWO HEARTS KING,0.4086,0.0072,0.5842
CLUBS TEN SPADES SEVEN,0.6112,0.01,0.3788
CLUBS NINE SPADES SEVEN,0.6156,0.0104,0.374
HEARTS FIVE HEARTS TEN,0.595,0.0106,0.3944
SPADES JACK CLUBS QUEEN,0.2394,0.0914,0.6692
CLUBS THREE DIAMONDS EIGHT,0.7274,0.0494,0.2232
HEARTS THREE DIAMONDS FOUR,0.6396,0.0128,0.3476
CLUBS SEVEN SPADES FIVE,0.6142,0.0148,0.371
HEARTS SEVEN HEARTS SIX,0.5834,0.0132,0.4034
SPADES THREE DIAMONDS SIX,0.6482,0.013,0.3388
DIAMONDS TWO DIAMONDS SIX,0.6362,0.0122,0.3516
CLUBS TEN DIAMONDS EIGHT,0.7022,0.0402,0.2576
DIAMONDS TEN DIAMONDS SIX,0.5988,0.0108,0.3904
CLUBS TEN SPADES FIVE,0.6276,0.0088,0.3636
SPADES EIGHT SPADES SIX,0.6396,0.0498,0.3106
CLUBS EIGHT CLUBS THREE,0.6754,0.0496,0.275
SPADES NINE HEARTS TWO,0.6468,0.0122,0.341
SPADES SIX DIAMONDS JACK,0.649,0.0088,0.3422
SPADES JACK HEARTS THREE,0.638,0.0114,0.3506
DIAMONDS TWO DIAMONDS JACK,0.603,0.0106,0.3864
SPADES QUEEN DIAMONDS SIX,0.5626,0.2172,0.2202
DIAMONDS TWO SPADES FIVE,0.643,0.0116,0.3454
SPADES KING HEARTS THREE,0.4116,0.0074,0.581
SPADES THREE HEARTS TEN,0.6416,0.0116,0.3468
CLUBS FOUR SPADES TWO,0.6462,0.011,0.3428
CLUBS SEVEN DIAMONDS SIX,0.615,0.0118,0.3732
SPADES TEN DIAMONDS JACK,0.5664,0.0098,0.4238
HEARTS THREE HEARTS TWO,0.6172,0.0132,0.3696
HEARTS FOUR SPADES SIX,0.6328,0.0112,0.356
DIAMONDS NINE DIAMONDS EIGHT,0.6558,0.0362,0.308
CLUBS TWO HEARTS NINE,0.6308,0.0134,0.3558
HEARTS SIX DIAMONDS KING,0.4016,0.0072,0.5912
CLUBS JACK DIAMONDS JACK,0.2858,0.0126,0.7016
CLUBS FIVE CLUBS FOUR,0.5868,0.0096,0.4036
HEARTS ACE HEARTS TEN,0.324,0.0052,0.6708
CLUBS TEN CLUBS KING,0.3298,0.0058,0.6644
HEARTS JACK HEARTS NINE,0.5402,0.0088,0.451
SPADES SIX CLUBS KING,0.3958,0.0062,0.598
SPADES SIX SPADES FOUR,0.587,0.0116,0.4014
HEARTS SIX CLUBS ACE,0.4026,0.0046,0.5928
DIAMONDS FIVE HEARTS NINE,0.6226,0.0118,0.3656
DIAMONDS JACK DIAMONDS TEN,0.5398,0.009,0.4512
CLUBS JACK HEARTS THREE,0.6522,0.0102,0.3376
HEARTS TWO DIAMONDS EIGHT,0.7342,0.0512,0.2146
DIAMONDS TWO CLUBS EIGHT,0.7272,0.0496,0.2232
DIAMONDS TWO DIAMONDS KING,0.3916,0.0084,0.6
DIAMONDS NINE SPADES THREE,0.6456,0.011,0.3434
CLUBS SEVEN DIAMONDS ACE,0.389,0.0048,0.6062
CLUBS JACK HEARTS TWO,0.6456,0.0114,0.343
SPADES TEN CLUBS SIX,0.6236,0.0076,0.3688
CLUBS JACK DIAMONDS FIVE,0.6304,0.012,0.3576
DIAMONDS TEN HEARTS JACK,0.559,0.011,0.43
DIAMONDS SIX DIAMONDS FOUR,0.597,0.0118,0.3912
CLUBS SEVEN DIAMONDS SEVEN,0.431,0.0234,0.5456
SPADES TEN DIAMONDS KING,0.3424,0.0054,0.6522
HEARTS SIX CLUBS THREE,0.6336,0.0116,0.3548
HEARTS SEVEN HEARTS TWO,0.6326,0.0134,0.354
SPADES KING HEARTS NINE,0.3622,0.0088,0.629
HEARTS SIX SPADES TWO,0.6568,0.0116,0.3316
CLUBS KING HEARTS NINE,0.3562,0.0078,0.636
SPADES KING DIAMONDS KING,0.1428,0.0036,0.8536
SPADES TEN SPADES FOUR,0.5996,0.0074,0.393
