opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT DIAMONDS TWO
SPADES KING HEARTS QUEEN,0.3202,0.0064,0.6734
HEARTS QUEEN DIAMONDS FIVE,0.3474,0.013,0.6396
HEARTS ACE CLUBS KING,0.3198,0.0036,0.6766
HEARTS SEVEN DIAMONDS KING,0.3478,0.0074,0.6448
HEARTS SIX HEARTS THREE,0.4976,0.0638,0.4386
CLUBS THREE CLUBS QUEEN,0.351,0.0116,0.6374
CLUBS SEVEN DIAMONDS QUEEN,0.345,0.0104,0.6446
CLUBS NINE HEARTS TWO,0.238,0.0964,0.6656
SPADES NINE HEARTS QUEEN,0.3236,0.0104,0.666
HEARTS TWO DIAMONDS NINE,0.242,0.1094,0.6486
SPADES EIGHT CLUBS THREE,0.2148,0.5256,0.2596
HEARTS SEVEN CLUBS THREE,0.5392,0.0674,0.3934
HEARTS JACK HEARTS TEN,0.29,0.0162,0.6938
HEARTS FOUR DIAMONDS KING,0.3566,0.0104,0.633
CLUBS EIGHT SPADES SEVEN,0.2142,0.2954,0.4904
CLUBS JACK DIAMONDS NINE,0.3052,0.0164,0.6784
CLUBS TEN CLUBS TWO,0.2248,0.0708,0.7044
DIAMONDS FOUR CLUBS ACE,0.338,0.0044,0.6576
CLUBS THREE HEARTS TEN,0.3432,0.0294,0.6274
HEARTS QUEEN DIAMONDS SIX,0.3502,0.0132,0.6366
SPADES SEVEN HEARTS NINE,0.3088,0.042,0.6492
CLUBS JACK HEARTS TWO,0.25,0.0524,0.6976
CLUBS SIX DIAMONDS FIVE,0.493,0.063,0.444
SPADES THREE CLUBS ACE,0.342,0.0042,0.6538
HEARTS TWO HEARTS KING,0.2368,0.0282,0.735
SPADES FIVE CLUBS TWO,0.5868,0.1438,0.2694
CLUBS SIX SPADES THREE,0.5276,0.066,0.4064
CLUBS JACK SPADES SIX,0.3514,0.0194,0.6292
SPADES FOUR CLUBS ACE,0.3588,0.0044,0.6368
DIAMONDS FOUR DIAMONDS FIVE,0.485,0.058,0.457
DIAMONDS JACK CLUBS ACE,0.3164,0.005,0.6786
CLUBS JACK CLUBS EIGHT,0.2036,0.0586,0.7378
HEARTS ACE SPADES THREE,0.3502,0.0054,0.6444
HEARTS SEVEN DIAMONDS FOUR,0.5316,0.0666,0.4018
DIAMONDS FOUR SPADES TWO,0.5934,0.145,0.2616
DIAMONDS TEN HEARTS QUEEN,0.2988,0.0118,0.6894
SPADES SEVEN CLUBS KING,0.3422,0.0062,0.6516
SPADES SEVEN HEARTS KING,0.3564,0.0096,0.634
DIAMONDS TEN DIAMONDS EIGHT,0.2216,0.0786,0.6998
SPADES TEN DIAMONDS SEVEN,0.3328,0.0228,0.6444
DIAMONDS THREE CLUBS THREE,0.255,0.1152,0.6298
HEARTS SEVEN DIAMONDS EIGHT,0.2094,0.2944,0.4962
CLUBS EIGHT HEARTS TWO,0.0186,0.9684,0.013
DIAMONDS THREE SPADES TWO,0.5962,0.1454,0.2584
HEARTS THREE DIAMONDS SIX,0.5288,0.0718,0.3994
DIAMONDS ACE SPADES TWO,0.2396,0.017,0.7434
CLUBS NINE CLUBS KING,0.2918,0.0098,0.6984
