opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT HEARTS FOUR
DIAMONDS TWO SPADES EIGHT,0.3176,0.4802,0.2022
CLUBS NINE DIAMONDS EIGHT,0.2648,0.1012,0.634
HEARTS SIX HEARTS TWO,0.596,0.0694,0.3346
HEARTS ACE DIAMONDS NINE,0.3642,0.0046,0.6312
CLUBS TEN HEARTS NINE,0.3362,0.0238,0.64
DIAMONDS ACE DIAMONDS TEN,0.3454,0.0042,0.6504
SPADES QUEEN DIAMONDS SIX,0.4144,0.0132,0.5724
CLUBS NINE DIAMONDS KING,0.3704,0.004,0.6256
HEARTS SEVEN HEARTS KING,0.3586,0.01,0.6314
CLUBS TEN SPADES FIVE,0.4124,0.0278,0.5598
DIAMONDS QUEEN HEARTS ACE,0.376,0.0044,0.6196
CLUBS JACK DIAMONDS QUEEN,0.3772,0.011,0.6118
CLUBS SEVEN DIAMONDS QUEEN,0.421,0.012,0.567
DIAMONDS TEN DIAMONDS FIVE,0.3786,0.0306,0.5908
SPADES KING HEARTS THREE,0.4274,0.0102,0.5624
CLUBS SEVEN HEARTS NINE,0.3534,0.0424,0.6042
HEARTS THREE HEARTS NINE,0.3914,0.048,0.5606
CLUBS TWO CLUBS QUEEN,0.4058,0.0132,0.581
CLUBS ACE HEARTS JACK,0.3566,0.0054,0.638
SPADES KING CLUBS THREE,0.4398,0.0104,0.5498
CLUBS JACK DIAMONDS SIX,0.401,0.0166,0.5824
CLUBS EIGHT DIAMONDS TEN,0.295,0.0786,0.6264
CLUBS TEN CLUBS ACE,0.341,0.0046,0.6544
CLUBS SIX DIAMONDS TEN,0.3982,0.0232,0.5786
SPADES EIGHT DIAMONDS SEVEN,0.2616,0.277,0.4614
HEARTS FIVE CLUBS SEVEN,0.5396,0.0608,0.3996
CLUBS TWO HEARTS QUEEN,0.429,0.0156,0.5554
DIAMONDS EIGHT HEARTS JACK,0.2868,0.055,0.6582
SPADES JACK DIAMONDS KING,0.3824,0.0086,0.609
HEARTS QUEEN DIAMONDS FIVE,0.398,0.012,0.59
SPADES FIVE HEARTS JACK,0.41,0.0188,0.5712
SPADES THREE SPADES TWO,0.5714,0.0638,0.3648
CLUBS EIGHT DIAMONDS ACE,0.2762,0.03,0.6938
CLUBS JACK DIAMONDS FOUR,0.3012,0.0536,0.6452
SPADES TEN HEARTS TEN,0.18,0.0506,0.7694
CLUBS NINE SPADES FOUR,0.286,0.1012,0.6128
CLUBS SEVEN CLUBS QUEEN,0.3874,0.0098,0.6028
HEARTS FIVE DIAMONDS ACE,0.3936,0.005,0.6014
SPADES SEVEN DIAMONDS FOUR,0.6286,0.139,0.2324
SPADES QUEEN CLUBS TWO,0.4392,0.0148,0.546
SPADES NINE CLUBS THREE,0.443,0.0382,0.5188
HEARTS SIX CLUBS FIVE,0.5522,0.0626,0.3852
CLUBS TWO DIAMONDS SEVEN,0.6176,0.062,0.3204
CLUBS JACK SPADES TEN,0.3652,0.0142,0.6206
DIAMONDS SIX DIAMONDS FIVE,0.5106,0.073,0.4164
SPADES SEVEN CLUBS TWO,0.625,0.0608,0.3142
HEARTS THREE DIAMONDS EIGHT,0.3198,0.4698,0.2104
DIAMONDS THREE CLUBS SEVEN,0.6036,0.0586,0.3378
