opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT HEARTS KING
HEARTS FIVE SPADES TEN,0.649,0.0082,0.3428
SPADES JACK HEARTS FIVE,0.6566,0.0078,0.3356
CLUBS JACK SPADES FIVE,0.6504,0.0062,0.3434
CLUBS TEN SPADES FIVE,0.663,0.0072,0.3298
CLUBS JACK CLUBS EIGHT,0.6776,0.027,0.2954
CLUBS TEN CLUBS EIGHT,0.658,0.0284,0.3136
CLUBS EIGHT CLUBS KING,0.0766,0.8502,0.0732
SPADES FIVE CLUBS ACE,0.4344,0.0052,0.5604
CLUBS EIGHT CLUBS QUEEN,0.685,0.0302,0.2848
SPADES FIVE CLUBS KING,0.5498,0.2258,0.2244
SPADES FIVE CLUBS QUEEN,0.645,0.0064,0.3486
CLUBS EIGHT CLUBS ACE,0.2582,0.028,0.7138
DIAMONDS TWO DIAMONDS THREE,0.6322,0.0086,0.3592
DIAMONDS TWO DIAMONDS FIVE,0.6302,0.0098,0.36
SPADES KING HEARTS FIVE,0.5398,0.2352,0.225
DIAMONDS TWO DIAMONDS FOUR,0.6224,0.0078,0.3698
SPADES QUEEN HEARTS FIVE,0.6444,0.0084,0.3472
DIAMONDS TWO DIAMONDS SEVEN,0.6514,0.0078,0.3408
DIAMONDS TWO DIAMONDS SIX,0.642,0.0078,0.3502
SPADES ACE HEARTS FIVE,0.422,0.0048,0.5732
DIAMONDS TWO DIAMONDS NINE,0.618,0.0108,0.3712
DIAMONDS TWO DIAMONDS EIGHT,0.7064,0.0376,0.256
DIAMONDS THREE DIAMONDS FOUR,0.6192,0.0074,0.3734
CLUBS TWO SPADES FOUR,0.6592,0.0112,0.3296
DIAMONDS THREE DIAMONDS FIVE,0.6158,0.0098,0.3744
CLUBS TWO SPADES FIVE,0.6604,0.008,0.3316
CLUBS TWO SPADES TWO,0.4796,0.0126,0.5078
CLUBS TWO SPADES THREE,0.6654,0.0088,0.3258
