opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT HEARTS NINE
HEARTS ACE DIAMONDS SIX,0.458,0.0034,0.5386
SPADES NINE DIAMONDS KING,0.31,0.0292,0.6608
CLUBS THREE HEARTS TEN,0.477,0.0228,0.5002
HEARTS TWO CLUBS TWO,0.4628,0.0622,0.475
CLUBS EIGHT HEARTS TEN,0.2748,0.0732,0.652
HEARTS SIX DIAMONDS THREE,0.6542,0.0416,0.3042
SPADES JACK SPADES SEVEN,0.4372,0.0188,0.544
SPADES SEVEN HEARTS TEN,0.4402,0.0222,0.5376
DIAMONDS TWO CLUBS FIVE,0.6434,0.0356,0.321
SPADES JACK CLUBS EIGHT,0.3086,0.0532,0.6382
DIAMONDS TWO HEARTS SEVEN,0.697,0.0364,0.2666
SPADES FIVE HEARTS QUEEN,0.464,0.0092,0.5268
DIAMONDS KING HEARTS ACE,0.3914,0.0042,0.6044
SPADES SIX SPADES TWO,0.6308,0.0352,0.334
SPADES KING CLUBS THREE,0.4682,0.0096,0.5222
HEARTS THREE SPADES NINE,0.5746,0.2158,0.2096
DIAMONDS TWO CLUBS FOUR,0.6464,0.0394,0.3142
DIAMONDS ACE SPADES TWO,0.4826,0.0038,0.5136
SPADES QUEEN CLUBS THREE,0.4846,0.0112,0.5042
CLUBS EIGHT SPADES NINE,0.0708,0.9062,0.023
SPADES KING HEARTS FOUR,0.4606,0.008,0.5314
SPADES QUEEN CLUBS SEVEN,0.4546,0.0126,0.5328
CLUBS SEVEN CLUBS QUEEN,0.4346,0.0102,0.5552
SPADES JACK CLUBS ACE,0.4066,0.0024,0.591
CLUBS SIX CLUBS THREE,0.6136,0.0332,0.3532
SPADES ACE DIAMONDS KING,0.3898,0.006,0.6042
CLUBS TEN DIAMONDS FOUR,0.4802,0.0238,0.496
DIAMONDS THREE HEARTS TEN,0.4724,0.0304,0.4972
HEARTS FOUR CLUBS FIVE,0.6352,0.0362,0.3286
HEARTS TWO DIAMONDS EIGHT,0.6924,0.0974,0.2102
DIAMONDS TWO DIAMONDS QUEEN,0.452,0.0124,0.5356
DIAMONDS NINE SPADES TWO,0.57,0.2206,0.2094
DIAMONDS THREE SPADES QUEEN,0.4844,0.0094,0.5062
SPADES SIX HEARTS KING,0.4526,0.0066,0.5408
DIAMONDS ACE HEARTS ACE,0.2064,0.0022,0.7914
SPADES THREE DIAMONDS FOUR,0.643,0.037,0.32
SPADES EIGHT DIAMONDS NINE,0.0724,0.9038,0.0238
DIAMONDS NINE HEARTS QUEEN,0.3048,0.0454,0.6498
CLUBS EIGHT SPADES FIVE,0.668,0.102,0.23
SPADES JACK CLUBS TWO,0.4842,0.0172,0.4986
