opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT HEARTS THREE
CLUBS SIX DIAMONDS FIVE,0.536,0.0666,0.3974
CLUBS THREE DIAMONDS NINE,0.2936,0.0998,0.6066
DIAMONDS TWO DIAMONDS FIVE,0.5434,0.0576,0.399
SPADES TWO HEARTS QUEEN,0.4222,0.0156,0.5622
HEARTS FIVE CLUBS QUEEN,0.3992,0.013,0.5878
DIAMONDS THREE CLUBS FIVE,0.5986,0.1362,0.2652
DIAMONDS KING CLUBS QUEEN,0.3572,0.0062,0.6366
CLUBS ACE DIAMONDS SIX,0.4044,0.003,0.5926
HEARTS FOUR CLUBS SIX,0.537,0.0682,0.3948
SPADES SEVEN DIAMONDS SIX,0.541,0.0576,0.4014
CLUBS JACK CLUBS THREE,0.2682,0.0548,0.677
HEARTS ACE DIAMONDS NINE,0.3462,0.007,0.6468
HEARTS FIVE CLUBS FOUR,0.539,0.0654,0.3956
SPADES TEN DIAMONDS EIGHT,0.281,0.0776,0.6414
SPADES KING CLUBS EIGHT,0.2878,0.0374,0.6748
CLUBS SEVEN CLUBS SIX,0.4908,0.058,0.4512
HEARTS SIX DIAMONDS SIX,0.2882,0.092,0.6198
DIAMONDS KING HEARTS KING,0.1618,0.0154,0.8228
SPADES ACE SPADES KING,0.3372,0.004,0.6588
CLUBS SEVEN SPADES SEVEN,0.2842,0.0726,0.6432
HEARTS FOUR SPADES TEN,0.391,0.0314,0.5776
CLUBS SIX DIAMONDS QUEEN,0.4098,0.0116,0.5786
SPADES TEN HEARTS NINE,0.3322,0.02,0.6478
CLUBS SEVEN DIAMONDS TEN,0.3784,0.0256,0.596
CLUBS FOUR DIAMONDS SEVEN,0.5686,0.056,0.3754
CLUBS THREE DIAMONDS SEVEN,0.6326,0.1374,0.23
HEARTS FIVE DIAMONDS EIGHT,0.2444,0.4312,0.3244
SPADES SEVEN DIAMONDS TEN,0.3766,0.0226,0.6008
DIAMONDS TWO DIAMONDS KING,0.3916,0.0088,0.5996
SPADES SIX HEARTS NINE,0.3606,0.04,0.5994
SPADES KING SPADES FOUR,0.3784,0.0082,0.6134
DIAMONDS QUEEN DIAMONDS FOUR,0.3724,0.0112,0.6164
CLUBS NINE DIAMONDS FIVE,0.3828,0.0358,0.5814
SPADES NINE CLUBS FOUR,0.3982,0.0408,0.561
SPADES ACE CLUBS KING,0.3726,0.0054,0.622
DIAMONDS ACE CLUBS TWO,0.414,0.0032,0.5828
SPADES SEVEN CLUBS THREE,0.6178,0.139,0.2432
DIAMONDS THREE DIAMONDS TEN,0.2758,0.067,0.6572
HEARTS FIVE DIAMONDS SIX,0.5198,0.0724,0.4078
CLUBS JACK CLUBS SEVEN,0.3678,0.0168,0.6154
CLUBS SIX DIAMONDS JACK,0.4018,0.0196,0.5786
DIAMONDS SEVEN HEARTS TEN,0.3618,0.0256,0.6126
HEARTS FOUR HEARTS JACK,0.336,0.0212,0.6428
SPADES JACK CLUBS SEVEN,0.3904,0.0198,0.5898
CLUBS JACK CLUBS QUEEN,0.3298,0.0086,0.6616
SPADES KING CLUBS KING,0.1708,0.0168,0.8124
CLUBS FIVE HEARTS NINE,0.3662,0.048,0.5858
DIAMONDS SIX HEARTS TEN,0.3756,0.0302,0.5942
SPADES KING HEARTS TEN,0.3438,0.008,0.6482
SPADES FIVE HEARTS QUEEN,0.3846,0.0152,0.6002
DIAMONDS KING SPADES FOUR,0.3966,0.0074,0.596
DIAMONDS QUEEN CLUBS ACE,0.3598,0.0042,0.636
