opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT SPADES NINE
HEARTS FIVE SPADES TEN,0.4312,0.0236,0.5452
SPADES JACK HEARTS FIVE,0.4332,0.0196,0.5472
SPADES FIVE CLUBS JACK,0.433,0.019,0.548
CLUBS TEN SPADES FIVE,0.4436,0.0252,0.5312
CLUBS EIGHT CLUBS JACK,0.2558,0.0526,0.6916
CLUBS TEN CLUBS EIGHT,0.2398,0.0742,0.686
CLUBS EIGHT CLUBS KING,0.2776,0.0274,0.695
SPADES FIVE CLUBS ACE,0.4266,0.0046,0.5688
CLUBS EIGHT CLUBS QUEEN,0.2664,0.0382,0.6954
SPADES FIVE CLUBS KING,0.44,0.0058,0.5542
SPADES FIVE CLUBS QUEEN,0.447,0.0114,0.5416
CLUBS EIGHT CLUBS ACE,0.272,0.0194,0.7086
DIAMONDS TWO DIAMONDS THREE,0.6008,0.0382,0.361
DIAMONDS TWO DIAMONDS FIVE,0.5894,0.0338,0.3768
SPADES KING HEARTS FIVE,0.433,0.0102,0.5568
DIAMONDS TWO DIAMONDS FOUR,0.5786,0.0402,0.3812
SPADES QUEEN HEARTS FIVE,0.4348,0.0132,0.552
DIAMONDS TWO DIAMONDS SEVEN,0.6228,0.0356,0.3416
DIAMONDS TWO DIAMONDS SIX,0.605,0.0346,0.3604
SPADES ACE HEARTS FIVE,0.4288,0.0056,0.5656
DIAMONDS TWO DIAMONDS NINE,0.516,0.2172,0.2668
DIAMONDS TWO DIAMONDS EIGHT,0.6516,0.0896,0.2588
DIAMONDS THREE DIAMONDS FOUR,0.6066,0.0304,0.363
SPADES FOUR CLUBS TWO,0.6362,0.044,0.3198
DIAMONDS THREE DIAMONDS FIVE,0.5766,0.0416,0.3818
SPADES FIVE CLUBS TWO,0.6366,0.0402,0.3232
CLUBS TWO SPADES TWO,0.446,0.0622,0.4918
CLUBS TWO SPADES THREE,0.6308,0.0384,0.3308
DIAMONDS THREE DIAMONDS EIGHT,0.6208,0.098,0.2812
SPADES EIGHT CLUBS TWO,0.6768,0.115,0.2082
DIAMONDS THREE DIAMONDS NINE,0.5154,0.2114,0.2732
DIAMONDS THREE DIAMONDS SIX,0.5972,0.0346,0.3682
SPADES SIX CLUBS TWO,0.6576,0.0408,0.3016
DIAMONDS THREE DIAMONDS SEVEN,0.627,0.0344,0.3386
SPADES SEVEN CLUBS TWO,0.6806,0.0388,0.2806
CLUBS SIX CLUBS TWO,0.6072,0.0348,0.358
CLUBS SEVEN CLUBS TWO,0.633,0.0368,0.3302
CLUBS FOUR CLUBS TWO,0.5956,0.031,0.3734
CLUBS FIVE CLUBS TWO,0.589,0.0382,0.3728
CLUBS TEN CLUBS JACK,0.326,0.0154,0.6586
DIAMONDS FOUR DIAMONDS SIX,0.573,0.0442,0.3828
CLUBS TEN CLUBS QUEEN,0.358,0.0078,0.6342
DIAMONDS FOUR DIAMONDS SEVEN,0.6008,0.0376,0.3616
CLUBS TEN CLUBS KING,0.3304,0.0064,0.6632
CLUBS TEN CLUBS ACE,0.3358,0.0034,0.6608
CLUBS EIGHT CLUBS TWO,0.6198,0.106,0.2742
