opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT SPADES QUEEN
HEARTS TWO DIAMONDS QUEEN,0.544,0.2266,0.2294
SPADES ACE DIAMONDS KING,0.3232,0.005,0.6718
SPADES SEVEN SPADES SIX,0.5906,0.0118,0.3976
DIAMONDS TEN SPADES TWO,0.6482,0.0108,0.341
CLUBS THREE CLUBS KING,0.3838,0.006,0.6102
SPADES EIGHT DIAMONDS NINE,0.6822,0.0426,0.2752
DIAMONDS TWO CLUBS FIVE,0.6422,0.0112,0.3466
CLUBS TEN CLUBS JACK,0.5058,0.0102,0.484
CLUBS FIVE HEARTS SEVEN,0.6222,0.0126,0.3652
DIAMONDS TWO DIAMONDS QUEEN,0.5186,0.2128,0.2686
SPADES ACE HEARTS NINE,0.3512,0.0032,0.6456
SPADES ACE DIAMONDS EIGHT,0.2466,0.0234,0.73
DIAMONDS ACE DIAMONDS TEN,0.3248,0.003,0.6722
HEARTS TWO HEARTS SEVEN,0.6384,0.013,0.3486
CLUBS FOUR HEARTS SEVEN,0.6592,0.0112,0.3296
CLUBS FOUR DIAMONDS SEVEN,0.6346,0.0144,0.351
CLUBS SIX SPADES TWO,0.6628,0.0104,0.3268
SPADES ACE CLUBS QUEEN,0.2466,0.0134,0.74
SPADES JACK CLUBS SEVEN,0.6384,0.0082,0.3534
CLUBS EIGHT DIAMONDS KING,0.2482,0.0326,0.7192
SPADES ACE HEARTS SEVEN,0.3836,0.004,0.6124
SPADES ACE HEARTS TWO,0.41,0.0066,0.5834
HEARTS QUEEN HEARTS NINE,0.2172,0.1524,0.6304
HEARTS TWO CLUBS KING,0.4102,0.0062,0.5836
SPADES KING CLUBS QUEEN,0.2196,0.0274,0.753
SPADES TEN CLUBS QUEEN,0.2356,0.115,0.6494
CLUBS FOUR DIAMONDS NINE,0.6202,0.012,0.3678
SPADES FOUR DIAMONDS FIVE,0.6174,0.0112,0.3714
SPADES ACE DIAMONDS TWO,0.4104,0.0054,0.5842
DIAMONDS THREE CLUBS FIVE,0.642,0.0118,0.3462
CLUBS ACE DIAMONDS FOUR,0.4038,0.0046,0.5916
CLUBS FOUR DIAMONDS SIX,0.6242,0.013,0.3628
CLUBS SEVEN HEARTS JACK,0.623,0.0116,0.3654
DIAMONDS THREE SPADES THREE,0.4638,0.0228,0.5134
DIAMONDS THREE CLUBS TWO,0.6362,0.0112,0.3526
HEARTS FIVE SPADES JACK,0.6314,0.0104,0.3582
HEARTS FOUR CLUBS ACE,0.4052,0.0028,0.592
CLUBS SIX CLUBS KING,0.3786,0.0072,0.6142
CLUBS THREE CLUBS JACK,0.604,0.0088,0.3872
CLUBS FIVE HEARTS NINE,0.6388,0.012,0.3492
SPADES EIGHT HEARTS NINE,0.6812,0.0446,0.2742
DIAMONDS QUEEN CLUBS TWO,0.5548,0.2212,0.224
SPADES JACK SPADES SEVEN,0.6046,0.0076,0.3878
SPADES FIVE CLUBS JACK,0.639,0.0102,0.3508
SPADES EIGHT DIAMONDS FOUR,0.7158,0.0456,0.2386
DIAMONDS JACK HEARTS ACE,0.3574,0.005,0.6376
HEARTS ACE DIAMONDS SEVEN,0.3888,0.0046,0.6066
CLUBS FIVE CLUBS ACE,0.3746,0.0044,0.621
HEARTS JACK DIAMONDS FOUR,0.6284,0.0116,0.36
DIAMONDS SEVEN CLUBS KING,0.407,0.008,0.585
SPADES FIVE CLUBS ACE,0.3998,0.0038,0.5964
CLUBS SEVEN HEARTS TWO,0.664,0.0118,0.3242
CLUBS ACE DIAMONDS SIX,0.3992,0.0028,0.598
CLUBS ACE CLUBS KING,0.3134,0.0042,0.6824
HEARTS FOUR CLUBS QUEEN,0.5528,0.2252,0.222
DIAMONDS TWO CLUBS QUEEN,0.5444,0.2246,0.231
CLUBS FOUR CLUBS KING,0.3682,0.0086,0.6232
CLUBS EIGHT SPADES EIGHT,0.3202,0.0306,0.6492
SPADES ACE HEARTS ACE,0.1248,0.0042,0.871
DIAMONDS KING DIAMONDS EIGHT,0.238,0.0288,0.7332
CLUBS TEN CLUBS SEVEN,0.5766,0.012,0.4114
HEARTS FOUR SPADES NINE,0.6572,0.009,0.3338
CLUBS NINE HEARTS QUEEN,0.2166,0.1724,0.611
DIAMONDS FIVE HEARTS SEVEN,0.6234,0.0112,0.3654
SPADES EIGHT DIAMONDS KING,0.2528,0.034,0.7132
HEARTS JACK DIAMONDS SIX,0.6348,0.012,0.3532
SPADES TEN SPADES EIGHT,0.6572,0.0416,0.3012
DIAMONDS THREE CLUBS EIGHT,0.722,0.0458,0.2322
HEARTS JACK HEARTS TEN,0.5204,0.0114,0.4682
SPADES JACK SPADES SIX,0.6126,0.0114,0.376
DIAMONDS THREE CLUBS THREE,0.4504,0.0222,0.5274
HEARTS KING DIAMONDS EIGHT,0.2418,0.0316,0.7266
CLUBS NINE SPADES SIX,0.6206,0.0074,0.372
HEARTS THREE DIAMONDS ACE,0.4062,0.0034,0.5904
SPADES ACE CLUBS SEVEN,0.394,0.0028,0.6032
SPADES SIX HEARTS KING,0.4046,0.0086,0.5868
CLUBS SEVEN DIAMONDS TEN,0.6274,0.01,0.3626
CLUBS NINE DIAMONDS ACE,0.3598,0.0042,0.636
CLUBS TEN DIAMONDS SIX,0.6208,0.0114,0.3678
DIAMONDS TWO CLUBS SIX,0.6564,0.0122,0.3314
HEARTS SIX DIAMONDS QUEEN,0.5596,0.212,0.2284
CLUBS FOUR DIAMONDS TEN,0.643,0.0112,0.3458
CLUBS TEN HEARTS TWO,0.6366,0.0112,0.3522
SPADES EIGHT CLUBS TWO,0.73,0.0518,0.2182
CLUBS EIGHT SPADES FOUR,0.7184,0.05,0.2316
