opposingHand,winningChance,drawChance,lostChance
HEARTS EIGHT SPADES THREE
HEARTS FIVE SPADES TEN,0.3496,0.0286,0.6218
SPADES JACK HEARTS FIVE,0.3452,0.021,0.6338
SPADES FIVE CLUBS JACK,0.3438,0.0182,0.638
CLUBS TEN SPADES FIVE,0.3452,0.028,0.6268
CLUBS EIGHT CLUBS JACK,0.2142,0.059,0.7268
CLUBS TEN CLUBS EIGHT,0.2134,0.0788,0.7078
CLUBS EIGHT CLUBS KING,0.2056,0.044,0.7504
SPADES FIVE CLUBS ACE,0.338,0.0046,0.6574
CLUBS EIGHT CLUBS QUEEN,0.2068,0.0502,0.743
SPADES FIVE CLUBS KING,0.3552,0.0082,0.6366
SPADES FIVE CLUBS QUEEN,0.3596,0.0118,0.6286
CLUBS EIGHT CLUBS ACE,0.2076,0.0284,0.764
DIAMONDS TWO DIAMONDS THREE,0.5624,0.1352,0.3024
DIAMONDS TWO DIAMONDS FIVE,0.5128,0.0694,0.4178
SPADES KING HEARTS FIVE,0.3478,0.0116,0.6406
DIAMONDS TWO DIAMONDS FOUR,0.5124,0.0664,0.4212
SPADES QUEEN HEARTS FIVE,0.3472,0.0114,0.6414
DIAMONDS TWO DIAMONDS SEVEN,0.5422,0.0676,0.3902
DIAMONDS TWO DIAMONDS SIX,0.541,0.062,0.397
SPADES ACE HEARTS FIVE,0.339,0.0054,0.6556
DIAMONDS TWO DIAMONDS NINE,0.3626,0.0394,0.598
DIAMONDS TWO DIAMONDS EIGHT,0.2378,0.4858,0.2764
DIAMONDS THREE DIAMONDS FOUR,0.5318,0.1394,0.3288
CLUBS TWO SPADES FOUR,0.5478,0.0724,0.3798
DIAMONDS THREE DIAMONDS FIVE,0.5416,0.1372,0.3212
SPADES FIVE CLUBS TWO,0.5564,0.0656,0.378
CLUBS TWO SPADES TWO,0.3534,0.1056,0.541
DIAMONDS THREE DIAMONDS EIGHT,0.022,0.9102,0.0678
SPADES EIGHT CLUBS TWO,0.2494,0.5336,0.217
DIAMONDS THREE DIAMONDS NINE,0.2286,0.0944,0.677
SPADES NINE CLUBS TWO,0.3666,0.0454,0.588
DIAMONDS THREE DIAMONDS SIX,0.5614,0.1334,0.3052
SPADES SIX CLUBS TWO,0.5696,0.066,0.3644
DIAMONDS THREE DIAMONDS SEVEN,0.5692,0.1414,0.2894
SPADES SEVEN CLUBS TWO,0.586,0.0706,0.3434
CLUBS SIX CLUBS TWO,0.5412,0.0656,0.3932
CLUBS SEVEN CLUBS TWO,0.5416,0.066,0.3924
CLUBS FOUR CLUBS TWO,0.5166,0.068,0.4154
CLUBS FIVE CLUBS TWO,0.5242,0.0624,0.4134
CLUBS TEN CLUBS JACK,0.2898,0.0138,0.6964
DIAMONDS FOUR DIAMONDS SIX,0.483,0.0688,0.4482
CLUBS TEN CLUBS QUEEN,0.2876,0.0112,0.7012
DIAMONDS FOUR DIAMONDS SEVEN,0.4994,0.06,0.4406
CLUBS TEN CLUBS KING,0.3018,0.0068,0.6914
CLUBS TEN CLUBS ACE,0.3068,0.0036,0.6896
CLUBS EIGHT CLUBS TWO,0.2392,0.4954,0.2654
DIAMONDS FIVE DIAMONDS FOUR,0.4782,0.0678,0.454
CLUBS NINE CLUBS TWO,0.3472,0.0386,0.6142
DIAMONDS NINE DIAMONDS FOUR,0.3304,0.0428,0.6268
DIAMONDS EIGHT DIAMONDS FOUR,0.2002,0.4786,0.3212
CLUBS THREE CLUBS TWO,0.559,0.1396,0.3014
DIAMONDS NINE DIAMONDS FIVE,0.3262,0.038,0.6358
DIAMONDS TWO CLUBS JACK,0.3874,0.0164,0.5962
DIAMONDS EIGHT DIAMONDS FIVE,0.2036,0.4092,0.3872
CLUBS TEN DIAMONDS TWO,0.386,0.0298,0.5842
DIAMONDS FIVE DIAMONDS SEVEN,0.4732,0.0656,0.4612
DIAMONDS FIVE DIAMONDS SIX,0.4796,0.0614,0.459
DIAMONDS TWO CLUBS ACE,0.3744,0.0038,0.6218
DIAMONDS TWO CLUBS KING,0.3896,0.0106,0.5998
DIAMONDS TWO CLUBS QUEEN,0.3994,0.0134,0.5872
DIAMONDS EIGHT DIAMONDS SIX,0.2092,0.3528,0.438
DIAMONDS NINE DIAMONDS SIX,0.3072,0.0414,0.6514
DIAMONDS SEVEN DIAMONDS SIX,0.469,0.0558,0.4752
DIAMONDS EIGHT DIAMONDS SEVEN,0.198,0.2768,0.5252
DIAMONDS NINE DIAMONDS SEVEN,0.3128,0.0362,0.651
DIAMONDS NINE DIAMONDS EIGHT,0.208,0.1062,0.6858
DIAMONDS KING HEARTS TEN,0.3146,0.0052,0.6802
HEARTS THREE HEARTS TEN,0.2224,0.072,0.7056
SPADES JACK CLUBS SIX,0.3628,0.0218,0.6154
DIAMONDS KING HEARTS JACK,0.311,0.0072,0.6818
HEARTS THREE HEARTS JACK,0.2382,0.0518,0.71
SPADES TEN CLUBS SIX,0.3422,0.0294,0.6284
SPADES JACK SPADES FIVE,0.3226,0.0194,0.658
SPADES TEN SPADES FIVE,0.3394,0.0306,0.63
DIAMONDS KING HEARTS ACE,0.3244,0.0042,0.6714
HEARTS THREE HEARTS ACE,0.222,0.0138,0.7642
SPADES ACE CLUBS SIX,0.3464,0.0046,0.649
DIAMONDS KING HEARTS QUEEN,0.3088,0.0066,0.6846
HEARTS THREE HEARTS QUEEN,0.2302,0.0406,0.7292
SPADES KING CLUBS SIX,0.3552,0.007,0.6378
DIAMONDS KING HEARTS KING,0.122,0.0156,0.8624
HEARTS THREE HEARTS KING,0.2308,0.0324,0.7368
SPADES QUEEN CLUBS SIX,0.3568,0.0112,0.632
SPADES NINE HEARTS TEN,0.2848,0.028,0.6872
SPADES NINE HEARTS JACK,0.2938,0.016,0.6902
SPADES QUEEN SPADES FIVE,0.3318,0.0144,0.6538
SPADES KING SPADES FIVE,0.3416,0.0086,0.6498
SPADES ACE SPADES FIVE,0.3172,0.0046,0.6782
