opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE CLUBS ACE
SPADES FIVE CLUBS JACK,0.7464,0.0258,0.2278
CLUBS TEN SPADES FIVE,0.7416,0.0264,0.232
CLUBS EIGHT CLUBS JACK,0.5542,0.0048,0.441
CLUBS TEN CLUBS EIGHT,0.5398,0.0036,0.4566
CLUBS EIGHT CLUBS KING,0.5852,0.0066,0.4082
CLUBS EIGHT CLUBS QUEEN,0.5652,0.0038,0.431
SPADES FIVE CLUBS KING,0.751,0.0312,0.2178
SPADES FIVE CLUBS QUEEN,0.743,0.0332,0.2238
DIAMONDS TWO DIAMONDS THREE,0.6254,0.0064,0.3682
DIAMONDS TWO DIAMONDS FIVE,0.6986,0.0272,0.2742
DIAMONDS TWO DIAMONDS FOUR,0.6244,0.0032,0.3724
DIAMONDS TWO DIAMONDS SEVEN,0.6212,0.0034,0.3754
DIAMONDS TWO DIAMONDS SIX,0.6238,0.0064,0.3698
DIAMONDS TWO DIAMONDS NINE,0.6042,0.0058,0.39
DIAMONDS TWO DIAMONDS EIGHT,0.5946,0.0034,0.402
DIAMONDS THREE DIAMONDS FOUR,0.617,0.0052,0.3778
CLUBS TWO SPADES FOUR,0.6694,0.0074,0.3232
DIAMONDS THREE DIAMONDS FIVE,0.6794,0.0232,0.2974
SPADES FIVE CLUBS TWO,0.7456,0.0308,0.2236
CLUBS TWO SPADES TWO,0.4836,0.006,0.5104
CLUBS TWO SPADES THREE,0.68,0.0062,0.3138
DIAMONDS THREE DIAMONDS EIGHT,0.6114,0.0046,0.384
SPADES EIGHT CLUBS TWO,0.6516,0.0052,0.3432
DIAMONDS THREE DIAMONDS NINE,0.5958,0.005,0.3992
SPADES NINE CLUBS TWO,0.6468,0.0046,0.3486
DIAMONDS THREE DIAMONDS SIX,0.606,0.0052,0.3888
SPADES SIX CLUBS TWO,0.6592,0.0042,0.3366
DIAMONDS THREE DIAMONDS SEVEN,0.5932,0.0042,0.4026
SPADES SEVEN CLUBS TWO,0.6676,0.0048,0.3276
CLUBS SIX CLUBS TWO,0.6332,0.0052,0.3616
CLUBS SEVEN CLUBS TWO,0.6414,0.0058,0.3528
CLUBS FOUR CLUBS TWO,0.635,0.005,0.36
CLUBS FIVE CLUBS TWO,0.716,0.0232,0.2608
CLUBS TEN CLUBS JACK,0.528,0.0058,0.4662
DIAMONDS FOUR DIAMONDS SIX,0.6034,0.0054,0.3912
CLUBS TEN CLUBS QUEEN,0.5236,0.0038,0.4726
DIAMONDS FOUR DIAMONDS SEVEN,0.5962,0.0034,0.4004
CLUBS TEN CLUBS KING,0.5592,0.0044,0.4364
CLUBS EIGHT CLUBS TWO,0.6202,0.0034,0.3764
DIAMONDS FIVE DIAMONDS FOUR,0.6668,0.0264,0.3068
CLUBS NINE CLUBS TWO,0.6188,0.0046,0.3766
DIAMONDS NINE DIAMONDS FOUR,0.6174,0.0046,0.378
DIAMONDS EIGHT DIAMONDS FOUR,0.6012,0.0064,0.3924
CLUBS THREE CLUBS TWO,0.6412,0.005,0.3538
DIAMONDS NINE DIAMONDS FIVE,0.6778,0.0218,0.3004
DIAMONDS TWO CLUBS JACK,0.6546,0.004,0.3414
DIAMONDS EIGHT DIAMONDS FIVE,0.6576,0.0246,0.3178
CLUBS TEN DIAMONDS TWO,0.6502,0.0056,0.3442
DIAMONDS FIVE DIAMONDS SEVEN,0.6676,0.022,0.3104
DIAMONDS FIVE DIAMONDS SIX,0.6726,0.0194,0.308
DIAMONDS TWO CLUBS KING,0.6546,0.0038,0.3416
DIAMONDS TWO CLUBS QUEEN,0.6584,0.0056,0.336
DIAMONDS EIGHT DIAMONDS SIX,0.5452,0.0038,0.451
DIAMONDS NINE DIAMONDS SIX,0.5532,0.0032,0.4436
HEARTS ACE SPADES THREE,0.3128,0.472,0.2152
SPADES THREE HEARTS KING,0.6418,0.0058,0.3524
DIAMONDS SEVEN DIAMONDS SIX,0.5502,0.0024,0.4474
HEARTS QUEEN SPADES THREE,0.645,0.0046,0.3504
SPADES THREE HEARTS JACK,0.6402,0.0052,0.3546
SPADES THREE HEARTS TEN,0.6378,0.0042,0.358
DIAMONDS EIGHT DIAMONDS SEVEN,0.533,0.0048,0.4622
DIAMONDS NINE DIAMONDS SEVEN,0.551,0.004,0.445
DIAMONDS NINE DIAMONDS EIGHT,0.527,0.005,0.468
DIAMONDS KING HEARTS TEN,0.567,0.005,0.428
HEARTS THREE HEARTS TEN,0.6088,0.0052,0.386
SPADES JACK CLUBS SIX,0.61,0.0038,0.3862
