opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE CLUBS THREE
CLUBS JACK SPADES FIVE,0.2624,0.063,0.6746
CLUBS TEN SPADES FIVE,0.2632,0.0764,0.6604
CLUBS JACK CLUBS EIGHT,0.3434,0.0192,0.6374
CLUBS TEN CLUBS EIGHT,0.3228,0.026,0.6512
CLUBS EIGHT CLUBS KING,0.3364,0.0076,0.656
SPADES FIVE CLUBS ACE,0.251,0.0282,0.7208
CLUBS EIGHT CLUBS QUEEN,0.333,0.014,0.653
SPADES FIVE CLUBS KING,0.2588,0.0436,0.6976
SPADES FIVE CLUBS QUEEN,0.2614,0.0488,0.6898
CLUBS EIGHT CLUBS ACE,0.3354,0.0054,0.6592
DIAMONDS TWO DIAMONDS THREE,0.3768,0.3554,0.2678
DIAMONDS TWO DIAMONDS FIVE,0.261,0.4766,0.2624
DIAMONDS TWO DIAMONDS FOUR,0.3854,0.2388,0.3758
DIAMONDS TWO DIAMONDS SEVEN,0.3792,0.1046,0.5162
DIAMONDS TWO DIAMONDS SIX,0.384,0.147,0.469
DIAMONDS TWO DIAMONDS NINE,0.3732,0.0448,0.582
DIAMONDS TWO DIAMONDS EIGHT,0.388,0.0618,0.5502
DIAMONDS THREE DIAMONDS FOUR,0.391,0.3428,0.2662
CLUBS TWO SPADES FOUR,0.4212,0.2536,0.3252
DIAMONDS THREE DIAMONDS FIVE,0.0202,0.9118,0.068
SPADES FIVE CLUBS TWO,0.2684,0.5194,0.2122
CLUBS TWO SPADES TWO,0.3418,0.1622,0.496
CLUBS TWO SPADES THREE,0.4114,0.3724,0.2162
DIAMONDS THREE DIAMONDS EIGHT,0.266,0.1312,0.6028
SPADES EIGHT CLUBS TWO,0.4146,0.0724,0.513
DIAMONDS THREE DIAMONDS NINE,0.2666,0.095,0.6384
SPADES NINE CLUBS TWO,0.4248,0.0464,0.5288
DIAMONDS THREE DIAMONDS SIX,0.2434,0.2556,0.501
SPADES SIX CLUBS TWO,0.4016,0.1616,0.4368
DIAMONDS THREE DIAMONDS SEVEN,0.2478,0.1934,0.5588
SPADES SEVEN CLUBS TWO,0.4234,0.107,0.4696
CLUBS SIX CLUBS TWO,0.3868,0.1502,0.463
CLUBS SEVEN CLUBS TWO,0.3996,0.1058,0.4946
CLUBS FOUR CLUBS TWO,0.3914,0.2324,0.3762
CLUBS FIVE CLUBS TWO,0.2524,0.4968,0.2508
CLUBS TEN CLUBS JACK,0.3292,0.016,0.6548
DIAMONDS FOUR DIAMONDS SIX,0.3312,0.144,0.5248
CLUBS TEN CLUBS QUEEN,0.3434,0.0104,0.6462
DIAMONDS FOUR DIAMONDS SEVEN,0.3428,0.0986,0.5586
CLUBS TEN CLUBS KING,0.3278,0.008,0.6642
CLUBS TEN CLUBS ACE,0.3458,0.0042,0.65
CLUBS EIGHT CLUBS TWO,0.3986,0.0686,0.5328
DIAMONDS FIVE DIAMONDS FOUR,0.2122,0.4972,0.2906
CLUBS NINE CLUBS TWO,0.3954,0.0408,0.5638
DIAMONDS NINE DIAMONDS FOUR,0.3622,0.0448,0.593
DIAMONDS EIGHT DIAMONDS FOUR,0.3582,0.0616,0.5802
DIAMONDS NINE DIAMONDS FIVE,0.2516,0.1048,0.6436
CLUBS JACK DIAMONDS TWO,0.4164,0.022,0.5616
DIAMONDS EIGHT DIAMONDS FIVE,0.2376,0.1428,0.6196
CLUBS TEN DIAMONDS TWO,0.4112,0.0346,0.5542
DIAMONDS FIVE DIAMONDS SEVEN,0.2298,0.1884,0.5818
DIAMONDS FIVE DIAMONDS SIX,0.225,0.2506,0.5244
DIAMONDS TWO CLUBS ACE,0.3932,0.0056,0.6012
DIAMONDS TWO CLUBS KING,0.4318,0.0088,0.5594
DIAMONDS TWO CLUBS QUEEN,0.4128,0.0164,0.5708
DIAMONDS EIGHT DIAMONDS SIX,0.3194,0.0546,0.626
DIAMONDS NINE DIAMONDS SIX,0.338,0.0414,0.6206
HEARTS ACE SPADES THREE,0.2572,0.0164,0.7264
SPADES THREE HEARTS KING,0.2644,0.0344,0.7012
DIAMONDS SEVEN DIAMONDS SIX,0.3132,0.0916,0.5952
HEARTS QUEEN SPADES THREE,0.2708,0.045,0.6842
SPADES THREE HEARTS JACK,0.266,0.0596,0.6744
SPADES THREE HEARTS TEN,0.2716,0.0778,0.6506
DIAMONDS EIGHT DIAMONDS SEVEN,0.3106,0.0608,0.6286
DIAMONDS NINE DIAMONDS SEVEN,0.3356,0.0384,0.626
DIAMONDS NINE DIAMONDS EIGHT,0.3272,0.0362,0.6366
DIAMONDS KING HEARTS TEN,0.3498,0.0082,0.642
HEARTS THREE HEARTS TEN,0.2596,0.0768,0.6636
SPADES JACK CLUBS SIX,0.3604,0.0188,0.6208
DIAMONDS KING HEARTS JACK,0.3644,0.0072,0.6284
HEARTS THREE HEARTS JACK,0.2652,0.0556,0.6792
SPADES TEN CLUBS SIX,0.3622,0.026,0.6118
SPADES JACK SPADES FIVE,0.255,0.0652,0.6798
SPADES TEN SPADES FIVE,0.266,0.0708,0.6632
DIAMONDS KING HEARTS ACE,0.3628,0.0046,0.6326
HEARTS THREE HEARTS ACE,0.2574,0.0194,0.7232
SPADES ACE CLUBS SIX,0.3532,0.0032,0.6436
DIAMONDS KING HEARTS QUEEN,0.3466,0.008,0.6454
HEARTS THREE HEARTS QUEEN,0.275,0.0406,0.6844
SPADES KING CLUBS SIX,0.3478,0.0086,0.6436
DIAMONDS KING HEARTS KING,0.1652,0.0202,0.8146
HEARTS THREE HEARTS KING,0.2696,0.0298,0.7006
SPADES QUEEN CLUBS SIX,0.36,0.0126,0.6274
SPADES NINE HEARTS TEN,0.3372,0.0228,0.64
SPADES NINE HEARTS JACK,0.3542,0.0164,0.6294
SPADES QUEEN SPADES FIVE,0.2486,0.0462,0.7052
SPADES KING SPADES FIVE,0.2424,0.0362,0.7214
SPADES ACE SPADES FIVE,0.234,0.0256,0.7404
SPADES NINE HEARTS QUEEN,0.3458,0.0114,0.6428
SPADES NINE HEARTS KING,0.362,0.0088,0.6292
SPADES NINE HEARTS ACE,0.3446,0.006,0.6494
CLUBS TEN SPADES JACK,0.3438,0.0148,0.6414
CLUBS TEN SPADES TEN,0.165,0.0642,0.7708
SPADES ACE CLUBS TEN,0.3528,0.0034,0.6438
CLUBS TEN SPADES KING,0.3478,0.0084,0.6438
CLUBS TEN SPADES QUEEN,0.3382,0.0114,0.6504
SPADES FIVE HEARTS QUEEN,0.262,0.0492,0.6888
SPADES FIVE HEARTS KING,0.2738,0.0374,0.6888
HEARTS ACE SPADES FIVE,0.2514,0.0258,0.7228
CLUBS EIGHT SPADES TEN,0.3428,0.0302,0.627
HEARTS THREE SPADES JACK,0.2896,0.057,0.6534
SPADES JACK DIAMONDS KING,0.3542,0.008,0.6378
SPADES TEN DIAMONDS KING,0.3548,0.0078,0.6374
HEARTS THREE SPADES TEN,0.2852,0.0768,0.638
CLUBS EIGHT SPADES JACK,0.354,0.0186,0.6274
CLUBS SIX HEARTS ACE,0.3514,0.0056,0.643
SPADES ACE CLUBS EIGHT,0.3708,0.0038,0.6254
CLUBS SIX HEARTS QUEEN,0.3548,0.012,0.6332
SPADES QUEEN CLUBS EIGHT,0.361,0.0132,0.6258
CLUBS TEN SPADES THREE,0.2742,0.0852,0.6406
CLUBS SIX HEARTS KING,0.3604,0.01,0.6296
SPADES KING CLUBS EIGHT,0.362,0.0116,0.6264
CLUBS JACK SPADES THREE,0.2868,0.0546,0.6586
