opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE HEARTS TEN
SPADES JACK CLUBS SIX,0.3996,0.015,0.5854
DIAMONDS TWO DIAMONDS FIVE,0.6398,0.0796,0.2806
CLUBS TEN DIAMONDS FOUR,0.3562,0.4388,0.205
HEARTS SIX SPADES TWO,0.6368,0.0282,0.335
CLUBS ACE HEARTS JACK,0.3462,0.0042,0.6496
HEARTS SIX HEARTS QUEEN,0.3366,0.016,0.6474
SPADES TEN SPADES NINE,0.2636,0.1556,0.5808
DIAMONDS SEVEN HEARTS JACK,0.373,0.0186,0.6084
HEARTS ACE DIAMONDS SIX,0.3946,0.0054,0.6
SPADES JACK CLUBS SEVEN,0.3886,0.0158,0.5956
SPADES SEVEN HEARTS QUEEN,0.391,0.0136,0.5954
HEARTS SIX DIAMONDS SEVEN,0.566,0.0284,0.4056
CLUBS NINE DIAMONDS FIVE,0.6834,0.0788,0.2378
CLUBS FIVE HEARTS ACE,0.2708,0.0244,0.7048
HEARTS FOUR CLUBS TWO,0.6486,0.0304,0.321
SPADES QUEEN HEARTS QUEEN,0.1684,0.017,0.8146
SPADES TWO CLUBS KING,0.4336,0.0088,0.5576
HEARTS FOUR DIAMONDS FIVE,0.6228,0.0868,0.2904
SPADES QUEEN HEARTS KING,0.3366,0.0082,0.6552
SPADES TWO CLUBS QUEEN,0.4406,0.0142,0.5452
CLUBS TWO SPADES FOUR,0.6458,0.0274,0.3268
DIAMONDS QUEEN SPADES FIVE,0.2842,0.0496,0.6662
SPADES SIX CLUBS KING,0.411,0.008,0.581
CLUBS THREE DIAMONDS JACK,0.4436,0.0168,0.5396
HEARTS FOUR HEARTS JACK,0.3846,0.019,0.5964
SPADES ACE SPADES THREE,0.3936,0.0044,0.602
CLUBS FIVE DIAMONDS SEVEN,0.6562,0.0724,0.2714
DIAMONDS JACK SPADES FIVE,0.284,0.0576,0.6584
CLUBS JACK SPADES TEN,0.2728,0.0494,0.6778
SPADES SEVEN HEARTS NINE,0.5694,0.0216,0.409
CLUBS TEN HEARTS ACE,0.2556,0.0242,0.7202
SPADES ACE CLUBS SEVEN,0.3948,0.0032,0.602
SPADES NINE HEARTS EIGHT,0.554,0.0236,0.4224
HEARTS SIX DIAMONDS SIX,0.3282,0.0586,0.6132
SPADES NINE CLUBS FOUR,0.6442,0.0276,0.3282
CLUBS SEVEN DIAMONDS FIVE,0.6508,0.0768,0.2724
SPADES JACK SPADES EIGHT,0.3472,0.0134,0.6394
CLUBS JACK CLUBS TEN,0.2586,0.054,0.6874
CLUBS TEN SPADES SEVEN,0.2678,0.266,0.4662
HEARTS SIX CLUBS NINE,0.5846,0.0274,0.388
HEARTS THREE DIAMONDS SEVEN,0.6266,0.0276,0.3458
CLUBS EIGHT SPADES NINE,0.5694,0.0196,0.411
DIAMONDS TEN CLUBS KING,0.2824,0.0336,0.684
DIAMONDS TWO SPADES TWO,0.4324,0.0666,0.501
SPADES QUEEN HEARTS JACK,0.3426,0.0104,0.647
HEARTS SIX SPADES FOUR,0.608,0.0266,0.3654
DIAMONDS THREE SPADES FOUR,0.6302,0.029,0.3408
HEARTS SIX SPADES THREE,0.6024,0.0332,0.3644
CLUBS JACK CLUBS KING,0.337,0.0094,0.6536
DIAMONDS THREE CLUBS QUEEN,0.43,0.0124,0.5576
HEARTS SIX DIAMONDS QUEEN,0.3998,0.0108,0.5894
