opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE SPADES JACK
SPADES FIVE CLUBS JACK,0.017,0.97,0.013
CLUBS TEN SPADES FIVE,0.703,0.063,0.234
CLUBS EIGHT CLUBS JACK,0.211,0.209,0.58
CLUBS TEN CLUBS EIGHT,0.522,0.0164,0.4616
CLUBS EIGHT CLUBS KING,0.3494,0.0066,0.644
SPADES FIVE CLUBS ACE,0.2414,0.027,0.7316
CLUBS EIGHT CLUBS QUEEN,0.3348,0.0102,0.655
SPADES FIVE CLUBS KING,0.2348,0.038,0.7272
SPADES FIVE CLUBS QUEEN,0.2382,0.055,0.7068
CLUBS EIGHT CLUBS ACE,0.3248,0.0052,0.67
DIAMONDS TWO DIAMONDS THREE,0.6166,0.0192,0.3642
DIAMONDS TWO DIAMONDS FIVE,0.6368,0.0662,0.297
DIAMONDS TWO DIAMONDS FOUR,0.596,0.0174,0.3866
DIAMONDS TWO DIAMONDS SEVEN,0.5998,0.0152,0.385
DIAMONDS TWO DIAMONDS SIX,0.5874,0.015,0.3976
DIAMONDS TWO DIAMONDS NINE,0.5872,0.015,0.3978
DIAMONDS TWO DIAMONDS EIGHT,0.5832,0.017,0.3998
DIAMONDS THREE DIAMONDS FOUR,0.5732,0.0206,0.4062
SPADES FOUR CLUBS TWO,0.6294,0.0196,0.351
DIAMONDS THREE DIAMONDS FIVE,0.6138,0.067,0.3192
SPADES FIVE CLUBS TWO,0.6832,0.068,0.2488
CLUBS TWO SPADES TWO,0.425,0.0512,0.5238
CLUBS TWO SPADES THREE,0.6462,0.019,0.3348
DIAMONDS THREE DIAMONDS EIGHT,0.6006,0.017,0.3824
SPADES EIGHT CLUBS TWO,0.6326,0.0186,0.3488
DIAMONDS THREE DIAMONDS NINE,0.592,0.0176,0.3904
SPADES NINE CLUBS TWO,0.6246,0.0216,0.3538
DIAMONDS THREE DIAMONDS SIX,0.5758,0.0226,0.4016
SPADES SIX CLUBS TWO,0.6336,0.0202,0.3462
DIAMONDS THREE DIAMONDS SEVEN,0.5804,0.0176,0.402
SPADES SEVEN CLUBS TWO,0.64,0.0188,0.3412
CLUBS SIX CLUBS TWO,0.582,0.0212,0.3968
CLUBS SEVEN CLUBS TWO,0.5856,0.0222,0.3922
CLUBS FOUR CLUBS TWO,0.5956,0.0198,0.3846
CLUBS FIVE CLUBS TWO,0.6246,0.0732,0.3022
CLUBS TEN CLUBS JACK,0.2118,0.1166,0.6716
DIAMONDS FOUR DIAMONDS SIX,0.5446,0.0206,0.4348
CLUBS TEN CLUBS QUEEN,0.3146,0.014,0.6714
DIAMONDS FOUR DIAMONDS SEVEN,0.5676,0.0218,0.4106
CLUBS TEN CLUBS KING,0.3146,0.008,0.6774
CLUBS TEN CLUBS ACE,0.3398,0.0032,0.657
CLUBS EIGHT CLUBS TWO,0.586,0.017,0.397
DIAMONDS FIVE DIAMONDS FOUR,0.612,0.0572,0.3308
CLUBS NINE CLUBS TWO,0.5834,0.0142,0.4024
DIAMONDS NINE DIAMONDS FOUR,0.5888,0.0208,0.3904
DIAMONDS EIGHT DIAMONDS FOUR,0.575,0.0164,0.4086
CLUBS THREE CLUBS TWO,0.585,0.0204,0.3946
DIAMONDS NINE DIAMONDS FIVE,0.6426,0.057,0.3004
DIAMONDS TWO CLUBS JACK,0.3304,0.4614,0.2082
DIAMONDS EIGHT DIAMONDS FIVE,0.6368,0.0568,0.3064
CLUBS TEN DIAMONDS TWO,0.6262,0.022,0.3518
DIAMONDS FIVE DIAMONDS SEVEN,0.6122,0.0616,0.3262
DIAMONDS FIVE DIAMONDS SIX,0.6068,0.0562,0.337
DIAMONDS TWO CLUBS ACE,0.3924,0.0052,0.6024
DIAMONDS TWO CLUBS KING,0.396,0.0088,0.5952
DIAMONDS TWO CLUBS QUEEN,0.3988,0.0108,0.5904
DIAMONDS EIGHT DIAMONDS SIX,0.5344,0.019,0.4466
DIAMONDS NINE DIAMONDS SIX,0.5412,0.0158,0.443
HEARTS ACE SPADES THREE,0.3812,0.0056,0.6132
SPADES THREE HEARTS KING,0.3998,0.0094,0.5908
DIAMONDS SEVEN DIAMONDS SIX,0.5216,0.0182,0.4602
SPADES THREE HEARTS QUEEN,0.3844,0.0134,0.6022
SPADES THREE HEARTS JACK,0.3192,0.4736,0.2072
SPADES THREE HEARTS TEN,0.6268,0.0206,0.3526
DIAMONDS EIGHT DIAMONDS SEVEN,0.5204,0.014,0.4656
DIAMONDS NINE DIAMONDS SEVEN,0.521,0.018,0.461
DIAMONDS NINE DIAMONDS EIGHT,0.5118,0.0156,0.4726
DIAMONDS KING HEARTS TEN,0.3342,0.0066,0.6592
HEARTS THREE HEARTS TEN,0.5932,0.0206,0.3862
DIAMONDS KING HEARTS JACK,0.233,0.0298,0.7372
HEARTS THREE HEARTS JACK,0.3118,0.4346,0.2536
SPADES TEN CLUBS SIX,0.5864,0.0174,0.3962
SPADES TEN SPADES FIVE,0.6798,0.0648,0.2554
DIAMONDS KING HEARTS ACE,0.3276,0.003,0.6694
HEARTS THREE HEARTS ACE,0.3616,0.0048,0.6336
SPADES ACE CLUBS SIX,0.3524,0.0052,0.6424
DIAMONDS KING HEARTS QUEEN,0.313,0.0076,0.6794
HEARTS THREE HEARTS QUEEN,0.3816,0.009,0.6094
SPADES KING CLUBS SIX,0.3672,0.0076,0.6252
DIAMONDS KING HEARTS KING,0.1362,0.0076,0.8562
HEARTS THREE HEARTS KING,0.3556,0.0086,0.6358
SPADES QUEEN CLUBS SIX,0.3578,0.011,0.6312
SPADES NINE HEARTS TEN,0.5452,0.0164,0.4384
SPADES NINE HEARTS JACK,0.2274,0.1772,0.5954
SPADES QUEEN SPADES FIVE,0.2248,0.0518,0.7234
SPADES KING SPADES FIVE,0.2214,0.038,0.7406
SPADES ACE SPADES FIVE,0.2202,0.029,0.7508
SPADES NINE HEARTS QUEEN,0.3378,0.0092,0.653
SPADES NINE HEARTS KING,0.364,0.0078,0.6282
SPADES NINE HEARTS ACE,0.3642,0.007,0.6288
CLUBS TEN SPADES TEN,0.289,0.0212,0.6898
SPADES ACE CLUBS TEN,0.3604,0.004,0.6356
SPADES KING CLUBS TEN,0.3448,0.0074,0.6478
