opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE SPADES NINE
SPADES FIVE CLUBS JACK,0.2578,0.0562,0.686
CLUBS TEN SPADES FIVE,0.2558,0.0814,0.6628
CLUBS EIGHT CLUBS JACK,0.3276,0.019,0.6534
CLUBS TEN CLUBS EIGHT,0.3218,0.0236,0.6546
CLUBS EIGHT CLUBS KING,0.3532,0.0078,0.639
SPADES FIVE CLUBS ACE,0.2582,0.022,0.7198
CLUBS EIGHT CLUBS QUEEN,0.355,0.009,0.636
SPADES FIVE CLUBS KING,0.2656,0.0332,0.7012
SPADES FIVE CLUBS QUEEN,0.2486,0.045,0.7064
CLUBS EIGHT CLUBS ACE,0.3368,0.0052,0.658
DIAMONDS TWO DIAMONDS THREE,0.5736,0.0428,0.3836
DIAMONDS TWO DIAMONDS FIVE,0.5988,0.1092,0.292
DIAMONDS TWO DIAMONDS FOUR,0.5784,0.046,0.3756
DIAMONDS TWO DIAMONDS SEVEN,0.5744,0.0432,0.3824
DIAMONDS TWO DIAMONDS SIX,0.5666,0.0438,0.3896
DIAMONDS TWO DIAMONDS NINE,0.318,0.4264,0.2556
DIAMONDS TWO DIAMONDS EIGHT,0.5828,0.0352,0.382
DIAMONDS THREE DIAMONDS FOUR,0.5576,0.041,0.4014
SPADES FOUR CLUBS TWO,0.6074,0.0452,0.3474
DIAMONDS THREE DIAMONDS FIVE,0.5714,0.1036,0.325
SPADES FIVE CLUBS TWO,0.643,0.103,0.254
CLUBS TWO SPADES TWO,0.4124,0.0772,0.5104
CLUBS TWO SPADES THREE,0.6112,0.046,0.3428
DIAMONDS THREE DIAMONDS EIGHT,0.5846,0.037,0.3784
SPADES EIGHT CLUBS TWO,0.6148,0.0438,0.3414
DIAMONDS THREE DIAMONDS NINE,0.3158,0.426,0.2582
DIAMONDS THREE DIAMONDS SIX,0.562,0.042,0.396
SPADES SIX CLUBS TWO,0.611,0.0466,0.3424
DIAMONDS THREE DIAMONDS SEVEN,0.5586,0.041,0.4004
SPADES SEVEN CLUBS TWO,0.6318,0.0474,0.3208
CLUBS SIX CLUBS TWO,0.5634,0.0422,0.3944
CLUBS SEVEN CLUBS TWO,0.5824,0.0408,0.3768
CLUBS FOUR CLUBS TWO,0.5802,0.0398,0.38
CLUBS FIVE CLUBS TWO,0.5894,0.1084,0.3022
CLUBS TEN CLUBS JACK,0.2906,0.0128,0.6966
DIAMONDS FOUR DIAMONDS SIX,0.553,0.042,0.405
CLUBS TEN CLUBS QUEEN,0.297,0.0088,0.6942
DIAMONDS FOUR DIAMONDS SEVEN,0.542,0.041,0.417
CLUBS TEN CLUBS KING,0.3096,0.0066,0.6838
CLUBS TEN CLUBS ACE,0.313,0.0046,0.6824
CLUBS EIGHT CLUBS TWO,0.554,0.0356,0.4104
DIAMONDS FIVE DIAMONDS FOUR,0.5756,0.113,0.3114
CLUBS NINE CLUBS TWO,0.2912,0.4424,0.2664
DIAMONDS NINE DIAMONDS FOUR,0.3084,0.4232,0.2684
DIAMONDS EIGHT DIAMONDS FOUR,0.5732,0.036,0.3908
CLUBS THREE CLUBS TWO,0.577,0.0474,0.3756
