opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE SPADES TEN
SPADES FIVE CLUBS JACK,0.2466,0.0606,0.6928
CLUBS TEN SPADES FIVE,0.0176,0.9702,0.0122
CLUBS EIGHT CLUBS JACK,0.3292,0.016,0.6548
CLUBS TEN CLUBS EIGHT,0.2148,0.2196,0.5656
CLUBS EIGHT CLUBS KING,0.3364,0.0056,0.658
SPADES FIVE CLUBS ACE,0.2474,0.024,0.7286
CLUBS EIGHT CLUBS QUEEN,0.3278,0.0112,0.661
SPADES FIVE CLUBS KING,0.2382,0.0384,0.7234
SPADES FIVE CLUBS QUEEN,0.2428,0.0474,0.7098
CLUBS EIGHT CLUBS ACE,0.3362,0.0052,0.6586
DIAMONDS TWO DIAMONDS THREE,0.5758,0.029,0.3952
DIAMONDS TWO DIAMONDS FIVE,0.6284,0.0786,0.293
DIAMONDS TWO DIAMONDS FOUR,0.5776,0.0304,0.392
DIAMONDS TWO DIAMONDS SEVEN,0.578,0.0282,0.3938
DIAMONDS TWO DIAMONDS SIX,0.58,0.0238,0.3962
DIAMONDS TWO DIAMONDS NINE,0.5856,0.0268,0.3876
DIAMONDS TWO DIAMONDS EIGHT,0.575,0.028,0.397
DIAMONDS THREE DIAMONDS FOUR,0.5742,0.0274,0.3984
SPADES FOUR CLUBS TWO,0.6114,0.0342,0.3544
DIAMONDS THREE DIAMONDS FIVE,0.6126,0.075,0.3124
SPADES FIVE CLUBS TWO,0.6658,0.0882,0.246
CLUBS TWO SPADES TWO,0.4088,0.065,0.5262
CLUBS TWO SPADES THREE,0.6158,0.0298,0.3544
DIAMONDS THREE DIAMONDS EIGHT,0.5764,0.0284,0.3952
SPADES EIGHT CLUBS TWO,0.6216,0.0276,0.3508
DIAMONDS THREE DIAMONDS NINE,0.5842,0.0238,0.392
SPADES NINE CLUBS TWO,0.62,0.0268,0.3532
DIAMONDS THREE DIAMONDS SIX,0.5582,0.027,0.4148
SPADES SIX CLUBS TWO,0.6082,0.0308,0.361
DIAMONDS THREE DIAMONDS SEVEN,0.5612,0.027,0.4118
SPADES SEVEN CLUBS TWO,0.6256,0.0246,0.3498
CLUBS SIX CLUBS TWO,0.5716,0.0316,0.3968
CLUBS SEVEN CLUBS TWO,0.591,0.0286,0.3804
CLUBS FOUR CLUBS TWO,0.581,0.0276,0.3914
CLUBS FIVE CLUBS TWO,0.6212,0.079,0.2998
CLUBS TEN CLUBS JACK,0.2116,0.0496,0.7388
DIAMONDS FOUR DIAMONDS SIX,0.5464,0.0256,0.428
CLUBS TEN CLUBS QUEEN,0.2252,0.0466,0.7282
DIAMONDS FOUR DIAMONDS SEVEN,0.5728,0.0246,0.4026
CLUBS TEN CLUBS KING,0.2108,0.034,0.7552
CLUBS TEN CLUBS ACE,0.2042,0.0246,0.7712
CLUBS EIGHT CLUBS TWO,0.5746,0.0278,0.3976
DIAMONDS FIVE DIAMONDS FOUR,0.5876,0.0786,0.3338
CLUBS NINE CLUBS TWO,0.5958,0.0242,0.38
DIAMONDS NINE DIAMONDS FOUR,0.584,0.0228,0.3932
DIAMONDS EIGHT DIAMONDS FOUR,0.5704,0.0246,0.405
CLUBS THREE CLUBS TWO,0.5836,0.0244,0.392
DIAMONDS NINE DIAMONDS FIVE,0.627,0.0812,0.2918
DIAMONDS TWO CLUBS JACK,0.397,0.0196,0.5834
