opposingHand,winningChance,drawChance,lostChance
HEARTS FIVE SPADES TWO
SPADES FIVE CLUBS JACK,0.2502,0.0684,0.6814
CLUBS TEN SPADES FIVE,0.2534,0.0746,0.672
CLUBS EIGHT CLUBS JACK,0.3274,0.0164,0.6562
CLUBS TEN CLUBS EIGHT,0.3194,0.029,0.6516
CLUBS EIGHT CLUBS KING,0.3262,0.009,0.6648
SPADES FIVE CLUBS ACE,0.2258,0.0292,0.745
CLUBS EIGHT CLUBS QUEEN,0.3266,0.0136,0.6598
SPADES FIVE CLUBS KING,0.2482,0.038,0.7138
SPADES FIVE CLUBS QUEEN,0.2442,0.0526,0.7032
CLUBS EIGHT CLUBS ACE,0.3264,0.0036,0.67
DIAMONDS TWO DIAMONDS THREE,0.3966,0.3438,0.2596
DIAMONDS TWO DIAMONDS FIVE,0.0228,0.9074,0.0698
DIAMONDS TWO DIAMONDS FOUR,0.378,0.3578,0.2642
DIAMONDS TWO DIAMONDS SEVEN,0.243,0.189,0.568
DIAMONDS TWO DIAMONDS SIX,0.23,0.2596,0.5104
DIAMONDS TWO DIAMONDS NINE,0.258,0.1006,0.6414
DIAMONDS TWO DIAMONDS EIGHT,0.248,0.1338,0.6182
DIAMONDS THREE DIAMONDS FOUR,0.3516,0.2334,0.415
CLUBS TWO SPADES FOUR,0.408,0.3652,0.2268
DIAMONDS THREE DIAMONDS FIVE,0.2106,0.477,0.3124
SPADES FIVE CLUBS TWO,0.0122,0.9696,0.0182
CLUBS TWO SPADES THREE,0.4,0.3774,0.2226
DIAMONDS THREE DIAMONDS EIGHT,0.352,0.0726,0.5754
SPADES EIGHT CLUBS TWO,0.2542,0.134,0.6118
DIAMONDS THREE DIAMONDS NINE,0.35,0.0462,0.6038
SPADES NINE CLUBS TWO,0.2652,0.114,0.6208
DIAMONDS THREE DIAMONDS SIX,0.3326,0.1478,0.5196
SPADES SIX CLUBS TWO,0.2518,0.266,0.4822
DIAMONDS THREE DIAMONDS SEVEN,0.3322,0.1068,0.561
SPADES SEVEN CLUBS TWO,0.256,0.198,0.546
CLUBS SIX CLUBS TWO,0.2286,0.2452,0.5262
CLUBS SEVEN CLUBS TWO,0.2474,0.1892,0.5634
CLUBS FOUR CLUBS TWO,0.3644,0.3716,0.264
CLUBS FIVE CLUBS TWO,0.0192,0.9156,0.0652
CLUBS TEN CLUBS JACK,0.3108,0.014,0.6752
DIAMONDS FOUR DIAMONDS SIX,0.3094,0.1478,0.5428
CLUBS TEN CLUBS QUEEN,0.3222,0.0116,0.6662
DIAMONDS FOUR DIAMONDS SEVEN,0.326,0.1034,0.5706
CLUBS TEN CLUBS KING,0.3246,0.0064,0.669
CLUBS TEN CLUBS ACE,0.3108,0.006,0.6832
CLUBS EIGHT CLUBS TWO,0.2454,0.1438,0.6108
DIAMONDS FIVE DIAMONDS FOUR,0.1928,0.4698,0.3374
CLUBS NINE CLUBS TWO,0.2494,0.097,0.6536
DIAMONDS NINE DIAMONDS FOUR,0.3444,0.041,0.6146
DIAMONDS EIGHT DIAMONDS FOUR,0.3426,0.0656,0.5918
CLUBS THREE CLUBS TWO,0.3832,0.3448,0.272
DIAMONDS NINE DIAMONDS FIVE,0.2444,0.108,0.6476
DIAMONDS TWO CLUBS JACK,0.263,0.0534,0.6836
DIAMONDS EIGHT DIAMONDS FIVE,0.243,0.1452,0.6118
CLUBS TEN DIAMONDS TWO,0.2764,0.0692,0.6544
DIAMONDS FIVE DIAMONDS SEVEN,0.216,0.1882,0.5958
DIAMONDS FIVE DIAMONDS SIX,0.2242,0.2542,0.5216
DIAMONDS TWO CLUBS ACE,0.243,0.014,0.743
DIAMONDS TWO CLUBS KING,0.2716,0.0256,0.7028
DIAMONDS TWO CLUBS QUEEN,0.2698,0.0358,0.6944
DIAMONDS EIGHT DIAMONDS SIX,0.308,0.0542,0.6378
DIAMONDS NINE DIAMONDS SIX,0.3148,0.0402,0.645
HEARTS ACE SPADES THREE,0.3602,0.005,0.6348
SPADES THREE HEARTS KING,0.3606,0.0118,0.6276
DIAMONDS SEVEN DIAMONDS SIX,0.299,0.0906,0.6104
HEARTS QUEEN SPADES THREE,0.3654,0.016,0.6186
SPADES THREE HEARTS JACK,0.3618,0.0234,0.6148
SPADES THREE HEARTS TEN,0.3544,0.0312,0.6144
DIAMONDS EIGHT DIAMONDS SEVEN,0.307,0.066,0.627
DIAMONDS NINE DIAMONDS SEVEN,0.3144,0.0412,0.6444
DIAMONDS NINE DIAMONDS EIGHT,0.3062,0.041,0.6528
DIAMONDS KING HEARTS TEN,0.3384,0.0086,0.653
HEARTS THREE HEARTS TEN,0.3584,0.0298,0.6118
SPADES JACK CLUBS SIX,0.352,0.0192,0.6288
DIAMONDS KING HEARTS JACK,0.3402,0.0076,0.6522
HEARTS THREE HEARTS JACK,0.3588,0.0168,0.6244
SPADES TEN CLUBS SIX,0.338,0.024,0.638
SPADES JACK SPADES FIVE,0.2512,0.0638,0.685
SPADES TEN SPADES FIVE,0.248,0.08,0.672
DIAMONDS KING HEARTS ACE,0.3586,0.004,0.6374
HEARTS THREE HEARTS ACE,0.3486,0.0058,0.6456
SPADES ACE CLUBS SIX,0.339,0.0046,0.6564
DIAMONDS KING HEARTS QUEEN,0.3404,0.007,0.6526
HEARTS THREE HEARTS QUEEN,0.359,0.0164,0.6246
SPADES KING CLUBS SIX,0.3372,0.0076,0.6552
DIAMONDS KING HEARTS KING,0.1564,0.017,0.8266
HEARTS THREE HEARTS KING,0.369,0.0104,0.6206
SPADES QUEEN CLUBS SIX,0.3438,0.0164,0.6398
