opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR CLUBS FOUR
SPADES FIVE HEARTS EIGHT,0.52,0.0926,0.3874
DIAMONDS EIGHT HEARTS JACK,0.5122,0.0392,0.4486
SPADES QUEEN SPADES JACK,0.4786,0.0136,0.5078
SPADES KING CLUBS SIX,0.5336,0.014,0.4524
SPADES SIX DIAMONDS FOUR,0.6344,0.1004,0.2652
DIAMONDS THREE SPADES TEN,0.6226,0.074,0.3034
SPADES KING CLUBS EIGHT,0.5362,0.0144,0.4494
CLUBS NINE HEARTS NINE,0.179,0.1576,0.6634
DIAMONDS QUEEN DIAMONDS FOUR,0.6292,0.0334,0.3374
CLUBS JACK CLUBS THREE,0.6186,0.0476,0.3338
DIAMONDS ACE HEARTS QUEEN,0.5158,0.006,0.4782
CLUBS SIX SPADES FOUR,0.6252,0.1004,0.2744
CLUBS SEVEN DIAMONDS JACK,0.525,0.0378,0.4372
SPADES FIVE CLUBS ACE,0.53,0.005,0.465
CLUBS TWO CLUBS QUEEN,0.5986,0.0352,0.3662
SPADES JACK CLUBS SIX,0.5394,0.0406,0.42
SPADES NINE HEARTS ACE,0.527,0.0056,0.4674
HEARTS TWO HEARTS KING,0.606,0.0196,0.3744
HEARTS SEVEN SPADES SIX,0.5112,0.102,0.3868
HEARTS TWO SPADES TWO,0.5322,0.297,0.1708
SPADES FOUR DIAMONDS SIX,0.6262,0.099,0.2748
CLUBS SIX DIAMONDS QUEEN,0.5512,0.0294,0.4194
HEARTS TWO DIAMONDS FIVE,0.6318,0.1616,0.2066
CLUBS NINE DIAMONDS JACK,0.5132,0.0276,0.4592
SPADES TEN CLUBS KING,0.5164,0.0098,0.4738
SPADES EIGHT CLUBS QUEEN,0.5204,0.0204,0.4592
SPADES JACK HEARTS QUEEN,0.4942,0.0164,0.4894
CLUBS SIX HEARTS TEN,0.5282,0.0582,0.4136
HEARTS FIVE HEARTS TEN,0.5226,0.07,0.4074
SPADES NINE DIAMONDS TEN,0.4886,0.049,0.4624
SPADES TEN HEARTS QUEEN,0.5012,0.0186,0.4802
CLUBS THREE SPADES TWO,0.7258,0.1696,0.1046
CLUBS NINE HEARTS QUEEN,0.5068,0.0226,0.4706
CLUBS SIX SPADES SEVEN,0.5088,0.1064,0.3848
CLUBS FIVE DIAMONDS EIGHT,0.5294,0.102,0.3686
DIAMONDS TWO HEARTS KING,0.6342,0.0194,0.3464
HEARTS THREE SPADES TEN,0.638,0.0658,0.2962
DIAMONDS TWO HEARTS ACE,0.634,0.0048,0.3612
SPADES KING SPADES EIGHT,0.509,0.0112,0.4798
SPADES ACE HEARTS SIX,0.5356,0.0052,0.4592
CLUBS FIVE HEARTS KING,0.5338,0.0206,0.4456
HEARTS FIVE DIAMONDS KING,0.5344,0.0134,0.4522
HEARTS SEVEN SPADES FIVE,0.514,0.1124,0.3736
SPADES TEN DIAMONDS TEN,0.1912,0.124,0.6848
SPADES FOUR DIAMONDS EIGHT,0.6526,0.0704,0.277
CLUBS SIX CLUBS QUEEN,0.5084,0.0286,0.463
SPADES TEN HEARTS TEN,0.1914,0.1222,0.6864
SPADES KING SPADES THREE,0.5872,0.0198,0.393
SPADES NINE DIAMONDS FOUR,0.6578,0.0622,0.28
SPADES ACE DIAMONDS ACE,0.194,0.005,0.801
HEARTS FIVE HEARTS ACE,0.5068,0.0066,0.4866
SPADES TEN DIAMONDS EIGHT,0.5166,0.0496,0.4338
DIAMONDS ACE SPADES THREE,0.6334,0.0044,0.3622
SPADES SEVEN SPADES FOUR,0.5874,0.0874,0.3252
DIAMONDS NINE DIAMONDS SEVEN,0.4634,0.0644,0.4722
CLUBS SIX HEARTS ACE,0.5342,0.0054,0.4604
DIAMONDS THREE HEARTS TEN,0.6202,0.0682,0.3116
SPADES SEVEN DIAMONDS JACK,0.5358,0.0388,0.4254
HEARTS ACE CLUBS KING,0.5176,0.0068,0.4756
CLUBS JACK SPADES NINE,0.4976,0.0296,0.4728
