opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR CLUBS KING
HEARTS FIVE SPADES TEN,0.6016,0.0088,0.3896
HEARTS FIVE SPADES JACK,0.5932,0.0066,0.4002
SPADES FIVE CLUBS JACK,0.6016,0.0074,0.391
CLUBS TEN SPADES FIVE,0.5976,0.0092,0.3932
CLUBS EIGHT CLUBS JACK,0.5474,0.009,0.4436
CLUBS TEN CLUBS EIGHT,0.5348,0.0076,0.4576
SPADES FIVE CLUBS ACE,0.3442,0.0046,0.6512
CLUBS EIGHT CLUBS QUEEN,0.5558,0.0086,0.4356
SPADES FIVE CLUBS QUEEN,0.6066,0.0084,0.385
CLUBS EIGHT CLUBS ACE,0.3524,0.007,0.6406
DIAMONDS TWO DIAMONDS THREE,0.6068,0.0068,0.3864
DIAMONDS TWO DIAMONDS FIVE,0.5806,0.0104,0.409
HEARTS FIVE SPADES KING,0.2204,0.467,0.3126
DIAMONDS TWO DIAMONDS FOUR,0.672,0.0334,0.2946
HEARTS FIVE SPADES QUEEN,0.5904,0.008,0.4016
DIAMONDS TWO DIAMONDS SEVEN,0.6036,0.009,0.3874
DIAMONDS TWO DIAMONDS SIX,0.5932,0.0088,0.398
SPADES ACE HEARTS FIVE,0.3448,0.003,0.6522
DIAMONDS TWO DIAMONDS NINE,0.5784,0.0094,0.4122
DIAMONDS TWO DIAMONDS EIGHT,0.5944,0.0094,0.3962
DIAMONDS THREE DIAMONDS FOUR,0.6556,0.0356,0.3088
CLUBS TWO SPADES FOUR,0.7154,0.032,0.2526
DIAMONDS THREE DIAMONDS FIVE,0.5736,0.0056,0.4208
SPADES FIVE CLUBS TWO,0.614,0.0136,0.3724
CLUBS TWO SPADES TWO,0.4382,0.0226,0.5392
CLUBS TWO SPADES THREE,0.6568,0.0108,0.3324
DIAMONDS THREE DIAMONDS EIGHT,0.595,0.0086,0.3964
SPADES EIGHT CLUBS TWO,0.6418,0.0074,0.3508
DIAMONDS THREE DIAMONDS NINE,0.591,0.006,0.403
SPADES NINE CLUBS TWO,0.6462,0.009,0.3448
DIAMONDS THREE DIAMONDS SIX,0.5766,0.0068,0.4166
SPADES SIX CLUBS TWO,0.6374,0.0072,0.3554
DIAMONDS THREE DIAMONDS SEVEN,0.5898,0.0072,0.403
SPADES SEVEN CLUBS TWO,0.6468,0.0082,0.345
CLUBS SIX CLUBS TWO,0.6138,0.01,0.3762
CLUBS SEVEN CLUBS TWO,0.6176,0.0094,0.373
CLUBS FOUR CLUBS TWO,0.6766,0.035,0.2884
CLUBS FIVE CLUBS TWO,0.5884,0.0092,0.4024
CLUBS TEN CLUBS JACK,0.5238,0.0082,0.468
DIAMONDS FOUR DIAMONDS SIX,0.6472,0.0262,0.3266
CLUBS TEN CLUBS QUEEN,0.5494,0.008,0.4426
DIAMONDS FOUR DIAMONDS SEVEN,0.6492,0.0276,0.3232
CLUBS TEN CLUBS ACE,0.3274,0.006,0.6666
CLUBS EIGHT CLUBS TWO,0.6084,0.008,0.3836
DIAMONDS FIVE DIAMONDS FOUR,0.6484,0.0284,0.3232
CLUBS NINE CLUBS TWO,0.6008,0.0108,0.3884
