opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR DIAMONDS JACK
DIAMONDS TWO CLUBS FIVE,0.6106,0.0182,0.3712
DIAMONDS NINE DIAMONDS EIGHT,0.5058,0.0178,0.4764
CLUBS EIGHT HEARTS JACK,0.221,0.2176,0.5614
SPADES QUEEN DIAMONDS KING,0.3154,0.0066,0.678
HEARTS EIGHT CLUBS SEVEN,0.5474,0.017,0.4356
DIAMONDS QUEEN SPADES TWO,0.3954,0.0126,0.592
SPADES NINE DIAMONDS TEN,0.5392,0.0168,0.444
DIAMONDS KING HEARTS KING,0.1292,0.006,0.8648
DIAMONDS TEN DIAMONDS EIGHT,0.5202,0.0184,0.4614
HEARTS JACK HEARTS NINE,0.215,0.1672,0.6178
HEARTS TWO HEARTS ACE,0.3592,0.004,0.6368
HEARTS EIGHT SPADES TWO,0.6238,0.0204,0.3558
HEARTS TWO DIAMONDS KING,0.3996,0.0102,0.5902
CLUBS NINE DIAMONDS EIGHT,0.5498,0.0202,0.43
HEARTS KING DIAMONDS SEVEN,0.3562,0.0086,0.6352
SPADES JACK SPADES TWO,0.2498,0.4792,0.271
SPADES TEN CLUBS QUEEN,0.3338,0.0112,0.655
CLUBS TWO DIAMONDS FIVE,0.6008,0.0226,0.3766
HEARTS THREE SPADES FOUR,0.6712,0.0612,0.2676
SPADES JACK DIAMONDS NINE,0.2392,0.179,0.5818
HEARTS TWO SPADES SIX,0.6268,0.0156,0.3576
HEARTS SIX CLUBS FOUR,0.6626,0.0574,0.28
DIAMONDS THREE DIAMONDS KING,0.3662,0.0084,0.6254
HEARTS SEVEN HEARTS THREE,0.5842,0.0204,0.3954
HEARTS TWO SPADES SEVEN,0.6308,0.017,0.3522
HEARTS EIGHT CLUBS FIVE,0.5922,0.0166,0.3912
SPADES SIX CLUBS THREE,0.612,0.021,0.367
CLUBS NINE DIAMONDS QUEEN,0.3342,0.0122,0.6536
CLUBS NINE HEARTS TWO,0.6204,0.0216,0.358
HEARTS SEVEN DIAMONDS KING,0.3496,0.0086,0.6418
HEARTS SEVEN HEARTS ACE,0.3446,0.004,0.6514
SPADES QUEEN HEARTS KING,0.3094,0.0056,0.685
HEARTS THREE CLUBS KING,0.3982,0.0078,0.594
CLUBS KING DIAMONDS FIVE,0.3658,0.0074,0.6268
SPADES SEVEN SPADES FOUR,0.6378,0.0554,0.3068
DIAMONDS THREE CLUBS FIVE,0.6016,0.0212,0.3772
