opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR DIAMONDS SEVEN
DIAMONDS NINE CLUBS ACE,0.3368,0.0036,0.6596
HEARTS THREE DIAMONDS FIVE,0.524,0.1168,0.3592
SPADES JACK CLUBS QUEEN,0.3476,0.0086,0.6438
HEARTS SIX SPADES TWO,0.565,0.102,0.333
DIAMONDS SIX CLUBS QUEEN,0.376,0.0094,0.6146
SPADES SEVEN DIAMONDS NINE,0.2392,0.1058,0.655
SPADES TWO DIAMONDS FIVE,0.5384,0.1054,0.3562
HEARTS QUEEN DIAMONDS FIVE,0.371,0.0164,0.6126
CLUBS JACK CLUBS TEN,0.3212,0.0152,0.6636
CLUBS NINE CLUBS TWO,0.3848,0.044,0.5712
CLUBS SEVEN DIAMONDS EIGHT,0.2272,0.1506,0.6222
CLUBS TEN HEARTS TWO,0.4196,0.0322,0.5482
SPADES ACE DIAMONDS ACE,0.158,0.0038,0.8382
CLUBS TEN DIAMONDS EIGHT,0.3346,0.0282,0.6372
HEARTS TWO DIAMONDS NINE,0.3984,0.0448,0.5568
SPADES TEN DIAMONDS SIX,0.3756,0.028,0.5964
SPADES EIGHT DIAMONDS FIVE,0.3518,0.0654,0.5828
HEARTS THREE SPADES FOUR,0.5478,0.1972,0.255
SPADES ACE CLUBS TWO,0.4076,0.0042,0.5882
HEARTS KING DIAMONDS EIGHT,0.3428,0.0074,0.6498
HEARTS TWO DIAMONDS EIGHT,0.4138,0.0672,0.519
SPADES NINE HEARTS QUEEN,0.3364,0.0082,0.6554
SPADES KING HEARTS SEVEN,0.252,0.039,0.709
DIAMONDS ACE CLUBS FOUR,0.2608,0.0174,0.7218
SPADES NINE CLUBS THREE,0.4068,0.0372,0.556
SPADES SIX DIAMONDS TEN,0.3628,0.0262,0.611
HEARTS QUEEN HEARTS TEN,0.3194,0.0102,0.6704
CLUBS EIGHT DIAMONDS FIVE,0.3654,0.0692,0.5654
DIAMONDS ACE SPADES FIVE,0.3568,0.0036,0.6396
CLUBS FIVE DIAMONDS SIX,0.495,0.107,0.398
CLUBS SIX CLUBS THREE,0.515,0.1034,0.3816
SPADES KING CLUBS KING,0.1672,0.0156,0.8172
DIAMONDS TEN CLUBS QUEEN,0.3396,0.012,0.6484
SPADES EIGHT DIAMONDS JACK,0.3434,0.0186,0.638
HEARTS EIGHT DIAMONDS QUEEN,0.332,0.0112,0.6568
CLUBS TWO CLUBS QUEEN,0.3862,0.0118,0.602
SPADES KING HEARTS TEN,0.3432,0.0062,0.6506
CLUBS TEN CLUBS NINE,0.2998,0.0236,0.6766
HEARTS JACK DIAMONDS FOUR,0.2646,0.0544,0.681
HEARTS THREE SPADES TWO,0.563,0.1048,0.3322
DIAMONDS THREE HEARTS ACE,0.3962,0.0056,0.5982
SPADES FOUR SPADES TWO,0.5172,0.1944,0.2884
CLUBS SEVEN DIAMONDS NINE,0.2246,0.109,0.6664
CLUBS THREE SPADES FOUR,0.5438,0.1934,0.2628
DIAMONDS THREE DIAMONDS JACK,0.3784,0.0202,0.6014
SPADES SIX SPADES TWO,0.5308,0.0914,0.3778
SPADES FIVE HEARTS TEN,0.362,0.0294,0.6086
DIAMONDS TWO CLUBS TWO,0.3566,0.1268,0.5166
DIAMONDS JACK CLUBS KING,0.3608,0.0046,0.6346
HEARTS TWO CLUBS ACE,0.4002,0.0048,0.595
DIAMONDS SIX DIAMONDS FIVE,0.4718,0.0944,0.4338
SPADES ACE CLUBS QUEEN,0.3568,0.0032,0.64
CLUBS NINE CLUBS FOUR,0.2522,0.104,0.6438
CLUBS SEVEN DIAMONDS FIVE,0.223,0.4536,0.3234
CLUBS JACK DIAMONDS JACK,0.1542,0.042,0.8038
DIAMONDS KING CLUBS THREE,0.41,0.0076,0.5824
SPADES FIVE DIAMONDS FIVE,0.2572,0.1086,0.6342
HEARTS EIGHT CLUBS KING,0.3554,0.0052,0.6394
HEARTS EIGHT DIAMONDS FIVE,0.3504,0.0704,0.5792
SPADES ACE DIAMONDS QUEEN,0.3394,0.0034,0.6572
SPADES EIGHT HEARTS QUEEN,0.3486,0.012,0.6394
CLUBS TEN CLUBS FOUR,0.2444,0.0766,0.679
DIAMONDS EIGHT DIAMONDS FOUR,0.2214,0.1384,0.6402
CLUBS JACK SPADES FIVE,0.3812,0.021,0.5978
HEARTS QUEEN CLUBS KING,0.342,0.0064,0.6516
CLUBS THREE DIAMONDS EIGHT,0.4036,0.0682,0.5282
SPADES TEN HEARTS JACK,0.3258,0.0152,0.659
DIAMONDS THREE CLUBS SIX,0.5504,0.1066,0.343
DIAMONDS NINE DIAMONDS FIVE,0.3458,0.0462,0.608
DIAMONDS THREE HEARTS FIVE,0.5364,0.1094,0.3542
CLUBS JACK DIAMONDS FIVE,0.3824,0.0186,0.599
DIAMONDS ACE DIAMONDS TEN,0.3362,0.0056,0.6582
SPADES THREE DIAMONDS FOUR,0.5396,0.2016,0.2588
DIAMONDS TWO DIAMONDS KING,0.389,0.0092,0.6018
SPADES KING CLUBS QUEEN,0.3558,0.0056,0.6386
DIAMONDS THREE SPADES JACK,0.4156,0.0218,0.5626
DIAMONDS EIGHT CLUBS ACE,0.3278,0.004,0.6682
SPADES KING SPADES TEN,0.3268,0.0078,0.6654
CLUBS JACK SPADES KING,0.3488,0.006,0.6452
SPADES EIGHT SPADES SIX,0.333,0.0632,0.6038
DIAMONDS THREE DIAMONDS FOUR,0.5136,0.1964,0.29
CLUBS EIGHT DIAMONDS QUEEN,0.3448,0.0118,0.6434
CLUBS SEVEN HEARTS JACK,0.253,0.0636,0.6834
HEARTS FIVE SPADES EIGHT,0.342,0.0674,0.5906
CLUBS SIX DIAMONDS FOUR,0.5582,0.2012,0.2406
HEARTS THREE HEARTS JACK,0.3794,0.0204,0.6002
CLUBS THREE HEARTS TEN,0.3978,0.0292,0.573
CLUBS TWO HEARTS ACE,0.4078,0.0054,0.5868
CLUBS JACK DIAMONDS THREE,0.4118,0.0176,0.5706
HEARTS SEVEN CLUBS TWO,0.285,0.5068,0.2082
SPADES QUEEN SPADES JACK,0.3184,0.009,0.6726
SPADES TEN CLUBS FIVE,0.3664,0.027,0.6066
HEARTS FIVE SPADES FIVE,0.233,0.1172,0.6498
SPADES EIGHT CLUBS FOUR,0.2524,0.1402,0.6074
SPADES SEVEN DIAMONDS FOUR,0.0178,0.9714,0.0108
CLUBS FIVE SPADES SEVEN,0.208,0.4578,0.3342
CLUBS TEN SPADES FOUR,0.2832,0.0732,0.6436
DIAMONDS TWO HEARTS NINE,0.4264,0.0424,0.5312
SPADES JACK CLUBS SIX,0.3784,0.0166,0.605
DIAMONDS KING DIAMONDS SIX,0.356,0.0082,0.6358
CLUBS NINE DIAMONDS KING,0.334,0.0072,0.6588
CLUBS SEVEN HEARTS NINE,0.2276,0.1096,0.6628
CLUBS TEN SPADES SEVEN,0.2584,0.079,0.6626
HEARTS ACE HEARTS NINE,0.335,0.0034,0.6616
SPADES FOUR CLUBS KING,0.2604,0.028,0.7116
SPADES SIX CLUBS KING,0.38,0.0062,0.6138
DIAMONDS TWO CLUBS QUEEN,0.4088,0.0184,0.5728
DIAMONDS ACE HEARTS KING,0.3416,0.0048,0.6536
SPADES KING CLUBS TWO,0.4108,0.0102,0.579
DIAMONDS ACE CLUBS KING,0.3454,0.0036,0.651
DIAMONDS THREE CLUBS NINE,0.4066,0.0462,0.5472
HEARTS ACE SPADES THREE,0.3946,0.0026,0.6028
CLUBS SIX HEARTS NINE,0.3358,0.0452,0.619
HEARTS TWO DIAMONDS SIX,0.5714,0.1012,0.3274
HEARTS THREE CLUBS ACE,0.4048,0.0032,0.592
CLUBS SIX CLUBS FIVE,0.4576,0.0966,0.4458
SPADES TEN SPADES TWO,0.3922,0.0268,0.581
HEARTS SEVEN SPADES EIGHT,0.2198,0.1508,0.6294
SPADES TEN DIAMONDS FIVE,0.3782,0.0254,0.5964
DIAMONDS THREE SPADES TEN,0.4074,0.03,0.5626
SPADES ACE DIAMONDS NINE,0.3382,0.0046,0.6572
CLUBS SIX SPADES FIVE,0.5084,0.1046,0.387
DIAMONDS ACE HEARTS QUEEN,0.3392,0.0044,0.6564
SPADES TEN DIAMONDS JACK,0.3304,0.0144,0.6552
SPADES THREE CLUBS ACE,0.3888,0.0044,0.6068
SPADES JACK SPADES NINE,0.316,0.0154,0.6686
HEARTS SIX SPADES THREE,0.5454,0.1106,0.344
HEARTS SEVEN DIAMONDS TEN,0.247,0.0842,0.6688
SPADES FIVE HEARTS KING,0.365,0.0078,0.6272
DIAMONDS TEN HEARTS QUEEN,0.326,0.0124,0.6616
HEARTS TWO SPADES SIX,0.5646,0.1068,0.3286
SPADES KING SPADES FOUR,0.2552,0.0282,0.7166
CLUBS THREE SPADES THREE,0.3792,0.1168,0.504
HEARTS ACE CLUBS ACE,0.1462,0.0038,0.85
HEARTS FIVE HEARTS TEN,0.3608,0.0294,0.6098
DIAMONDS THREE DIAMONDS KING,0.3884,0.008,0.6036
HEARTS FIVE SPADES THREE,0.5364,0.1004,0.3632
SPADES THREE CLUBS QUEEN,0.4236,0.015,0.5614
SPADES TWO DIAMONDS SIX,0.559,0.1028,0.3382
HEARTS TWO HEARTS JACK,0.3872,0.0184,0.5944
SPADES FIVE SPADES THREE,0.4964,0.1002,0.4034
CLUBS SEVEN CLUBS FIVE,0.2106,0.4222,0.3672
DIAMONDS KING CLUBS TWO,0.4094,0.0116,0.579
SPADES NINE SPADES THREE,0.3782,0.042,0.5798
CLUBS THREE SPADES FIVE,0.5382,0.1004,0.3614
DIAMONDS TEN DIAMONDS EIGHT,0.3108,0.0226,0.6666
HEARTS SEVEN CLUBS FIVE,0.2082,0.4532,0.3386
HEARTS SEVEN DIAMONDS FOUR,0.0092,0.9828,0.008
HEARTS THREE DIAMONDS JACK,0.4066,0.0204,0.573
HEARTS EIGHT SPADES KING,0.3378,0.0094,0.6528
SPADES SIX DIAMONDS EIGHT,0.3488,0.0648,0.5864
HEARTS SIX SPADES NINE,0.3548,0.044,0.6012
CLUBS FIVE SPADES TWO,0.5386,0.1064,0.355
SPADES QUEEN CLUBS FIVE,0.378,0.0086,0.6134
CLUBS FIVE CLUBS KING,0.3522,0.0078,0.64
CLUBS JACK HEARTS EIGHT,0.333,0.0148,0.6522
HEARTS TEN DIAMONDS FIVE,0.3764,0.0324,0.5912
CLUBS THREE DIAMONDS FIVE,0.5418,0.1006,0.3576
CLUBS JACK SPADES JACK,0.1788,0.0388,0.7824
CLUBS NINE DIAMONDS FIVE,0.3734,0.0458,0.5808
CLUBS TWO SPADES THREE,0.554,0.1082,0.3378
DIAMONDS ACE DIAMONDS SIX,0.3566,0.0072,0.6362
SPADES JACK SPADES FIVE,0.3466,0.0188,0.6346
HEARTS FIVE SPADES SEVEN,0.2072,0.466,0.3268
SPADES SIX DIAMONDS JACK,0.3698,0.0208,0.6094
HEARTS SIX DIAMONDS TEN,0.345,0.031,0.624
SPADES NINE DIAMONDS EIGHT,0.3192,0.039,0.6418
HEARTS EIGHT SPADES SEVEN,0.2366,0.1442,0.6192
HEARTS THREE SPADES SEVEN,0.2848,0.5068,0.2084
SPADES SIX DIAMONDS FIVE,0.493,0.0948,0.4122
SPADES FOUR DIAMONDS SIX,0.5726,0.199,0.2284
HEARTS FIVE CLUBS FIVE,0.2484,0.1138,0.6378
