opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR HEARTS JACK
SPADES NINE SPADES FIVE,0.5696,0.0166,0.4138
SPADES FOUR HEARTS ACE,0.27,0.0234,0.7066
CLUBS FOUR DIAMONDS EIGHT,0.7054,0.057,0.2376
CLUBS FOUR DIAMONDS FIVE,0.6684,0.06,0.2716
SPADES QUEEN HEARTS TEN,0.361,0.0104,0.6286
DIAMONDS QUEEN DIAMONDS SEVEN,0.3872,0.0104,0.6024
DIAMONDS SIX CLUBS KING,0.408,0.0058,0.5862
CLUBS NINE CLUBS QUEEN,0.3612,0.0074,0.6314
HEARTS TWO SPADES FIVE,0.614,0.0242,0.3618
DIAMONDS TWO SPADES FOUR,0.7036,0.0626,0.2338
SPADES SIX DIAMONDS JACK,0.2586,0.3774,0.364
HEARTS TWO CLUBS TWO,0.432,0.0602,0.5078
CLUBS KING DIAMONDS FOUR,0.2764,0.0362,0.6874
SPADES KING SPADES SIX,0.3858,0.0064,0.6078
CLUBS JACK SPADES SEVEN,0.2638,0.2776,0.4586
CLUBS EIGHT HEARTS ACE,0.3908,0.0056,0.6036
HEARTS FIVE DIAMONDS SEVEN,0.5818,0.016,0.4022
CLUBS NINE DIAMONDS FIVE,0.5972,0.0168,0.386
DIAMONDS EIGHT HEARTS NINE,0.5626,0.0174,0.42
SPADES NINE HEARTS KING,0.3716,0.0076,0.6208
SPADES ACE DIAMONDS THREE,0.4108,0.006,0.5832
SPADES SIX SPADES TWO,0.6048,0.0162,0.379
CLUBS FIVE HEARTS EIGHT,0.596,0.017,0.387
DIAMONDS TEN DIAMONDS NINE,0.5318,0.0166,0.4516
SPADES KING DIAMONDS JACK,0.2816,0.0314,0.687
CLUBS THREE DIAMONDS FIVE,0.6086,0.0214,0.37
HEARTS THREE HEARTS NINE,0.6506,0.019,0.3304
HEARTS TWO CLUBS FIVE,0.6154,0.0226,0.362
SPADES KING SPADES QUEEN,0.3438,0.0086,0.6476
DIAMONDS FIVE CLUBS QUEEN,0.399,0.0112,0.5898
SPADES QUEEN DIAMONDS KING,0.3512,0.0058,0.643
SPADES TEN DIAMONDS FOUR,0.7214,0.0628,0.2158
SPADES SEVEN SPADES SIX,0.5496,0.0174,0.433
CLUBS THREE CLUBS KING,0.4038,0.0096,0.5866
CLUBS THREE DIAMONDS FOUR,0.6874,0.0594,0.2532
SPADES JACK DIAMONDS KING,0.286,0.0296,0.6844
DIAMONDS KING SPADES FOUR,0.2936,0.0366,0.6698
DIAMONDS THREE HEARTS NINE,0.6268,0.0182,0.355
DIAMONDS TEN DIAMONDS SIX,0.5672,0.0204,0.4124
