opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR HEARTS THREE
CLUBS SEVEN SPADES FOUR,0.2984,0.1968,0.5048
CLUBS THREE CLUBS ACE,0.2814,0.0192,0.6994
CLUBS EIGHT SPADES SEVEN,0.3636,0.0576,0.5788
HEARTS FIVE DIAMONDS FIVE,0.1586,0.139,0.7024
SPADES ACE SPADES QUEEN,0.3798,0.0064,0.6138
CLUBS EIGHT SPADES SIX,0.3758,0.0586,0.5656
SPADES JACK DIAMONDS JACK,0.2148,0.0446,0.7406
DIAMONDS THREE DIAMONDS SEVEN,0.2858,0.1824,0.5318
SPADES QUEEN CLUBS TWO,0.45,0.0136,0.5364
DIAMONDS SIX DIAMONDS FOUR,0.2748,0.247,0.4782
CLUBS TWO HEARTS QUEEN,0.433,0.0172,0.5498
HEARTS EIGHT HEARTS SEVEN,0.325,0.0516,0.6234
DIAMONDS ACE CLUBS KING,0.3998,0.0042,0.596
CLUBS SIX SPADES TWO,0.4368,0.15,0.4132
DIAMONDS JACK DIAMONDS NINE,0.3706,0.0152,0.6142
SPADES JACK HEARTS TWO,0.434,0.0272,0.5388
SPADES NINE SPADES TWO,0.4144,0.0404,0.5452
SPADES NINE DIAMONDS TEN,0.3808,0.0222,0.597
HEARTS FIVE CLUBS FIVE,0.1514,0.1478,0.7008
CLUBS FOUR HEARTS ACE,0.2756,0.0228,0.7016
DIAMONDS ACE HEARTS JACK,0.3838,0.0048,0.6114
SPADES NINE HEARTS TEN,0.379,0.0216,0.5994
DIAMONDS ACE CLUBS FOUR,0.2958,0.02,0.6842
DIAMONDS EIGHT DIAMONDS SEVEN,0.3394,0.0696,0.591
SPADES ACE SPADES SEVEN,0.362,0.0064,0.6316
SPADES TEN CLUBS SIX,0.405,0.0252,0.5698
CLUBS KING HEARTS TEN,0.3812,0.0098,0.609
DIAMONDS JACK DIAMONDS SIX,0.3792,0.0152,0.6056
SPADES TEN DIAMONDS SEVEN,0.3954,0.0278,0.5768
HEARTS ACE SPADES THREE,0.2778,0.018,0.7042
DIAMONDS JACK HEARTS JACK,0.2,0.0494,0.7506
CLUBS TEN DIAMONDS QUEEN,0.3934,0.012,0.5946
HEARTS FIVE SPADES TEN,0.3876,0.032,0.5804
CLUBS TEN HEARTS NINE,0.3534,0.0222,0.6244
SPADES NINE SPADES FIVE,0.37,0.0368,0.5932
DIAMONDS THREE SPADES KING,0.3156,0.0294,0.655
CLUBS SEVEN SPADES SEVEN,0.2014,0.1174,0.6812
DIAMONDS THREE CLUBS TWO,0.325,0.471,0.204
DIAMONDS TWO CLUBS KING,0.45,0.011,0.539
SPADES TEN DIAMONDS JACK,0.3858,0.0164,0.5978
SPADES TEN DIAMONDS TEN,0.2064,0.0658,0.7278
SPADES SEVEN DIAMONDS SEVEN,0.191,0.1118,0.6972
SPADES JACK CLUBS KING,0.3964,0.0084,0.5952
CLUBS FOUR SPADES FOUR,0.1564,0.1266,0.717
CLUBS SEVEN SPADES NINE,0.3988,0.038,0.5632
SPADES FOUR HEARTS QUEEN,0.2934,0.0462,0.6604
DIAMONDS THREE DIAMONDS TWO,0.3306,0.4206,0.2488
SPADES QUEEN CLUBS FOUR,0.3178,0.047,0.6352
CLUBS NINE CLUBS SEVEN,0.352,0.0416,0.6064
SPADES EIGHT SPADES TWO,0.4068,0.0664,0.5268
SPADES NINE HEARTS QUEEN,0.3928,0.012,0.5952
DIAMONDS QUEEN DIAMONDS FIVE,0.3772,0.0144,0.6084
SPADES KING DIAMONDS TEN,0.3972,0.009,0.5938
SPADES FOUR SPADES THREE,0.0796,0.8468,0.0736
DIAMONDS NINE HEARTS JACK,0.369,0.0182,0.6128
DIAMONDS QUEEN DIAMONDS EIGHT,0.365,0.01,0.625
SPADES TWO CLUBS QUEEN,0.4482,0.0146,0.5372
HEARTS TWO CLUBS QUEEN,0.4318,0.0156,0.5526
CLUBS THREE HEARTS KING,0.3046,0.0328,0.6626
HEARTS FIVE HEARTS KING,0.3472,0.009,0.6438
DIAMONDS NINE HEARTS QUEEN,0.3754,0.0112,0.6134
HEARTS SEVEN HEARTS SIX,0.3086,0.0944,0.597
CLUBS NINE SPADES FOUR,0.3046,0.1032,0.5922
SPADES ACE HEARTS KING,0.3844,0.0064,0.6092
CLUBS EIGHT DIAMONDS KING,0.4014,0.0096,0.589
SPADES QUEEN DIAMONDS KING,0.404,0.0058,0.5902
SPADES NINE SPADES THREE,0.3026,0.099,0.5984
SPADES ACE CLUBS NINE,0.3954,0.0056,0.599
HEARTS TEN CLUBS QUEEN,0.3728,0.0138,0.6134
DIAMONDS TEN HEARTS KING,0.3878,0.0078,0.6044
CLUBS TEN CLUBS FIVE,0.3878,0.0254,0.5868
DIAMONDS TWO CLUBS EIGHT,0.445,0.0722,0.4828
CLUBS ACE HEARTS TEN,0.3794,0.0044,0.6162
SPADES SIX DIAMONDS SIX,0.184,0.1236,0.6924
HEARTS SIX CLUBS QUEEN,0.38,0.0148,0.6052
SPADES SEVEN CLUBS ACE,0.3944,0.0032,0.6024
DIAMONDS JACK HEARTS QUEEN,0.3786,0.0102,0.6112
SPADES EIGHT HEARTS TEN,0.3686,0.0276,0.6038
CLUBS JACK DIAMONDS JACK,0.2178,0.0508,0.7314
SPADES FIVE HEARTS JACK,0.3972,0.019,0.5838
SPADES EIGHT SPADES SIX,0.3662,0.059,0.5748
CLUBS NINE HEARTS ACE,0.3862,0.005,0.6088
SPADES KING HEARTS NINE,0.3794,0.0104,0.6102
HEARTS JACK DIAMONDS SIX,0.3794,0.0214,0.5992
CLUBS FIVE DIAMONDS SIX,0.3662,0.1444,0.4894
CLUBS THREE DIAMONDS EIGHT,0.3204,0.1392,0.5404
CLUBS JACK SPADES QUEEN,0.3928,0.012,0.5952
HEARTS TWO DIAMONDS JACK,0.452,0.0188,0.5292
SPADES THREE DIAMONDS EIGHT,0.3084,0.134,0.5576
CLUBS SIX DIAMONDS SEVEN,0.3732,0.0994,0.5274
DIAMONDS TWO DIAMONDS SIX,0.414,0.141,0.445
CLUBS THREE SPADES FOUR,0.071,0.9018,0.0272
SPADES KING CLUBS TWO,0.4504,0.0094,0.5402
SPADES SIX SPADES THREE,0.278,0.2478,0.4742
SPADES THREE DIAMONDS SEVEN,0.3062,0.1868,0.507
CLUBS THREE CLUBS KING,0.293,0.0316,0.6754
SPADES QUEEN CLUBS THREE,0.3218,0.0376,0.6406
DIAMONDS TWO HEARTS TWO,0.357,0.1642,0.4788
SPADES TEN HEARTS JACK,0.3842,0.0118,0.604
DIAMONDS THREE DIAMONDS EIGHT,0.3014,0.135,0.5636
HEARTS EIGHT DIAMONDS SIX,0.358,0.0686,0.5734
CLUBS EIGHT CLUBS FIVE,0.3564,0.0582,0.5854
CLUBS FIVE HEARTS JACK,0.3876,0.0224,0.59
HEARTS TWO HEARTS TEN,0.3944,0.0312,0.5744
SPADES FIVE DIAMONDS NINE,0.3972,0.0448,0.558
CLUBS FOUR HEARTS JACK,0.2936,0.0588,0.6476
SPADES FIVE SPADES TWO,0.391,0.2312,0.3778
SPADES FIVE DIAMONDS FIVE,0.1656,0.1526,0.6818
CLUBS SEVEN HEARTS JACK,0.3778,0.0194,0.6028
CLUBS FOUR DIAMONDS NINE,0.3274,0.1014,0.5712
HEARTS SEVEN CLUBS FIVE,0.3624,0.1044,0.5332
SPADES QUEEN SPADES SIX,0.3728,0.015,0.6122
HEARTS SEVEN DIAMONDS NINE,0.3766,0.0396,0.5838
CLUBS NINE CLUBS TWO,0.4272,0.0486,0.5242
HEARTS SIX DIAMONDS SEVEN,0.365,0.0878,0.5472
SPADES JACK CLUBS FOUR,0.3152,0.0586,0.6262
HEARTS KING HEARTS JACK,0.3386,0.0102,0.6512
CLUBS EIGHT DIAMONDS TEN,0.3968,0.0232,0.58
HEARTS FIVE SPADES NINE,0.3942,0.0446,0.5612
SPADES SIX DIAMONDS FOUR,0.2836,0.2548,0.4616
CLUBS EIGHT CLUBS KING,0.378,0.0092,0.6128
DIAMONDS TWO CLUBS FOUR,0.311,0.4836,0.2054
HEARTS TWO DIAMONDS SEVEN,0.4324,0.1044,0.4632
DIAMONDS TWO SPADES EIGHT,0.4386,0.0658,0.4956
CLUBS SIX CLUBS FIVE,0.343,0.1322,0.5248
HEARTS KING HEARTS NINE,0.354,0.009,0.637
CLUBS TEN DIAMONDS TEN,0.2102,0.0664,0.7234
SPADES TEN CLUBS ACE,0.395,0.0064,0.5986
DIAMONDS TEN HEARTS ACE,0.3842,0.004,0.6118
DIAMONDS KING SPADES TWO,0.4338,0.0084,0.5578
SPADES ACE SPADES TWO,0.4134,0.0062,0.5804
CLUBS FIVE HEARTS NINE,0.3884,0.0484,0.5632
SPADES ACE CLUBS ACE,0.1934,0.0044,0.8022
SPADES FOUR DIAMONDS EIGHT,0.294,0.1486,0.5574
CLUBS TWO SPADES TWO,0.3532,0.1626,0.4842
SPADES EIGHT DIAMONDS QUEEN,0.3976,0.012,0.5904
CLUBS NINE SPADES TEN,0.389,0.0216,0.5894
SPADES FIVE CLUBS KING,0.3926,0.0084,0.599
CLUBS KING HEARTS NINE,0.3816,0.0064,0.612
SPADES SEVEN SPADES FOUR,0.2944,0.1772,0.5284
