opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR SPADES NINE
HEARTS FIVE CLUBS KING,0.3478,0.0094,0.6428
DIAMONDS JACK CLUBS JACK,0.1364,0.023,0.8406
DIAMONDS FIVE HEARTS EIGHT,0.5456,0.0426,0.4118
SPADES ACE SPADES TEN,0.2958,0.0058,0.6984
CLUBS TEN SPADES EIGHT,0.3292,0.023,0.6478
CLUBS TWO CLUBS JACK,0.3704,0.0198,0.6098
HEARTS TWO DIAMONDS TEN,0.3946,0.0296,0.5758
SPADES KING CLUBS ACE,0.3176,0.0068,0.6756
CLUBS TEN HEARTS SIX,0.3472,0.0258,0.627
CLUBS NINE SPADES JACK,0.2206,0.058,0.7214
SPADES JACK CLUBS THREE,0.3904,0.0212,0.5884
CLUBS FOUR DIAMONDS FOUR,0.283,0.0606,0.6564
SPADES THREE HEARTS KING,0.3872,0.009,0.6038
CLUBS SIX CLUBS QUEEN,0.3368,0.0102,0.653
CLUBS FIVE DIAMONDS TEN,0.3572,0.0274,0.6154
HEARTS THREE SPADES TWO,0.6194,0.045,0.3356
SPADES ACE DIAMONDS EIGHT,0.3522,0.0034,0.6444
SPADES KING HEARTS KING,0.1196,0.014,0.8664
CLUBS THREE DIAMONDS FOUR,0.6216,0.1052,0.2732
DIAMONDS ACE HEARTS NINE,0.2228,0.0292,0.748
HEARTS SEVEN SPADES EIGHT,0.5318,0.04,0.4282
HEARTS SIX DIAMONDS SEVEN,0.5178,0.0468,0.4354
SPADES FOUR DIAMONDS NINE,0.0184,0.9728,0.0088
HEARTS THREE HEARTS KING,0.3664,0.0112,0.6224
CLUBS SEVEN DIAMONDS KING,0.371,0.0068,0.6222
DIAMONDS FIVE DIAMONDS FOUR,0.5708,0.0976,0.3316
CLUBS FOUR SPADES FOUR,0.2836,0.0622,0.6542
CLUBS FIVE DIAMONDS JACK,0.3606,0.0138,0.6256
DIAMONDS KING HEARTS QUEEN,0.3162,0.008,0.6758
HEARTS SEVEN CLUBS SEVEN,0.2618,0.0676,0.6706
DIAMONDS SEVEN HEARTS TEN,0.328,0.028,0.644
DIAMONDS THREE SPADES TEN,0.3828,0.0282,0.589
DIAMONDS THREE DIAMONDS KING,0.3682,0.0094,0.6224
DIAMONDS TWO DIAMONDS KING,0.3828,0.008,0.6092
CLUBS TEN HEARTS EIGHT,0.3168,0.0258,0.6574
CLUBS TWO SPADES FOUR,0.6512,0.113,0.2358
CLUBS KING HEARTS NINE,0.2266,0.035,0.7384
SPADES QUEEN CLUBS ACE,0.3276,0.0046,0.6678
DIAMONDS THREE CLUBS JACK,0.3802,0.0192,0.6006
CLUBS FIVE HEARTS TEN,0.355,0.0308,0.6142
