opposingHand,winningChance,drawChance,lostChance
HEARTS FOUR SPADES SEVEN
HEARTS FIVE SPADES TEN,0.3502,0.0288,0.621
HEARTS FIVE SPADES JACK,0.3724,0.0218,0.6058
SPADES FIVE CLUBS JACK,0.3694,0.022,0.6086
CLUBS TEN SPADES FIVE,0.384,0.0298,0.5862
CLUBS EIGHT CLUBS JACK,0.3296,0.019,0.6514
CLUBS TEN CLUBS EIGHT,0.3052,0.0242,0.6706
CLUBS EIGHT CLUBS KING,0.3158,0.0064,0.6778
SPADES FIVE CLUBS ACE,0.378,0.0034,0.6186
CLUBS EIGHT CLUBS QUEEN,0.33,0.0106,0.6594
SPADES FIVE CLUBS KING,0.3872,0.0078,0.605
SPADES FIVE CLUBS QUEEN,0.3698,0.0134,0.6168
CLUBS EIGHT CLUBS ACE,0.3214,0.0052,0.6734
DIAMONDS TWO DIAMONDS THREE,0.5286,0.0964,0.375
DIAMONDS TWO DIAMONDS FIVE,0.5106,0.0936,0.3958
HEARTS FIVE SPADES KING,0.3638,0.0098,0.6264
DIAMONDS TWO DIAMONDS FOUR,0.528,0.1932,0.2788
HEARTS FIVE SPADES QUEEN,0.3588,0.0122,0.629
DIAMONDS TWO DIAMONDS SEVEN,0.2822,0.4678,0.25
DIAMONDS TWO DIAMONDS SIX,0.5202,0.0962,0.3836
SPADES ACE HEARTS FIVE,0.351,0.006,0.643
DIAMONDS TWO DIAMONDS NINE,0.406,0.0426,0.5514
DIAMONDS TWO DIAMONDS EIGHT,0.379,0.0642,0.5568
DIAMONDS THREE DIAMONDS FOUR,0.4976,0.1868,0.3156
SPADES FOUR CLUBS TWO,0.5644,0.2032,0.2324
DIAMONDS THREE DIAMONDS FIVE,0.5112,0.1032,0.3856
SPADES FIVE CLUBS TWO,0.5522,0.1048,0.343
CLUBS TWO SPADES TWO,0.366,0.119,0.515
CLUBS TWO SPADES THREE,0.548,0.1082,0.3438
DIAMONDS THREE DIAMONDS EIGHT,0.3726,0.0688,0.5586
SPADES EIGHT CLUBS TWO,0.4228,0.0692,0.508
DIAMONDS THREE DIAMONDS NINE,0.3838,0.0378,0.5784
SPADES NINE CLUBS TWO,0.4078,0.0516,0.5406
DIAMONDS THREE DIAMONDS SIX,0.5184,0.1018,0.3798
SPADES SIX CLUBS TWO,0.5506,0.1072,0.3422
DIAMONDS THREE DIAMONDS SEVEN,0.2604,0.4804,0.2592
CLUBS SIX CLUBS TWO,0.5176,0.0992,0.3832
CLUBS SEVEN CLUBS TWO,0.2728,0.4594,0.2678
CLUBS FOUR CLUBS TWO,0.5378,0.183,0.2792
CLUBS FIVE CLUBS TWO,0.5064,0.099,0.3946
CLUBS TEN CLUBS JACK,0.3092,0.0132,0.6776
DIAMONDS FOUR DIAMONDS SIX,0.5126,0.194,0.2934
CLUBS TEN CLUBS QUEEN,0.3218,0.0094,0.6688
DIAMONDS FOUR DIAMONDS SEVEN,0.0214,0.904,0.0746
