opposingHand,winningChance,drawChance,lostChance
HEARTS JACK HEARTS NINE
DIAMONDS TEN SPADES THREE,0.6762,0.0158,0.308
HEARTS ACE DIAMONDS EIGHT,0.4384,0.0044,0.5572
CLUBS FIVE HEARTS EIGHT,0.6692,0.0164,0.3144
SPADES TEN SPADES EIGHT,0.609,0.0142,0.3768
SPADES KING DIAMONDS TEN,0.4024,0.0062,0.5914
CLUBS EIGHT DIAMONDS FOUR,0.6726,0.0164,0.311
SPADES ACE SPADES JACK,0.2898,0.0162,0.694
DIAMONDS JACK CLUBS TWO,0.6292,0.1608,0.21
CLUBS NINE HEARTS EIGHT,0.6922,0.057,0.2508
SPADES ACE CLUBS EIGHT,0.4476,0.0048,0.5476
SPADES QUEEN SPADES SEVEN,0.4328,0.008,0.5592
DIAMONDS THREE HEARTS QUEEN,0.4596,0.0076,0.5328
HEARTS SIX DIAMONDS EIGHT,0.6648,0.0166,0.3186
SPADES EIGHT HEARTS ACE,0.4342,0.003,0.5628
SPADES EIGHT HEARTS TEN,0.6516,0.0166,0.3318
HEARTS SIX DIAMONDS ACE,0.4648,0.0046,0.5306
CLUBS SIX DIAMONDS NINE,0.7036,0.0544,0.242
DIAMONDS SEVEN DIAMONDS FIVE,0.6166,0.0154,0.368
SPADES KING SPADES QUEEN,0.3622,0.0092,0.6286
HEARTS ACE HEARTS TEN,0.3616,0.0044,0.634
CLUBS FIVE DIAMONDS KING,0.4618,0.0062,0.532
DIAMONDS ACE SPADES SIX,0.457,0.0026,0.5404
SPADES QUEEN CLUBS EIGHT,0.4582,0.011,0.5308
HEARTS FOUR DIAMONDS EIGHT,0.6846,0.0166,0.2988
HEARTS SIX HEARTS TEN,0.654,0.0166,0.3294
CLUBS FOUR DIAMONDS EIGHT,0.6816,0.0158,0.3026
CLUBS FOUR DIAMONDS SEVEN,0.6564,0.0158,0.3278
CLUBS TWO HEARTS SEVEN,0.6882,0.0154,0.2964
CLUBS SEVEN CLUBS THREE,0.6312,0.0152,0.3536
DIAMONDS TEN CLUBS KING,0.4056,0.0066,0.5878
CLUBS ACE DIAMONDS SIX,0.4684,0.0042,0.5274
