opposingHand,winningChance,drawChance,lostChance
HEARTS JACK HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.7074,0.0104,0.2822
SPADES JACK HEARTS FIVE,0.7382,0.0432,0.2186
CLUBS JACK SPADES FIVE,0.7388,0.0338,0.2274
CLUBS TEN SPADES FIVE,0.7016,0.0096,0.2888
CLUBS JACK CLUBS EIGHT,0.696,0.0382,0.2658
CLUBS TEN CLUBS EIGHT,0.6368,0.0086,0.3546
CLUBS EIGHT CLUBS KING,0.4448,0.005,0.5502
SPADES FIVE CLUBS ACE,0.476,0.0046,0.5194
CLUBS EIGHT CLUBS QUEEN,0.6554,0.0784,0.2662
SPADES FIVE CLUBS KING,0.4706,0.0064,0.523
SPADES FIVE CLUBS QUEEN,0.6734,0.0946,0.232
CLUBS EIGHT CLUBS ACE,0.4324,0.0036,0.564
DIAMONDS TWO DIAMONDS THREE,0.6328,0.01,0.3572
DIAMONDS TWO DIAMONDS FIVE,0.624,0.0102,0.3658
SPADES KING HEARTS FIVE,0.4574,0.0096,0.533
DIAMONDS TWO DIAMONDS FOUR,0.6314,0.0114,0.3572
SPADES QUEEN HEARTS FIVE,0.6866,0.0836,0.2298
DIAMONDS TWO DIAMONDS SEVEN,0.6558,0.0068,0.3374
DIAMONDS TWO DIAMONDS SIX,0.6256,0.0116,0.3628
SPADES ACE HEARTS FIVE,0.4574,0.0062,0.5364
DIAMONDS TWO DIAMONDS NINE,0.6676,0.0114,0.321
DIAMONDS TWO DIAMONDS EIGHT,0.6448,0.0114,0.3438
DIAMONDS THREE DIAMONDS FOUR,0.617,0.0122,0.3708
CLUBS TWO SPADES FOUR,0.6644,0.0116,0.324
DIAMONDS THREE DIAMONDS FIVE,0.6254,0.0116,0.363
CLUBS TWO SPADES FIVE,0.6666,0.0114,0.322
CLUBS TWO SPADES TWO,0.502,0.017,0.481
CLUBS TWO SPADES THREE,0.6622,0.0102,0.3276
DIAMONDS THREE DIAMONDS EIGHT,0.6374,0.0104,0.3522
SPADES EIGHT CLUBS TWO,0.6966,0.0128,0.2906
DIAMONDS THREE DIAMONDS NINE,0.6572,0.0092,0.3336
SPADES NINE CLUBS TWO,0.7064,0.0088,0.2848
DIAMONDS THREE DIAMONDS SIX,0.6256,0.0104,0.364
SPADES SIX CLUBS TWO,0.6842,0.009,0.3068
DIAMONDS THREE DIAMONDS SEVEN,0.6424,0.009,0.3486
SPADES SEVEN CLUBS TWO,0.7036,0.0122,0.2842
CLUBS SIX CLUBS TWO,0.6406,0.0082,0.3512
CLUBS SEVEN CLUBS TWO,0.6638,0.0112,0.325
CLUBS FOUR CLUBS TWO,0.6362,0.0122,0.3516
CLUBS FIVE CLUBS TWO,0.6232,0.0134,0.3634
CLUBS TEN CLUBS JACK,0.6908,0.0372,0.272
DIAMONDS FOUR DIAMONDS SIX,0.6088,0.0116,0.3796
CLUBS TEN CLUBS QUEEN,0.6484,0.0854,0.2662
DIAMONDS FOUR DIAMONDS SEVEN,0.618,0.0126,0.3694
CLUBS TEN CLUBS KING,0.4162,0.0068,0.577
CLUBS TEN CLUBS ACE,0.425,0.0048,0.5702
CLUBS EIGHT CLUBS TWO,0.6532,0.0076,0.3392
DIAMONDS FIVE DIAMONDS FOUR,0.6058,0.012,0.3822
CLUBS NINE CLUBS TWO,0.665,0.0102,0.3248
DIAMONDS NINE DIAMONDS FOUR,0.6598,0.0098,0.3304
DIAMONDS EIGHT DIAMONDS FOUR,0.656,0.0106,0.3334
CLUBS TWO CLUBS THREE,0.628,0.0116,0.3604
DIAMONDS NINE DIAMONDS FIVE,0.6366,0.0094,0.354
CLUBS JACK DIAMONDS TWO,0.747,0.0362,0.2168
DIAMONDS EIGHT DIAMONDS FIVE,0.6284,0.0066,0.365
CLUBS TEN DIAMONDS TWO,0.7158,0.0118,0.2724
DIAMONDS FIVE DIAMONDS SEVEN,0.6266,0.0108,0.3626
DIAMONDS FIVE DIAMONDS SIX,0.6042,0.0098,0.386
