opposingHand,winningChance,drawChance,lostChance
HEARTS JACK HEARTS TEN
SPADES JACK SPADES FIVE,0.6234,0.109,0.2676
DIAMONDS THREE DIAMONDS KING,0.4642,0.0078,0.528
HEARTS KING HEARTS EIGHT,0.4252,0.0086,0.5662
SPADES SIX SPADES FOUR,0.6224,0.012,0.3656
DIAMONDS JACK HEARTS EIGHT,0.6598,0.123,0.2172
HEARTS TWO SPADES FOUR,0.6656,0.0144,0.32
HEARTS THREE DIAMONDS FIVE,0.6602,0.015,0.3248
DIAMONDS KING DIAMONDS EIGHT,0.452,0.0058,0.5422
SPADES ACE HEARTS TWO,0.4696,0.0064,0.524
CLUBS JACK SPADES SIX,0.6728,0.1164,0.2108
SPADES EIGHT HEARTS ACE,0.4412,0.0058,0.553
CLUBS SEVEN CLUBS THREE,0.635,0.0154,0.3496
DIAMONDS KING HEARTS QUEEN,0.3766,0.0076,0.6158
SPADES FOUR HEARTS QUEEN,0.4866,0.0076,0.5058
CLUBS NINE DIAMONDS NINE,0.4784,0.0234,0.4982
DIAMONDS THREE CLUBS FOUR,0.6588,0.0152,0.326
CLUBS TEN DIAMONDS JACK,0.0702,0.9138,0.016
SPADES NINE DIAMONDS ACE,0.471,0.0042,0.5248
SPADES ACE DIAMONDS EIGHT,0.4804,0.0026,0.517
HEARTS ACE SPADES THREE,0.4686,0.0056,0.5258
SPADES THREE DIAMONDS SEVEN,0.685,0.0144,0.3006
DIAMONDS TWO CLUBS QUEEN,0.4804,0.0112,0.5084
HEARTS SEVEN DIAMONDS FOUR,0.6638,0.0136,0.3226
CLUBS NINE CLUBS FOUR,0.6666,0.0158,0.3176
HEARTS SIX HEARTS KING,0.4428,0.008,0.5492
HEARTS TWO CLUBS SIX,0.6782,0.0142,0.3076
HEARTS TWO HEARTS QUEEN,0.4414,0.0098,0.5488
HEARTS QUEEN HEARTS EIGHT,0.4132,0.0102,0.5766
SPADES EIGHT CLUBS QUEEN,0.478,0.0114,0.5106
DIAMONDS TWO HEARTS NINE,0.6968,0.015,0.2882
CLUBS EIGHT SPADES EIGHT,0.4868,0.0224,0.4908
DIAMONDS ACE SPADES TWO,0.4672,0.006,0.5268
CLUBS JACK HEARTS QUEEN,0.282,0.0388,0.6792
CLUBS TWO HEARTS KING,0.48,0.0068,0.5132
SPADES TEN DIAMONDS FIVE,0.7242,0.0536,0.2222
SPADES FOUR CLUBS ACE,0.4794,0.0044,0.5162
CLUBS JACK HEARTS NINE,0.6722,0.1126,0.2152
HEARTS THREE SPADES FIVE,0.6548,0.0142,0.331
CLUBS EIGHT DIAMONDS SEVEN,0.6528,0.0142,0.333
SPADES QUEEN SPADES THREE,0.4612,0.0088,0.53
SPADES NINE HEARTS ACE,0.4548,0.005,0.5402
DIAMONDS EIGHT DIAMONDS SEVEN,0.6066,0.0126,0.3808
SPADES ACE CLUBS THREE,0.482,0.0052,0.5128
SPADES TWO HEARTS EIGHT,0.7044,0.0138,0.2818
CLUBS TEN CLUBS ACE,0.295,0.0128,0.6922
SPADES ACE SPADES NINE,0.4414,0.0062,0.5524
SPADES SEVEN HEARTS SEVEN,0.4946,0.0242,0.4812
HEARTS FOUR CLUBS THREE,0.6474,0.0166,0.336
SPADES QUEEN HEARTS ACE,0.3998,0.0042,0.596
DIAMONDS ACE HEARTS EIGHT,0.465,0.0046,0.5304
HEARTS FIVE HEARTS TWO,0.6602,0.019,0.3208
CLUBS EIGHT DIAMONDS NINE,0.6516,0.0136,0.3348
CLUBS FIVE HEARTS NINE,0.6834,0.0164,0.3002
DIAMONDS JACK CLUBS TWO,0.682,0.1206,0.1974
DIAMONDS EIGHT CLUBS KING,0.4762,0.0034,0.5204
