opposingHand,winningChance,drawChance,lostChance
HEARTS KING CLUBS ACE
HEARTS FIVE SPADES TEN,0.6824,0.0042,0.3134
SPADES JACK HEARTS FIVE,0.6728,0.0048,0.3224
SPADES FIVE CLUBS JACK,0.6728,0.0054,0.3218
CLUBS TEN SPADES FIVE,0.666,0.0048,0.3292
CLUBS EIGHT CLUBS JACK,0.6122,0.006,0.3818
CLUBS TEN CLUBS EIGHT,0.6124,0.0028,0.3848
CLUBS EIGHT CLUBS KING,0.7184,0.016,0.2656
CLUBS EIGHT CLUBS QUEEN,0.6388,0.007,0.3542
SPADES FIVE CLUBS KING,0.762,0.012,0.226
SPADES FIVE CLUBS QUEEN,0.67,0.006,0.324
DIAMONDS TWO DIAMONDS THREE,0.61,0.0044,0.3856
DIAMONDS TWO DIAMONDS FIVE,0.591,0.0054,0.4036
SPADES KING HEARTS FIVE,0.7632,0.013,0.2238
DIAMONDS TWO DIAMONDS FOUR,0.6224,0.004,0.3736
SPADES QUEEN HEARTS FIVE,0.6722,0.0042,0.3236
DIAMONDS TWO DIAMONDS SEVEN,0.635,0.0046,0.3604
DIAMONDS TWO DIAMONDS SIX,0.6152,0.0056,0.3792
SPADES ACE HEARTS FIVE,0.6866,0.052,0.2614
DIAMONDS TWO DIAMONDS NINE,0.6288,0.004,0.3672
DIAMONDS TWO DIAMONDS EIGHT,0.6146,0.0048,0.3806
DIAMONDS THREE DIAMONDS FOUR,0.6028,0.0046,0.3926
CLUBS TWO SPADES FOUR,0.6548,0.0048,0.3404
DIAMONDS THREE DIAMONDS FIVE,0.5854,0.004,0.4106
SPADES FIVE CLUBS TWO,0.6524,0.0048,0.3428
CLUBS TWO SPADES TWO,0.4768,0.0052,0.518
CLUBS TWO SPADES THREE,0.6472,0.0062,0.3466
DIAMONDS THREE DIAMONDS EIGHT,0.635,0.0034,0.3616
SPADES EIGHT CLUBS TWO,0.6798,0.004,0.3162
DIAMONDS THREE DIAMONDS NINE,0.6128,0.0064,0.3808
SPADES NINE CLUBS TWO,0.6766,0.005,0.3184
DIAMONDS THREE DIAMONDS SIX,0.5986,0.0052,0.3962
SPADES SIX CLUBS TWO,0.6786,0.0044,0.317
DIAMONDS THREE DIAMONDS SEVEN,0.6096,0.003,0.3874
SPADES SEVEN CLUBS TWO,0.677,0.005,0.318
CLUBS SIX CLUBS TWO,0.6256,0.0056,0.3688
CLUBS SEVEN CLUBS TWO,0.6382,0.0054,0.3564
CLUBS FOUR CLUBS TWO,0.6236,0.0058,0.3706
CLUBS FIVE CLUBS TWO,0.6228,0.0052,0.372
CLUBS TEN CLUBS JACK,0.5906,0.0058,0.4036
DIAMONDS FOUR DIAMONDS SIX,0.5918,0.0044,0.4038
CLUBS TEN CLUBS QUEEN,0.604,0.004,0.392
DIAMONDS FOUR DIAMONDS SEVEN,0.594,0.0044,0.4016
CLUBS TEN CLUBS KING,0.7056,0.0136,0.2808
CLUBS EIGHT CLUBS TWO,0.6416,0.0048,0.3536
DIAMONDS FIVE DIAMONDS FOUR,0.5846,0.005,0.4104
CLUBS NINE CLUBS TWO,0.6518,0.0062,0.342
DIAMONDS NINE DIAMONDS FOUR,0.6214,0.0058,0.3728
DIAMONDS EIGHT DIAMONDS FOUR,0.6002,0.0048,0.395
CLUBS THREE CLUBS TWO,0.6188,0.007,0.3742
DIAMONDS NINE DIAMONDS FIVE,0.6216,0.0056,0.3728
DIAMONDS TWO CLUBS JACK,0.6786,0.0066,0.3148
DIAMONDS EIGHT DIAMONDS FIVE,0.596,0.0052,0.3988
CLUBS TEN DIAMONDS TWO,0.6716,0.0034,0.325
DIAMONDS FIVE DIAMONDS SEVEN,0.6008,0.0048,0.3944
DIAMONDS FIVE DIAMONDS SIX,0.5782,0.0038,0.418
DIAMONDS TWO CLUBS KING,0.7766,0.0132,0.2102
DIAMONDS TWO CLUBS QUEEN,0.6772,0.0056,0.3172
DIAMONDS EIGHT DIAMONDS SIX,0.5998,0.0036,0.3966
DIAMONDS NINE DIAMONDS SIX,0.5954,0.0058,0.3988
HEARTS ACE SPADES THREE,0.6922,0.0458,0.262
DIAMONDS SEVEN DIAMONDS SIX,0.5938,0.0026,0.4036
SPADES THREE HEARTS QUEEN,0.6712,0.0054,0.3234
HEARTS JACK SPADES THREE,0.6714,0.0032,0.3254
SPADES THREE HEARTS TEN,0.685,0.0044,0.3106
DIAMONDS EIGHT DIAMONDS SEVEN,0.5748,0.0032,0.422
DIAMONDS NINE DIAMONDS SEVEN,0.5846,0.0044,0.411
DIAMONDS NINE DIAMONDS EIGHT,0.595,0.0054,0.3996
DIAMONDS KING HEARTS TEN,0.74,0.0128,0.2472
HEARTS THREE HEARTS TEN,0.653,0.004,0.343
SPADES JACK CLUBS SIX,0.6832,0.0046,0.3122
DIAMONDS KING HEARTS JACK,0.753,0.0152,0.2318
HEARTS THREE HEARTS JACK,0.6344,0.005,0.3606
SPADES TEN CLUBS SIX,0.6718,0.0028,0.3254
SPADES JACK SPADES FIVE,0.6246,0.0026,0.3728
SPADES TEN SPADES FIVE,0.6204,0.0044,0.3752
DIAMONDS KING HEARTS ACE,0.0104,0.9714,0.0182
HEARTS THREE HEARTS ACE,0.6654,0.0442,0.2904
SPADES ACE CLUBS SIX,0.7166,0.0416,0.2418
DIAMONDS KING HEARTS QUEEN,0.7432,0.0108,0.246
HEARTS THREE HEARTS QUEEN,0.6562,0.0042,0.3396
SPADES KING CLUBS SIX,0.7544,0.0136,0.232
SPADES QUEEN CLUBS SIX,0.6794,0.004,0.3166
SPADES NINE HEARTS TEN,0.6322,0.004,0.3638
SPADES NINE HEARTS JACK,0.6434,0.0044,0.3522
SPADES QUEEN SPADES FIVE,0.6336,0.005,0.3614
SPADES KING SPADES FIVE,0.7218,0.0108,0.2674
SPADES ACE SPADES FIVE,0.6396,0.0474,0.313
SPADES NINE HEARTS QUEEN,0.658,0.0044,0.3376
SPADES NINE HEARTS ACE,0.7122,0.0436,0.2442
CLUBS TEN SPADES JACK,0.6314,0.004,0.3646
CLUBS TEN SPADES TEN,0.4418,0.0028,0.5554
SPADES ACE CLUBS TEN,0.7124,0.0494,0.2382
SPADES KING CLUBS TEN,0.7488,0.0114,0.2398
CLUBS TEN SPADES QUEEN,0.6474,0.0062,0.3464
SPADES FIVE HEARTS QUEEN,0.6738,0.004,0.3222
HEARTS ACE SPADES FIVE,0.6858,0.0496,0.2646
CLUBS EIGHT SPADES TEN,0.6416,0.0038,0.3546
HEARTS THREE SPADES JACK,0.681,0.0044,0.3146
SPADES JACK DIAMONDS KING,0.7498,0.0088,0.2414
SPADES TEN DIAMONDS KING,0.75,0.0088,0.2412
HEARTS THREE SPADES TEN,0.6776,0.0052,0.3172
SPADES JACK CLUBS EIGHT,0.6512,0.0036,0.3452
CLUBS SIX HEARTS ACE,0.7206,0.0408,0.2386
SPADES ACE CLUBS EIGHT,0.7032,0.0494,0.2474
HEARTS FIVE CLUBS JACK,0.6686,0.0058,0.3256
CLUBS TEN HEARTS FIVE,0.6802,0.0058,0.314
CLUBS SIX HEARTS QUEEN,0.6748,0.0042,0.321
SPADES QUEEN CLUBS EIGHT,0.6616,0.0034,0.335
CLUBS TEN SPADES THREE,0.6762,0.0068,0.317
SPADES KING CLUBS EIGHT,0.7542,0.0128,0.233
SPADES THREE CLUBS JACK,0.6776,0.0058,0.3166
DIAMONDS TWO HEARTS JACK,0.681,0.0068,0.3122
SPADES THREE CLUBS QUEEN,0.6804,0.0056,0.314
DIAMONDS TWO HEARTS TEN,0.6812,0.0072,0.3116
SPADES THREE CLUBS KING,0.7618,0.0146,0.2236
SPADES FIVE HEARTS TEN,0.6592,0.0048,0.336
HEARTS FIVE CLUBS KING,0.7652,0.0132,0.2216
SPADES FIVE HEARTS JACK,0.677,0.0068,0.3162
HEARTS FIVE CLUBS QUEEN,0.6706,0.0064,0.323
HEARTS THREE CLUBS KING,0.7802,0.0126,0.2072
DIAMONDS KING CLUBS KING,0.3056,0.0074,0.687
HEARTS THREE CLUBS QUEEN,0.6824,0.005,0.3126
DIAMONDS KING CLUBS QUEEN,0.7524,0.012,0.2356
HEARTS FIVE HEARTS JACK,0.6324,0.0058,0.3618
HEARTS FIVE HEARTS TEN,0.648,0.0056,0.3464
SPADES ACE CLUBS QUEEN,0.723,0.0428,0.2342
SPADES KING CLUBS QUEEN,0.7568,0.0096,0.2336
HEARTS THREE CLUBS JACK,0.6946,0.0042,0.3012
DIAMONDS KING CLUBS JACK,0.751,0.011,0.238
SPADES QUEEN CLUBS QUEEN,0.4202,0.0048,0.575
CLUBS TEN HEARTS THREE,0.6906,0.0056,0.3038
CLUBS TEN DIAMONDS KING,0.7468,0.0124,0.2408
SPADES JACK CLUBS QUEEN,0.647,0.004,0.349
CLUBS SIX CLUBS QUEEN,0.6452,0.0062,0.3486
SPADES TEN CLUBS QUEEN,0.6462,0.0054,0.3484
CLUBS SIX CLUBS KING,0.7332,0.0128,0.254
HEARTS FIVE HEARTS QUEEN,0.6436,0.0056,0.3508
CLUBS TEN CLUBS SIX,0.6336,0.0054,0.361
HEARTS FIVE HEARTS ACE,0.6544,0.0488,0.2968
CLUBS SIX CLUBS JACK,0.6452,0.0024,0.3524
SPADES SEVEN HEARTS JACK,0.6686,0.004,0.3274
SPADES SEVEN HEARTS TEN,0.6508,0.0034,0.3458
DIAMONDS TWO CLUBS TWO,0.4724,0.0054,0.5222
DIAMONDS TWO CLUBS THREE,0.6556,0.0068,0.3376
HEARTS SIX DIAMONDS TWO,0.6676,0.0054,0.327
DIAMONDS TWO HEARTS QUEEN,0.6726,0.0052,0.3222
DIAMONDS TWO HEARTS SEVEN,0.6606,0.0058,0.3336
DIAMONDS TWO HEARTS EIGHT,0.6762,0.0062,0.3176
DIAMONDS TWO HEARTS ACE,0.6858,0.0506,0.2636
DIAMONDS TWO HEARTS NINE,0.6776,0.0038,0.3186
DIAMONDS TWO DIAMONDS QUEEN,0.6336,0.0048,0.3616
DIAMONDS TWO HEARTS TWO,0.473,0.0058,0.5212
DIAMONDS TWO DIAMONDS KING,0.7154,0.011,0.2736
HEARTS THREE DIAMONDS TWO,0.6606,0.0038,0.3356
DIAMONDS TWO DIAMONDS ACE,0.671,0.043,0.286
HEARTS FOUR DIAMONDS TWO,0.6536,0.0058,0.3406
DIAMONDS TWO HEARTS FIVE,0.6408,0.0066,0.3526
SPADES SEVEN HEARTS ACE,0.6862,0.0466,0.2672
DIAMONDS TWO DIAMONDS TEN,0.6142,0.0042,0.3816
DIAMONDS TWO DIAMONDS JACK,0.637,0.0036,0.3594
SPADES SEVEN HEARTS QUEEN,0.6742,0.0028,0.323
DIAMONDS TWO SPADES NINE,0.6598,0.0024,0.3378
DIAMONDS TWO SPADES EIGHT,0.6678,0.005,0.3272
DIAMONDS TWO SPADES SEVEN,0.6668,0.0028,0.3304
DIAMONDS TWO SPADES SIX,0.6562,0.0028,0.341
DIAMONDS TWO SPADES FIVE,0.6504,0.0032,0.3464
DIAMONDS TWO SPADES FOUR,0.657,0.0048,0.3382
DIAMONDS TWO SPADES THREE,0.6582,0.0056,0.3362
DIAMONDS TWO SPADES TWO,0.4526,0.0072,0.5402
CLUBS NINE DIAMONDS TWO,0.6814,0.0062,0.3124
DIAMONDS TWO CLUBS EIGHT,0.6752,0.0042,0.3206
CLUBS SEVEN DIAMONDS TWO,0.6694,0.0048,0.3258
DIAMONDS TWO CLUBS SIX,0.6596,0.0036,0.3368
