opposingHand,winningChance,drawChance,lostChance
HEARTS KING DIAMONDS NINE
HEARTS FIVE SPADES TEN,0.6384,0.0084,0.3532
HEARTS FIVE SPADES JACK,0.6422,0.0068,0.351
CLUBS JACK SPADES FIVE,0.6334,0.0074,0.3592
CLUBS TEN SPADES FIVE,0.6438,0.0064,0.3498
CLUBS JACK CLUBS EIGHT,0.5856,0.006,0.4084
CLUBS TEN CLUBS EIGHT,0.5686,0.0056,0.4258
CLUBS EIGHT CLUBS KING,0.5666,0.152,0.2814
SPADES FIVE CLUBS ACE,0.3876,0.0056,0.6068
CLUBS EIGHT CLUBS QUEEN,0.586,0.0064,0.4076
SPADES FIVE CLUBS KING,0.5918,0.1728,0.2354
SPADES FIVE CLUBS QUEEN,0.6372,0.0064,0.3564
CLUBS EIGHT CLUBS ACE,0.3812,0.0038,0.615
DIAMONDS TWO DIAMONDS THREE,0.6094,0.0078,0.3828
DIAMONDS TWO DIAMONDS FIVE,0.6138,0.0064,0.3798
HEARTS FIVE SPADES KING,0.589,0.1792,0.2318
DIAMONDS TWO DIAMONDS FOUR,0.6116,0.0072,0.3812
HEARTS FIVE SPADES QUEEN,0.6376,0.008,0.3544
DIAMONDS TWO DIAMONDS SEVEN,0.6472,0.0088,0.344
DIAMONDS TWO DIAMONDS SIX,0.6296,0.0088,0.3616
SPADES ACE HEARTS FIVE,0.3972,0.0046,0.5982
DIAMONDS TWO DIAMONDS EIGHT,0.6422,0.0086,0.3492
DIAMONDS THREE DIAMONDS FOUR,0.5906,0.0104,0.399
CLUBS TWO SPADES FOUR,0.6508,0.0078,0.3414
DIAMONDS THREE DIAMONDS FIVE,0.591,0.0092,0.3998
CLUBS TWO SPADES FIVE,0.6364,0.01,0.3536
CLUBS TWO SPADES TWO,0.4694,0.0118,0.5188
CLUBS TWO SPADES THREE,0.6358,0.007,0.3572
DIAMONDS THREE DIAMONDS EIGHT,0.6436,0.0072,0.3492
SPADES EIGHT CLUBS TWO,0.6758,0.0082,0.316
SPADES NINE CLUBS TWO,0.7418,0.0376,0.2206
DIAMONDS THREE DIAMONDS SIX,0.61,0.009,0.381
SPADES SIX CLUBS TWO,0.6586,0.007,0.3344
DIAMONDS THREE DIAMONDS SEVEN,0.6352,0.0078,0.357
SPADES SEVEN CLUBS TWO,0.6708,0.0072,0.322
CLUBS SIX CLUBS TWO,0.6182,0.0072,0.3746
CLUBS SEVEN CLUBS TWO,0.6348,0.0066,0.3586
CLUBS FOUR CLUBS TWO,0.6104,0.007,0.3826
CLUBS FIVE CLUBS TWO,0.6042,0.0076,0.3882
CLUBS TEN CLUBS JACK,0.529,0.0058,0.4652
DIAMONDS FOUR DIAMONDS SIX,0.6044,0.0092,0.3864
CLUBS TEN CLUBS QUEEN,0.5326,0.0068,0.4606
DIAMONDS FOUR DIAMONDS SEVEN,0.6198,0.008,0.3722
CLUBS TEN CLUBS KING,0.226,0.1118,0.6622
CLUBS TEN CLUBS ACE,0.3354,0.004,0.6606
CLUBS EIGHT CLUBS TWO,0.6336,0.0074,0.359
DIAMONDS FIVE DIAMONDS FOUR,0.5908,0.0106,0.3986
CLUBS NINE CLUBS TWO,0.6968,0.0326,0.2706
DIAMONDS EIGHT DIAMONDS FOUR,0.6242,0.0084,0.3674
CLUBS TWO CLUBS THREE,0.5956,0.009,0.3954
CLUBS JACK DIAMONDS TWO,0.6532,0.0062,0.3406
DIAMONDS EIGHT DIAMONDS FIVE,0.6128,0.008,0.3792
CLUBS TEN DIAMONDS TWO,0.6562,0.0054,0.3384
DIAMONDS FIVE DIAMONDS SEVEN,0.6022,0.0086,0.3892
DIAMONDS FIVE DIAMONDS SIX,0.5846,0.0066,0.4088
DIAMONDS TWO CLUBS ACE,0.417,0.005,0.578
DIAMONDS TWO CLUBS KING,0.6076,0.1686,0.2238
DIAMONDS TWO CLUBS QUEEN,0.6502,0.0062,0.3436
DIAMONDS EIGHT DIAMONDS SIX,0.6084,0.0068,0.3848
SPADES THREE HEARTS ACE,0.3856,0.0046,0.6098
DIAMONDS SEVEN DIAMONDS SIX,0.5902,0.006,0.4038
HEARTS QUEEN SPADES THREE,0.6316,0.0064,0.362
SPADES THREE HEARTS JACK,0.645,0.0092,0.3458
SPADES THREE HEARTS TEN,0.64,0.0056,0.3544
DIAMONDS EIGHT DIAMONDS SEVEN,0.5932,0.008,0.3988
DIAMONDS KING HEARTS TEN,0.2248,0.1212,0.654
HEARTS THREE HEARTS TEN,0.6218,0.006,0.3722
SPADES JACK CLUBS SIX,0.6482,0.0042,0.3476
DIAMONDS KING HEARTS JACK,0.2346,0.083,0.6824
HEARTS THREE HEARTS JACK,0.6092,0.0092,0.3816
SPADES TEN CLUBS SIX,0.6384,0.0074,0.3542
SPADES JACK SPADES FIVE,0.5896,0.0056,0.4048
SPADES TEN SPADES FIVE,0.5906,0.0098,0.3996
DIAMONDS KING HEARTS ACE,0.2208,0.0116,0.7676
HEARTS THREE HEARTS ACE,0.3936,0.0036,0.6028
SPADES ACE CLUBS SIX,0.4038,0.0034,0.5928
DIAMONDS KING HEARTS QUEEN,0.2402,0.0584,0.7014
HEARTS THREE HEARTS QUEEN,0.6276,0.007,0.3654
SPADES KING CLUBS SIX,0.6058,0.16,0.2342
SPADES QUEEN CLUBS SIX,0.6538,0.005,0.3412
SPADES NINE HEARTS TEN,0.6894,0.0294,0.2812
SPADES NINE HEARTS JACK,0.6954,0.0318,0.2728
SPADES QUEEN SPADES FIVE,0.5914,0.0076,0.401
SPADES KING SPADES FIVE,0.5636,0.1536,0.2828
SPADES ACE SPADES FIVE,0.3884,0.003,0.6086
SPADES NINE HEARTS QUEEN,0.7232,0.0362,0.2406
SPADES NINE HEARTS ACE,0.2336,0.0174,0.749
CLUBS TEN SPADES JACK,0.5704,0.0042,0.4254
CLUBS TEN SPADES TEN,0.2954,0.0074,0.6972
SPADES ACE CLUBS TEN,0.3574,0.005,0.6376
CLUBS TEN SPADES KING,0.2224,0.1148,0.6628
CLUBS TEN SPADES QUEEN,0.569,0.0076,0.4234
SPADES FIVE HEARTS QUEEN,0.6426,0.0074,0.35
SPADES FIVE HEARTS ACE,0.3946,0.0046,0.6008
CLUBS EIGHT SPADES TEN,0.6162,0.0048,0.379
SPADES JACK HEARTS THREE,0.6478,0.0058,0.3464
SPADES JACK DIAMONDS KING,0.231,0.0862,0.6828
SPADES TEN DIAMONDS KING,0.2254,0.1164,0.6582
SPADES TEN HEARTS THREE,0.6518,0.0088,0.3394
CLUBS EIGHT SPADES JACK,0.6174,0.0068,0.3758
CLUBS SIX HEARTS ACE,0.3974,0.0042,0.5984
SPADES ACE CLUBS EIGHT,0.398,0.0022,0.5998
HEARTS FIVE CLUBS JACK,0.6574,0.0062,0.3364
CLUBS TEN HEARTS FIVE,0.6412,0.0078,0.351
CLUBS SIX HEARTS QUEEN,0.6618,0.008,0.3302
SPADES QUEEN CLUBS EIGHT,0.6398,0.0084,0.3518
CLUBS TEN SPADES THREE,0.6538,0.007,0.3392
SPADES KING CLUBS EIGHT,0.6016,0.1578,0.2406
CLUBS JACK SPADES THREE,0.633,0.0072,0.3598
DIAMONDS TWO HEARTS JACK,0.6372,0.0098,0.353
SPADES THREE CLUBS QUEEN,0.6408,0.006,0.3532
DIAMONDS TWO HEARTS TEN,0.6582,0.0074,0.3344
SPADES THREE CLUBS KING,0.6016,0.161,0.2374
HEARTS FIVE CLUBS ACE,0.4228,0.0066,0.5706
SPADES FIVE HEARTS TEN,0.6374,0.006,0.3566
SPADES THREE CLUBS ACE,0.4112,0.0034,0.5854
HEARTS FIVE CLUBS KING,0.593,0.1788,0.2282
SPADES FIVE HEARTS JACK,0.6304,0.0086,0.361
HEARTS FIVE CLUBS QUEEN,0.6368,0.0072,0.356
HEARTS THREE CLUBS KING,0.6146,0.168,0.2174
DIAMONDS KING CLUBS KING,0.085,0.0124,0.9026
HEARTS THREE CLUBS QUEEN,0.648,0.0076,0.3444
DIAMONDS KING CLUBS QUEEN,0.2372,0.0616,0.7012
HEARTS FIVE HEARTS JACK,0.596,0.0066,0.3974
HEARTS FIVE HEARTS TEN,0.6144,0.0102,0.3754
HEARTS THREE CLUBS ACE,0.407,0.0044,0.5886
DIAMONDS KING CLUBS ACE,0.218,0.009,0.773
SPADES ACE CLUBS QUEEN,0.3494,0.0048,0.6458
SPADES KING CLUBS QUEEN,0.253,0.0614,0.6856
CLUBS JACK HEARTS THREE,0.648,0.0058,0.3462
CLUBS JACK DIAMONDS KING,0.221,0.0854,0.6936
SPADES QUEEN CLUBS QUEEN,0.2866,0.0038,0.7096
CLUBS TEN HEARTS THREE,0.6418,0.0084,0.3498
CLUBS TEN DIAMONDS KING,0.2218,0.1108,0.6674
SPADES JACK CLUBS QUEEN,0.5816,0.0052,0.4132
CLUBS SIX CLUBS QUEEN,0.6106,0.0052,0.3842
SPADES TEN CLUBS QUEEN,0.5634,0.0054,0.4312
CLUBS SIX CLUBS KING,0.5628,0.1506,0.2866
CLUBS SIX CLUBS ACE,0.3798,0.0024,0.6178
HEARTS FIVE HEARTS QUEEN,0.6034,0.0074,0.3892
CLUBS TEN CLUBS SIX,0.583,0.0058,0.4112
HEARTS FIVE HEARTS ACE,0.3776,0.0056,0.6168
CLUBS JACK CLUBS SIX,0.5934,0.0058,0.4008
SPADES SEVEN HEARTS JACK,0.6392,0.0062,0.3546
SPADES SEVEN HEARTS TEN,0.615,0.007,0.378
DIAMONDS TWO CLUBS TWO,0.4684,0.0114,0.5202
DIAMONDS TWO CLUBS THREE,0.6572,0.0086,0.3342
