opposingHand,winningChance,drawChance,lostChance
HEARTS KING HEARTS TEN
HEARTS FIVE SPADES TEN,0.7432,0.0366,0.2202
SPADES JACK HEARTS FIVE,0.6726,0.01,0.3174
CLUBS JACK SPADES FIVE,0.6714,0.008,0.3206
CLUBS TEN SPADES FIVE,0.7622,0.0272,0.2106
CLUBS JACK CLUBS EIGHT,0.6174,0.006,0.3766
CLUBS TEN CLUBS EIGHT,0.685,0.0336,0.2814
CLUBS EIGHT CLUBS KING,0.6268,0.1132,0.26
SPADES FIVE CLUBS ACE,0.4554,0.005,0.5396
CLUBS EIGHT CLUBS QUEEN,0.6362,0.0074,0.3564
SPADES FIVE CLUBS KING,0.6604,0.1174,0.2222
SPADES FIVE CLUBS QUEEN,0.668,0.0062,0.3258
CLUBS EIGHT CLUBS ACE,0.4266,0.0054,0.568
DIAMONDS TWO DIAMONDS THREE,0.6378,0.0088,0.3534
DIAMONDS TWO DIAMONDS FIVE,0.645,0.0086,0.3464
SPADES KING HEARTS FIVE,0.674,0.1026,0.2234
DIAMONDS TWO DIAMONDS FOUR,0.6252,0.0098,0.365
SPADES QUEEN HEARTS FIVE,0.671,0.009,0.32
DIAMONDS TWO DIAMONDS SEVEN,0.6584,0.0072,0.3344
DIAMONDS TWO DIAMONDS SIX,0.6462,0.0074,0.3464
SPADES ACE HEARTS FIVE,0.4542,0.0056,0.5402
DIAMONDS TWO DIAMONDS NINE,0.6584,0.0066,0.335
DIAMONDS TWO DIAMONDS EIGHT,0.6576,0.0058,0.3366
DIAMONDS THREE DIAMONDS FOUR,0.6216,0.009,0.3694
CLUBS TWO SPADES FOUR,0.67,0.0072,0.3228
DIAMONDS THREE DIAMONDS FIVE,0.6216,0.0086,0.3698
CLUBS TWO SPADES FIVE,0.6778,0.009,0.3132
CLUBS TWO SPADES TWO,0.5102,0.0104,0.4794
CLUBS TWO SPADES THREE,0.6734,0.0092,0.3174
DIAMONDS THREE DIAMONDS EIGHT,0.6638,0.0092,0.327
SPADES EIGHT CLUBS TWO,0.6968,0.0074,0.2958
DIAMONDS THREE DIAMONDS NINE,0.6462,0.0064,0.3474
SPADES NINE CLUBS TWO,0.6996,0.009,0.2914
DIAMONDS THREE DIAMONDS SIX,0.6366,0.0054,0.358
SPADES SIX CLUBS TWO,0.6866,0.0068,0.3066
DIAMONDS THREE DIAMONDS SEVEN,0.6452,0.0086,0.3462
SPADES SEVEN CLUBS TWO,0.7056,0.007,0.2874
CLUBS SIX CLUBS TWO,0.6436,0.0064,0.35
CLUBS SEVEN CLUBS TWO,0.651,0.0064,0.3426
CLUBS FOUR CLUBS TWO,0.6298,0.0072,0.363
CLUBS FIVE CLUBS TWO,0.6244,0.0094,0.3662
CLUBS TEN CLUBS JACK,0.6852,0.0246,0.2902
DIAMONDS FOUR DIAMONDS SIX,0.6246,0.0082,0.3672
CLUBS TEN CLUBS QUEEN,0.6934,0.0252,0.2814
DIAMONDS FOUR DIAMONDS SEVEN,0.6178,0.0086,0.3736
CLUBS TEN CLUBS KING,0.07,0.859,0.071
CLUBS TEN CLUBS ACE,0.2796,0.0176,0.7028
CLUBS EIGHT CLUBS TWO,0.6506,0.0054,0.344
DIAMONDS FIVE DIAMONDS FOUR,0.6032,0.0078,0.389
CLUBS NINE CLUBS TWO,0.6516,0.0068,0.3416
DIAMONDS NINE DIAMONDS FOUR,0.6472,0.0072,0.3456
DIAMONDS EIGHT DIAMONDS FOUR,0.6414,0.007,0.3516
CLUBS TWO CLUBS THREE,0.6382,0.009,0.3528
DIAMONDS NINE DIAMONDS FIVE,0.6406,0.008,0.3514
CLUBS JACK DIAMONDS TWO,0.6798,0.0078,0.3124
DIAMONDS EIGHT DIAMONDS FIVE,0.6468,0.0058,0.3474
CLUBS TEN DIAMONDS TWO,0.7596,0.033,0.2074
DIAMONDS FIVE DIAMONDS SEVEN,0.625,0.0064,0.3686
DIAMONDS FIVE DIAMONDS SIX,0.61,0.008,0.382
DIAMONDS TWO CLUBS ACE,0.4656,0.0046,0.5298
DIAMONDS TWO CLUBS KING,0.676,0.1134,0.2106
DIAMONDS TWO CLUBS QUEEN,0.6796,0.0054,0.315
DIAMONDS EIGHT DIAMONDS SIX,0.6346,0.0064,0.359
DIAMONDS NINE DIAMONDS SIX,0.6372,0.0088,0.354
SPADES THREE HEARTS ACE,0.463,0.0054,0.5316
DIAMONDS SEVEN DIAMONDS SIX,0.6016,0.0066,0.3918
HEARTS QUEEN SPADES THREE,0.6604,0.0098,0.3298
SPADES THREE HEARTS JACK,0.6628,0.0088,0.3284
DIAMONDS EIGHT DIAMONDS SEVEN,0.6014,0.0076,0.391
DIAMONDS NINE DIAMONDS SEVEN,0.6144,0.0056,0.38
DIAMONDS NINE DIAMONDS EIGHT,0.6146,0.0064,0.379
SPADES JACK CLUBS SIX,0.6766,0.0042,0.3192
DIAMONDS KING HEARTS JACK,0.2588,0.0826,0.6586
HEARTS THREE HEARTS JACK,0.6596,0.009,0.3314
SPADES TEN CLUBS SIX,0.7336,0.0344,0.232
SPADES JACK SPADES FIVE,0.6236,0.0094,0.367
SPADES TEN SPADES FIVE,0.7002,0.0378,0.262
DIAMONDS KING HEARTS ACE,0.2834,0.0124,0.7042
HEARTS THREE HEARTS ACE,0.3998,0.0054,0.5948
SPADES ACE CLUBS SIX,0.4622,0.0046,0.5332
DIAMONDS KING HEARTS QUEEN,0.2828,0.0508,0.6664
HEARTS THREE HEARTS QUEEN,0.67,0.0094,0.3206
SPADES KING CLUBS SIX,0.671,0.1024,0.2266
SPADES QUEEN CLUBS SIX,0.6582,0.0048,0.337
SPADES NINE HEARTS JACK,0.647,0.007,0.346
