opposingHand,winningChance,drawChance,lostChance
HEARTS QUEEN HEARTS NINE
CLUBS SIX HEARTS KING,0.4462,0.0054,0.5484
CLUBS SEVEN DIAMONDS FOUR,0.6712,0.01,0.3188
HEARTS THREE DIAMONDS QUEEN,0.6282,0.151,0.2208
SPADES FIVE HEARTS SEVEN,0.65,0.0132,0.3368
SPADES THREE HEARTS TEN,0.6582,0.0156,0.3262
CLUBS SIX DIAMONDS QUEEN,0.6308,0.153,0.2162
SPADES ACE HEARTS KING,0.3682,0.0044,0.6274
DIAMONDS KING DIAMONDS EIGHT,0.4298,0.0096,0.5606
SPADES SEVEN SPADES SIX,0.5962,0.013,0.3908
SPADES SEVEN DIAMONDS QUEEN,0.6292,0.1634,0.2074
CLUBS FIVE CLUBS QUEEN,0.6012,0.1542,0.2446
SPADES EIGHT SPADES TWO,0.6558,0.0092,0.335
CLUBS FOUR DIAMONDS TEN,0.6672,0.0106,0.3222
SPADES SEVEN CLUBS FOUR,0.6568,0.0096,0.3336
SPADES KING HEARTS TEN,0.3796,0.0068,0.6136
HEARTS SIX HEARTS FOUR,0.6406,0.0102,0.3492
HEARTS FOUR SPADES THREE,0.654,0.0124,0.3336
HEARTS THREE SPADES THREE,0.4982,0.0186,0.4832
HEARTS FOUR DIAMONDS EIGHT,0.6674,0.0108,0.3218
DIAMONDS KING CLUBS KING,0.1968,0.0024,0.8008
DIAMONDS ACE DIAMONDS NINE,0.2882,0.0178,0.694
SPADES NINE SPADES EIGHT,0.664,0.0406,0.2954
HEARTS THREE CLUBS FOUR,0.6632,0.0118,0.325
SPADES SIX SPADES TWO,0.6364,0.0108,0.3528
CLUBS NINE CLUBS QUEEN,0.0716,0.8558,0.0726
CLUBS NINE SPADES FOUR,0.736,0.0498,0.2142
HEARTS FIVE SPADES SEVEN,0.6484,0.0132,0.3384
SPADES KING SPADES SEVEN,0.4294,0.006,0.5646
SPADES EIGHT HEARTS ACE,0.4438,0.0034,0.5528
SPADES THREE CLUBS ACE,0.4604,0.0046,0.535
DIAMONDS JACK SPADES TWO,0.674,0.011,0.315
CLUBS SEVEN HEARTS ACE,0.4528,0.0038,0.5434
SPADES TEN CLUBS KING,0.4014,0.0058,0.5928
CLUBS JACK HEARTS KING,0.3834,0.0062,0.6104
DIAMONDS ACE HEARTS EIGHT,0.4446,0.0038,0.5516
SPADES TEN DIAMONDS NINE,0.7058,0.0364,0.2578
SPADES NINE DIAMONDS SEVEN,0.7138,0.0398,0.2464
HEARTS SIX DIAMONDS THREE,0.6528,0.008,0.3392
DIAMONDS NINE HEARTS SEVEN,0.72,0.0418,0.2382
CLUBS NINE SPADES JACK,0.7146,0.0388,0.2466
CLUBS THREE CLUBS ACE,0.4212,0.0066,0.5722
SPADES SIX DIAMONDS FIVE,0.6484,0.0116,0.34
SPADES QUEEN CLUBS SEVEN,0.6272,0.158,0.2148
SPADES FOUR CLUBS QUEEN,0.6202,0.1528,0.227
CLUBS JACK HEARTS JACK,0.317,0.013,0.67
DIAMONDS TWO HEARTS EIGHT,0.6932,0.011,0.2958
CLUBS FOUR SPADES FIVE,0.6364,0.0152,0.3484
SPADES QUEEN DIAMONDS FIVE,0.6138,0.1592,0.227
SPADES FOUR DIAMONDS FIVE,0.648,0.0104,0.3416
DIAMONDS SEVEN CLUBS ACE,0.4554,0.005,0.5396
CLUBS JACK HEARTS ACE,0.387,0.0042,0.6088
SPADES SEVEN DIAMONDS EIGHT,0.6564,0.0098,0.3338
SPADES KING CLUBS FOUR,0.4638,0.0088,0.5274
DIAMONDS SIX HEARTS EIGHT,0.6558,0.0124,0.3318
SPADES SIX HEARTS ACE,0.4386,0.004,0.5574
DIAMONDS THREE CLUBS FOUR,0.661,0.0106,0.3284
SPADES JACK SPADES SIX,0.6258,0.0084,0.3658
DIAMONDS TWO CLUBS SEVEN,0.6866,0.0108,0.3026
HEARTS FOUR SPADES TEN,0.6598,0.0112,0.329
CLUBS SIX SPADES EIGHT,0.6586,0.0082,0.3332
HEARTS SIX DIAMONDS SIX,0.4656,0.0158,0.5186
CLUBS JACK HEARTS SIX,0.6688,0.0094,0.3218
SPADES TEN SPADES THREE,0.6228,0.011,0.3662
SPADES QUEEN DIAMONDS KING,0.294,0.0264,0.6796
SPADES EIGHT CLUBS FOUR,0.693,0.0108,0.2962
DIAMONDS EIGHT CLUBS KING,0.4496,0.0056,0.5448
SPADES JACK DIAMONDS FOUR,0.6628,0.0126,0.3246
HEARTS THREE SPADES NINE,0.7366,0.0386,0.2248
HEARTS TWO DIAMONDS ACE,0.4514,0.0056,0.543
CLUBS SEVEN CLUBS SIX,0.5994,0.0128,0.3878
