opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN CLUBS EIGHT
CLUBS NINE SPADES SEVEN,0.2494,0.1048,0.6458
SPADES KING DIAMONDS TWO,0.4486,0.008,0.5434
HEARTS FOUR CLUBS FIVE,0.5982,0.0616,0.3402
SPADES THREE HEARTS TEN,0.4402,0.0266,0.5332
HEARTS TEN HEARTS NINE,0.3154,0.0226,0.662
HEARTS SIX DIAMONDS JACK,0.4246,0.0202,0.5552
SPADES KING DIAMONDS SIX,0.429,0.0066,0.5644
SPADES QUEEN DIAMONDS FOUR,0.4342,0.0096,0.5562
HEARTS TWO DIAMONDS JACK,0.4488,0.019,0.5322
SPADES QUEEN HEARTS NINE,0.342,0.0114,0.6466
HEARTS THREE HEARTS ACE,0.4194,0.0044,0.5762
SPADES FOUR HEARTS JACK,0.4222,0.0186,0.5592
SPADES ACE DIAMONDS SEVEN,0.286,0.0222,0.6918
DIAMONDS KING SPADES TWO,0.435,0.0052,0.5598
DIAMONDS TEN HEARTS JACK,0.3388,0.0116,0.6496
HEARTS KING DIAMONDS NINE,0.3566,0.0084,0.635
HEARTS THREE DIAMONDS FOUR,0.6208,0.0652,0.314
DIAMONDS TWO DIAMONDS KING,0.413,0.0064,0.5806
SPADES QUEEN HEARTS TEN,0.3562,0.0112,0.6326
HEARTS SIX CLUBS SEVEN,0.6262,0.1386,0.2352
CLUBS THREE HEARTS NINE,0.4346,0.0452,0.5202
DIAMONDS JACK CLUBS ACE,0.3638,0.0032,0.633
SPADES QUEEN HEARTS THREE,0.4494,0.0124,0.5382
DIAMONDS THREE SPADES QUEEN,0.4554,0.0114,0.5332
CLUBS NINE SPADES SIX,0.4078,0.0398,0.5524
SPADES FIVE SPADES TWO,0.581,0.0584,0.3606
DIAMONDS ACE DIAMONDS SIX,0.3978,0.0042,0.598
CLUBS TWO HEARTS KING,0.4416,0.0084,0.55
SPADES TEN DIAMONDS KING,0.3688,0.0052,0.626
CLUBS FIVE DIAMONDS FOUR,0.5812,0.0664,0.3524
SPADES ACE HEARTS QUEEN,0.373,0.0046,0.6224
SPADES SEVEN HEARTS TEN,0.2622,0.0664,0.6714
DIAMONDS ACE DIAMONDS KING,0.358,0.0032,0.6388
CLUBS FIVE HEARTS TEN,0.4312,0.0284,0.5404
DIAMONDS THREE HEARTS THREE,0.4394,0.0784,0.4822
DIAMONDS QUEEN CLUBS ACE,0.3658,0.0056,0.6286
SPADES KING HEARTS EIGHT,0.2774,0.0318,0.6908
DIAMONDS TWO SPADES TEN,0.4426,0.0248,0.5326
HEARTS FOUR SPADES TEN,0.435,0.0246,0.5404
HEARTS THREE CLUBS KING,0.445,0.0092,0.5458
SPADES ACE DIAMONDS QUEEN,0.369,0.004,0.627
SPADES THREE DIAMONDS FOUR,0.6172,0.0574,0.3254
SPADES KING CLUBS TWO,0.445,0.0088,0.5462
HEARTS SIX SPADES JACK,0.43,0.0186,0.5514
CLUBS SIX SPADES FOUR,0.614,0.0592,0.3268
SPADES FIVE CLUBS QUEEN,0.4208,0.011,0.5682
CLUBS JACK DIAMONDS SEVEN,0.2676,0.0572,0.6752
