opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN CLUBS SIX
HEARTS FIVE SPADES TEN,0.4284,0.0244,0.5472
SPADES JACK HEARTS FIVE,0.4214,0.017,0.5616
CLUBS JACK SPADES FIVE,0.4146,0.015,0.5704
CLUBS TEN SPADES FIVE,0.4224,0.0254,0.5522
CLUBS JACK CLUBS EIGHT,0.344,0.0194,0.6366
CLUBS TEN CLUBS EIGHT,0.3328,0.026,0.6412
CLUBS EIGHT CLUBS KING,0.3724,0.007,0.6206
SPADES FIVE CLUBS ACE,0.4122,0.006,0.5818
CLUBS EIGHT CLUBS QUEEN,0.3436,0.0114,0.645
SPADES FIVE CLUBS KING,0.413,0.0088,0.5782
SPADES FIVE CLUBS QUEEN,0.4256,0.013,0.5614
CLUBS EIGHT CLUBS ACE,0.3428,0.003,0.6542
DIAMONDS TWO DIAMONDS THREE,0.5362,0.09,0.3738
DIAMONDS TWO DIAMONDS FIVE,0.5444,0.0968,0.3588
SPADES KING HEARTS FIVE,0.4436,0.007,0.5494
DIAMONDS TWO DIAMONDS FOUR,0.5368,0.0902,0.373
SPADES QUEEN HEARTS FIVE,0.4102,0.0106,0.5792
DIAMONDS TWO DIAMONDS SEVEN,0.3956,0.3434,0.261
DIAMONDS TWO DIAMONDS SIX,0.5646,0.1792,0.2562
SPADES ACE HEARTS FIVE,0.4144,0.0068,0.5788
DIAMONDS TWO DIAMONDS NINE,0.3992,0.0414,0.5594
DIAMONDS TWO DIAMONDS EIGHT,0.396,0.0606,0.5434
DIAMONDS THREE DIAMONDS FOUR,0.5304,0.094,0.3756
CLUBS TWO SPADES FOUR,0.6094,0.097,0.2936
DIAMONDS THREE DIAMONDS FIVE,0.5458,0.0966,0.3576
SPADES FIVE CLUBS TWO,0.5944,0.0958,0.3098
CLUBS TWO SPADES TWO,0.4188,0.1038,0.4774
CLUBS TWO SPADES THREE,0.568,0.1008,0.3312
DIAMONDS THREE DIAMONDS EIGHT,0.4256,0.0584,0.516
SPADES EIGHT CLUBS TWO,0.4438,0.0614,0.4948
DIAMONDS THREE DIAMONDS NINE,0.3986,0.0378,0.5636
SPADES NINE CLUBS TWO,0.4418,0.0404,0.5178
DIAMONDS THREE DIAMONDS SIX,0.5458,0.1736,0.2806
SPADES SIX CLUBS TWO,0.5998,0.1996,0.2006
DIAMONDS THREE DIAMONDS SEVEN,0.3926,0.3496,0.2578
SPADES SEVEN CLUBS TWO,0.408,0.3838,0.2082
CLUBS SEVEN CLUBS TWO,0.3912,0.3634,0.2454
CLUBS FOUR CLUBS TWO,0.5576,0.0932,0.3492
CLUBS FIVE CLUBS TWO,0.5578,0.0976,0.3446
