opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN CLUBS TWO
HEARTS FIVE SPADES TEN,0.3514,0.0284,0.6202
SPADES JACK HEARTS FIVE,0.3522,0.0212,0.6266
CLUBS JACK SPADES FIVE,0.3456,0.0176,0.6368
CLUBS TEN SPADES FIVE,0.341,0.032,0.627
CLUBS JACK CLUBS EIGHT,0.2948,0.0168,0.6884
CLUBS TEN CLUBS EIGHT,0.287,0.0294,0.6836
CLUBS EIGHT CLUBS KING,0.32,0.009,0.671
SPADES FIVE CLUBS ACE,0.34,0.0046,0.6554
CLUBS EIGHT CLUBS QUEEN,0.3064,0.0126,0.681
SPADES FIVE CLUBS KING,0.3628,0.0092,0.628
SPADES FIVE CLUBS QUEEN,0.3358,0.0126,0.6516
CLUBS EIGHT CLUBS ACE,0.3098,0.0052,0.685
DIAMONDS TWO DIAMONDS THREE,0.5064,0.1992,0.2944
DIAMONDS TWO DIAMONDS FIVE,0.5058,0.1882,0.306
SPADES KING HEARTS FIVE,0.3452,0.0088,0.646
DIAMONDS TWO DIAMONDS FOUR,0.5064,0.1926,0.301
SPADES QUEEN HEARTS FIVE,0.3506,0.0124,0.637
DIAMONDS TWO DIAMONDS SEVEN,0.0244,0.8972,0.0784
DIAMONDS TWO DIAMONDS SIX,0.5274,0.188,0.2846
SPADES ACE HEARTS FIVE,0.3422,0.0072,0.6506
DIAMONDS TWO DIAMONDS NINE,0.23,0.0996,0.6704
DIAMONDS TWO DIAMONDS EIGHT,0.228,0.1356,0.6364
DIAMONDS THREE DIAMONDS FOUR,0.4562,0.094,0.4498
DIAMONDS THREE DIAMONDS FIVE,0.4544,0.095,0.4506
DIAMONDS THREE DIAMONDS EIGHT,0.3412,0.0592,0.5996
DIAMONDS THREE DIAMONDS NINE,0.337,0.0436,0.6194
DIAMONDS THREE DIAMONDS SIX,0.4794,0.0978,0.4228
DIAMONDS THREE DIAMONDS SEVEN,0.2008,0.4772,0.322
CLUBS TEN CLUBS JACK,0.2932,0.0146,0.6922
DIAMONDS FOUR DIAMONDS SIX,0.4532,0.1028,0.444
CLUBS TEN CLUBS QUEEN,0.2996,0.0108,0.6896
DIAMONDS FOUR DIAMONDS SEVEN,0.211,0.4644,0.3246
CLUBS TEN CLUBS KING,0.3006,0.0056,0.6938
CLUBS TEN CLUBS ACE,0.2922,0.0056,0.7022
DIAMONDS FIVE DIAMONDS FOUR,0.428,0.0944,0.4776
DIAMONDS NINE DIAMONDS FOUR,0.3262,0.0416,0.6322
DIAMONDS EIGHT DIAMONDS FOUR,0.2944,0.063,0.6426
DIAMONDS NINE DIAMONDS FIVE,0.3172,0.0438,0.639
CLUBS JACK DIAMONDS TWO,0.2392,0.0518,0.709
DIAMONDS EIGHT DIAMONDS FIVE,0.2986,0.0668,0.6346
CLUBS TEN DIAMONDS TWO,0.2424,0.0696,0.688
DIAMONDS FIVE DIAMONDS SEVEN,0.1842,0.4228,0.393
DIAMONDS FIVE DIAMONDS SIX,0.4314,0.0896,0.479
DIAMONDS TWO CLUBS ACE,0.2374,0.0112,0.7514
DIAMONDS TWO CLUBS KING,0.24,0.0234,0.7366
DIAMONDS TWO CLUBS QUEEN,0.2374,0.0346,0.728
DIAMONDS EIGHT DIAMONDS SIX,0.2996,0.0534,0.647
DIAMONDS NINE DIAMONDS SIX,0.3102,0.0428,0.647
HEARTS ACE SPADES THREE,0.3418,0.0044,0.6538
SPADES THREE HEARTS KING,0.3448,0.0092,0.646
DIAMONDS SEVEN DIAMONDS SIX,0.2034,0.3472,0.4494
HEARTS QUEEN SPADES THREE,0.3498,0.014,0.6362
SPADES THREE HEARTS JACK,0.3548,0.0242,0.621
SPADES THREE HEARTS TEN,0.347,0.0278,0.6252
DIAMONDS EIGHT DIAMONDS SEVEN,0.2012,0.1326,0.6662
DIAMONDS NINE DIAMONDS SEVEN,0.218,0.105,0.677
DIAMONDS NINE DIAMONDS EIGHT,0.2812,0.0356,0.6832
DIAMONDS KING HEARTS TEN,0.3064,0.0066,0.687
HEARTS THREE HEARTS TEN,0.3334,0.0348,0.6318
SPADES JACK CLUBS SIX,0.3588,0.0198,0.6214
DIAMONDS KING HEARTS JACK,0.321,0.0076,0.6714
HEARTS THREE HEARTS JACK,0.3284,0.0202,0.6514
SPADES TEN CLUBS SIX,0.3252,0.0278,0.647
SPADES JACK SPADES FIVE,0.3308,0.018,0.6512
SPADES TEN SPADES FIVE,0.3256,0.0264,0.648
DIAMONDS KING HEARTS ACE,0.3242,0.0062,0.6696
HEARTS THREE HEARTS ACE,0.324,0.0058,0.6702
SPADES ACE CLUBS SIX,0.3428,0.0026,0.6546
DIAMONDS KING HEARTS QUEEN,0.313,0.0062,0.6808
HEARTS THREE HEARTS QUEEN,0.34,0.0146,0.6454
SPADES KING CLUBS SIX,0.3562,0.0074,0.6364
DIAMONDS KING HEARTS KING,0.1342,0.0178,0.848
HEARTS THREE HEARTS KING,0.3372,0.0116,0.6512
SPADES QUEEN CLUBS SIX,0.3432,0.0116,0.6452
SPADES NINE HEARTS TEN,0.2922,0.0226,0.6852
SPADES NINE HEARTS JACK,0.3068,0.014,0.6792
SPADES QUEEN SPADES FIVE,0.3342,0.0128,0.653
SPADES KING SPADES FIVE,0.3298,0.0082,0.662
SPADES ACE SPADES FIVE,0.3036,0.0052,0.6912
SPADES NINE HEARTS QUEEN,0.3116,0.0122,0.6762
SPADES NINE HEARTS KING,0.316,0.008,0.676
SPADES NINE HEARTS ACE,0.3122,0.0032,0.6846
CLUBS TEN SPADES JACK,0.311,0.0144,0.6746
CLUBS TEN SPADES TEN,0.126,0.0572,0.8168
SPADES ACE CLUBS TEN,0.3234,0.007,0.6696
CLUBS TEN SPADES KING,0.3244,0.0058,0.6698
CLUBS TEN SPADES QUEEN,0.3086,0.0108,0.6806
SPADES FIVE HEARTS QUEEN,0.3368,0.014,0.6492
SPADES FIVE HEARTS KING,0.3378,0.0082,0.654
HEARTS ACE SPADES FIVE,0.333,0.0048,0.6622
CLUBS EIGHT SPADES TEN,0.3022,0.023,0.6748
HEARTS THREE SPADES JACK,0.3468,0.022,0.6312
SPADES JACK DIAMONDS KING,0.3208,0.0058,0.6734
SPADES TEN DIAMONDS KING,0.3312,0.005,0.6638
HEARTS THREE SPADES TEN,0.3488,0.0294,0.6218
CLUBS EIGHT SPADES JACK,0.3112,0.0192,0.6696
CLUBS SIX HEARTS ACE,0.3324,0.0066,0.661
SPADES ACE CLUBS EIGHT,0.313,0.004,0.683
CLUBS JACK HEARTS FIVE,0.3268,0.0238,0.6494
CLUBS TEN HEARTS FIVE,0.3408,0.0288,0.6304
CLUBS SIX HEARTS QUEEN,0.339,0.0152,0.6458
SPADES QUEEN CLUBS EIGHT,0.3188,0.0142,0.667
CLUBS TEN SPADES THREE,0.3536,0.028,0.6184
CLUBS SIX HEARTS KING,0.347,0.0098,0.6432
SPADES KING CLUBS EIGHT,0.3152,0.0072,0.6776
CLUBS JACK SPADES THREE,0.3642,0.0196,0.6162
DIAMONDS TWO HEARTS JACK,0.2332,0.048,0.7188
SPADES THREE CLUBS QUEEN,0.3506,0.012,0.6374
DIAMONDS TWO HEARTS TEN,0.241,0.0648,0.6942
SPADES THREE CLUBS KING,0.3606,0.0094,0.63
HEARTS FIVE CLUBS ACE,0.3404,0.006,0.6536
SPADES FIVE HEARTS TEN,0.3498,0.0318,0.6184
SPADES THREE CLUBS ACE,0.3432,0.0042,0.6526
HEARTS FIVE CLUBS KING,0.363,0.011,0.626
SPADES FIVE HEARTS JACK,0.3496,0.02,0.6304
HEARTS FIVE CLUBS QUEEN,0.3552,0.0128,0.632
HEARTS THREE CLUBS KING,0.3556,0.0088,0.6356
DIAMONDS KING CLUBS KING,0.1236,0.0152,0.8612
HEARTS THREE CLUBS QUEEN,0.3494,0.0138,0.6368
DIAMONDS KING CLUBS QUEEN,0.3262,0.006,0.6678
HEARTS FIVE HEARTS JACK,0.3304,0.0142,0.6554
HEARTS FIVE HEARTS TEN,0.3272,0.0284,0.6444
HEARTS THREE CLUBS ACE,0.3394,0.0052,0.6554
DIAMONDS KING CLUBS ACE,0.3174,0.004,0.6786
SPADES ACE CLUBS QUEEN,0.325,0.0058,0.6692
SPADES KING CLUBS QUEEN,0.3184,0.0074,0.6742
CLUBS JACK HEARTS THREE,0.3572,0.0212,0.6216
CLUBS JACK DIAMONDS KING,0.3234,0.0062,0.6704
SPADES QUEEN CLUBS QUEEN,0.1184,0.0266,0.855
CLUBS TEN HEARTS THREE,0.339,0.0292,0.6318
CLUBS TEN DIAMONDS KING,0.314,0.0064,0.6796
SPADES JACK CLUBS QUEEN,0.304,0.0102,0.6858
CLUBS SIX CLUBS QUEEN,0.3266,0.0134,0.66
SPADES TEN CLUBS QUEEN,0.3132,0.0098,0.677
CLUBS SIX CLUBS KING,0.3276,0.01,0.6624
CLUBS SIX CLUBS ACE,0.3276,0.0046,0.6678
HEARTS FIVE HEARTS KING,0.3358,0.0098,0.6544
HEARTS FIVE HEARTS QUEEN,0.3206,0.012,0.6674
CLUBS TEN CLUBS SIX,0.33,0.03,0.64
HEARTS FIVE HEARTS ACE,0.3196,0.0064,0.674
CLUBS JACK CLUBS SIX,0.3294,0.019,0.6516
SPADES SEVEN HEARTS JACK,0.2136,0.0682,0.7182
SPADES SEVEN HEARTS TEN,0.2112,0.0884,0.7004
DIAMONDS TWO CLUBS THREE,0.5426,0.1918,0.2656
HEARTS SIX DIAMONDS TWO,0.5704,0.1906,0.239
DIAMONDS TWO HEARTS QUEEN,0.241,0.033,0.726
DIAMONDS TWO HEARTS KING,0.232,0.023,0.745
DIAMONDS TWO HEARTS EIGHT,0.2234,0.141,0.6356
DIAMONDS TWO HEARTS ACE,0.2292,0.0146,0.7562
DIAMONDS TWO HEARTS NINE,0.237,0.0984,0.6646
DIAMONDS TWO DIAMONDS QUEEN,0.2238,0.0314,0.7448
DIAMONDS TWO HEARTS TWO,0.2506,0.08,0.6694
DIAMONDS TWO DIAMONDS KING,0.238,0.027,0.735
HEARTS THREE DIAMONDS TWO,0.5544,0.2,0.2456
DIAMONDS TWO DIAMONDS ACE,0.2352,0.0118,0.753
HEARTS FOUR DIAMONDS TWO,0.537,0.1996,0.2634
DIAMONDS TWO HEARTS FIVE,0.5412,0.1876,0.2712
SPADES SEVEN HEARTS ACE,0.2116,0.0342,0.7542
DIAMONDS TWO DIAMONDS TEN,0.2274,0.0634,0.7092
SPADES SEVEN HEARTS KING,0.2204,0.0434,0.7362
DIAMONDS TWO DIAMONDS JACK,0.2228,0.0502,0.727
SPADES SEVEN HEARTS QUEEN,0.2226,0.0534,0.724
DIAMONDS TWO SPADES NINE,0.2428,0.097,0.6602
DIAMONDS TWO SPADES EIGHT,0.2414,0.1384,0.6202
DIAMONDS TWO SPADES SEVEN,0.0194,0.958,0.0226
DIAMONDS TWO SPADES SIX,0.5624,0.1882,0.2494
DIAMONDS TWO SPADES FIVE,0.5434,0.1948,0.2618
DIAMONDS TWO SPADES FOUR,0.5384,0.197,0.2646
DIAMONDS TWO SPADES THREE,0.5348,0.2062,0.259
DIAMONDS TWO SPADES TWO,0.2524,0.0862,0.6614
DIAMONDS TWO CLUBS NINE,0.2308,0.0966,0.6726
CLUBS EIGHT DIAMONDS TWO,0.22,0.1512,0.6288
DIAMONDS TWO CLUBS SEVEN,0.0092,0.9748,0.016
DIAMONDS TWO CLUBS SIX,0.5666,0.19,0.2434
DIAMONDS TWO CLUBS FIVE,0.5434,0.1906,0.266
DIAMONDS TWO CLUBS FOUR,0.5506,0.1918,0.2576
CLUBS FOUR SPADES FIVE,0.4558,0.1116,0.4326
CLUBS FOUR SPADES FOUR,0.2314,0.1152,0.6534
CLUBS FOUR SPADES THREE,0.4784,0.108,0.4136
CLUBS FOUR SPADES TWO,0.5432,0.201,0.2558
SPADES NINE CLUBS FOUR,0.3464,0.042,0.6116
SPADES EIGHT CLUBS FOUR,0.3246,0.0696,0.6058
CLUBS FOUR SPADES SEVEN,0.2172,0.4908,0.292
CLUBS FOUR SPADES SIX,0.476,0.11,0.414
SPADES ACE DIAMONDS SIX,0.3374,0.0032,0.6594
SPADES QUEEN DIAMONDS SIX,0.3552,0.012,0.6328
SPADES KING DIAMONDS SIX,0.345,0.0086,0.6464
SPADES TEN DIAMONDS SIX,0.345,0.0258,0.6292
SPADES JACK DIAMONDS SIX,0.3498,0.0242,0.626
SPADES QUEEN SPADES TWO,0.2216,0.0324,0.746
SPADES KING SPADES TWO,0.2284,0.0232,0.7484
SPADES ACE SPADES TWO,0.227,0.0134,0.7596
CLUBS JACK DIAMONDS JACK,0.1228,0.0448,0.8324
CLUBS TEN DIAMONDS JACK,0.2952,0.0156,0.6892
DIAMONDS JACK CLUBS KING,0.3062,0.007,0.6868
DIAMONDS JACK CLUBS QUEEN,0.3084,0.0108,0.6808
DIAMONDS THREE DIAMONDS JACK,0.3402,0.0218,0.638
DIAMONDS THREE DIAMONDS TEN,0.3178,0.033,0.6492
DIAMONDS JACK CLUBS ACE,0.3116,0.0034,0.685
DIAMONDS THREE DIAMONDS KING,0.3426,0.0094,0.648
HEARTS THREE DIAMONDS THREE,0.2448,0.135,0.6202
DIAMONDS THREE DIAMONDS QUEEN,0.3246,0.0134,0.662
DIAMONDS THREE HEARTS TWO,0.5604,0.1944,0.2452
HEARTS FIVE DIAMONDS THREE,0.4786,0.1062,0.4152
DIAMONDS THREE DIAMONDS ACE,0.318,0.0058,0.6762
HEARTS FOUR DIAMONDS THREE,0.4814,0.1114,0.4072
SPADES TEN SPADES NINE,0.2912,0.0274,0.6814
HEARTS SIX DIAMONDS THREE,0.4978,0.104,0.3982
SPADES JACK SPADES NINE,0.2934,0.0178,0.6888
DIAMONDS THREE HEARTS NINE,0.353,0.0444,0.6026
HEARTS JACK DIAMONDS FOUR,0.3446,0.0222,0.6332
HEARTS ACE HEARTS KING,0.2964,0.0078,0.6958
SPADES TEN SPADES TWO,0.225,0.0646,0.7104
DIAMONDS THREE HEARTS EIGHT,0.3508,0.0618,0.5874
HEARTS TEN DIAMONDS FOUR,0.3418,0.0292,0.629
SPADES JACK SPADES TWO,0.2246,0.0464,0.729
HEARTS QUEEN DIAMONDS FOUR,0.3424,0.0126,0.645
HEARTS KING DIAMONDS FOUR,0.3316,0.0114,0.657
SPADES ACE SPADES NINE,0.3082,0.0042,0.6876
HEARTS ACE DIAMONDS FOUR,0.3516,0.0056,0.6428
SPADES KING SPADES NINE,0.3014,0.0092,0.6894
SPADES QUEEN SPADES NINE,0.304,0.0096,0.6864
DIAMONDS THREE SPADES NINE,0.3458,0.0466,0.6076
DIAMONDS THREE SPADES EIGHT,0.347,0.0662,0.5868
DIAMONDS THREE SPADES SEVEN,0.2158,0.5106,0.2736
DIAMONDS THREE SPADES SIX,0.4976,0.1086,0.3938
DIAMONDS THREE CLUBS SIX,0.4854,0.101,0.4136
CLUBS SIX CLUBS FIVE,0.4404,0.0934,0.4662
CLUBS ACE DIAMONDS FOUR,0.3352,0.0054,0.6594
DIAMONDS THREE CLUBS SEVEN,0.2146,0.512,0.2734
CLUBS SEVEN CLUBS FIVE,0.1944,0.4284,0.3772
DIAMONDS THREE CLUBS FOUR,0.4854,0.11,0.4046
DIAMONDS FOUR CLUBS QUEEN,0.3496,0.0106,0.6398
DIAMONDS THREE CLUBS FIVE,0.482,0.0974,0.4206
DIAMONDS FOUR CLUBS KING,0.3564,0.0108,0.6328
CLUBS TEN DIAMONDS FOUR,0.3542,0.0284,0.6174
DIAMONDS THREE CLUBS THREE,0.2362,0.1282,0.6356
CLUBS JACK DIAMONDS FOUR,0.3482,0.0194,0.6324
DIAMONDS THREE SPADES FOUR,0.4798,0.107,0.4132
DIAMONDS THREE SPADES FIVE,0.487,0.0994,0.4136
DIAMONDS THREE SPADES TWO,0.5458,0.1936,0.2606
DIAMONDS THREE SPADES THREE,0.251,0.12,0.629
