opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN DIAMONDS EIGHT
SPADES JACK CLUBS EIGHT,0.2686,0.059,0.6724
CLUBS TWO DIAMONDS SEVEN,0.6542,0.1374,0.2084
DIAMONDS ACE HEARTS QUEEN,0.365,0.0054,0.6296
SPADES KING SPADES SIX,0.3928,0.0068,0.6004
CLUBS SIX CLUBS TWO,0.5976,0.0576,0.3448
SPADES ACE DIAMONDS FOUR,0.4362,0.0038,0.56
CLUBS FIVE HEARTS KING,0.4326,0.0078,0.5596
DIAMONDS THREE SPADES FIVE,0.6104,0.0588,0.3308
HEARTS SIX HEARTS TEN,0.3934,0.0214,0.5852
DIAMONDS KING CLUBS KING,0.1854,0.0128,0.8018
SPADES KING CLUBS SIX,0.4152,0.0078,0.577
SPADES NINE CLUBS FOUR,0.4392,0.0388,0.522
HEARTS TEN DIAMONDS FIVE,0.4358,0.0244,0.5398
DIAMONDS ACE DIAMONDS JACK,0.3518,0.0052,0.643
CLUBS KING DIAMONDS FIVE,0.4454,0.0092,0.5454
SPADES ACE HEARTS SIX,0.4292,0.003,0.5678
DIAMONDS TEN DIAMONDS SIX,0.394,0.0262,0.5798
SPADES TEN SPADES NINE,0.3102,0.0226,0.6672
SPADES NINE DIAMONDS SEVEN,0.2588,0.0998,0.6414
DIAMONDS JACK DIAMONDS SIX,0.4148,0.0172,0.568
HEARTS FIVE DIAMONDS JACK,0.4264,0.0174,0.5562
HEARTS SIX SPADES FOUR,0.6176,0.0634,0.319
HEARTS SIX CLUBS SIX,0.3918,0.084,0.5242
HEARTS FOUR CLUBS KING,0.4258,0.0074,0.5668
CLUBS THREE CLUBS KING,0.4156,0.008,0.5764
CLUBS JACK DIAMONDS NINE,0.3366,0.0156,0.6478
CLUBS JACK CLUBS TEN,0.3362,0.016,0.6478
SPADES EIGHT CLUBS TWO,0.4992,0.2832,0.2176
SPADES KING CLUBS NINE,0.3672,0.008,0.6248
HEARTS FOUR SPADES TWO,0.6258,0.0624,0.3118
SPADES THREE HEARTS JACK,0.4336,0.0186,0.5478
SPADES SEVEN DIAMONDS SEVEN,0.3138,0.0684,0.6178
HEARTS KING DIAMONDS SEVEN,0.2982,0.0374,0.6644
CLUBS NINE SPADES TEN,0.3348,0.0222,0.643
SPADES TEN SPADES SIX,0.4026,0.0266,0.5708
CLUBS JACK SPADES NINE,0.352,0.0168,0.6312
CLUBS JACK DIAMONDS JACK,0.1794,0.0362,0.7844
DIAMONDS TWO CLUBS THREE,0.6326,0.0616,0.3058
SPADES ACE SPADES TEN,0.3546,0.004,0.6414
SPADES TEN CLUBS ACE,0.3782,0.0042,0.6176
DIAMONDS THREE HEARTS NINE,0.446,0.0454,0.5086
DIAMONDS QUEEN CLUBS TWO,0.4556,0.0126,0.5318
CLUBS SEVEN DIAMONDS SEVEN,0.3044,0.0712,0.6244
DIAMONDS ACE HEARTS ACE,0.1794,0.0036,0.817
CLUBS SIX CLUBS QUEEN,0.4052,0.0104,0.5844
CLUBS JACK DIAMONDS FOUR,0.4396,0.0184,0.542
HEARTS TWO CLUBS TWO,0.4278,0.0882,0.484
DIAMONDS THREE CLUBS TWO,0.6272,0.061,0.3118
HEARTS KING DIAMONDS FOUR,0.4352,0.0072,0.5576
DIAMONDS TWO CLUBS SIX,0.6404,0.0602,0.2994
SPADES EIGHT DIAMONDS SEVEN,0.0208,0.9684,0.0108
DIAMONDS TEN SPADES TWO,0.4286,0.0298,0.5416
CLUBS JACK DIAMONDS TEN,0.3478,0.0132,0.639
SPADES THREE DIAMONDS NINE,0.4434,0.0374,0.5192
SPADES FIVE DIAMONDS NINE,0.4128,0.0414,0.5458
CLUBS SEVEN DIAMONDS TEN,0.2546,0.0682,0.6772
