opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN DIAMONDS SEVEN
SPADES EIGHT DIAMONDS QUEEN,0.545,0.0178,0.4372
SPADES TWO HEARTS TEN,0.6792,0.0598,0.261
SPADES TEN CLUBS FOUR,0.6616,0.053,0.2854
SPADES SIX CLUBS KING,0.6522,0.0122,0.3356
HEARTS EIGHT CLUBS NINE,0.5318,0.0598,0.4084
HEARTS EIGHT CLUBS THREE,0.6686,0.0754,0.256
HEARTS FIVE HEARTS QUEEN,0.6208,0.0206,0.3586
SPADES THREE HEARTS NINE,0.65,0.071,0.279
DIAMONDS TWO HEARTS JACK,0.666,0.036,0.298
HEARTS THREE CLUBS THREE,0.6172,0.2082,0.1746
CLUBS TEN CLUBS FIVE,0.628,0.0536,0.3184
CLUBS EIGHT HEARTS ACE,0.5462,0.0044,0.4494
DIAMONDS THREE SPADES NINE,0.672,0.0658,0.2622
CLUBS TWO HEARTS JACK,0.6714,0.0374,0.2912
DIAMONDS TEN CLUBS ACE,0.5354,0.0038,0.4608
CLUBS ACE DIAMONDS FIVE,0.6296,0.0036,0.3668
HEARTS FIVE CLUBS THREE,0.7418,0.1134,0.1448
CLUBS SEVEN DIAMONDS FOUR,0.7898,0.1108,0.0994
CLUBS SIX CLUBS FOUR,0.7182,0.0974,0.1844
SPADES NINE CLUBS KING,0.5378,0.0098,0.4524
CLUBS TEN CLUBS TWO,0.6368,0.0442,0.319
SPADES SIX DIAMONDS NINE,0.6408,0.0686,0.2906
DIAMONDS QUEEN CLUBS KING,0.5302,0.0054,0.4644
HEARTS SIX CLUBS TWO,0.7674,0.0994,0.1332
HEARTS TWO CLUBS FIVE,0.7422,0.111,0.1468
SPADES FOUR DIAMONDS EIGHT,0.6594,0.0844,0.2562
CLUBS TEN DIAMONDS KING,0.5198,0.0088,0.4714
DIAMONDS QUEEN SPADES TWO,0.6618,0.0254,0.3128
DIAMONDS EIGHT CLUBS KING,0.5496,0.0092,0.4412
HEARTS TWO SPADES SIX,0.7544,0.1082,0.1374
DIAMONDS QUEEN DIAMONDS NINE,0.508,0.0168,0.4752
HEARTS TWO SPADES FIVE,0.7408,0.1154,0.1438
SPADES FOUR DIAMONDS FIVE,0.7264,0.1164,0.1572
HEARTS TWO SPADES TWO,0.605,0.2146,0.1804
HEARTS TEN DIAMONDS FOUR,0.6614,0.0548,0.2838
DIAMONDS ACE CLUBS QUEEN,0.5262,0.004,0.4698
DIAMONDS TEN HEARTS TEN,0.1832,0.1258,0.691
HEARTS THREE SPADES SIX,0.7682,0.0986,0.1332
CLUBS SEVEN HEARTS KING,0.674,0.0314,0.2946
SPADES ACE SPADES SEVEN,0.6116,0.0288,0.3596
DIAMONDS ACE SPADES FOUR,0.6174,0.0036,0.379
HEARTS KING DIAMONDS NINE,0.549,0.0096,0.4414
SPADES SIX SPADES FOUR,0.708,0.1014,0.1906
CLUBS JACK CLUBS QUEEN,0.4844,0.015,0.5006
SPADES THREE DIAMONDS SIX,0.7668,0.0984,0.1348
CLUBS EIGHT SPADES SEVEN,0.613,0.0642,0.3228
DIAMONDS KING CLUBS TWO,0.6752,0.0148,0.31
HEARTS QUEEN CLUBS QUEEN,0.1814,0.0562,0.7624
SPADES KING SPADES SIX,0.6248,0.0144,0.3608
SPADES TEN CLUBS KING,0.5252,0.009,0.4658
CLUBS JACK SPADES TEN,0.5088,0.0214,0.4698
CLUBS JACK HEARTS EIGHT,0.5504,0.0314,0.4182
CLUBS THREE DIAMONDS NINE,0.6676,0.0666,0.2658
SPADES KING HEARTS SIX,0.6616,0.0112,0.3272
SPADES QUEEN CLUBS SEVEN,0.6736,0.034,0.2924
CLUBS TWO DIAMONDS SIX,0.77,0.1012,0.1288
DIAMONDS FIVE CLUBS QUEEN,0.6568,0.0252,0.318
SPADES EIGHT SPADES SIX,0.6158,0.0802,0.304
SPADES TEN SPADES TWO,0.632,0.0474,0.3206
