opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN DIAMONDS TEN
SPADES QUEEN CLUBS ACE,0.3548,0.0036,0.6416
SPADES NINE DIAMONDS FIVE,0.6288,0.0254,0.3458
HEARTS FOUR CLUBS SIX,0.6176,0.0264,0.356
SPADES EIGHT HEARTS TEN,0.2184,0.2222,0.5594
CLUBS FOUR HEARTS ACE,0.4042,0.0048,0.591
HEARTS THREE DIAMONDS NINE,0.6386,0.0272,0.3342
CLUBS NINE CLUBS THREE,0.5912,0.0234,0.3854
SPADES ACE CLUBS SIX,0.427,0.0026,0.5704
SPADES FIVE CLUBS KING,0.4302,0.0072,0.5626
CLUBS SEVEN CLUBS FOUR,0.6388,0.0748,0.2864
CLUBS EIGHT DIAMONDS FIVE,0.6134,0.027,0.3596
CLUBS FIVE DIAMONDS EIGHT,0.6156,0.0284,0.356
DIAMONDS KING DIAMONDS NINE,0.3566,0.0072,0.6362
CLUBS EIGHT SPADES THREE,0.6506,0.0246,0.3248
SPADES NINE CLUBS FIVE,0.615,0.0272,0.3578
DIAMONDS KING DIAMONDS FIVE,0.3918,0.0074,0.6008
SPADES FIVE CLUBS TWO,0.6298,0.0276,0.3426
DIAMONDS THREE DIAMONDS EIGHT,0.6052,0.024,0.3708
HEARTS EIGHT DIAMONDS KING,0.3734,0.0072,0.6194
SPADES THREE HEARTS KING,0.4086,0.0068,0.5846
HEARTS EIGHT HEARTS QUEEN,0.3482,0.0076,0.6442
SPADES JACK CLUBS KING,0.3264,0.0078,0.6658
CLUBS FIVE DIAMONDS SEVEN,0.6692,0.077,0.2538
SPADES EIGHT DIAMONDS JACK,0.3512,0.0142,0.6346
CLUBS FOUR SPADES TWO,0.6304,0.0258,0.3438
DIAMONDS ACE HEARTS NINE,0.3752,0.004,0.6208
SPADES FIVE CLUBS QUEEN,0.4114,0.0124,0.5762
CLUBS FOUR CLUBS KING,0.3934,0.009,0.5976
CLUBS ACE HEARTS NINE,0.3834,0.0052,0.6114
CLUBS SEVEN SPADES NINE,0.6754,0.071,0.2536
DIAMONDS THREE CLUBS SIX,0.645,0.0298,0.3252
DIAMONDS ACE HEARTS TEN,0.2496,0.0254,0.725
HEARTS FOUR HEARTS THREE,0.5946,0.026,0.3794
SPADES KING CLUBS THREE,0.411,0.009,0.58
DIAMONDS JACK SPADES TWO,0.4178,0.018,0.5642
SPADES JACK DIAMONDS QUEEN,0.3224,0.0106,0.667
SPADES NINE HEARTS QUEEN,0.3506,0.0106,0.6388
CLUBS FOUR CLUBS THREE,0.5794,0.0274,0.3932
HEARTS FOUR SPADES FOUR,0.429,0.05,0.521
HEARTS ACE CLUBS ACE,0.1656,0.002,0.8324
SPADES EIGHT DIAMONDS KING,0.3826,0.0072,0.6102
SPADES FOUR DIAMONDS FOUR,0.4218,0.0554,0.5228
HEARTS THREE CLUBS QUEEN,0.4276,0.0104,0.562
HEARTS SIX CLUBS KING,0.4194,0.006,0.5746
CLUBS KING CLUBS QUEEN,0.322,0.006,0.672
CLUBS EIGHT DIAMONDS ACE,0.3622,0.0042,0.6336
HEARTS EIGHT CLUBS FIVE,0.6026,0.0284,0.369
SPADES FIVE HEARTS NINE,0.6216,0.0264,0.352
DIAMONDS ACE DIAMONDS JACK,0.3304,0.0044,0.6652
DIAMONDS ACE DIAMONDS QUEEN,0.3222,0.0056,0.6722
CLUBS JACK SPADES NINE,0.359,0.0158,0.6252
HEARTS SIX CLUBS EIGHT,0.6062,0.0264,0.3674
CLUBS SEVEN DIAMONDS SIX,0.6488,0.0796,0.2716
HEARTS KING HEARTS TEN,0.249,0.0292,0.7218
SPADES FOUR DIAMONDS SIX,0.6356,0.0292,0.3352
HEARTS JACK HEARTS NINE,0.3208,0.017,0.6622
SPADES KING SPADES FOUR,0.3968,0.0052,0.598
DIAMONDS TWO CLUBS FIVE,0.6192,0.0276,0.3532
DIAMONDS JACK SPADES FOUR,0.4244,0.0184,0.5572
HEARTS EIGHT DIAMONDS QUEEN,0.354,0.0114,0.6346
CLUBS FOUR HEARTS QUEEN,0.4072,0.013,0.5798
CLUBS JACK SPADES TEN,0.241,0.058,0.701
CLUBS JACK HEARTS JACK,0.1574,0.0254,0.8172
CLUBS JACK DIAMONDS QUEEN,0.317,0.0098,0.6732
HEARTS TWO DIAMONDS SIX,0.667,0.0278,0.3052
HEARTS EIGHT DIAMONDS NINE,0.5578,0.025,0.4172
SPADES SIX CLUBS QUEEN,0.4084,0.0114,0.5802
SPADES QUEEN DIAMONDS QUEEN,0.1634,0.0154,0.8212
CLUBS JACK DIAMONDS NINE,0.3394,0.0152,0.6454
SPADES JACK SPADES EIGHT,0.3366,0.0156,0.6478
HEARTS FIVE CLUBS EIGHT,0.6038,0.027,0.3692
HEARTS TWO HEARTS JACK,0.4158,0.0152,0.569
HEARTS TWO SPADES TWO,0.4384,0.0574,0.5042
HEARTS FOUR HEARTS ACE,0.383,0.0056,0.6114
SPADES THREE CLUBS QUEEN,0.4182,0.0118,0.57
CLUBS SIX CLUBS FOUR,0.581,0.0216,0.3974
HEARTS FOUR CLUBS SEVEN,0.6676,0.08,0.2524
SPADES ACE CLUBS JACK,0.3414,0.0032,0.6554
SPADES SEVEN SPADES FOUR,0.6194,0.0786,0.302
CLUBS SIX SPADES SIX,0.4138,0.0544,0.5318
SPADES SIX CLUBS KING,0.4028,0.0056,0.5916
SPADES FIVE DIAMONDS SIX,0.6096,0.0262,0.3642
SPADES NINE DIAMONDS SEVEN,0.6816,0.0754,0.243
CLUBS KING DIAMONDS FIVE,0.4054,0.008,0.5866
SPADES NINE SPADES SEVEN,0.6272,0.0738,0.299
HEARTS FIVE DIAMONDS NINE,0.6384,0.0246,0.337
HEARTS SIX HEARTS QUEEN,0.3896,0.0108,0.5996
HEARTS FOUR DIAMONDS QUEEN,0.4058,0.0118,0.5824
SPADES QUEEN CLUBS EIGHT,0.3826,0.0078,0.6096
CLUBS EIGHT HEARTS THREE,0.6376,0.0258,0.3366
DIAMONDS EIGHT DIAMONDS FOUR,0.601,0.0294,0.3696
SPADES TEN SPADES EIGHT,0.2056,0.2286,0.5658
SPADES SIX HEARTS KING,0.4188,0.0068,0.5744
SPADES JACK HEARTS JACK,0.1562,0.0192,0.8246
CLUBS NINE CLUBS SIX,0.5574,0.0266,0.416
DIAMONDS TWO HEARTS QUEEN,0.43,0.0128,0.5572
SPADES NINE CLUBS FOUR,0.6266,0.027,0.3464
