opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN DIAMONDS TWO
HEARTS FOUR DIAMONDS SEVEN,0.203,0.5186,0.2784
HEARTS THREE SPADES FOUR,0.4786,0.1102,0.4112
CLUBS THREE DIAMONDS JACK,0.3592,0.0198,0.621
DIAMONDS KING HEARTS KING,0.1116,0.0152,0.8732
SPADES SIX DIAMONDS FIVE,0.45,0.1062,0.4438
HEARTS THREE CLUBS ACE,0.3492,0.005,0.6458
HEARTS FOUR SPADES TEN,0.343,0.0338,0.6232
DIAMONDS THREE DIAMONDS KING,0.3356,0.0106,0.6538
CLUBS SEVEN HEARTS THREE,0.2122,0.5176,0.2702
DIAMONDS THREE SPADES FOUR,0.4892,0.1022,0.4086
SPADES KING DIAMONDS QUEEN,0.3092,0.008,0.6828
CLUBS NINE HEARTS TWO,0.2402,0.1008,0.659
DIAMONDS THREE CLUBS THREE,0.2392,0.128,0.6328
DIAMONDS KING DIAMONDS NINE,0.2988,0.0084,0.6928
DIAMONDS FOUR DIAMONDS EIGHT,0.3194,0.0656,0.615
DIAMONDS QUEEN CLUBS ACE,0.329,0.0048,0.6662
DIAMONDS JACK CLUBS QUEEN,0.2986,0.011,0.6904
SPADES JACK DIAMONDS EIGHT,0.3034,0.0138,0.6828
SPADES ACE CLUBS EIGHT,0.3196,0.004,0.6764
SPADES EIGHT SPADES SIX,0.3074,0.065,0.6276
HEARTS FIVE SPADES FIVE,0.2314,0.117,0.6516
HEARTS THREE SPADES SEVEN,0.2202,0.5238,0.256
HEARTS FIVE DIAMONDS FIVE,0.232,0.1158,0.6522
DIAMONDS FOUR HEARTS FIVE,0.4706,0.107,0.4224
SPADES QUEEN SPADES FOUR,0.3166,0.0136,0.6698
HEARTS FOUR HEARTS JACK,0.3234,0.0216,0.655
HEARTS QUEEN CLUBS KING,0.3166,0.0078,0.6756
SPADES SEVEN CLUBS KING,0.2292,0.0402,0.7306
SPADES ACE HEARTS ACE,0.1154,0.005,0.8796
DIAMONDS THREE CLUBS EIGHT,0.3412,0.0712,0.5876
SPADES ACE SPADES SIX,0.336,0.0036,0.6604
SPADES KING CLUBS NINE,0.3192,0.0076,0.6732
DIAMONDS FOUR DIAMONDS QUEEN,0.3318,0.013,0.6552
SPADES KING DIAMONDS SIX,0.3576,0.007,0.6354
HEARTS FIVE CLUBS SEVEN,0.2072,0.4428,0.35
CLUBS SIX DIAMONDS QUEEN,0.3356,0.0126,0.6518
SPADES FIVE SPADES FOUR,0.446,0.1022,0.4518
CLUBS NINE CLUBS THREE,0.3274,0.0446,0.628
SPADES ACE CLUBS FIVE,0.3376,0.0036,0.6588
HEARTS SIX SPADES SIX,0.2276,0.1074,0.665
CLUBS EIGHT DIAMONDS JACK,0.3002,0.0204,0.6794
CLUBS ACE HEARTS NINE,0.3246,0.0026,0.6728
DIAMONDS KING HEARTS ACE,0.3166,0.005,0.6784
CLUBS SIX CLUBS FIVE,0.4304,0.099,0.4706
SPADES THREE SPADES TWO,0.5128,0.1854,0.3018
CLUBS FOUR CLUBS ACE,0.3212,0.0082,0.6706
DIAMONDS TEN DIAMONDS EIGHT,0.2994,0.0264,0.6742
DIAMONDS KING SPADES SIX,0.3438,0.007,0.6492
CLUBS TEN DIAMONDS SEVEN,0.2184,0.077,0.7046
SPADES QUEEN CLUBS SEVEN,0.222,0.046,0.732
SPADES TEN CLUBS KING,0.3228,0.0068,0.6704
CLUBS SEVEN SPADES SEVEN,0.0618,0.102,0.8362
HEARTS TEN DIAMONDS SIX,0.3446,0.0256,0.6298
CLUBS JACK DIAMONDS SEVEN,0.2216,0.0652,0.7132
HEARTS FOUR DIAMONDS ACE,0.3484,0.0048,0.6468
SPADES ACE HEARTS THREE,0.3396,0.0046,0.6558
DIAMONDS FOUR SPADES TWO,0.539,0.2044,0.2566
SPADES THREE DIAMONDS SIX,0.4744,0.1084,0.4172
SPADES ACE DIAMONDS EIGHT,0.3046,0.002,0.6934
CLUBS TEN DIAMONDS ACE,0.3146,0.005,0.6804
SPADES NINE DIAMONDS QUEEN,0.3086,0.0118,0.6796
CLUBS SEVEN SPADES NINE,0.2128,0.1036,0.6836
CLUBS FOUR CLUBS KING,0.3354,0.0074,0.6572
SPADES FOUR CLUBS KING,0.3622,0.0088,0.629
HEARTS SIX SPADES EIGHT,0.3214,0.0624,0.6162
SPADES ACE CLUBS THREE,0.3482,0.0034,0.6484
DIAMONDS ACE DIAMONDS JACK,0.2926,0.0046,0.7028
CLUBS TWO CLUBS QUEEN,0.2458,0.0322,0.722
CLUBS JACK CLUBS EIGHT,0.2974,0.0164,0.6862
SPADES FOUR SPADES THREE,0.443,0.1062,0.4508
SPADES KING SPADES EIGHT,0.2978,0.0048,0.6974
SPADES EIGHT SPADES TWO,0.2216,0.1444,0.634
SPADES TWO HEARTS NINE,0.2312,0.106,0.6628
HEARTS ACE CLUBS QUEEN,0.3088,0.0052,0.686
CLUBS TEN HEARTS THREE,0.3704,0.03,0.5996
SPADES KING SPADES THREE,0.3402,0.0076,0.6522
HEARTS EIGHT DIAMONDS ACE,0.2896,0.0046,0.7058
HEARTS EIGHT DIAMONDS FOUR,0.3372,0.07,0.5928
CLUBS EIGHT SPADES SEVEN,0.2262,0.141,0.6328
HEARTS THREE CLUBS KING,0.3554,0.009,0.6356
HEARTS EIGHT CLUBS FOUR,0.3238,0.0734,0.6028
HEARTS TWO SPADES EIGHT,0.2434,0.138,0.6186
DIAMONDS EIGHT DIAMONDS SIX,0.2986,0.0632,0.6382
CLUBS NINE DIAMONDS FIVE,0.3248,0.0434,0.6318
SPADES SIX DIAMONDS NINE,0.3262,0.0394,0.6344
DIAMONDS FOUR SPADES TEN,0.3372,0.0272,0.6356
DIAMONDS ACE SPADES SEVEN,0.2076,0.0264,0.766
SPADES KING HEARTS JACK,0.3144,0.0074,0.6782
CLUBS FOUR CLUBS QUEEN,0.3344,0.0134,0.6522
CLUBS TEN CLUBS SIX,0.3192,0.029,0.6518
SPADES JACK CLUBS FIVE,0.3466,0.021,0.6324
HEARTS EIGHT SPADES EIGHT,0.1148,0.0834,0.8018
CLUBS SEVEN HEARTS QUEEN,0.2158,0.0516,0.7326
SPADES TEN SPADES FOUR,0.3202,0.027,0.6528
HEARTS TWO SPADES SEVEN,0.0204,0.9688,0.0108
SPADES QUEEN SPADES NINE,0.292,0.0136,0.6944
SPADES FOUR CLUBS ACE,0.3434,0.0046,0.652
DIAMONDS THREE CLUBS FIVE,0.4824,0.1112,0.4064
CLUBS TEN CLUBS QUEEN,0.2954,0.0096,0.695
SPADES KING DIAMONDS THREE,0.3518,0.009,0.6392
DIAMONDS KING SPADES THREE,0.3634,0.0122,0.6244
SPADES QUEEN DIAMONDS ACE,0.3232,0.0042,0.6726
HEARTS TWO CLUBS QUEEN,0.242,0.0372,0.7208
CLUBS EIGHT DIAMONDS FIVE,0.3278,0.0698,0.6024
DIAMONDS SEVEN HEARTS TEN,0.2104,0.0882,0.7014
HEARTS ACE HEARTS NINE,0.3004,0.0044,0.6952
DIAMONDS NINE HEARTS NINE,0.1078,0.0682,0.824
SPADES FOUR DIAMONDS SEVEN,0.1974,0.5028,0.2998
SPADES FOUR DIAMONDS EIGHT,0.3336,0.0692,0.5972
CLUBS JACK CLUBS TEN,0.2842,0.0128,0.703
DIAMONDS QUEEN DIAMONDS NINE,0.301,0.0116,0.6874
DIAMONDS ACE SPADES TWO,0.2374,0.011,0.7516
CLUBS NINE SPADES NINE,0.136,0.0634,0.8006
CLUBS EIGHT SPADES TWO,0.2364,0.1472,0.6164
DIAMONDS FOUR CLUBS ACE,0.3314,0.0036,0.665
CLUBS FOUR SPADES SIX,0.4762,0.1034,0.4204
SPADES FOUR DIAMONDS TEN,0.3408,0.0256,0.6336
CLUBS THREE DIAMONDS QUEEN,0.358,0.0132,0.6288
CLUBS SIX HEARTS QUEEN,0.3382,0.0142,0.6476
HEARTS SIX CLUBS NINE,0.333,0.0414,0.6256
SPADES TEN CLUBS FOUR,0.3526,0.03,0.6174
DIAMONDS ACE SPADES SIX,0.3444,0.0054,0.6502
CLUBS JACK SPADES TWO,0.2528,0.056,0.6912
SPADES TEN DIAMONDS EIGHT,0.3036,0.0258,0.6706
