opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN HEARTS TEN
CLUBS SIX DIAMONDS EIGHT,0.626,0.0234,0.3506
HEARTS ACE DIAMONDS NINE,0.4096,0.0046,0.5858
SPADES NINE CLUBS KING,0.4068,0.0046,0.5886
HEARTS KING HEARTS NINE,0.3552,0.0072,0.6376
CLUBS NINE SPADES JACK,0.3812,0.014,0.6048
DIAMONDS EIGHT CLUBS ACE,0.41,0.0042,0.5858
CLUBS THREE DIAMONDS SEVEN,0.6874,0.0748,0.2378
CLUBS SIX CLUBS THREE,0.627,0.0254,0.3476
SPADES QUEEN DIAMONDS ACE,0.3764,0.0056,0.618
HEARTS QUEEN HEARTS EIGHT,0.3532,0.0084,0.6384
DIAMONDS THREE SPADES EIGHT,0.6618,0.026,0.3122
CLUBS EIGHT SPADES THREE,0.6466,0.0276,0.3258
HEARTS FOUR HEARTS THREE,0.6332,0.0232,0.3436
CLUBS NINE DIAMONDS EIGHT,0.597,0.0234,0.3796
SPADES ACE DIAMONDS TWO,0.4548,0.0058,0.5394
CLUBS FOUR SPADES FOUR,0.4502,0.0516,0.4982
SPADES JACK DIAMONDS FOUR,0.445,0.02,0.535
SPADES TEN DIAMONDS NINE,0.2696,0.1672,0.5632
DIAMONDS JACK DIAMONDS NINE,0.3526,0.0162,0.6312
SPADES FIVE HEARTS KING,0.4362,0.0098,0.554
CLUBS NINE SPADES NINE,0.3202,0.0394,0.6404
CLUBS FIVE DIAMONDS SEVEN,0.693,0.076,0.231
DIAMONDS KING SPADES FIVE,0.4566,0.0068,0.5366
CLUBS JACK DIAMONDS SEVEN,0.2972,0.0566,0.6462
CLUBS EIGHT DIAMONDS FIVE,0.6278,0.0262,0.346
CLUBS SIX DIAMONDS QUEEN,0.4368,0.011,0.5522
CLUBS TWO SPADES THREE,0.6554,0.0296,0.315
SPADES EIGHT HEARTS ACE,0.4094,0.0048,0.5858
HEARTS THREE SPADES FOUR,0.6458,0.0284,0.3258
SPADES EIGHT SPADES THREE,0.6238,0.0226,0.3536
SPADES TEN HEARTS NINE,0.2552,0.1642,0.5806
SPADES ACE DIAMONDS KING,0.3822,0.0042,0.6136
SPADES KING SPADES TWO,0.4538,0.008,0.5382
DIAMONDS TWO CLUBS EIGHT,0.66,0.0286,0.3114
SPADES SIX SPADES TWO,0.631,0.0244,0.3446
DIAMONDS JACK DIAMONDS FIVE,0.4356,0.0164,0.548
SPADES ACE CLUBS KING,0.3884,0.0036,0.608
CLUBS NINE HEARTS JACK,0.377,0.0166,0.6064
HEARTS SIX CLUBS TWO,0.6656,0.0284,0.306
CLUBS NINE SPADES FOUR,0.6586,0.0242,0.3172
DIAMONDS QUEEN CLUBS TWO,0.4748,0.0102,0.515
DIAMONDS JACK DIAMONDS FOUR,0.4194,0.0158,0.5648
SPADES NINE CLUBS FIVE,0.6498,0.0256,0.3246
CLUBS SIX DIAMONDS ACE,0.4498,0.003,0.5472
HEARTS FIVE DIAMONDS SEVEN,0.6668,0.0822,0.251
SPADES ACE SPADES THREE,0.4322,0.004,0.5638
SPADES TEN HEARTS EIGHT,0.2614,0.2124,0.5262
HEARTS KING DIAMONDS SEVEN,0.2844,0.0366,0.679
SPADES QUEEN SPADES JACK,0.3492,0.0112,0.6396
HEARTS THREE DIAMONDS TEN,0.5116,0.2854,0.203
CLUBS TWO DIAMONDS NINE,0.655,0.0246,0.3204
CLUBS TWO HEARTS QUEEN,0.44,0.0126,0.5474
HEARTS SIX DIAMONDS SIX,0.434,0.0508,0.5152
DIAMONDS KING DIAMONDS TEN,0.2806,0.031,0.6884
CLUBS JACK HEARTS EIGHT,0.3858,0.0162,0.598
SPADES ACE SPADES SIX,0.4336,0.0034,0.563
SPADES KING HEARTS TWO,0.458,0.007,0.535
HEARTS FOUR DIAMONDS FIVE,0.6204,0.028,0.3516
CLUBS NINE DIAMONDS QUEEN,0.3904,0.0098,0.5998
CLUBS JACK DIAMONDS ACE,0.3922,0.0036,0.6042
SPADES TEN HEARTS JACK,0.274,0.053,0.673
CLUBS NINE CLUBS SIX,0.604,0.0226,0.3734
DIAMONDS ACE DIAMONDS NINE,0.397,0.004,0.599
SPADES JACK SPADES FOUR,0.4232,0.0178,0.559
HEARTS SIX DIAMONDS THREE,0.6566,0.03,0.3134
HEARTS KING DIAMONDS FOUR,0.4478,0.0074,0.5448
CLUBS EIGHT CLUBS FOUR,0.6096,0.0234,0.367
SPADES ACE DIAMONDS SEVEN,0.3036,0.0222,0.6742
HEARTS THREE HEARTS EIGHT,0.645,0.0268,0.3282
SPADES KING SPADES FIVE,0.4208,0.0082,0.571
HEARTS FIVE SPADES QUEEN,0.456,0.012,0.532
DIAMONDS ACE CLUBS THREE,0.4506,0.0058,0.5436
HEARTS SIX DIAMONDS EIGHT,0.6172,0.0268,0.356
DIAMONDS TEN DIAMONDS FIVE,0.4794,0.2632,0.2574
CLUBS SEVEN DIAMONDS SIX,0.6728,0.0792,0.248
HEARTS TWO DIAMONDS FIVE,0.6406,0.0294,0.33
SPADES EIGHT DIAMONDS FOUR,0.6452,0.023,0.3318
CLUBS EIGHT DIAMONDS NINE,0.5902,0.0228,0.387
SPADES JACK CLUBS FIVE,0.4614,0.014,0.5246
CLUBS SEVEN DIAMONDS EIGHT,0.6656,0.072,0.2624
DIAMONDS QUEEN SPADES TWO,0.4648,0.0136,0.5216
CLUBS THREE CLUBS KING,0.4506,0.009,0.5404
CLUBS TEN CLUBS FOUR,0.4944,0.2556,0.25
SPADES ACE CLUBS TEN,0.3002,0.02,0.6798
SPADES TEN HEARTS TWO,0.515,0.2766,0.2084
SPADES SIX CLUBS QUEEN,0.4476,0.0124,0.54
HEARTS FOUR HEARTS QUEEN,0.397,0.0094,0.5936
HEARTS SIX SPADES SEVEN,0.6622,0.078,0.2598
HEARTS FOUR HEARTS EIGHT,0.6516,0.0276,0.3208
DIAMONDS THREE CLUBS KING,0.4582,0.007,0.5348
SPADES FOUR HEARTS NINE,0.6546,0.025,0.3204
CLUBS TEN DIAMONDS TWO,0.5148,0.2794,0.2058
DIAMONDS TWO DIAMONDS TEN,0.4774,0.2686,0.254
HEARTS KING DIAMONDS FIVE,0.4436,0.0088,0.5476
DIAMONDS TWO DIAMONDS QUEEN,0.4306,0.0106,0.5588
CLUBS TEN DIAMONDS FOUR,0.5054,0.2714,0.2232
HEARTS FOUR CLUBS SEVEN,0.6766,0.0764,0.247
CLUBS SEVEN SPADES EIGHT,0.6718,0.0744,0.2538
HEARTS THREE DIAMONDS KING,0.4518,0.0078,0.5404
DIAMONDS KING DIAMONDS EIGHT,0.4048,0.0058,0.5894
SPADES EIGHT DIAMONDS NINE,0.5864,0.0194,0.3942
SPADES SEVEN SPADES FOUR,0.6474,0.0724,0.2802
CLUBS NINE SPADES TEN,0.2742,0.162,0.5638
SPADES SIX DIAMONDS FIVE,0.6304,0.0268,0.3428
HEARTS FOUR SPADES SEVEN,0.668,0.0812,0.2508
DIAMONDS QUEEN HEARTS QUEEN,0.1922,0.0174,0.7904
HEARTS KING DIAMONDS SIX,0.4412,0.0074,0.5514
DIAMONDS KING SPADES SIX,0.4362,0.0074,0.5564
CLUBS TEN SPADES TWO,0.5216,0.2756,0.2028
HEARTS FOUR CLUBS THREE,0.6392,0.0338,0.327
SPADES NINE DIAMONDS JACK,0.39,0.0132,0.5968
SPADES SIX DIAMONDS NINE,0.6256,0.025,0.3494
CLUBS SIX SPADES EIGHT,0.6366,0.0198,0.3436
SPADES KING HEARTS JACK,0.3574,0.0052,0.6374
DIAMONDS FIVE HEARTS EIGHT,0.6364,0.0292,0.3344
HEARTS FIVE DIAMONDS TEN,0.4988,0.2946,0.2066
SPADES JACK SPADES FIVE,0.4354,0.0172,0.5474
CLUBS SEVEN SPADES FOUR,0.7032,0.0732,0.2236
SPADES QUEEN DIAMONDS NINE,0.4004,0.0104,0.5892
CLUBS EIGHT SPADES TWO,0.6606,0.024,0.3154
HEARTS KING DIAMONDS EIGHT,0.402,0.0102,0.5878
DIAMONDS TWO SPADES EIGHT,0.6674,0.026,0.3066
HEARTS FIVE HEARTS QUEEN,0.3942,0.0124,0.5934
SPADES SEVEN SPADES SIX,0.6238,0.0728,0.3034
SPADES TEN CLUBS THREE,0.5004,0.2842,0.2154
HEARTS THREE SPADES SIX,0.6496,0.0308,0.3196
DIAMONDS THREE CLUBS TWO,0.6522,0.0266,0.3212
SPADES SEVEN CLUBS QUEEN,0.3314,0.0412,0.6274
SPADES SIX HEARTS JACK,0.439,0.0196,0.5414
CLUBS TEN SPADES FIVE,0.515,0.281,0.204
HEARTS QUEEN CLUBS ACE,0.3826,0.0048,0.6126
CLUBS FIVE SPADES FIVE,0.4566,0.0524,0.491
CLUBS SEVEN HEARTS ACE,0.2922,0.022,0.6858
CLUBS TWO DIAMONDS FIVE,0.6502,0.0268,0.323
HEARTS ACE HEARTS EIGHT,0.3624,0.0056,0.632
DIAMONDS TWO CLUBS QUEEN,0.47,0.0118,0.5182
HEARTS SIX DIAMONDS ACE,0.4414,0.0068,0.5518
HEARTS TWO SPADES EIGHT,0.6674,0.0244,0.3082
SPADES SIX CLUBS ACE,0.4656,0.0032,0.5312
HEARTS TWO DIAMONDS TEN,0.5082,0.2854,0.2064
SPADES KING DIAMONDS TEN,0.2976,0.0286,0.6738
DIAMONDS TWO HEARTS KING,0.4376,0.0082,0.5542
SPADES TEN CLUBS FOUR,0.5166,0.2744,0.209
DIAMONDS TWO HEARTS ACE,0.444,0.0044,0.5516
SPADES TWO DIAMONDS FOUR,0.6482,0.0274,0.3244
DIAMONDS QUEEN CLUBS ACE,0.3656,0.0042,0.6302
HEARTS FIVE SPADES TWO,0.6648,0.0244,0.3108
DIAMONDS THREE HEARTS ACE,0.447,0.0054,0.5476
SPADES KING CLUBS EIGHT,0.4362,0.005,0.5588
HEARTS THREE SPADES TWO,0.6642,0.0248,0.311
CLUBS ACE CLUBS KING,0.37,0.0042,0.6258
CLUBS THREE HEARTS EIGHT,0.6612,0.0256,0.3132
CLUBS FOUR SPADES THREE,0.6324,0.0286,0.339
CLUBS FOUR SPADES FIVE,0.628,0.024,0.348
CLUBS FOUR DIAMONDS EIGHT,0.6456,0.028,0.3264
DIAMONDS EIGHT HEARTS NINE,0.5822,0.0292,0.3886
HEARTS THREE DIAMONDS FOUR,0.633,0.027,0.34
DIAMONDS QUEEN HEARTS KING,0.3636,0.0072,0.6292
HEARTS FOUR CLUBS EIGHT,0.6394,0.024,0.3366
SPADES EIGHT SPADES FOUR,0.6128,0.0228,0.3644
CLUBS NINE HEARTS KING,0.3928,0.0048,0.6024
DIAMONDS TEN HEARTS QUEEN,0.2722,0.0426,0.6852
HEARTS FOUR HEARTS JACK,0.3998,0.0186,0.5816
HEARTS SIX HEARTS FIVE,0.624,0.0278,0.3482
HEARTS SIX DIAMONDS SEVEN,0.6478,0.0914,0.2608
HEARTS THREE SPADES THREE,0.4538,0.055,0.4912
SPADES ACE SPADES FOUR,0.4228,0.0046,0.5726
DIAMONDS SIX HEARTS NINE,0.6412,0.0254,0.3334
HEARTS TWO DIAMONDS KING,0.4526,0.0074,0.54
SPADES ACE CLUBS QUEEN,0.3974,0.005,0.5976
SPADES ACE SPADES TWO,0.4346,0.0052,0.5602
CLUBS NINE DIAMONDS NINE,0.3256,0.035,0.6394
SPADES JACK SPADES THREE,0.4266,0.0146,0.5588
CLUBS SEVEN CLUBS TWO,0.6726,0.0766,0.2508
DIAMONDS QUEEN DIAMONDS FIVE,0.4292,0.0106,0.5602
DIAMONDS KING CLUBS THREE,0.4628,0.0088,0.5284
SPADES TWO DIAMONDS FIVE,0.6548,0.0276,0.3176
DIAMONDS JACK DIAMONDS TEN,0.276,0.0514,0.6726
SPADES NINE CLUBS THREE,0.6518,0.0254,0.3228
CLUBS KING DIAMONDS FIVE,0.4452,0.0072,0.5476
CLUBS SEVEN DIAMONDS FIVE,0.672,0.0774,0.2506
CLUBS TEN DIAMONDS ACE,0.3018,0.0236,0.6746
CLUBS SEVEN HEARTS KING,0.2964,0.0298,0.6738
CLUBS SEVEN SPADES NINE,0.6864,0.0808,0.2328
SPADES QUEEN CLUBS NINE,0.412,0.013,0.575
SPADES ACE CLUBS TWO,0.4536,0.004,0.5424
HEARTS TWO SPADES THREE,0.656,0.028,0.316
CLUBS SEVEN CLUBS KING,0.2974,0.0324,0.6702
SPADES QUEEN DIAMONDS FIVE,0.4448,0.0112,0.544
SPADES ACE DIAMONDS TEN,0.3032,0.0206,0.6762
CLUBS NINE SPADES TWO,0.6548,0.0264,0.3188
DIAMONDS EIGHT SPADES TWO,0.6656,0.0244,0.31
HEARTS TWO HEARTS ACE,0.3978,0.0066,0.5956
CLUBS TEN DIAMONDS EIGHT,0.2694,0.2182,0.5124
HEARTS KING HEARTS EIGHT,0.3696,0.0074,0.623
CLUBS NINE SPADES EIGHT,0.5838,0.0236,0.3926
SPADES THREE DIAMONDS SEVEN,0.6926,0.078,0.2294
SPADES JACK CLUBS ACE,0.3982,0.0036,0.5982
DIAMONDS ACE HEARTS EIGHT,0.4058,0.0044,0.5898
HEARTS SIX DIAMONDS FIVE,0.6214,0.0244,0.3542
SPADES TEN CLUBS SEVEN,0.0728,0.904,0.0232
SPADES SEVEN SPADES FIVE,0.6496,0.0734,0.277
SPADES SIX HEARTS KING,0.4388,0.0062,0.555
SPADES QUEEN CLUBS FOUR,0.4624,0.0138,0.5238
DIAMONDS ACE CLUBS ACE,0.2078,0.003,0.7892
HEARTS THREE DIAMONDS NINE,0.6538,0.0288,0.3174
SPADES ACE SPADES QUEEN,0.376,0.0032,0.6208
SPADES TEN CLUBS QUEEN,0.288,0.0458,0.6662
CLUBS JACK SPADES EIGHT,0.3924,0.0162,0.5914
CLUBS JACK HEARTS KING,0.3628,0.0062,0.631
SPADES ACE HEARTS SIX,0.4256,0.0038,0.5706
SPADES KING CLUBS SIX,0.4526,0.006,0.5414
HEARTS FIVE CLUBS NINE,0.6442,0.0252,0.3306
CLUBS EIGHT CLUBS SIX,0.5936,0.0246,0.3818
