opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN SPADES QUEEN
DIAMONDS ACE CLUBS KING,0.3332,0.004,0.6628
HEARTS QUEEN CLUBS JACK,0.2324,0.0928,0.6748
SPADES KING HEARTS NINE,0.3282,0.0066,0.6652
SPADES ACE DIAMONDS FIVE,0.3794,0.004,0.6166
SPADES KING SPADES FOUR,0.3714,0.0062,0.6224
HEARTS ACE CLUBS JACK,0.3322,0.0034,0.6644
HEARTS SIX HEARTS JACK,0.5892,0.0122,0.3986
HEARTS KING DIAMONDS EIGHT,0.3582,0.0072,0.6346
DIAMONDS QUEEN DIAMONDS JACK,0.2282,0.0916,0.6802
SPADES SIX DIAMONDS EIGHT,0.6006,0.0094,0.39
CLUBS THREE HEARTS NINE,0.6176,0.0094,0.373
HEARTS FIVE DIAMONDS ACE,0.3888,0.0044,0.6068
SPADES TEN DIAMONDS EIGHT,0.5754,0.012,0.4126
CLUBS FIVE SPADES THREE,0.6274,0.0156,0.357
HEARTS SIX DIAMONDS TEN,0.627,0.0102,0.3628
CLUBS TWO HEARTS EIGHT,0.631,0.0126,0.3564
SPADES NINE HEARTS ACE,0.3628,0.0032,0.634
CLUBS TEN CLUBS FIVE,0.5854,0.0112,0.4034
SPADES JACK DIAMONDS KING,0.3426,0.0068,0.6506
DIAMONDS QUEEN CLUBS KING,0.2292,0.0254,0.7454
HEARTS KING DIAMONDS FIVE,0.389,0.0044,0.6066
DIAMONDS KING DIAMONDS JACK,0.3218,0.0052,0.673
SPADES JACK HEARTS QUEEN,0.223,0.0884,0.6886
SPADES EIGHT SPADES SEVEN,0.6374,0.045,0.3176
CLUBS SEVEN DIAMONDS FOUR,0.7086,0.0482,0.2432
CLUBS SEVEN DIAMONDS JACK,0.7186,0.0402,0.2412
CLUBS FIVE DIAMONDS QUEEN,0.4644,0.3038,0.2318
SPADES ACE CLUBS SEVEN,0.2278,0.0246,0.7476
SPADES JACK CLUBS FOUR,0.6378,0.0112,0.351
SPADES EIGHT SPADES THREE,0.6028,0.0112,0.386
CLUBS SEVEN CLUBS JACK,0.6718,0.0424,0.2858
HEARTS FOUR CLUBS THREE,0.634,0.0124,0.3536
CLUBS ACE HEARTS EIGHT,0.355,0.0028,0.6422
HEARTS SIX CLUBS KING,0.3792,0.005,0.6158
CLUBS FIVE DIAMONDS JACK,0.6196,0.0106,0.3698
HEARTS THREE CLUBS FOUR,0.6338,0.0122,0.354
HEARTS THREE HEARTS JACK,0.5924,0.0122,0.3954
HEARTS FIVE HEARTS THREE,0.601,0.0152,0.3838
SPADES JACK CLUBS EIGHT,0.5752,0.0108,0.414
HEARTS SIX DIAMONDS NINE,0.6074,0.0116,0.381
CLUBS SIX HEARTS TWO,0.6628,0.0118,0.3254
SPADES ACE SPADES FOUR,0.3704,0.0042,0.6254
CLUBS TEN CLUBS KING,0.3208,0.006,0.6732
SPADES ACE HEARTS SIX,0.3936,0.0062,0.6002
HEARTS SIX DIAMONDS FIVE,0.6148,0.014,0.3712
DIAMONDS TWO DIAMONDS QUEEN,0.464,0.2754,0.2606
CLUBS KING DIAMONDS FIVE,0.3904,0.0056,0.604
HEARTS SIX DIAMONDS FOUR,0.6338,0.0118,0.3544
SPADES ACE CLUBS KING,0.3198,0.0048,0.6754
DIAMONDS TWO SPADES FOUR,0.6394,0.016,0.3446
CLUBS EIGHT SPADES SEVEN,0.6578,0.0408,0.3014
DIAMONDS JACK DIAMONDS EIGHT,0.5402,0.0066,0.4532
SPADES JACK HEARTS FOUR,0.6414,0.0108,0.3478
DIAMONDS SEVEN CLUBS JACK,0.6976,0.0412,0.2612
CLUBS FIVE SPADES TWO,0.6392,0.0138,0.347
CLUBS ACE DIAMONDS SIX,0.387,0.0018,0.6112
DIAMONDS THREE CLUBS TWO,0.6468,0.0134,0.3398
CLUBS EIGHT HEARTS THREE,0.641,0.011,0.348
HEARTS JACK HEARTS TEN,0.52,0.0076,0.4724
HEARTS THREE HEARTS ACE,0.3708,0.005,0.6242
DIAMONDS ACE HEARTS TEN,0.3498,0.0036,0.6466
SPADES EIGHT DIAMONDS FOUR,0.6186,0.0104,0.371
SPADES EIGHT CLUBS JACK,0.5844,0.0098,0.4058
HEARTS SIX DIAMONDS QUEEN,0.4646,0.3154,0.22
HEARTS FOUR DIAMONDS FIVE,0.6068,0.013,0.3802
DIAMONDS ACE DIAMONDS FIVE,0.369,0.0038,0.6272
DIAMONDS QUEEN DIAMONDS NINE,0.216,0.1508,0.6332
DIAMONDS JACK HEARTS QUEEN,0.2394,0.0902,0.6704
CLUBS TWO DIAMONDS SIX,0.6472,0.0116,0.3412
DIAMONDS THREE CLUBS ACE,0.3848,0.002,0.6132
HEARTS KING DIAMONDS SEVEN,0.2408,0.0342,0.725
HEARTS FIVE HEARTS NINE,0.5928,0.0124,0.3948
HEARTS THREE DIAMONDS NINE,0.638,0.01,0.352
SPADES NINE CLUBS QUEEN,0.2298,0.1796,0.5906
HEARTS THREE DIAMONDS QUEEN,0.4704,0.3072,0.2224
DIAMONDS THREE CLUBS KING,0.3962,0.007,0.5968
DIAMONDS EIGHT DIAMONDS FOUR,0.6014,0.0104,0.3882
SPADES TEN CLUBS JACK,0.542,0.0078,0.4502
CLUBS SEVEN DIAMONDS SIX,0.6608,0.0448,0.2944
SPADES ACE SPADES NINE,0.3384,0.0044,0.6572
SPADES SIX SPADES FOUR,0.5982,0.0122,0.3896
SPADES ACE DIAMONDS SIX,0.3828,0.004,0.6132
HEARTS FIVE DIAMONDS JACK,0.6292,0.0112,0.3596
SPADES KING CLUBS SEVEN,0.2308,0.0322,0.737
SPADES JACK CLUBS JACK,0.29,0.0114,0.6986
CLUBS SEVEN SPADES TWO,0.7254,0.0502,0.2244
SPADES NINE DIAMONDS SIX,0.6234,0.0092,0.3674
SPADES TEN HEARTS TWO,0.6376,0.0134,0.349
SPADES SEVEN DIAMONDS NINE,0.6916,0.0376,0.2708
HEARTS TWO DIAMONDS FIVE,0.6334,0.0124,0.3542
CLUBS FOUR SPADES THREE,0.6322,0.0112,0.3566
HEARTS TWO CLUBS THREE,0.6424,0.0132,0.3444
DIAMONDS EIGHT DIAMONDS FIVE,0.5714,0.0112,0.4174
SPADES KING DIAMONDS TEN,0.3328,0.006,0.6612
CLUBS EIGHT DIAMONDS ACE,0.3544,0.003,0.6426
CLUBS SIX SPADES EIGHT,0.598,0.013,0.389
SPADES TEN DIAMONDS QUEEN,0.2304,0.1212,0.6484
CLUBS FOUR CLUBS QUEEN,0.4396,0.2762,0.2842
CLUBS SIX DIAMONDS SIX,0.4174,0.0212,0.5614
HEARTS FIVE SPADES EIGHT,0.6186,0.0126,0.3688
CLUBS SEVEN DIAMONDS KING,0.2356,0.0374,0.727
SPADES TWO CLUBS JACK,0.6366,0.0136,0.3498
DIAMONDS TWO HEARTS ACE,0.396,0.006,0.598
HEARTS JACK DIAMONDS FIVE,0.6244,0.011,0.3646
CLUBS FOUR CLUBS JACK,0.5998,0.0064,0.3938
CLUBS SIX DIAMONDS TEN,0.6234,0.0108,0.3658
SPADES FOUR DIAMONDS EIGHT,0.6078,0.013,0.3792
DIAMONDS THREE HEARTS TWO,0.6536,0.014,0.3324
SPADES ACE HEARTS ACE,0.1108,0.004,0.8852
CLUBS ACE DIAMONDS SEVEN,0.243,0.0244,0.7326
SPADES JACK CLUBS SIX,0.6278,0.01,0.3622
SPADES EIGHT HEARTS ACE,0.3604,0.0044,0.6352
HEARTS TWO DIAMONDS ACE,0.4038,0.0052,0.591
HEARTS SIX SPADES TWO,0.6694,0.014,0.3166
HEARTS KING CLUBS JACK,0.337,0.008,0.655
HEARTS FOUR DIAMONDS NINE,0.6308,0.0122,0.357
SPADES THREE DIAMONDS NINE,0.6302,0.0128,0.357
SPADES KING HEARTS THREE,0.3994,0.01,0.5906
HEARTS FIVE HEARTS EIGHT,0.5594,0.0116,0.429
DIAMONDS NINE DIAMONDS SIX,0.5644,0.0086,0.427
CLUBS EIGHT CLUBS ACE,0.334,0.0036,0.6624
SPADES KING SPADES TEN,0.3194,0.0058,0.6748
DIAMONDS KING DIAMONDS SIX,0.3546,0.0074,0.638
DIAMONDS THREE DIAMONDS QUEEN,0.4354,0.2858,0.2788
CLUBS FOUR SPADES SIX,0.6312,0.0134,0.3554
SPADES FIVE DIAMONDS NINE,0.6222,0.01,0.3678
CLUBS THREE DIAMONDS SIX,0.6306,0.0132,0.3562
DIAMONDS TWO CLUBS KING,0.4086,0.0072,0.5842
SPADES TEN DIAMONDS JACK,0.5502,0.0092,0.4406
HEARTS FIVE DIAMONDS FOUR,0.607,0.0158,0.3772
DIAMONDS ACE DIAMONDS JACK,0.318,0.0034,0.6786
SPADES ACE HEARTS JACK,0.3476,0.0038,0.6486
DIAMONDS THREE SPADES KING,0.393,0.007,0.6
CLUBS NINE HEARTS NINE,0.2986,0.0214,0.68
HEARTS TWO CLUBS JACK,0.646,0.01,0.344
CLUBS SIX DIAMONDS KING,0.39,0.005,0.605
CLUBS THREE CLUBS QUEEN,0.4422,0.2812,0.2766
DIAMONDS ACE HEARTS KING,0.3182,0.0044,0.6774
HEARTS SIX DIAMONDS EIGHT,0.5992,0.0102,0.3906
DIAMONDS FIVE HEARTS EIGHT,0.6114,0.008,0.3806
HEARTS QUEEN DIAMONDS EIGHT,0.22,0.2312,0.5488
HEARTS SIX HEARTS FOUR,0.59,0.013,0.397
SPADES KING DIAMONDS TWO,0.4012,0.0082,0.5906
SPADES EIGHT HEARTS KING,0.3486,0.0086,0.6428
HEARTS TWO DIAMONDS QUEEN,0.4822,0.3084,0.2094
SPADES ACE CLUBS NINE,0.3566,0.0038,0.6396
HEARTS FOUR CLUBS JACK,0.629,0.011,0.36
SPADES ACE DIAMONDS EIGHT,0.3562,0.006,0.6378
SPADES KING CLUBS FIVE,0.3806,0.0088,0.6106
CLUBS SIX CLUBS QUEEN,0.4444,0.2896,0.266
DIAMONDS FIVE DIAMONDS FOUR,0.571,0.0134,0.4156
SPADES FOUR SPADES THREE,0.5942,0.0124,0.3934
CLUBS SIX CLUBS THREE,0.5998,0.0106,0.3896
SPADES KING DIAMONDS FOUR,0.3966,0.0098,0.5936
DIAMONDS KING SPADES SIX,0.3974,0.004,0.5986
SPADES SIX DIAMONDS FOUR,0.6266,0.0132,0.3602
DIAMONDS KING DIAMONDS TEN,0.305,0.0094,0.6856
CLUBS TEN SPADES TEN,0.2848,0.014,0.7012
HEARTS TWO SPADES FIVE,0.6536,0.0146,0.3318
HEARTS SIX CLUBS FOUR,0.6276,0.014,0.3584
HEARTS THREE SPADES FIVE,0.6332,0.0146,0.3522
CLUBS SIX DIAMONDS EIGHT,0.5962,0.0102,0.3936
DIAMONDS ACE CLUBS QUEEN,0.2412,0.0152,0.7436
CLUBS SEVEN CLUBS FIVE,0.6288,0.0518,0.3194
CLUBS TWO DIAMONDS NINE,0.6402,0.0092,0.3506
SPADES ACE CLUBS EIGHT,0.3662,0.0048,0.629
SPADES SIX CLUBS JACK,0.636,0.0102,0.3538
CLUBS FIVE DIAMONDS SEVEN,0.677,0.0476,0.2754
SPADES NINE DIAMONDS FOUR,0.634,0.009,0.357
DIAMONDS ACE DIAMONDS QUEEN,0.2084,0.0204,0.7712
SPADES ACE DIAMONDS KING,0.3094,0.0034,0.6872
CLUBS EIGHT SPADES FIVE,0.6106,0.0126,0.3768
SPADES NINE CLUBS KING,0.3518,0.005,0.6432
CLUBS NINE CLUBS TWO,0.6074,0.0126,0.38
SPADES NINE DIAMONDS NINE,0.2926,0.018,0.6894
SPADES FIVE HEARTS KING,0.3858,0.007,0.6072
CLUBS EIGHT CLUBS TWO,0.5832,0.012,0.4048
DIAMONDS KING SPADES FIVE,0.3996,0.008,0.5924
CLUBS ACE HEARTS TEN,0.3284,0.004,0.6676
SPADES TEN CLUBS TWO,0.6328,0.0088,0.3584
HEARTS FOUR HEARTS TEN,0.5904,0.0088,0.4008
DIAMONDS NINE DIAMONDS FIVE,0.5924,0.0116,0.396
CLUBS EIGHT CLUBS SEVEN,0.6286,0.0374,0.334
