opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN SPADES SIX
HEARTS FIVE SPADES TEN,0.427,0.0306,0.5424
SPADES JACK HEARTS FIVE,0.4088,0.0196,0.5716
SPADES FIVE CLUBS JACK,0.428,0.019,0.553
CLUBS TEN SPADES FIVE,0.4198,0.0284,0.5518
CLUBS EIGHT CLUBS JACK,0.3296,0.0148,0.6556
CLUBS TEN CLUBS EIGHT,0.3378,0.0262,0.636
CLUBS EIGHT CLUBS KING,0.3552,0.0068,0.638
SPADES FIVE CLUBS ACE,0.4236,0.0048,0.5716
CLUBS EIGHT CLUBS QUEEN,0.3502,0.009,0.6408
SPADES FIVE CLUBS KING,0.4228,0.0056,0.5716
SPADES FIVE CLUBS QUEEN,0.4136,0.012,0.5744
CLUBS EIGHT CLUBS ACE,0.3474,0.0032,0.6494
DIAMONDS TWO DIAMONDS THREE,0.5274,0.0958,0.3768
DIAMONDS TWO DIAMONDS FIVE,0.5508,0.091,0.3582
SPADES KING HEARTS FIVE,0.413,0.009,0.578
DIAMONDS TWO DIAMONDS FOUR,0.5474,0.0898,0.3628
SPADES QUEEN HEARTS FIVE,0.4276,0.0118,0.5606
DIAMONDS TWO DIAMONDS SEVEN,0.3884,0.3526,0.259
DIAMONDS TWO DIAMONDS SIX,0.539,0.1992,0.2618
SPADES ACE HEARTS FIVE,0.4268,0.004,0.5692
DIAMONDS TWO DIAMONDS NINE,0.4204,0.0394,0.5402
DIAMONDS TWO DIAMONDS EIGHT,0.41,0.063,0.527
DIAMONDS THREE DIAMONDS FOUR,0.5366,0.0954,0.368
SPADES FOUR CLUBS TWO,0.5876,0.0968,0.3156
DIAMONDS THREE DIAMONDS FIVE,0.5442,0.085,0.3708
SPADES FIVE CLUBS TWO,0.5906,0.0934,0.316
CLUBS TWO SPADES TWO,0.4164,0.1068,0.4768
CLUBS TWO SPADES THREE,0.5822,0.0974,0.3204
DIAMONDS THREE DIAMONDS EIGHT,0.4148,0.0648,0.5204
SPADES EIGHT CLUBS TWO,0.4462,0.0588,0.495
DIAMONDS THREE DIAMONDS NINE,0.4048,0.0454,0.5498
SPADES NINE CLUBS TWO,0.4214,0.0432,0.5354
DIAMONDS THREE DIAMONDS SIX,0.5402,0.1794,0.2804
DIAMONDS THREE DIAMONDS SEVEN,0.3874,0.3492,0.2634
SPADES SEVEN CLUBS TWO,0.4102,0.3798,0.21
CLUBS SIX CLUBS TWO,0.5456,0.1872,0.2672
CLUBS SEVEN CLUBS TWO,0.3934,0.35,0.2566
CLUBS FOUR CLUBS TWO,0.5366,0.0942,0.3692
CLUBS FIVE CLUBS TWO,0.5634,0.0884,0.3482
CLUBS TEN CLUBS JACK,0.3268,0.0116,0.6616
DIAMONDS FOUR DIAMONDS SIX,0.5318,0.1864,0.2818
CLUBS TEN CLUBS QUEEN,0.3472,0.0094,0.6434
DIAMONDS FOUR DIAMONDS SEVEN,0.3898,0.3496,0.2606
CLUBS TEN CLUBS KING,0.3358,0.0076,0.6566
CLUBS TEN CLUBS ACE,0.3332,0.0024,0.6644
CLUBS EIGHT CLUBS TWO,0.4164,0.058,0.5256
DIAMONDS FIVE DIAMONDS FOUR,0.54,0.0936,0.3664
CLUBS NINE CLUBS TWO,0.415,0.0354,0.5496
DIAMONDS NINE DIAMONDS FOUR,0.3962,0.046,0.5578
DIAMONDS EIGHT DIAMONDS FOUR,0.3924,0.0632,0.5444
CLUBS THREE CLUBS TWO,0.5524,0.0908,0.3568
DIAMONDS NINE DIAMONDS FIVE,0.3804,0.038,0.5816
DIAMONDS TWO CLUBS JACK,0.4356,0.0178,0.5466
DIAMONDS EIGHT DIAMONDS FIVE,0.381,0.0592,0.5598
CLUBS TEN DIAMONDS TWO,0.4366,0.0292,0.5342
DIAMONDS FIVE DIAMONDS SEVEN,0.3752,0.3598,0.265
DIAMONDS FIVE DIAMONDS SIX,0.5348,0.1874,0.2778
DIAMONDS TWO CLUBS ACE,0.43,0.0028,0.5672
DIAMONDS TWO CLUBS KING,0.442,0.0086,0.5494
DIAMONDS TWO CLUBS QUEEN,0.4362,0.011,0.5528
DIAMONDS EIGHT DIAMONDS SIX,0.2416,0.1402,0.6182
DIAMONDS NINE DIAMONDS SIX,0.2558,0.0922,0.652
HEARTS ACE SPADES THREE,0.431,0.0064,0.5626
SPADES THREE HEARTS KING,0.4264,0.0098,0.5638
DIAMONDS SEVEN DIAMONDS SIX,0.025,0.9054,0.0696
SPADES THREE HEARTS QUEEN,0.4224,0.0116,0.566
