opposingHand,winningChance,drawChance,lostChance
HEARTS SEVEN SPADES THREE
HEARTS FIVE SPADES TEN,0.3582,0.0284,0.6134
SPADES JACK HEARTS FIVE,0.3594,0.0176,0.623
SPADES FIVE CLUBS JACK,0.365,0.0216,0.6134
CLUBS TEN SPADES FIVE,0.3478,0.0306,0.6216
CLUBS EIGHT CLUBS JACK,0.3026,0.0164,0.681
CLUBS TEN CLUBS EIGHT,0.3,0.0248,0.6752
CLUBS EIGHT CLUBS KING,0.322,0.0074,0.6706
SPADES FIVE CLUBS ACE,0.3362,0.006,0.6578
CLUBS EIGHT CLUBS QUEEN,0.3058,0.0112,0.683
SPADES FIVE CLUBS KING,0.3558,0.0112,0.633
SPADES FIVE CLUBS QUEEN,0.3572,0.0142,0.6286
CLUBS EIGHT CLUBS ACE,0.308,0.0034,0.6886
DIAMONDS TWO DIAMONDS THREE,0.5252,0.1942,0.2806
DIAMONDS TWO DIAMONDS FIVE,0.4966,0.1008,0.4026
SPADES KING HEARTS FIVE,0.3594,0.0074,0.6332
DIAMONDS TWO DIAMONDS FOUR,0.489,0.1002,0.4108
SPADES QUEEN HEARTS FIVE,0.3608,0.0146,0.6246
DIAMONDS TWO DIAMONDS SEVEN,0.2602,0.4794,0.2604
DIAMONDS TWO DIAMONDS SIX,0.515,0.1,0.385
SPADES ACE HEARTS FIVE,0.335,0.0046,0.6604
DIAMONDS TWO DIAMONDS NINE,0.3888,0.039,0.5722
DIAMONDS TWO DIAMONDS EIGHT,0.3802,0.0586,0.5612
DIAMONDS THREE DIAMONDS FOUR,0.5024,0.1824,0.3152
CLUBS TWO SPADES FOUR,0.5302,0.106,0.3638
DIAMONDS THREE DIAMONDS FIVE,0.5022,0.1846,0.3132
SPADES FIVE CLUBS TWO,0.5272,0.1126,0.3602
CLUBS TWO SPADES TWO,0.365,0.1274,0.5076
DIAMONDS THREE DIAMONDS EIGHT,0.2344,0.1414,0.6242
SPADES EIGHT CLUBS TWO,0.3888,0.07,0.5412
DIAMONDS THREE DIAMONDS NINE,0.2264,0.1006,0.673
SPADES NINE CLUBS TWO,0.3986,0.048,0.5534
DIAMONDS THREE DIAMONDS SIX,0.5098,0.188,0.3022
SPADES SIX CLUBS TWO,0.539,0.1016,0.3594
DIAMONDS THREE DIAMONDS SEVEN,0.0206,0.9038,0.0756
SPADES SEVEN CLUBS TWO,0.267,0.5184,0.2146
CLUBS SIX CLUBS TWO,0.5054,0.1064,0.3882
CLUBS SEVEN CLUBS TWO,0.2622,0.4652,0.2726
CLUBS FOUR CLUBS TWO,0.4944,0.1102,0.3954
CLUBS FIVE CLUBS TWO,0.5026,0.0928,0.4046
CLUBS TEN CLUBS JACK,0.2976,0.014,0.6884
DIAMONDS FOUR DIAMONDS SIX,0.4512,0.0956,0.4532
CLUBS TEN CLUBS QUEEN,0.3068,0.0102,0.683
DIAMONDS FOUR DIAMONDS SEVEN,0.2024,0.4694,0.3282
CLUBS TEN CLUBS KING,0.2986,0.0072,0.6942
CLUBS TEN CLUBS ACE,0.3146,0.006,0.6794
CLUBS EIGHT CLUBS TWO,0.37,0.07,0.56
DIAMONDS FIVE DIAMONDS FOUR,0.441,0.1082,0.4508
CLUBS NINE CLUBS TWO,0.3648,0.044,0.5912
DIAMONDS NINE DIAMONDS FOUR,0.3302,0.0438,0.626
DIAMONDS EIGHT DIAMONDS FOUR,0.3308,0.065,0.6042
CLUBS THREE CLUBS TWO,0.5318,0.1856,0.2826
DIAMONDS NINE DIAMONDS FIVE,0.3326,0.039,0.6284
DIAMONDS TWO CLUBS JACK,0.3884,0.0214,0.5902
DIAMONDS EIGHT DIAMONDS FIVE,0.3196,0.0672,0.6132
CLUBS TEN DIAMONDS TWO,0.403,0.032,0.565
DIAMONDS FIVE DIAMONDS SEVEN,0.2058,0.4096,0.3846
DIAMONDS FIVE DIAMONDS SIX,0.4676,0.0914,0.441
DIAMONDS TWO CLUBS ACE,0.381,0.0044,0.6146
DIAMONDS TWO CLUBS KING,0.4014,0.0088,0.5898
DIAMONDS TWO CLUBS QUEEN,0.3904,0.0138,0.5958
