opposingHand,winningChance,drawChance,lostChance
HEARTS SIX CLUBS ACE
HEARTS FIVE SPADES TEN,0.6278,0.0044,0.3678
SPADES JACK HEARTS FIVE,0.6396,0.0028,0.3576
SPADES FIVE CLUBS JACK,0.6244,0.0044,0.3712
CLUBS TEN SPADES FIVE,0.6356,0.004,0.3604
CLUBS EIGHT CLUBS JACK,0.5476,0.0038,0.4486
CLUBS TEN CLUBS EIGHT,0.5478,0.0058,0.4464
CLUBS EIGHT CLUBS KING,0.5816,0.0032,0.4152
CLUBS EIGHT CLUBS QUEEN,0.5706,0.004,0.4254
SPADES FIVE CLUBS KING,0.6418,0.0034,0.3548
SPADES FIVE CLUBS QUEEN,0.636,0.0056,0.3584
DIAMONDS TWO DIAMONDS THREE,0.6094,0.0074,0.3832
DIAMONDS TWO DIAMONDS FIVE,0.6058,0.0064,0.3878
SPADES KING HEARTS FIVE,0.6322,0.0026,0.3652
DIAMONDS TWO DIAMONDS FOUR,0.6158,0.0048,0.3794
SPADES QUEEN HEARTS FIVE,0.6356,0.0036,0.3608
DIAMONDS TWO DIAMONDS SEVEN,0.6046,0.0046,0.3908
DIAMONDS TWO DIAMONDS SIX,0.6946,0.0286,0.2768
SPADES ACE HEARTS FIVE,0.3856,0.3742,0.2402
DIAMONDS TWO DIAMONDS NINE,0.6014,0.0066,0.392
DIAMONDS TWO DIAMONDS EIGHT,0.6076,0.0032,0.3892
DIAMONDS THREE DIAMONDS FOUR,0.5968,0.0076,0.3956
CLUBS TWO SPADES FOUR,0.6622,0.005,0.3328
DIAMONDS THREE DIAMONDS FIVE,0.5996,0.0046,0.3958
SPADES FIVE CLUBS TWO,0.6486,0.0044,0.347
CLUBS TWO SPADES TWO,0.4632,0.0062,0.5306
CLUBS TWO SPADES THREE,0.6508,0.0046,0.3446
DIAMONDS THREE DIAMONDS EIGHT,0.608,0.0032,0.3888
SPADES EIGHT CLUBS TWO,0.628,0.0044,0.3676
DIAMONDS THREE DIAMONDS NINE,0.5974,0.0046,0.398
SPADES NINE CLUBS TWO,0.6386,0.005,0.3564
DIAMONDS THREE DIAMONDS SIX,0.668,0.032,0.3
SPADES SIX CLUBS TWO,0.7432,0.0316,0.2252
DIAMONDS THREE DIAMONDS SEVEN,0.5848,0.0044,0.4108
SPADES SEVEN CLUBS TWO,0.642,0.0042,0.3538
CLUBS SIX CLUBS TWO,0.7012,0.028,0.2708
CLUBS SEVEN CLUBS TWO,0.6198,0.0054,0.3748
CLUBS FOUR CLUBS TWO,0.634,0.0056,0.3604
CLUBS FIVE CLUBS TWO,0.626,0.0056,0.3684
CLUBS TEN CLUBS JACK,0.5208,0.0048,0.4744
DIAMONDS FOUR DIAMONDS SIX,0.6448,0.0274,0.3278
CLUBS TEN CLUBS QUEEN,0.5328,0.0052,0.462
DIAMONDS FOUR DIAMONDS SEVEN,0.581,0.0038,0.4152
CLUBS TEN CLUBS KING,0.5452,0.0032,0.4516
CLUBS EIGHT CLUBS TWO,0.6138,0.0046,0.3816
DIAMONDS FIVE DIAMONDS FOUR,0.5824,0.002,0.4156
CLUBS NINE CLUBS TWO,0.6132,0.005,0.3818
DIAMONDS NINE DIAMONDS FOUR,0.5936,0.0052,0.4012
DIAMONDS EIGHT DIAMONDS FOUR,0.5896,0.0058,0.4046
CLUBS THREE CLUBS TWO,0.6158,0.0078,0.3764
DIAMONDS NINE DIAMONDS FIVE,0.5814,0.0044,0.4142
DIAMONDS TWO CLUBS JACK,0.638,0.0066,0.3554
DIAMONDS EIGHT DIAMONDS FIVE,0.5802,0.0048,0.415
CLUBS TEN DIAMONDS TWO,0.6408,0.0036,0.3556
