opposingHand,winningChance,drawChance,lostChance
HEARTS SIX CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.6328,0.0108,0.3564
SPADES JACK HEARTS FIVE,0.636,0.0118,0.3522
SPADES FIVE CLUBS JACK,0.631,0.0128,0.3562
CLUBS TEN SPADES FIVE,0.6354,0.0124,0.3522
CLUBS EIGHT CLUBS JACK,0.5494,0.0124,0.4382
CLUBS TEN CLUBS EIGHT,0.531,0.0092,0.4598
CLUBS EIGHT CLUBS KING,0.3596,0.0072,0.6332
SPADES FIVE CLUBS ACE,0.3876,0.0046,0.6078
SPADES FIVE CLUBS KING,0.3812,0.0074,0.6114
CLUBS EIGHT CLUBS ACE,0.3342,0.0066,0.6592
DIAMONDS TWO DIAMONDS THREE,0.5984,0.0102,0.3914
DIAMONDS TWO DIAMONDS FIVE,0.595,0.012,0.393
SPADES KING HEARTS FIVE,0.3956,0.007,0.5974
DIAMONDS TWO DIAMONDS FOUR,0.6072,0.015,0.3778
SPADES QUEEN HEARTS FIVE,0.3886,0.3926,0.2188
DIAMONDS TWO DIAMONDS SEVEN,0.5878,0.0142,0.398
DIAMONDS TWO DIAMONDS SIX,0.6802,0.042,0.2778
SPADES ACE HEARTS FIVE,0.3764,0.004,0.6196
DIAMONDS TWO DIAMONDS NINE,0.5934,0.0116,0.395
DIAMONDS TWO DIAMONDS EIGHT,0.5928,0.0088,0.3984
DIAMONDS THREE DIAMONDS FOUR,0.5836,0.0162,0.4002
CLUBS TWO SPADES FOUR,0.6452,0.0116,0.3432
DIAMONDS THREE DIAMONDS FIVE,0.5884,0.012,0.3996
SPADES FIVE CLUBS TWO,0.6428,0.015,0.3422
CLUBS TWO SPADES TWO,0.4298,0.0294,0.5408
CLUBS TWO SPADES THREE,0.637,0.0138,0.3492
DIAMONDS THREE DIAMONDS EIGHT,0.596,0.0128,0.3912
SPADES EIGHT CLUBS TWO,0.6314,0.013,0.3556
DIAMONDS THREE DIAMONDS NINE,0.5928,0.0108,0.3964
SPADES NINE CLUBS TWO,0.623,0.0122,0.3648
DIAMONDS THREE DIAMONDS SIX,0.6486,0.0474,0.304
SPADES SIX CLUBS TWO,0.7194,0.0528,0.2278
DIAMONDS THREE DIAMONDS SEVEN,0.5796,0.0126,0.4078
SPADES SEVEN CLUBS TWO,0.6408,0.014,0.3452
CLUBS SIX CLUBS TWO,0.6848,0.0506,0.2646
CLUBS SEVEN CLUBS TWO,0.6074,0.0116,0.381
CLUBS FOUR CLUBS TWO,0.6076,0.0128,0.3796
CLUBS FIVE CLUBS TWO,0.6002,0.0124,0.3874
CLUBS TEN CLUBS JACK,0.5032,0.0122,0.4846
DIAMONDS FOUR DIAMONDS SIX,0.6294,0.0524,0.3182
DIAMONDS FOUR DIAMONDS SEVEN,0.5694,0.009,0.4216
CLUBS TEN CLUBS KING,0.327,0.0062,0.6668
CLUBS TEN CLUBS ACE,0.3282,0.0036,0.6682
CLUBS EIGHT CLUBS TWO,0.5998,0.0116,0.3886
DIAMONDS FIVE DIAMONDS FOUR,0.5644,0.0106,0.425
CLUBS NINE CLUBS TWO,0.5824,0.0148,0.4028
DIAMONDS NINE DIAMONDS FOUR,0.5952,0.0146,0.3902
DIAMONDS EIGHT DIAMONDS FOUR,0.581,0.0116,0.4074
CLUBS THREE CLUBS TWO,0.617,0.0132,0.3698
DIAMONDS NINE DIAMONDS FIVE,0.5832,0.012,0.4048
DIAMONDS TWO CLUBS JACK,0.6318,0.0106,0.3576
DIAMONDS EIGHT DIAMONDS FIVE,0.5638,0.0118,0.4244
CLUBS TEN DIAMONDS TWO,0.6346,0.0092,0.3562
DIAMONDS FIVE DIAMONDS SEVEN,0.5512,0.0128,0.436
DIAMONDS FIVE DIAMONDS SIX,0.6228,0.0484,0.3288
DIAMONDS TWO CLUBS ACE,0.3956,0.0062,0.5982
DIAMONDS TWO CLUBS KING,0.3966,0.007,0.5964
DIAMONDS EIGHT DIAMONDS SIX,0.6456,0.041,0.3134
DIAMONDS NINE DIAMONDS SIX,0.6378,0.0424,0.3198
HEARTS ACE SPADES THREE,0.3852,0.0062,0.6086
SPADES THREE HEARTS KING,0.386,0.0084,0.6056
DIAMONDS SEVEN DIAMONDS SIX,0.6338,0.0418,0.3244
HEARTS QUEEN SPADES THREE,0.3912,0.3874,0.2214
SPADES THREE HEARTS JACK,0.6208,0.0126,0.3666
SPADES THREE HEARTS TEN,0.6204,0.0106,0.369
DIAMONDS EIGHT DIAMONDS SEVEN,0.5286,0.0116,0.4598
DIAMONDS NINE DIAMONDS SEVEN,0.5408,0.0084,0.4508
DIAMONDS NINE DIAMONDS EIGHT,0.5226,0.011,0.4664
DIAMONDS KING HEARTS TEN,0.3364,0.0068,0.6568
HEARTS THREE HEARTS TEN,0.5874,0.0118,0.4008
SPADES JACK CLUBS SIX,0.7266,0.0518,0.2216
DIAMONDS KING HEARTS JACK,0.3264,0.0064,0.6672
HEARTS THREE HEARTS JACK,0.6066,0.0108,0.3826
SPADES TEN CLUBS SIX,0.7064,0.047,0.2466
SPADES JACK SPADES FIVE,0.5902,0.0098,0.4
SPADES TEN SPADES FIVE,0.5874,0.011,0.4016
DIAMONDS KING HEARTS ACE,0.3198,0.003,0.6772
HEARTS THREE HEARTS ACE,0.3718,0.0062,0.622
SPADES ACE CLUBS SIX,0.2336,0.0304,0.736
DIAMONDS KING HEARTS QUEEN,0.227,0.028,0.745
HEARTS THREE HEARTS QUEEN,0.38,0.3646,0.2554
SPADES KING CLUBS SIX,0.2402,0.0426,0.7172
DIAMONDS KING HEARTS KING,0.1436,0.004,0.8524
HEARTS THREE HEARTS KING,0.3886,0.0094,0.602
SPADES QUEEN CLUBS SIX,0.017,0.9694,0.0136
SPADES NINE HEARTS TEN,0.5432,0.008,0.4488
SPADES NINE HEARTS JACK,0.553,0.0104,0.4366
SPADES QUEEN SPADES FIVE,0.3596,0.3622,0.2782
SPADES KING SPADES FIVE,0.3612,0.0066,0.6322
SPADES ACE SPADES FIVE,0.3654,0.0052,0.6294
SPADES NINE HEARTS QUEEN,0.2222,0.1696,0.6082
SPADES NINE HEARTS KING,0.3492,0.0094,0.6414
SPADES NINE HEARTS ACE,0.3614,0.0038,0.6348
CLUBS TEN SPADES JACK,0.5552,0.0098,0.435
CLUBS TEN SPADES TEN,0.2902,0.0134,0.6964
SPADES ACE CLUBS TEN,0.3462,0.005,0.6488
SPADES KING CLUBS TEN,0.3458,0.0044,0.6498
CLUBS TEN SPADES QUEEN,0.2324,0.1212,0.6464
SPADES FIVE HEARTS QUEEN,0.3782,0.3936,0.2282
SPADES FIVE HEARTS KING,0.3808,0.0054,0.6138
HEARTS ACE SPADES FIVE,0.3768,0.0042,0.619
CLUBS EIGHT SPADES TEN,0.5672,0.0134,0.4194
HEARTS THREE SPADES JACK,0.6348,0.0132,0.352
SPADES JACK DIAMONDS KING,0.3486,0.006,0.6454
SPADES TEN DIAMONDS KING,0.346,0.0064,0.6476
HEARTS THREE SPADES TEN,0.6342,0.01,0.3558
SPADES JACK CLUBS EIGHT,0.5742,0.0116,0.4142
CLUBS SIX HEARTS ACE,0.225,0.0292,0.7458
SPADES ACE CLUBS EIGHT,0.368,0.0038,0.6282
HEARTS FIVE CLUBS JACK,0.6424,0.0132,0.3444
CLUBS TEN HEARTS FIVE,0.6416,0.0124,0.346
CLUBS SIX HEARTS QUEEN,0.008,0.9838,0.0082
SPADES QUEEN CLUBS EIGHT,0.2278,0.2192,0.553
CLUBS TEN SPADES THREE,0.6344,0.011,0.3546
CLUBS SIX HEARTS KING,0.2326,0.0446,0.7228
SPADES KING CLUBS EIGHT,0.3542,0.0074,0.6384
SPADES THREE CLUBS JACK,0.634,0.0116,0.3544
DIAMONDS TWO HEARTS JACK,0.6268,0.0136,0.3596
DIAMONDS TWO HEARTS TEN,0.6292,0.0134,0.3574
SPADES THREE CLUBS KING,0.3984,0.0058,0.5958
HEARTS FIVE CLUBS ACE,0.3814,0.0044,0.6142
SPADES FIVE HEARTS TEN,0.6278,0.0106,0.3616
SPADES THREE CLUBS ACE,0.3908,0.005,0.6042
HEARTS FIVE CLUBS KING,0.3842,0.0064,0.6094
SPADES FIVE HEARTS JACK,0.627,0.0098,0.3632
HEARTS THREE CLUBS KING,0.396,0.0062,0.5978
DIAMONDS KING CLUBS KING,0.123,0.0034,0.8736
HEARTS FIVE HEARTS JACK,0.6068,0.0124,0.3808
HEARTS FIVE HEARTS TEN,0.5976,0.0128,0.3896
HEARTS THREE CLUBS ACE,0.3996,0.0054,0.595
DIAMONDS KING CLUBS ACE,0.3198,0.005,0.6752
HEARTS THREE CLUBS JACK,0.6284,0.0114,0.3602
DIAMONDS KING CLUBS JACK,0.3476,0.0076,0.6448
CLUBS TEN HEARTS THREE,0.636,0.0126,0.3514
CLUBS TEN DIAMONDS KING,0.3472,0.0062,0.6466
CLUBS SIX CLUBS KING,0.226,0.0344,0.7396
CLUBS SIX CLUBS ACE,0.2278,0.0286,0.7436
HEARTS FIVE HEARTS KING,0.3746,0.0076,0.6178
HEARTS FIVE HEARTS QUEEN,0.3788,0.3626,0.2586
CLUBS TEN CLUBS SIX,0.682,0.0416,0.2764
HEARTS FIVE HEARTS ACE,0.3728,0.0036,0.6236
CLUBS SIX CLUBS JACK,0.6882,0.0462,0.2656
SPADES SEVEN HEARTS JACK,0.59,0.013,0.397
SPADES SEVEN HEARTS TEN,0.5798,0.0116,0.4086
DIAMONDS TWO CLUBS TWO,0.4352,0.0298,0.535
DIAMONDS TWO CLUBS THREE,0.649,0.0144,0.3366
DIAMONDS TWO HEARTS QUEEN,0.3888,0.39,0.2212
HEARTS SEVEN DIAMONDS TWO,0.6356,0.0132,0.3512
DIAMONDS TWO HEARTS KING,0.3996,0.0088,0.5916
DIAMONDS TWO HEARTS EIGHT,0.6284,0.0138,0.3578
DIAMONDS TWO HEARTS ACE,0.3982,0.0062,0.5956
DIAMONDS TWO HEARTS NINE,0.6284,0.015,0.3566
DIAMONDS TWO DIAMONDS QUEEN,0.3724,0.3636,0.264
DIAMONDS TWO HEARTS TWO,0.4274,0.0306,0.542
DIAMONDS TWO DIAMONDS KING,0.3734,0.009,0.6176
HEARTS THREE DIAMONDS TWO,0.6418,0.012,0.3462
DIAMONDS TWO DIAMONDS ACE,0.3632,0.0056,0.6312
HEARTS FOUR DIAMONDS TWO,0.6354,0.0176,0.347
DIAMONDS TWO HEARTS FIVE,0.6458,0.0108,0.3434
SPADES SEVEN HEARTS ACE,0.358,0.0018,0.6402
DIAMONDS TWO DIAMONDS TEN,0.596,0.0102,0.3938
SPADES SEVEN HEARTS KING,0.3482,0.0072,0.6446
DIAMONDS TWO DIAMONDS JACK,0.5946,0.0112,0.3942
SPADES SEVEN HEARTS QUEEN,0.2198,0.31,0.4702
DIAMONDS TWO SPADES NINE,0.6236,0.0122,0.3642
DIAMONDS TWO SPADES EIGHT,0.624,0.0108,0.3652
DIAMONDS TWO SPADES SEVEN,0.6368,0.0124,0.3508
DIAMONDS TWO SPADES SIX,0.702,0.0562,0.2418
DIAMONDS TWO SPADES FIVE,0.6412,0.0146,0.3442
DIAMONDS TWO SPADES FOUR,0.6368,0.0116,0.3516
DIAMONDS TWO SPADES THREE,0.6458,0.0156,0.3386
DIAMONDS TWO SPADES TWO,0.4432,0.031,0.5258
CLUBS NINE DIAMONDS TWO,0.6214,0.0138,0.3648
DIAMONDS TWO CLUBS EIGHT,0.6388,0.0136,0.3476
CLUBS SEVEN DIAMONDS TWO,0.6508,0.0116,0.3376
DIAMONDS TWO CLUBS SIX,0.7228,0.0528,0.2244
DIAMONDS TWO CLUBS FIVE,0.6436,0.018,0.3384
DIAMONDS TWO CLUBS FOUR,0.6404,0.0126,0.347
CLUBS FOUR SPADES FIVE,0.6172,0.013,0.3698
CLUBS FOUR SPADES FOUR,0.4124,0.0316,0.556
CLUBS FOUR SPADES THREE,0.6352,0.0124,0.3524
CLUBS FOUR SPADES TWO,0.6438,0.0148,0.3414
SPADES NINE CLUBS FOUR,0.64,0.0114,0.3486
SPADES EIGHT CLUBS FOUR,0.6246,0.0128,0.3626
SPADES SEVEN CLUBS FOUR,0.6156,0.012,0.3724
CLUBS FOUR SPADES SIX,0.6838,0.0536,0.2626
SPADES ACE DIAMONDS SIX,0.2336,0.0274,0.739
SPADES QUEEN DIAMONDS SIX,0.0206,0.9572,0.0222
SPADES KING DIAMONDS SIX,0.2358,0.0396,0.7246
SPADES TEN DIAMONDS SIX,0.7064,0.0444,0.2492
SPADES JACK DIAMONDS SIX,0.7114,0.0474,0.2412
SPADES QUEEN SPADES TWO,0.3708,0.3486,0.2806
SPADES KING SPADES TWO,0.3662,0.0058,0.628
SPADES ACE SPADES TWO,0.3722,0.0038,0.624
DIAMONDS JACK CLUBS JACK,0.283,0.0096,0.7074
CLUBS TEN DIAMONDS JACK,0.5478,0.0074,0.4448
DIAMONDS JACK CLUBS KING,0.3362,0.0086,0.6552
DIAMONDS THREE DIAMONDS JACK,0.579,0.0108,0.4102
DIAMONDS THREE DIAMONDS TEN,0.5768,0.0108,0.4124
DIAMONDS JACK CLUBS ACE,0.341,0.0052,0.6538
DIAMONDS THREE DIAMONDS KING,0.3754,0.0064,0.6182
HEARTS THREE DIAMONDS THREE,0.444,0.0292,0.5268
DIAMONDS THREE DIAMONDS QUEEN,0.3674,0.3592,0.2734
DIAMONDS THREE HEARTS TWO,0.6438,0.0126,0.3436
HEARTS FIVE DIAMONDS THREE,0.6358,0.0106,0.3536
DIAMONDS THREE DIAMONDS ACE,0.3708,0.0056,0.6236
HEARTS FOUR DIAMONDS THREE,0.623,0.0162,0.3608
