opposingHand,winningChance,drawChance,lostChance
HEARTS SIX DIAMONDS JACK
SPADES TEN SPADES SIX,0.6514,0.0552,0.2934
HEARTS FIVE SPADES THREE,0.6102,0.0198,0.37
SPADES JACK CLUBS QUEEN,0.2284,0.0372,0.7344
HEARTS ACE HEARTS QUEEN,0.3,0.006,0.694
SPADES FOUR DIAMONDS FIVE,0.6108,0.0186,0.3706
HEARTS TWO CLUBS TWO,0.418,0.038,0.544
SPADES THREE HEARTS QUEEN,0.3874,0.0094,0.6032
SPADES QUEEN SPADES SEVEN,0.3406,0.0096,0.6498
HEARTS EIGHT HEARTS QUEEN,0.3312,0.0102,0.6586
SPADES EIGHT DIAMONDS SIX,0.6578,0.0612,0.281
HEARTS SEVEN CLUBS SIX,0.658,0.0572,0.2848
CLUBS SIX HEARTS TWO,0.703,0.0704,0.2266
HEARTS FIVE DIAMONDS SEVEN,0.606,0.0194,0.3746
DIAMONDS THREE CLUBS ACE,0.4032,0.0048,0.592
CLUBS SEVEN SPADES FOUR,0.6098,0.0188,0.3714
CLUBS FOUR SPADES FOUR,0.4158,0.0408,0.5434
CLUBS NINE CLUBS SIX,0.6412,0.0492,0.3096
CLUBS SEVEN DIAMONDS KING,0.3544,0.0062,0.6394
SPADES SEVEN SPADES FOUR,0.5668,0.0176,0.4156
SPADES KING HEARTS FIVE,0.3902,0.0088,0.601
HEARTS THREE HEARTS JACK,0.3738,0.366,0.2602
DIAMONDS QUEEN HEARTS TEN,0.3272,0.0098,0.663
SPADES ACE DIAMONDS SIX,0.244,0.026,0.73
SPADES SIX DIAMONDS FOUR,0.6684,0.0674,0.2642
DIAMONDS EIGHT CLUBS ACE,0.3628,0.0042,0.633
HEARTS SEVEN DIAMONDS FOUR,0.6076,0.0184,0.374
CLUBS SEVEN HEARTS THREE,0.621,0.0162,0.3628
SPADES TEN DIAMONDS NINE,0.5582,0.0114,0.4304
SPADES EIGHT HEARTS JACK,0.2148,0.2188,0.5664
HEARTS EIGHT HEARTS TEN,0.5232,0.018,0.4588
DIAMONDS TWO DIAMONDS KING,0.3714,0.0074,0.6212
SPADES ACE CLUBS FIVE,0.3802,0.0036,0.6162
SPADES SEVEN HEARTS TEN,0.5692,0.0158,0.415
HEARTS KING CLUBS QUEEN,0.3102,0.008,0.6818
DIAMONDS SEVEN DIAMONDS FOUR,0.5834,0.0186,0.398
CLUBS NINE HEARTS NINE,0.2778,0.026,0.6962
DIAMONDS QUEEN DIAMONDS SEVEN,0.3402,0.0094,0.6504
DIAMONDS TWO DIAMONDS TEN,0.5856,0.0178,0.3966
HEARTS THREE SPADES FIVE,0.6248,0.0208,0.3544
SPADES JACK HEARTS TEN,0.2246,0.125,0.6504
HEARTS THREE DIAMONDS EIGHT,0.6288,0.019,0.3522
SPADES QUEEN CLUBS SIX,0.2264,0.0478,0.7258
HEARTS FOUR CLUBS KING,0.39,0.008,0.602
CLUBS TEN CLUBS SIX,0.6528,0.0546,0.2926
CLUBS FOUR SPADES TWO,0.6264,0.0186,0.355
SPADES TWO DIAMONDS FOUR,0.6376,0.0184,0.344
CLUBS SIX CLUBS THREE,0.6424,0.0648,0.2928
CLUBS SEVEN SPADES SIX,0.6442,0.0534,0.3024
CLUBS JACK HEARTS NINE,0.2336,0.1584,0.608
SPADES SEVEN CLUBS FOUR,0.6012,0.0178,0.381
CLUBS TEN DIAMONDS TEN,0.2826,0.0214,0.696
CLUBS SIX HEARTS JACK,0.0104,0.9688,0.0208
HEARTS SEVEN CLUBS FOUR,0.6102,0.0186,0.3712
SPADES NINE SPADES SEVEN,0.532,0.0166,0.4514
CLUBS EIGHT HEARTS JACK,0.2236,0.2198,0.5566
SPADES NINE DIAMONDS SIX,0.674,0.0618,0.2642
CLUBS TEN CLUBS THREE,0.5996,0.017,0.3834
DIAMONDS TWO HEARTS TEN,0.6236,0.0198,0.3566
DIAMONDS NINE HEARTS NINE,0.289,0.027,0.684
HEARTS SEVEN DIAMONDS FIVE,0.592,0.0224,0.3856
SPADES NINE DIAMONDS FOUR,0.6218,0.0178,0.3604
CLUBS JACK DIAMONDS KING,0.223,0.0296,0.7474
HEARTS SEVEN SPADES QUEEN,0.3578,0.011,0.6312
HEARTS ACE HEARTS JACK,0.231,0.0224,0.7466
DIAMONDS ACE SPADES SEVEN,0.3566,0.0036,0.6398
CLUBS FOUR HEARTS ACE,0.3932,0.0042,0.6026
DIAMONDS TWO HEARTS QUEEN,0.398,0.0116,0.5904
DIAMONDS THREE CLUBS KING,0.3982,0.0096,0.5922
DIAMONDS THREE HEARTS FIVE,0.6234,0.0222,0.3544
CLUBS TEN CLUBS KING,0.2998,0.006,0.6942
CLUBS NINE DIAMONDS FOUR,0.6296,0.0194,0.351
SPADES QUEEN DIAMONDS FIVE,0.3928,0.0112,0.596
CLUBS QUEEN DIAMONDS FOUR,0.402,0.0108,0.5872
SPADES JACK CLUBS ACE,0.2326,0.0198,0.7476
SPADES NINE CLUBS FIVE,0.603,0.017,0.38
DIAMONDS TEN HEARTS KING,0.3332,0.0056,0.6612
HEARTS SEVEN HEARTS FOUR,0.5808,0.0198,0.3994
HEARTS FOUR SPADES FOUR,0.4184,0.0422,0.5394
SPADES TEN HEARTS NINE,0.5454,0.014,0.4406
SPADES KING HEARTS FOUR,0.4062,0.0072,0.5866
DIAMONDS THREE HEARTS NINE,0.6284,0.0182,0.3534
CLUBS THREE HEARTS QUEEN,0.3954,0.0096,0.595
DIAMONDS KING DIAMONDS FIVE,0.3758,0.0072,0.617
SPADES THREE DIAMONDS FIVE,0.6204,0.0208,0.3588
SPADES ACE HEARTS FOUR,0.3896,0.0036,0.6068
HEARTS SEVEN SPADES FOUR,0.594,0.0224,0.3836
SPADES JACK HEARTS JACK,0.0786,0.0404,0.881
CLUBS NINE CLUBS THREE,0.5862,0.018,0.3958
SPADES QUEEN CLUBS FOUR,0.393,0.0094,0.5976
CLUBS THREE DIAMONDS FOUR,0.6148,0.0212,0.364
DIAMONDS THREE DIAMONDS FIVE,0.5832,0.0166,0.4002
HEARTS THREE HEARTS ACE,0.3548,0.0056,0.6396
CLUBS SIX SPADES FIVE,0.6476,0.0568,0.2956
DIAMONDS ACE DIAMONDS QUEEN,0.308,0.003,0.689
CLUBS EIGHT DIAMONDS TEN,0.5628,0.0154,0.4218
HEARTS ACE CLUBS KING,0.3256,0.0034,0.671
DIAMONDS THREE CLUBS SEVEN,0.6204,0.0164,0.3632
SPADES QUEEN HEARTS THREE,0.3954,0.013,0.5916
SPADES QUEEN DIAMONDS KING,0.3114,0.0056,0.683
SPADES FIVE HEARTS JACK,0.3908,0.393,0.2162
CLUBS EIGHT CLUBS SIX,0.6244,0.0556,0.32
SPADES TEN HEARTS KING,0.3412,0.0078,0.651
HEARTS KING DIAMONDS SIX,0.2398,0.0376,0.7226
CLUBS JACK CLUBS FIVE,0.3652,0.363,0.2718
SPADES ACE SPADES QUEEN,0.3028,0.0058,0.6914
SPADES NINE DIAMONDS TEN,0.5408,0.015,0.4442
CLUBS NINE DIAMONDS KING,0.3586,0.0068,0.6346
DIAMONDS THREE CLUBS SIX,0.6934,0.063,0.2436
HEARTS FOUR DIAMONDS FOUR,0.4154,0.0424,0.5422
SPADES KING SPADES TEN,0.3136,0.004,0.6824
CLUBS KING HEARTS TEN,0.3362,0.0078,0.656
CLUBS JACK HEARTS JACK,0.0776,0.0398,0.8826
SPADES KING SPADES SEVEN,0.3268,0.007,0.6662
DIAMONDS TEN SPADES FOUR,0.625,0.0156,0.3594
HEARTS EIGHT CLUBS SEVEN,0.5466,0.0172,0.4362
SPADES TWO DIAMONDS SEVEN,0.6384,0.018,0.3436
CLUBS TEN SPADES TWO,0.6232,0.017,0.3598
CLUBS SEVEN CLUBS ACE,0.3318,0.0034,0.6648
SPADES NINE DIAMONDS QUEEN,0.3396,0.01,0.6504
HEARTS TWO DIAMONDS NINE,0.6282,0.02,0.3518
SPADES ACE HEARTS NINE,0.365,0.0052,0.6298
CLUBS NINE SPADES TWO,0.6344,0.0176,0.348
DIAMONDS ACE CLUBS FOUR,0.3882,0.0038,0.608
HEARTS KING CLUBS ACE,0.3118,0.004,0.6842
HEARTS SEVEN DIAMONDS NINE,0.5568,0.018,0.4252
DIAMONDS THREE DIAMONDS ACE,0.3744,0.0034,0.6222
SPADES NINE CLUBS KING,0.3446,0.0042,0.6512
DIAMONDS THREE HEARTS KING,0.3836,0.008,0.6084
HEARTS EIGHT CLUBS FIVE,0.6012,0.0138,0.385
CLUBS FOUR DIAMONDS KING,0.3806,0.0074,0.612
SPADES ACE DIAMONDS FIVE,0.3888,0.004,0.6072
HEARTS FIVE SPADES EIGHT,0.6124,0.0202,0.3674
CLUBS SIX DIAMONDS FOUR,0.662,0.0652,0.2728
CLUBS EIGHT SPADES SIX,0.6684,0.051,0.2806
HEARTS EIGHT SPADES NINE,0.54,0.0148,0.4452
SPADES SEVEN DIAMONDS NINE,0.5652,0.0152,0.4196
DIAMONDS NINE HEARTS KING,0.3458,0.0078,0.6464
CLUBS FIVE SPADES SIX,0.6524,0.0576,0.29
CLUBS THREE SPADES FIVE,0.6238,0.0178,0.3584
CLUBS EIGHT CLUBS FIVE,0.5588,0.019,0.4222
CLUBS JACK SPADES SIX,0.0186,0.9578,0.0236
HEARTS JACK DIAMONDS FOUR,0.3886,0.3868,0.2246
SPADES ACE DIAMONDS KING,0.3234,0.0038,0.6728
SPADES QUEEN DIAMONDS ACE,0.3102,0.0048,0.685
CLUBS THREE CLUBS KING,0.3684,0.0082,0.6234
SPADES ACE HEARTS ACE,0.1198,0.003,0.8772
HEARTS SEVEN DIAMONDS TWO,0.6274,0.0218,0.3508
CLUBS JACK DIAMONDS TWO,0.4036,0.3854,0.211
CLUBS ACE HEARTS JACK,0.2156,0.0192,0.7652
CLUBS JACK DIAMONDS ACE,0.2234,0.0182,0.7584
HEARTS SEVEN HEARTS TEN,0.5424,0.0166,0.441
HEARTS EIGHT HEARTS TWO,0.5936,0.0178,0.3886
SPADES ACE CLUBS FOUR,0.378,0.0036,0.6184
SPADES QUEEN DIAMONDS FOUR,0.4008,0.0094,0.5898
DIAMONDS TWO HEARTS THREE,0.6422,0.0208,0.337
CLUBS NINE HEARTS JACK,0.216,0.1604,0.6236
CLUBS EIGHT CLUBS FOUR,0.5682,0.0162,0.4156
CLUBS NINE SPADES NINE,0.2848,0.0268,0.6884
SPADES KING HEARTS NINE,0.35,0.0058,0.6442
